title,author,tags
It is amazing what you can accomplish if you do not care who gets the credit.,Harry S Truman,"Care, Credit, Accomplish"
"Work hard, be kind, and amazing things will happen.",Conan O'Brien,"Work, Will, Be Kind"
"When you have confidence, you can have a lot of fun. And when you have fun, you can do amazing things.",Joe Namath,"Confidence, Fun, Things"
"When you're true to who you are, amazing things happen.",Deborah Norville,"True, Things Happen, Things"
It's amazing how much you can learn if your intentions are truly earnest.,Chuck Berry,"Your, Much, Intentions"
"The thing that is really hard, and really amazing, is giving up on being perfect and beginning the work of becoming yourself.",Anna Quindlen,"Work, Yourself, Beginning"
"Nobody in life gets exactly what they thought they were going to get. But if you work really hard and you're kind, amazing things will happen.",Conan O'Brien,"Life, Work, Will"
It's amazing how a competitive nature can turn a negative into something positive.,Barry Mann,"Positive, Nature, Negative"
Amazement awaits us at every corner.,James Broughton,"Corner, Us, Every"
"With love, you should go ahead and take the risk of getting hurt because love is an amazing feeling.",Britney Spears,"Love, Love Is, Ahead"
It's amazing the clarity that comes with psychotic jealousy.,Rupert Everett,"Jealousy, Clarity, Psychotic"
"It's amazing how, over time, a person's perspective can be altered.",Fred Durst,"Time, Perspective, Person"
Listen once in a while. It's amazing what you can hear.,Russell Baker,"Hear, Listen, Once"
The body is an amazing machine... If you eat the right things your body will perform incredibly well!,Shawn Johnson,"Your, Body, Will"
People must feel that the natural world is important and valuable and beautiful and wonderful and an amazement and a pleasure.,David Attenborough,"Beautiful, World, Important"
"When it's over, I want to say: all my life I was a bride married to amazement. I was the bridegroom, taking the world into my arms.",Mary Oliver,"Life, World, My Life"
Nothing amazes me anymore.,David Beckham,"Me, Nothing, Anymore"
It's amazing to me that young people will still pick up a cigarette.,Loni Anderson,"Me, Will, People"
I have amazing friends who have led inspirational lives.,Andrew Shue,"Inspirational, Friends, Who"
There are amazingly wonderful people in all walks of life; some familiar to us and others not. Stretch yourself and really get to know people. People are in many ways one of our greatest treasures.,Bryant H. McGill,"Life, Yourself, Know"
People never cease to amaze me.,Tina Yothers,"Me, People, Never"
It's amazing how much trouble you can get in when you don't have anything else to do.,Quincy Jones,"Trouble, Much, Anything"
It's such an amazing thing to be loved for who you are.,Debra Winger,"Loved, Who, Thing"
"It's amazing how, age after age, in country after country, and in all languages, Shakespeare emerges as incomparable.",M. H. Abrams,"Age, Country, How"
I'm not a kid anymore. And I'm excited for all the amazing things to come.,Paris Hilton,"Excited, Things, Come"
To feel the presence of the Lord is an amazing thing.,Lisa Leslie,"Feel, Lord, Presence"
"Isn't it amazing that we are all made in God's image, and yet there is so much diversity among his people?",Desmond Tutu,"God, Diversity, People"
It's amazing what ordinary people can do if they set out without preconceived notions.,Ben Stein,"People, Without, Ordinary"
"If there was an observer on Mars, they would probably be amazed that we have survived this long.",Noam Chomsky,"Long, Mars, Observer"
"If you set goals and go after them with all the determination you can muster, your gifts will take you places that will amaze you.",Les Brown,"Determination, Your, Goals"
It's amazing how stress keeps you trim.,Peter Andre,"Stress, How, Trim"
People like Frank Zappa were amazing for us Brits.,Rick Wakeman,"People, Us, Like"
It's amazing where the paranoid mind can take you.,Bill Ayers,"Mind, Paranoid, Where"
Isn't it amazing how celebrity status preempts even the most ingrained hatreds?,Camryn Manheim,"Celebrity, How, Most"
Words to me were magic. You could say a word and it could conjure up all kinds of images or feelings or a chilly sensation or whatever. It was amazing to me that words had this power.,Amy Tan,"Power, Me, Feelings"
Amazingly when you add life and consciousness to the equation you can actually explain some of the biggest puzzles of science.,Robert Lanza,"Life, Science, Consciousness"
I like pens. My writing is so amazing there's never a need to erase.,Todd Barry,"Never, Erase, Writing"
"Sometimes I think my husband is so amazing that I don't know why he's with me. I don't know whether I'm good enough. But if I make him happy, then I'm everything I want to be.",Angelina Jolie,"Good, Me, Know"
It's amazing how good getting up and moving makes you feel.,Paula Deen,"Good, Feel, Moving"
It's pretty amazing to me that my first hit record was an Elvis Presley record.,Mac Davis,"Me, First, Pretty"
There was something amazingly enticing about programming.,Vint Cerf,"Programming, Something, About"
"I play a musical instrument a little, but only for my own amazement.",Fred Allen,"Own, Musical Instrument, My Own"
It's the most amazing feeling to hold your child in your arms.,Chris O'Donnell,"Your, Feeling, Child"
I have a ridiculous fear of sharks but I'd jump in the water in a second for an amazing role.,Kate Mara,"Fear, Water, Jump"
The body can do amazing things in a situation when it is really called for.,Suzanne Farrell,"Body, Situation, Things"
"More and more couples are having this negotiation or discussion, but I'm still amazed at the number who aren't and where the cultural norm sort of kicks in and they just assume that mom's got to be the one who stays home, not dad.",James Levine,"Home, Mom, Dad"
Pebble Beach. It is tough and the lay out is amazing.,Natalie Gulbis,"Tough, Beach, Pebble"
It's an amazing luxury to say I'm 31 years old and I'm gonna take a year off. That's pretty amazing.,Sarah McLachlan,"Luxury, Old, Say"
You would be amazed what the ordinary guy knows.,Matt Drudge,"Guy, Ordinary, Amazed"
So much of 'Jaws' was amazing because the mind filled in what was missing.,Bill Sienkiewicz,"Mind, Much, Missing"
"If it's an amazing role, I'll do anything.",Vin Diesel,"Anything, Role"
"It's amazing how ideas start out, isn't it?",Nigel Farage,"Start, Ideas, How"
You will never cease to be the most amazed person on earth at what God has done for you on the inside.,Oswald Chambers,"God, Done, Will"
I love Jessica Simpson. I love her voice. She's amazing.,Britney Spears,"Love, Voice, She"
I grew up in a Christian home with amazing parents.,Allyson Felix,"Home, Parents, Christian"
"The truth sets you free. It's a very liberating thing, when you say this is who I am warts and all and then you can just get on with life. It's amazing.",Geri Halliwell,"Life, Truth, I Am"
I'm the poster boy for Propecia. It's amazing.,Joe Lando,"Boy, Poster Boy, Poster"
"But I am not going to live for ever. And the more I know it, the more amazed I am by being here at all.",William Hurt,"I Am, Know, Live"
"To me, when a great band is playing together, it's amazing for me.",John Oates,"Great, Together, Me"
I was impressed by Hendrix. His attitude was brilliant. Even the way he walked was amazing.,Ritchie Blackmore,"Attitude, Way, Brilliant"
Isn't it amazing the way the future succeeds in creating an appropriate past?,John Leonard,"Future, Past, Way"
People are generally amazed that I would take an interest in any forum that would require me to stop talking for three hours.,Henry Kissinger,"Me, People, Stop"
"When the shriveled skin of the ordinary is stuffed out with meaning, it satisfies the senses amazingly.",Virginia Woolf,"Skin, Meaning, Senses"
