title,author,tags
The best way to predict the future is to create it.,Peter Drucker,"Future, Way, Predict"
A problem is a chance for you to do your best.,Duke Ellington,"Chance, Do Your Best, Your"
"To give anything less than your best, is to sacrifice the gift.",Steve Prefontaine,"Sacrifice, Your, Gift"
Living well is the best revenge.,George Herbert,"Revenge, Living, Well"
"There are some things you learn best in calm, and some in storm.",Willa Cather,"Storm, Calm, Things"
"I'm selfish, impatient, and a little insecure. I make mistakes, I'm out of control, and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,"Selfish, Hell, Me"
"Whether it's the best of times or the worst of times, it's the only time we've got.",Art Buchwald,"Time, Worst, Only"
That's your best friend and your worst enemy - your own brain.,Fred Durst,"Brain, Your, Enemy"
The best revenge is massive success.,Frank Sinatra,"Success, Revenge, Massive"
Nobody who ever gave his best regretted it.,George Halas,"Nobody, Who, Ever"
The best way to find yourself is to lose yourself in the service of others.,Mahatma Gandhi,"Yourself, Service, Lose"
"I did my best, and God did the rest.",Hattie McDaniel,"God, Rest, Did"
The best revenge is to live on and prove yourself.,Eddie Vedder,"Yourself, Revenge, Live"
"It's a funny thing about life; if you refuse to accept anything but the best, you very often get it.",W. Somerset Maugham,"Life, Funny, Accept"
Things turn out best for the people who make the best of the way things turn out.,John Wooden,"Way, People, Turn"
The best thing about the future is that it comes only one day at a time.,Dean Acheson,"Future, Time, Day"
I have the simplest tastes. I am always satisfied with the best.,Oscar Wilde,"Always, I Am, Satisfied"
"In any moment of decision, the best thing you can do is the right thing, the next best thing is the wrong thing, and the worst thing you can do is nothing.",Theodore Roosevelt,"Moment, Decision, The Right Thing"
Do right. Do your best. Treat others as you want to be treated.,Lou Holtz,"Do Your Best, Your, Treat"
"To be nobody but yourself in a world which is doing its best, night and day, to make you everybody else - means to fight the hardest battle which any human being can fight; and never stop fighting.",e. e. cummings,"Day, Fight, Battle"
"If you want to go somewhere, it is best to find someone who has already been there.",Robert Kiyosaki,"Find, Someone, Go"
