title,author,tags
"I spent a lot of money on booze, birds and fast cars. The rest I just squandered.",George Best,"Money, Rest, Fast"
The cars we drive say a lot about us.,Alexandra Paul,"Drive, Us, Say"
"It's like driving a car at night. You never see further than your headlights, but you can make the whole trip that way.",E. L. Doctorow,"Your, Night, Way"
Self-driving cars are the natural extension of active safety and obviously something we should do.,Elon Musk,"Safety, Active, Something"
It's a never ending battle of making your cars better and also trying to be better yourself.,Dale Earnhardt,"Your, Battle, Yourself"
The best car safety device is a rear-view mirror with a cop in it.,Dudley Moore,"Best, Mirror, Safety"
I love vintage cars because you can do so much more to them.,T-Pain,"Love, Vintage, Much"
"Everything in life is somewhere else, and you get there in a car.",E. B. White,"Life, Everything, Somewhere"
Fast cars are my only vice.,Michael Bay,"Fast, Fast Cars, Only"
"I don't run a car, have never run a car. I could say that this is because I have this extremely tender environmentalist conscience, but the fact is I hate driving.",David Attenborough,"Hate, Conscience, Never"
"We aren't addicted to oil, but our cars are.",James Woolsey,"Oil, Our, Addicted"
"The automobile engine will come, and then I will consider my life's work complete.",Rudolf Diesel,"Life, Work, Will"
"In the history of the world, no one has ever washed a rented car.",Lawrence Summers,"History, World, Ever"
Cars and cameras are the two things I let myself be materialistic about. I don't care about other stuff.,Louis C. K.,"Myself, Care, don't Care"
"Driving race cars was an avenue for me to learn how to build my own car, and that was my ambition all along.",Carroll Shelby,"Ambition, Me, Own"
Electric cars aren't pollution-free; they have to get their energy from somewhere.,Alexandra Paul,"Energy, Electric Cars, Somewhere"
I love everything from old-school cars to whatever the latest muscle or luxury vehicles are.,Ludacris,"Love, Luxury, Muscle"
"If GM had kept up with technology like the computer industry has, we would all be driving $25 cars that got 1,000 MPG.",Bill Gates,"Technology, Driving, Industry"
"If you own a home with wheels on it and several cars without, you just might be a redneck.",Jeff Foxworthy,"Home, Own, Wheels"
Your car should drive itself. It's amazing to me that we let humans drive cars... It's a bug that cars were invented before computers.,Eric Schmidt,"Computers, Amazing, Your"
"Societies need rules that make no sense for individuals. For example, it makes no difference whether a single car drives on the left or on the right. But it makes all the difference when there are many cars!",Marvin Minsky,"No Sense, Rules, Right"
I would have probably stolen cars - it would have given me the same adrenaline rush as racing.,Valentino Rossi,"Me, Adrenaline, Rush"
A car for every purse and purpose.,Alfred P. Sloan,"Purpose, Purse, Every"
"There's three things men always talk about - women, sports, and cars.",Mario Lopez,"Women, Sports, Men"
"People are so bad at driving cars that computers don't have to be that good to be much better. Any time you stand in line at the D.M.V. and look around, you're like, Oh, my God, I wish all these people were replaced by computer drivers.",Marc Andreessen,"God, Good, Time"
"I've actually made a prediction that within 30 years a majority of new cars made in the United States will be electric. And I don't mean hybrid, I mean fully electric.",Elon Musk,"Will, New, United States"
I love fast cars... and to go too fast in them.,Lara Flynn Boyle,"Love, Fast, Fast Cars"
Here comes 40. I'm feeling my age and I've ordered the Ferrari. I'm going to get the whole mid-life crisis package.,Keanu Reeves,"Age, Feeling, Crisis"
Tesla is here to stay and keep fighting for the electric car revolution.,Elon Musk,"Keep, Fighting, Revolution"
Auto racing is boring except when a car is going at least 172 miles per hour upside down.,Dave Barry,"Boring, Upside Down, Down"
"I've got two old Volvos, two old Subarus, and an old Ford Ranger. If you've got an old car, you've gotta have at least several old cars, 'cause one's always gonna be in the garage.",Rip Torn,"Always, Old, Two"
You're safer in the race car than you are in cars going to and from the track.,Mario Andretti,"Race, Track, Going"
"To attract men, I wear a perfume called 'New Car Interior.'",Rita Rudner,"Men, New, New Car"
"I've always been attracted to cars, and driving is a completely measurable experience: if you qualify last on the grid, you're the slowest, and if you qualify first on the grid, you're the fastest. So no one can say you're slow if you're fast and no one can say you're fast if you're slow.",Eric Bana,"Experience, Always, Slow"
No action hero is more closely associated with cars than James Bond.,Richard Hammond,"Hero, Bond, Action"
But my passion is racing cars. It's what I like to do in my off time.,Mark-Paul Gosselaar,"Time, Passion, Racing"
I admit to wasting my life messing around with fast cars and motorcycles.,Brock Yates,"Life, My Life, Fast"
"I know a lot about cars, man. I can look at any car's headlights and tell you exactly which way it's coming.",Mitch Hedberg,"Man, Look, Way"
I don't like new cars; I'm into vintage cars - there's a Jaguar E-Type in the 'Goldie' video.,ASAP Rocky,"Vintage, New, Like"
"The only big things I've purchased are my dad's heart valve and a Rolls-Royce for my parents, for their anniversary. And that was only because my dad had a Lady Gaga license plate on our old car and it was making me crazy because he was getting followed everywhere, so I bought him a new car.",Lady Gaga,"Anniversary, Dad, Heart"
You have to wait six months to purchase a fuel efficient automobile made from overseas.,Ed Markey,"Wait, Automobile, Fuel"
Ikea people do not drive flashy cars or stay at luxury hotels.,Ingvar Kamprad,"Drive, People, Luxury"
"When it comes to cars, only two varieties of people are possible - cowards and fools.",Russell Baker,"People, Possible, Cowards"
"See, what you're meant to do when you have a mid-life crisis is buy a fast car, aren't you? Well, I've always had fast cars. It's not that. It's the fear that you're past your best. It's the fear that the stuff you've done in the past is your best work.",Robbie Coltrane,"Work, Best, Fear"
I am a big car enthusiast. I totally understand guys like Jay Leno who have a thousand cars. But asking me my favorite car would be like asking my favorite song or favorite food - it changes everyday.,Casey James,"Food, I Am, Me"
"Family trips to Yellowstone and to what are now national parks in Southern Utah, driving the primitive roads and cars of that day, were real adventures.",Paul D. Boyer,"Family, Day, Roads"
"In less enlightened times, the best way to impress women was to own a hot car. But women wised up and realized it was better to buy their own hot cars so they wouldn't have to ride around with jerks.",Scott Adams,"Best, Women, Ride"
"My boyfriend keeps telling me I've got to own things. So, first I bought this car. And then he told me I oughta get a house. 'Why a house?' 'Well, you gotta have a place to park the car.'",Julia Roberts,"Me, Own, Place"
I always do like seeing other people dance in their cars. It's one of the things that makes me happy.,Ariel Gore,"Always, Me, Dance"
"Google is working on self-driving cars, and they seem to work. People are so bad at driving cars that computers don't have to be that good to be much better.",Marc Andreessen,"Work, Good, Computers"
"I hooked up my accelerator pedal in my car to my brake lights. I hit the gas, people behind me stop, and I'm gone.",Steven Wright,"Me, People, Stop"
Drive-in banks were established so most of the cars today could see their real owners.,E. Joseph Cossman,"Today, Real, See"
"I'm starting to think about things that I want to do, things that are fun. One of them is driving a car like a Porsche. I've driven a lot of cars - sedans, trucks and big family vehicles all year long. But there's nothing like a four-wheel-drive Porsche.",Kevin O'Leary,"Family, Long, Nothing"
Car designers are just going to have to come up with an automobile that outlasts the payments.,Erma Bombeck,"Automobile, Come, Going"
I'm glad to see that BMW is bringing an electric car to market. That's cool.,Elon Musk,"Cool, BMW, See"
