title,author,tags
"I'm not the kind of person who tries to be cool or trendy, I'm definitely an individual.",Leonardo DiCaprio,"Person, Who, Individual"
"Nothing is cooler and more attractive than a big comeback, and that'll be me.",Steven Adler,"Comeback, Me, Nothing"
"Being cool is being your own self, not doing something that someone else is telling you to do.",Vanessa Hudgens,"Your, Doing, Own"
"To create well I have to be in a good mood, happy and cool.",Marc Newson,"Good, Good Mood, Mood"
"The secret was to just be cool, stay in God's graces, and work it out.",Solomon Burke,"Work, God, Stay"
"I'm a mirror. If you're cool with me, I'm cool with you, and the exchange starts. What you see is what you reflect. If you don't like what you see, then you've done something. If I'm standoffish, that's because you are.",Jay-Z,"Done, Mirror, Me"
I'm cool with failing so long as I know that there are people around me that love me unconditionally.,Dave Chappelle,"Love, Long, Me"
I've never been cool - and I don't care.,Celine Dion,"Care, Never, don't Care"
"I can take it. The tougher it gets, the cooler I get.",Richard M. Nixon,"I Can, Take, Cooler"
Let your soul stand cool and composed before a million universes.,Walt Whitman,"Your, Soul, Stand"
You don't have to carry a designer bag that costs more than a car to look cool.,Kesha,"Car, Bag, Look"
"Is a hippopotamus a hippopotamus, or just a really cool Opotamus?",Mitch Hedberg,"Just, Hippopotamus, Really"
"It's so important to realize that every time you get upset, it drains your emotional energy. Losing your cool makes you tired. Getting angry a lot messes with your health.",Joyce Meyer,"Health, Time, Tired"
"Being cool, having a 'cool' energy is just not attractive to me.",Selena Gomez,"Energy, Me, Attractive"
"Whatever hysteria exists is inflamed by mystery, suspicion and secrecy. Hard and exact facts will cool it.",Elia Kazan,"Mystery, Facts, Will"
"Sometimes just when I say hello the right way, I'm like, 'Whoa, I'm so cool.'",Robert Pattinson,"Way, Sometimes, Right"
Keep a cool head and maintain a low profile. Never take the lead - but aim to do something big.,Deng Xiaoping,"Aim, Keep, Never"
Rather be dead than cool.,Kurt Cobain,"Dead, Rather, Than"
"And in a world without heroes, as the movie trailer voice-over guy might say, the slightly awkward can be slightly cool.",Adam Brody,"World, Awkward, Say"
"I suppose being fierce is a very good thing, and a very cool thing. But more than fierce, I think I'm a strong person and a strong individual. And that's what I take with me every day.",Johnny Weir,"Good, Day, Me"
Good words cool more than cold water.,John Ray,"Good, Water, Words"
"People look at me and see a calm, cool guy on the sidelines and I want them to know that my Christian faith affects my coaching and everything I do.",Tony Dungy,"Faith, Calm, Me"
"The simple truth is that balding African-American men look cool when they shave their heads, whereas balding white men look like giant thumbs.",Dave Barry,"Truth, Men, Simple"
I think you create your own hipness.,Peabo Bryson,"Your, Own, Create"
Nothing gives one person so much advantage over another as to remain always cool and unruffled under all circumstances.,Thomas Jefferson,"Always, Nothing, Person"
"I don't think of myself as hot or cool or anything, just a dork.",Ashley Olsen,"Myself, Hot, Anything"
I am always looking for a cool tee shirt; maybe one with a rock band or an old advertisement.,Bridget Hall,"Always, I Am, Shirt"
I want to be a vampire. They're the coolest monsters.,Gerard Way,"Monsters, Vampire, Want"
One cool judgment is worth a thousand hasty counsels. The thing to do is to supply light and not heat.,Woodrow Wilson,"Light, Heat, Worth"
Being uncool is being pretty much the coolest you can be.,Rufus Wainwright,"Much, Being, Pretty"
"I think you have to be cool to be a good flirt, and I don't think I'm very cool.",Harry Styles,"Good, Think, Flirt"
Be still and cool in thine own mind and spirit.,George Fox,"Mind, Own, Spirit"
"All women do have a different sense of sexuality, or sense of fun, or sense of like what's sexy or cool or tough.",Angelina Jolie,"Women, Sexy, Sexuality"
"I never cut class. I loved getting A's, I liked being smart. I liked being on time. I thought being smart is cooler than anything in the world.",Michelle Obama,"Time, Smart, World"
Spiderman can climb walls and he's got a cool outfit.,Rhona Mitra,"Climb, Walls, Outfit"
"I'm a flamboyant type of guy, a cooler version of Liberace.",Usher,"Version, Guy, Flamboyant"
I've never been cool and I don't really care about being cool. It's just an awful lot of time and hair gel wasted.,Chris Martin,"Time, Hair, Care"
I never saw music in terms of men and women or black and white. There was just cool and uncool.,Bonnie Raitt,"Women, Men, Music"
"I think it would be cool if you were writing a ransom note on your computer, if the paper clip popped up and said, 'Looks like you're writing a ransom note. Need help? You should use more forceful language, you'll get more money.'",Demetri Martin,"Money, Your, Language"
All of my favorite people - people I really trust - none of them were cool in their younger years.,Taylor Swift,"Trust, People, Favorite People"
"I wanted to escape Small Town U.S.A. To dismiss the boundaries, to explore. My life experience came from watching movies, TV, and reading books and magazines. When your culture comes from watching TV everyday, you're bombarded with images of things that seem cool, places that seem interesting, people who have jobs and careers and opportunities.",Trent Reznor,"Life, Experience, Movies"
"I'm a geeky toy collector, and to have toys of your own characters is unbelievably cool.",Craig McCracken,"Your, Toys, Own"
"People see my photos and think I labor over my image and I'm this cool, brooding artist. But I'm just having fun with it.",Lenny Kravitz,"People, Fun, Artist"
"I always preferred to hang out with the outcasts, 'cause they were cooler; they had better taste in music, for one thing, I guess because they had more time to develop one with the lack of social interaction they had!",John Hughes,"Time, Music, Always"
"Every collection that I work on, I always think, Is this cool enough to wear to a concert?",Anna Sui,"Work, Always, Enough"
I just tried to keep my cool and continue with my race plan: to win.,Mark Spitz,"Win, Keep, Plan"
"I think I'm so old I'm in. We call it the 'Tony Bennett Syndrome.' For some reason, young people think I'm cool.",Bill Kurtis,"People, Reason, Young"
A lot of people are obsessed with looking cool. They feel they have to look after their image.,Adrian Edmondson,"Look, Feel, People"
I've never done anything because I thought it would look cool.,John Mayer,"Done, Look, Never"
He who keeps his cool best wins.,Norman Cousins,"Best, Who, He"
"A girl came up to me in a bar and said she wanted to be my apple pie. I wish I'd said something cool, but I was stunned.",Jason Biggs,"Me, Wish, Girl"
Morgan Freeman is so class. He's so cool. He's so scary.,Jim Carrey,"Class, He, Scary"
"Prominence is cool, but when the delusion kicks in it can be a drag. Especially if you choose to surround yourself with friends and not acolytes.",Barbara Kruger,"Surround Yourself, Yourself, Choose"
"When I was younger, the pressure was just being cool. I never thought of myself as a cool guy. I always thought of myself as more of the goofy guy.",Paul Walker,"Myself, Always, Pressure"
There aren't many poster children for cool angst. Everybody thinks it's cool if you're the bad girl.,Fiona Apple,"Bad, Children, Girl"
"Some years I'm the coolest thing that ever happened, and then the next year everyone's so over me, and I'm just so past my sell date.",Cher,"Past, Me, Everyone"
It looks good when you see someone kicking at the age of 51 with no double. It's kinda cool for people to know that past 50 we can keep flexible.,Jean-Claude Van Damme,"Good, Age, Past"
"Competition is great. And as long as it's friendly and not a malicious thing, then I think it's cool.",Janet Jackson,"Great, Competition, Long"
If I could work with any actor it would have to be Johnny Depp. He is cool.,Ben Nicholas,"Work, If I Could, Actor"
"I think all jocks have a sensitive side. It's just, will they show it to anybody? Will they let their guard down and stop being tough and the cool jock guy around their friends, or just relax? I don't know if it's best to say opening up, but just relax and really say what you're actually thinking, and not what you think people want to hear.",Channing Tatum,"Best, Relax, Thinking"
Heroes don't wear diapers. It's just not cool.,Felix Baumgartner,"Heroes, Just, Wear"
