title,author,tags
It was my father who taught me to value myself. He told me that I was uncommonly beautiful and that I was the most precious thing in his life.,Dawn French,"Life, Beautiful, Myself"
"When I was 18, I thought my father was pretty dumb. After a while when I got to be 21, I was amazed to find out how much he'd learned in three years.",Frank Butler,"Dumb, Father, Find"
The most important influence in my childhood was my father.,DeForest Kelley,"Childhood, Father, Influence"
My father was my teacher. But most importantly he was a great dad.,Beau Bridges,"Teacher, Great, Father"
"My dad always said, 'Don't worry what people think, because you can't change it.'",Daisy Donovan,"Change, Always, Worry"
A father is always making his baby into a little woman. And when she is a woman he turns her back again.,Enid Bagnold,"Always, Woman, Father"
"When I come home, my daughter will run to the door and give me a big hug, and everything that's happened that day just melts away.",Hugh Jackman,"Home, Day, Me"
A father is a man who expects his son to be as good a man as he meant to be.,Frank A. Clark,"Good, Man, Father"
"My father, he was like the rock, the guy you went to with every problem.",Gwyneth Paltrow,"Father, Rock, Problem"
"No, I never thought about my father's money as my money.",Christie Hefner,"Money, Father, Never"
"I know that I will never find my father in any other man who comes into my life, because it is a void in my life that can only be filled by him.",Halle Berry,"Life, Man, My Life"
It is easier for a father to have children than for children to have a real father.,Pope John XXIII,"Father, Children, Real"
Humor is always based on a modicum of truth. Have you ever heard a joke about a father-in-law?,Dick Clark,"Truth, Humor, Always"
"When one has not had a good father, one must create one.",Friedrich Nietzsche,"Good, Father, Create"
My father? I never knew him. Never even seen a picture of him.,Eminem,"Father, Picture, Never"
"My father taught me that the only way you can make good at anything is to practice, and then practice some more.",Pete Rose,"Good, Me, Father"
"I inherited that calm from my father, who was a farmer. You sow, you wait for good or bad weather, you harvest, but working is something you always need to do.",Miguel Indurain,"Good, Always, Weather"
"Father told me that if I ever met a lady in a dress like yours, I must look her straight in the eyes.",Prince Charles,"Eyes, Dress, Me"
Whenever I fail as a father or husband... a toy and a diamond always works.,Shah Rukh Khan,"Always, Father, Husband"
Undeservedly you will atone for the sins of your fathers.,Horace,"Your, Will, Sins"
"If my father had hugged me even once, I'd be an accountant right now.",Ray Romano,"Me, Father, Accountant"
But the love of adventure was in father's blood.,Buffalo Bill,"Love, Father, Adventure"
One of my earliest memories is of my father carrying me in one arm with a picket sign in the other.,Camryn Manheim,"Memories, Me, Father"
"My dad taught me true words you have to use in every relationship. Yes, baby.",Star Jones,"Relationship, Me, Words"
"I wanted to be a forest ranger or a coal man. At a very early age, I knew I didn't want to do what my dad did, which was work in an office.",Harrison Ford,"Work, Age, Man"
"Thirteen, 13 children, and I love - I love them all. And I think I've been a good father to all of them.",Anthony Quinn,"Love, Good, Father"
My Father had a profound influence on me. He was a lunatic.,Spike Milligan,"Me, Father, Influence"
My father invented a cure for which there was no disease and unfortunately my mother caught it and died of it.,Victor Borge,"Father, Mother, Disease"
"My father was grounded, a very meat-and-potatoes man. He was a baker.",Anthony Hopkins,"Man, Father, Baker"
"Aeneas carried his aged father on his back from the ruins of Troy and so do we all, whether we like it or not, perhaps even if we have never known them.",Angela Carter,"Father, Never, Back"
