title,author,tags
"I have never killed a man, but I have read many obituaries with great pleasure.",Clarence Darrow,"Great, Man, Never"
What we have done for ourselves alone dies with us; what we have done for others and the world remains and is immortal.,Albert Pike,"Alone, Done, World"
The idea is to die young as late as possible.,Ashley Montagu,"Die, Late, Possible"
Life is hard. Then you die. Then they throw dirt in your face. Then the worms eat you. Be grateful it happens in that order.,David Gerrold,"Life, Your, Life Is Hard"
"And how can man die better than facing fearful odds, for the ashes of his fathers, and the temples of his Gods?",Thomas Babington Macaulay,"Man, Better, Die"
The dead cannot cry out for justice. It is a duty of the living to do so for them.,Lois McMaster Bujold,"Justice, Duty, Living"
"Our dead are never dead to us, until we have forgotten them.",George Eliot,"Dead, Never, Us"
I would rather die a meaningful death than to live a meaningless life.,Corazon Aquino,"Life, Die, Live"
"From my rotting body, flowers shall grow and I am in them and that is eternity.",Edvard Munch,"Body, I Am, Grow"
"Don't send me flowers when I'm dead. If you like me, send them while I'm alive.",Brian Clough,"Me, Alive, Dead"
He who doesn't fear death dies only once.,Giovanni Falcone,"Fear, Only, Who"
The life of the dead is placed in the memory of the living.,Marcus Tullius Cicero,"Life, Memory, Living"
"Suicide is man's way of telling God, 'You can't fire me - I quit.'",Bill Maher,"God, Man, Fire"
Millions long for immortality who don't know what to do with themselves on a rainy Sunday afternoon.,Susan Ertz,"Long, Know, Immortality"
I'll sleep when I'm dead.,Warren Zevon,"Sleep, Dead"
"Since the day of my birth, my death began its walk. It is walking toward me, without hurrying.",Jean Cocteau,"Walk, Day, Me"
"Dying is easy, it's living that scares me to death.",Annie Lennox,"Me, Living, Easy"
Some people die at 25 and aren't buried until 75.,Benjamin Franklin,"Die, People, Some People"
You'll have time to rest when you're dead.,Robert De Niro,"Time, Rest, Dead"
"In the night of death, hope sees a star, and listening love can hear the rustle of a wing.",Robert Green Ingersoll,"Love, Hope, Night"
"It is not death that a man should fear, but he should fear never beginning to live.",Marcus Aurelius,"Fear, Man, Beginning"
"We die only once, and for such a long time.",Moliere,"Time, Long, Die"
Cowards die many times before their deaths; the valiant never taste of death but once.,William Shakespeare,"Die, Never, Taste"
Healthy children will not fear life if their elders have integrity enough not to fear death.,Erik Erikson,"Life, Fear, Integrity"
Pale Death beats equally at the poor man's gate and at the palaces of kings.,Horace,"Man, Poor, Gate"
"I am not afraid of death, I just don't want to be there when it happens.",Woody Allen,"I Am, Happens, Afraid"
"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home.",Tecumseh,"Time, Home, Fear"
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain,"Life, Time, Fear"
"If we must die, we die defending our rights.",Sitting Bull,"Die, Rights, Must"
"I'm not afraid to die, I just don't want to be there when it happens.",Woody Allen,"Die, Happens, Afraid"
"Death is nothing, but to live defeated and inglorious is to die daily.",Napoleon Bonaparte,"Daily, Die, Nothing"
Be ashamed to die until you have won some victory for humanity.,Horace Mann,"Victory, Humanity, Die"
"The timing of death, like the ending of a story, gives a changed meaning to what preceded it.",Mary Catherine Bateson,"Timing, Ending, Story"
