title,author,tags
Your diet is a bank account. Good food choices are good investments.,Bethenny Frankel,"Good, Food, Your"
I don't stop eating when I'm full. The meal isn't over when I'm full. It's over when I hate myself.,Louis C. K.,"Myself, Hate, Eating"
"I followed the same diet for 20 years, eliminating starches, living on salads, lean meat, and small portions.",Gene Tierney,"Living, Meat, Small"
The circuit training program along with a healthy clean diet is the way to excellent results.,Lee Haney,"Training, Way, Clean"
"The easiest diet is, you know, eat vegetables, eat fresh food. Just a really sensible healthy diet like you read about all the time.",Drew Carey,"Time, Food, Vegetables"
The only way you get that fat off is to eat less and exercise more.,Jack LaLanne,"Fat, Way, Exercise"
Pasta doesn't make you fat. How much pasta you eat makes you fat.,Giada De Laurentiis,"Fat, Pasta, Much"
My doctor told me to stop having intimate dinners for four. Unless there are three other people.,Orson Welles,"Doctor, Me, People"
Adopting a new healthier lifestyle can involve changing diet to include more fresh fruit and vegetables as well as increasing levels of exercise.,Linford Christie,"Fruit, Vegetables, New"
"What's the two things they tell you are healthiest to eat? Chicken and fish. You know what you should do? Combine them, eat a penguin.",Dave Attell,"Fish, Chicken, Know"
No disease that can be treated by diet should be treated with any other means.,Maimonides,"Disease, Should, Means"
I've been on a diet for two weeks and all I've lost is two weeks.,Totie Fields,"Lost, Two, Been"
Don't compare yourself with someone else's version of happy or thin. Accepting yourself burns the most calories.,Caroline Rhea,"Yourself, Happy, Someone"
"There are six components of wellness: proper weight and diet, proper exercise, breaking the smoking habit, control of alcohol, stress management and periodic exams.",Kenneth H. Cooper,"Smoking, Stress, Control"
"I love healthy stuff and junk an equal amount. Whatever I'm craving, I go for it. I'm never trying to lose weight - or gain it. I'm just being.",Kelly Clarkson,"Love, Lose, Craving"
I refuse to spend my life worrying about what I eat. There is no pleasure worth forgoing just for an extra three years in the geriatric ward.,John Mortimer,"Life, My Life, Three"
"A systemic cleansing and detox is definitely the way to go after each holiday. It is the key to fighting high blood pressure, heart disease, cancer, and other health-related illnesses.",Lee Haney,"Heart, Pressure, Fighting"
"The only way to keep your health is to eat what you don't want, drink what you don't like, and do what you'd rather not.",Mark Twain,"Health, Your, Keep"
"I think of dieting, then I eat pizza.",Lara Stone,"Pizza, Eat, Think"
"Diets, like clothes, should be tailored to you.",Joan Rivers,"Clothes, Like, Tailored"
"Calories from protein affect your brain, your appetite control center, so you are more satiated and satisfied.",Mark Hyman,"Brain, Your, Control"
French fries. I love them. Some people are chocolate and sweets people. I love French fries. That and caviar.,Cameron Diaz,"Love, Sweets, People"
"Once you have to start counting calories, it takes away from the joy of eating.",Mireille Guiliano,"Joy, Start, Eating"
I don't go long without eating. I never starve myself: I grab a healthy snack.,Vanessa Hudgens,"Myself, Long, Snack"
Every single diet I ever fell off of was because of potatoes and gravy of some sort.,Dolly Parton,"Potatoes, Off, Because"
I never worry about diets. The only carrots that interest me are the number you get in a diamond.,Mae West,"Me, Worry, Never"
"A boxer's diet should be low in fat and high in proteins and sugar. Therefore you should eat plenty of lean meat, milk, leafy vegetables, and fresh fruit and ice cream for sugar.",Gene Tunney,"Fruit, Fat, Vegetables"
The second day of a diet is always easier than the first. By the second day you're off it.,Jackie Gleason,"Always, Day, First"
"It's never been an issue for me - I don't want to go on a diet, I don't want to eat a Caesar salad with no dressing, why would I do that? I ain't got time for this, just be happy and don't be stupid. If I've got a boyfriend and he loves my body then I'm not worried.",Adele,"Time, Stupid, Body"
"I have been dairy free for several years, and I started because I felt it was going to reduce my allergies, which it did, and help me lose weight, which it did.",Fran Drescher,"Lose, Me, Free"
"People have got to learn: if they don't have cookies in the cookie jar, they can't eat cookies.",Suze Orman,"Cookies, People, Eat"
Nothing burns more calories than dancing in 5-inch heels... try it!,Ariana Grande,"Nothing, Try, Calories"
You feel better when you're eating food that retains nutritional value.,Amber Heard,"Food, Value, Better"
"The heart, like the stomach, wants a varied diet.",Gustave Flaubert,"Heart, Stomach, Like"
"The best way to lose weight is to close your mouth - something very difficult for a politician. Or watch your food - just watch it, don't eat it.",Ed Koch,"Best, Food, Your"
"This is what people don't understand: obesity is a symptom of poverty. It's not a lifestyle choice where people are just eating and not exercising. It's because kids - and this is the problem with school lunch right now - are getting sugar, fat, empty calories - lots of calories - but no nutrition.",Tom Colicchio,"Lunch, Fat, Poverty"
I never diet. I smoke. I drink now and then. I never work out.,Naomi Campbell,"Work, Smoke, Never"
"So, when it comes to eating healthy, it's just doing the right thing. And it's not something you have to do 365 days a year, but I think it's something you have to do 25 days a month. Let's put it that way.",Mike Ditka,"The Right Thing, Doing, Way"
"I am constantly working out-circuit training, jumping rope, and stair-stepping, and sticking to 1200 calories a day. It can't be something that you're doing to lose weight, and then once you do, you're done. I do it every day of my life.",LeAnn Rimes,"Life, Done, Day"
"Such lifestyle factors such as cigarette smoking, excessive alcohol consumption, little physical activity and low dietary calcium intake are risk factors for osteoporosis as well as for many other non-communicable diseases.",Gro Harlem Brundtland,"Smoking, Cigarette, Alcohol"
A friend doesn't go on a diet because you are fat.,Erma Bombeck,"Fat, Go, Friend"
"I am not naturally that thin, so I had to go through everything from using drugs to diet pills to laxatives to fasting. Those were my main ways of controlling my weight.",Carre Otis,"I Am, Fasting, Everything"
