title,author,tags
"Hold fast to dreams, for if dreams die, life is a broken-winged bird that cannot fly.",Langston Hughes,"Life, Bird, Fly"
"We all have dreams. But in order to make dreams come into reality, it takes an awful lot of determination, dedication, self-discipline, and effort.",Jesse Owens,"Determination, Effort, Dedication"
Dream as if you'll live forever. Live as if you'll die today.,James Dean,"Today, Die, Dream"
"All men dream, but not equally. Those who dream by night in the dusty recesses of their minds, wake in the day to find that it was vanity: but the dreamers of the day are dangerous men, for they may act on their dreams with open eyes, to make them possible.",T. E. Lawrence,"Men, Eyes, Day"
"To accomplish great things, we must not only act, but also dream; not only plan, but also believe.",Anatole France,"Great, Believe, Plan"
Ideologies separate us. Dreams and anguish bring us together.,Eugene Ionesco,"Together, Us, Separate"
"Deep into that darkness peering, long I stood there, wondering, fearing, doubting, dreaming dreams no mortal ever dared to dream before.",Edgar Allan Poe,"Long, Darkness, Dream"
"I'm a dreamer. I have to dream and reach for the stars, and if I miss a star then I grab a handful of clouds.",Mike Tyson,"Clouds, Stars, Dream"
"Living in dreams of yesterday, we find ourselves still dreaming of impossible future conquests.",Charles Lindbergh,"Future, Impossible, Yesterday"
The best way to make your dreams come true is to wake up.,Paul Valery,"Best, Your, Your Dreams"
"Dreams can become a reality when we possess a vision that is characterized by the willingness to work hard, a desire for excellence, and a belief in our right and our responsiblity to be equal members of society.",Janet Jackson,"Work, Society, Vision"
"All our dreams can come true, if we have the courage to pursue them.",Walt Disney,"Courage, True, Pursue"
"I dreamed I was a butterfly, flitting around in the sky; then I awoke. Now I wonder: Am I a man who dreamt of being a butterfly, or am I a butterfly dreaming that I am a man?",Zhuangzi,"Sky, Man, Butterfly"
"A dream doesn't become reality through magic; it takes sweat, determination and hard work.",Colin Powell,"Work, Hard Work, Determination"
"The world needs dreamers and the world needs doers. But above all, the world needs dreamers who do.",Sarah Ban Breathnach,"World, Dreamers, Above"
"Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning.",Gloria Steinem,"Imagination, Lose, Planning"
"Who looks outside, dreams; who looks inside, awakes.",Carl Jung,"Outside, Inside, Looks"
"If one advances confidently in the direction of his dreams, and endeavors to live the life which he has imagined, he will meet with a success unexpected in common hours.",Henry David Thoreau,"Life, Success, Unexpected"
