title,author,tags
"No man ever steps in the same river twice, for it's not the same river and he's not the same man.",Heraclitus,"Man, River, Twice"
Life can only be understood backwards; but it must be lived forwards.,Soren Kierkegaard,"Life, Backwards, Only"
We are not human beings having a spiritual experience. We are spiritual beings having a human experience.,Pierre Teilhard de Chardin,"Spiritual, Human, Human Experience"
"Good judgment comes from experience, and experience comes from bad judgment.",Rita Mae Brown,"Good, Bad, Judgment"
Life is the art of drawing without an eraser.,John W. Gardner,"Life, Art, Drawing"
Nothing is a waste of time if you use the experience wisely.,Auguste Rodin,"Time, Nothing, Use"
Be brave. Take risks. Nothing can substitute experience.,Paulo Coelho,"Brave, Risks, Nothing"
"All adventures, especially into new territory, are scary.",Sally Ride,"New, Scary, Territory"
"I made decisions that I regret, and I took them as learning experiences... I'm human, not perfect, like anybody else.",Queen Latifah,"Learning, Regret, Not Perfect"
Experience is simply the name we give our mistakes.,Oscar Wilde,"Name, Mistakes, Simply"
The sky is the limit. You never have the same experience twice.,Frank McCourt,"Sky, Never, Limit"
"Experience without theory is blind, but theory without experience is mere intellectual play.",Immanuel Kant,"Blind, Intellectual, Play"
Do you know the difference between education and experience? Education is when you read the fine print; experience is what you get when you don't.,Pete Seeger,"Education, Know, Difference"
Practice does not make perfect. Only perfect practice makes perfect.,Vince Lombardi,"Practice, Practice Makes Perfect, Make"
One thorn of experience is worth a whole wilderness of warning.,James Russell Lowell,"Wilderness, Worth, Warning"
Experience is a great teacher.,John Legend,"Teacher, Great, Great Teacher"
Adventure is worthwhile.,Aesop,"Adventure, Worthwhile"
We choose our joys and sorrows long before we experience them.,Khalil Gibran,"Long, Choose, Them"
"Everything has been said before, but since nobody listens we have to keep going back and beginning all over again.",Andre Gide,"Keep Going, Beginning, Keep"
Experience is a good school. But the fees are high.,Heinrich Heine,"Good, School, High"
My path has not been determined. I shall have more experiences and pass many more milestones.,Agnetha Faltskog,"Path, Milestones, More"
"Experience: that most brutal of teachers. But you learn, my God do you learn.",William Nicholson,"God, Teachers, Learn"
"Man learns through experience, and the spiritual path is full of different kinds of experiences. He will encounter many difficulties and obstacles, and they are the very experiences he needs to encourage and complete the cleansing process.",Sai Baba,"Path, Man, Obstacles"
It has been my experience that folks who have no vices have very few virtues.,Abraham Lincoln,"Virtues, Who, Vices"
The years teach much which the days never know.,Ralph Waldo Emerson,"Know, Never, Much"
Life is like playing a violin solo in public and learning the instrument as one goes on.,Samuel Butler,"Life, Learning, Violin"
"I have but one lamp by which my feet are guided, and that is the lamp of experience.",Patrick Henry,"Feet, Lamp, Which"
"The soul should always stand ajar, ready to welcome the ecstatic experience.",Emily Dickinson,"Always, Welcome, Soul"
There are many truths of which the full meaning cannot be realized until personal experience has brought it home.,John Stuart Mill,"Home, Meaning, Cannot"
Information's pretty thin stuff unless mixed with experience.,Clarence Day,"Information, Pretty, Thin"
"I learned a long time ago the wisest thing I can do is be on my own side, be an advocate for myself and others like me.",Maya Angelou,"Time, Myself, Long"
"My experiences have taught me a lot and I'm happy with my learnings, if not with what I went through to learn.",Ally Sheedy,"Me, Happy, Through"
