title,author,tags
"Under capitalism, man exploits man. Under communism, it's just the opposite.",John Kenneth Galbraith,"Man, Capitalism, Communism"
Capital is that part of wealth which is devoted to obtaining further wealth.,Alfred Marshall,"Wealth, Devoted, Capital"
"I believe that through knowledge and discipline, financial peace is possible for all of us.",Dave Ramsey,"Knowledge, Peace, Discipline"
"In the absence of the gold standard, there is no way to protect savings from confiscation through inflation. There is no safe store of value.",Alan Greenspan,"Value, Gold, Inflation"
The curious task of economics is to demonstrate to men how little they really know about what they imagine they can design.,Friedrich August von Hayek,"Design, Men, Economics"
"In this world nothing can be said to be certain, except death and taxes.",Benjamin Franklin,"Death, World, Nothing"
The way to become rich is to put all your eggs in one basket and then watch that basket.,Andrew Carnegie,"Your, Rich, Way"
The thing I have discovered about working with personal finance is that the good news is that it is not rocket science. Personal finance is about 80 percent behavior. It is only about 20 percent head knowledge.,Dave Ramsey,"Science, Good, Knowledge"
Beware of little expenses. A small leak will sink a great ship.,Benjamin Franklin,"Great, Will, Ship"
"One of the funny things about the stock market is that every time one person buys, another sells, and both think they are astute.",William Feather,"Funny, Time, Stock Market"
"It is well enough that people of the nation do not understand our banking and monetary system, for if they did, I believe there would be a revolution before tomorrow morning.",Henry Ford,"Morning, Tomorrow, Believe"
I made my money by selling too soon.,Bernard Baruch,"Money, Soon, Selling"
"My mother inspired me to treat others as I would want to be treated regardless of age, race or financial status.",Tommy Hilfiger,"Age, Treat, Me"
The way to make money is to buy when blood is running in the streets.,John D. Rockefeller,"Money, Way, Blood"
"A budget tells us what we can't afford, but it doesn't keep us from buying it.",William Feather,"Keep, Budget, Us"
Inflation is taxation without legislation.,Milton Friedman,"Inflation, Legislation, Without"
A big part of financial freedom is having your heart and mind free from worry about the what-ifs of life.,Suze Orman,"Life, Freedom, Heart"
"Don't gamble; take all your savings and buy some good stock and hold it till it goes up, then sell it. If it don't go up, don't buy it.",Will Rogers,"Good, Your, Go"
All money is a matter of belief.,Adam Smith,"Money, Matter, Belief"
"Gold and silver, like other commodities, have an intrinsic value, which is not arbitrary, but is dependent on their scarcity, the quantity of labour bestowed in procuring them, and the value of the capital employed in the mines which produce them.",David Ricardo,"Value, Gold, Silver"
"Wealth consists not in having great possessions, but in having few wants.",Epictetus,"Great, Wealth, Possessions"
"About the time we can make the ends meet, somebody moves the ends.",Herbert Hoover,"Time, Make, Meet"
Surplus wealth is a sacred trust which its possessor is bound to administer in his lifetime for the good of the community.,Andrew Carnegie,"Good, Trust, Community"
"If all the economists were laid end to end, they'd never reach a conclusion.",George Bernard Shaw,"End, Never, Economists"
The avoidance of taxes is the only intellectual pursuit that still carries any reward.,John Maynard Keynes,"Reward, Intellectual, Only"
"As sure as the spring will follow the winter, prosperity and economic growth will follow recession.",Bo Bennett,"Growth, Spring, Winter"
Stay on top of your finances. Don't leave that up to others.,Leif Garrett,"Your, Others, Stay"
Do you know the only thing that gives me pleasure? It's to see my dividends coming in.,John D. Rockefeller,"Me, Know, Coming"
"You and I come by road or rail, but economists travel on infrastructure.",Margaret Thatcher,"Travel, Road, Infrastructure"
"Financial support is one thing, but I always think what becomes really sacrificial is your time.",Cliff Richard,"Time, Always, Your"
"The longer I go on, the more I am aware of the power of finance.",Justin Welby,"Power, I Am, Go"
"I wasn't a financial pro, and I paid the price.",Ruth Handler,"Price, Financial, Paid"
The price of every thing rises and falls from time to time and place to place; and with every such change the purchasing power of money changes so far as that thing goes.,Alfred Marshall,"Change, Power, Time"
The rate of interest acts as a link between income-value and capital-value.,Irving Fisher,"Interest, Link, Rate"
Infinite growth of material consumption in a finite world is an impossibility.,E. F. Schumacher,"Growth, World, Infinite"
The financial markets generally are unpredictable. So that one has to have different scenarios... The idea that you can actually predict what's going to happen contradicts my way of looking at the market.,George Soros,"Way, Predict, Looking"
"I am favor of cutting taxes under any circumstances and for any excuse, for any reason, whenever it's possible.",Milton Friedman,"I Am, Circumstances, Possible"
Derivatives are financial weapons of mass destruction.,Warren Buffett,"Financial, Destruction, Weapons"
"Being rich is a good thing. Not just in the obvious sense of benefitting you and your family, but in the broader sense. Profits are not a zero sum game. The more you make, the more of a financial impact you can have.",Mark Cuban,"Family, Good, Your"
I'm a big advocate of financial intelligence.,Daymond John,"Intelligence, Financial, Big"
Money is the best rule of commerce.,William Petty,"Best, Money, Commerce"
"When you print money, the money does not flow evenly into the economic system. It stays essentially in the financial service industry and among people that have access to these funds, mostly well-to-do people. It does not go to the worker.",Marc Faber,"Money, Service, People"
"The only way to permanently change the temperature in the room is to reset the thermostat. In the same way, the only way to change your level of financial success 'permanently' is to reset your financial thermostat. But it is your choice whether you choose to change.",T. Harv Eker,"Success, Change, Your"
Money is like manure. You have to spread it around or it smells.,J. Paul Getty,"Money, Spread, Like"
The job of the Central Bank is to worry.,Alice Rivlin,"Worry, Job, Bank"
"Wealth, in even the most improbable cases, manages to convey the aspect of intelligence.",John Kenneth Galbraith,"Intelligence, Wealth, Most"
"Our incomes are like our shoes; if too small, they gall and pinch us; but if too large, they cause us to stumble and to trip.",John Locke,"Shoes, Us, Small"
"I'm involved in the stock market, which is fun and, sometimes, very painful.",Regis Philbin,"Stock Market, Sometimes, Fun"
Here's my gift-giving rule: Respect your current financial situation.,Suze Orman,"Respect, Your, Situation"
Your net worth to the world is usually determined by what remains after your bad habits are subtracted from your good ones.,Benjamin Franklin,"Good, Your, World"
