title,author,tags
A person often meets his destiny on the road he took to avoid it.,Jean de La Fontaine,"Destiny, Road, Person"
The secret of your future is hidden in your daily routine.,Mike Murdock,"Daily, Your, Hidden"
"I don't know what the future may hold, but I know who holds the future.",Ralph Abernathy,"Know, May, Who"
Let us put our minds together and see what life we can make for our children.,Sitting Bull,"Life, Together, Children"
"Destiny is no matter of chance. It is a matter of choice. It is not a thing to be waited for, it is a thing to be achieved.",William Jennings Bryan,"Chance, Destiny, Matter"
Control your own destiny or someone else will.,Jack Welch,"Your, Destiny, Control"
"Prediction is very difficult, especially if it's about the future.",Niels Bohr,"Difficult, Prediction, About"
"I am tomorrow, or some future day, what I establish today. I am today what I established yesterday or some previous day.",James Joyce,"Today, Tomorrow, Day"
The future rewards those who press on. I don't have time to feel sorry for myself. I don't have time to complain. I'm going to press on.,Barack Obama,"Time, Myself, Feel"
"The reason people find it so hard to be happy is that they always see the past better than it was, the present worse than it is, and the future less resolved than it will be.",Marcel Pagnol,"Always, Past, Better"
"The factory of the future will have only two employees, a man and a dog. The man will be there to feed the dog. The dog will be there to keep the man from touching the equipment.",Warren Bennis,"Man, Will, Keep"
"You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something - your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.",Steve Jobs,"Life, Trust, Your"
There is always one moment in childhood when the door opens and lets the future in.,Graham Greene,"Always, Moment, Childhood"
It is not in the stars to hold our destiny but in ourselves.,William Shakespeare,"Stars, Destiny, Hold"
The future is always beginning now.,Mark Strand,"Always, Beginning, Now"
Map out your future - but do it in pencil. The road ahead is as long as you make it. Make it worth the trip.,Jon Bon Jovi,"Your, Long, Road"
You cannot escape the responsibility of tomorrow by evading it today.,Abraham Lincoln,"Today, Tomorrow, Responsibility"
Yesterday is a cancelled check. Today is cash on the line. Tomorrow is a promissory note.,Hank Stram,"Today, Tomorrow, Yesterday"
The youth is the hope of our future.,Jose Rizal,"Hope, Youth, Our"
"The only difference between the saint and the sinner is that every saint has a past, and every sinner has a future.",Oscar Wilde,"Past, Difference, Sinner"
Who controls the past controls the future. Who controls the present controls the past.,George Orwell,"Past, Present, Who"
"I'm not sure what the future holds but I do know that I'm going to be positive and not wake up feeling desperate. As my dad said 'Nic, it is what it is, it's not what it should have been, not what it could have been, it is what it is.'",Nicole Kidman,"Positive, Dad, Know"
"Let the future tell the truth, and evaluate each one according to his work and accomplishments. The present is theirs; the future, for which I have really worked, is mine.",Nikola Tesla,"Work, Truth, Present"
"I have realized that the past and future are real illusions, that they exist in the present, which is what there is and all there is.",Alan Watts,"Past, Real, Present"
"The best years of your life are the ones in which you decide your problems are your own. You do not blame them on your mother, the ecology, or the president. You realize that you control your own destiny.",Albert Ellis,"Life, Best, Your"
"The future starts today, not tomorrow.",Pope John Paul II,"Today, Tomorrow, Starts"
You can never plan the future by the past.,Edmund Burke,"Past, Plan, Never"
"Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.",Marcus Aurelius,"Today, Will, Never"
"Fear not for the future, weep not for the past.",Percy Bysshe Shelley,"Fear, Past, Weep"
What we need to do is always lean into the future; when the world changes around you and when it changes against you - what used to be a tail wind is now a head wind - you have to lean into that and figure out what to do because complaining isn't a strategy.,Jeff Bezos,"Always, World, Wind"
"Even though the future seems far away, it is actually beginning right now.",Mattie Stepanek,"Beginning, Far Away, Right"
"Every man has his own destiny: the only imperative is to follow it, to accept it, no matter where it leads him.",Henry Miller,"Man, Destiny, Matter"
The future influences the present just as much as the past.,Friedrich Nietzsche,"Past, Present, Much"
The future ain't what it used to be.,Yogi Berra,Used
I don't try to describe the future. I try to prevent it.,Ray Bradbury,"Try, Describe, Prevent"
"Never make predictions, especially about the future.",Casey Stengel,"Never, Make, Predictions"
"Life is divided into three terms - that which was, which is, and which will be. Let us learn from the past to profit by the present, and from the present, to live better in the future.",William Wordsworth,"Life, Past, Better"
Do your duty and a little more and the future will take care of itself.,Andrew Carnegie,"Your, Duty, Care"
The one thing we know about the future is that it comes only one day at a time.,Jeff Rich,"Time, Day, One Day At A Time"
There is never time in the future in which we will work out our salvation. The challenge is in the moment; the time is always now.,James Baldwin,"Work, Time, Always"
"Cease to inquire what the future has in store, and take as a gift whatever the day brings forth.",Horace,"Day, Gift, Whatever"
Stop acting as if life is a rehearsal. Live this day as if it were your last. The past is over and gone. The future is not guaranteed.,Wayne Dyer,"Life, Your, Day"
"Our human compassion binds us the one to the other - not in pity or patronizingly, but as human beings who have learnt how to turn our common suffering into hope for the future.",Nelson Mandela,"Hope, Suffering, Compassion"
Destiny has two ways of crushing us - by refusing our wishes and by fulfilling them.,Henri Frederic Amiel,"Destiny, Us, Two"
I know of no way of judging the future but by the past.,Patrick Henry,"Past, Way, Know"
"The past, the present and the future are really one: they are today.",Harriet Beecher Stowe,"Today, Past, Present"
Real generosity toward the future lies in giving all to the present.,Albert Camus,"Real, Generosity, Present"
There is nothing like a dream to create the future.,Victor Hugo,"Nothing, Create, Dream"
"The most glorious moments in your life are not the so-called days of success, but rather those days when out of dejection and despair you feel rise in you a challenge to life, and the promise of future accomplishments.",Gustave Flaubert,"Life, Success, Your"
"Choose your friends with caution; plan your future with purpose, and frame your life with faith.",Thomas S. Monson,"Life, Faith, Your"
My interest is in the future because I am going to spend the rest of my life there.,Charles Kettering,"Life, Rest, I Am"
"If you do not think about your future, you cannot have one.",John Galsworthy,"Your, Cannot, Think"
Neither a wise man nor a brave man lies down on the tracks of history to wait for the train of the future to run over him.,Dwight D. Eisenhower,"History, Wise, Brave"
"When the past no longer illuminates the future, the spirit walks in darkness.",Alexis de Tocqueville,"Past, Darkness, Spirit"
"If we open a quarrel between past and present, we shall find that we have lost the future.",Winston Churchill,"Past, Lost, Find"
"The wise man must remember that while he is a descendant of the past, he is a parent of the future.",Herbert Spencer,"Wise, Man, Wise Man"
"Let others lead small lives, but not you. Let others argue over small things, but not you. Let others cry over small hurts, but not you. Let others leave their future in someone else's hands, but not you.",Jim Rohn,"Small Things, Hands, Cry"
"Look not mournfully into the past, it comes not back again. Wisely improve the present, it is thine. Go forth to meet the shadowy future without fear and with a manly heart.",Henry Wadsworth Longfellow,"Fear, Heart, Past"
"When I look into the future, it's so bright it burns my eyes.",Oprah Winfrey,"Eyes, Look, Bright"
I look to the future because that's where I'm going to spend the rest of my life.,George Burns,"Life, Rest, Look"
"God wants us to prosper financially, to have plenty of money, to fulfill the destiny He has laid out for us.",Joel Osteen,"God, Money, Destiny"
The future has a way of arriving unannounced.,George Will,"Way, Arriving"
The future is no more uncertain than the present.,Walt Whitman,"Present, More, Than"
"For all of its uncertainty, we cannot flee the future.",Barbara Jordan,"Uncertainty, Cannot, Flee"
"We must respect the past, and mistrust the present, if we wish to provide for the safety of the future.",Joseph Joubert,"Respect, Past, Wish"
"If future generations are to remember us more with gratitude than sorrow, we must achieve more than just the miracles of technology. We must also leave them a glimpse of the world as it was created, not just as it looked when we got through with it.",Lyndon B. Johnson,"Technology, World, Gratitude"
"The distinction between the past, present and future is only a stubbornly persistent illusion.",Albert Einstein,"Past, Illusion, Present"
For time and the world do not stand still. Change is the law of life. And those who look only to the past or the present are certain to miss the future.,John F. Kennedy,"Life, Change, Time"
"America's future will be determined by the home and the school. The child becomes largely what he is taught; hence we must watch what we teach, and how we live.",Jane Addams,"Home, Will, America"
Every man gotta right to decide his own destiny.,Bob Marley,"Man, Destiny, Own"
"It is always wise to look ahead, but difficult to look further than you can see.",Winston Churchill,"Always, Wise, Look"
In this bright future you can't forget your past.,Bob Marley,"Your, Past, Bright Future"
"We must welcome the future, remembering that soon it will be the past; and we must respect the past, remembering that it was once all that was humanly possible.",George Santayana,"Respect, Welcome, Past"
