title,author,tags
The only thing necessary for the triumph of evil is for good men to do nothing.,Edmund Burke,"Men, Nothing, Evil"
"Goodness is about character - integrity, honesty, kindness, generosity, moral courage, and the like. More than anything else, it is about how we treat other people.",Dennis Prager,"Courage, Kindness, Character"
Have a very good reason for everything you do.,Laurence Olivier,"Reason, Everything, Good Reason"
"If you don't think every day is a good day, just try missing one.",Cavett Robert,"Good Day, Day, Try"
What the people want is very simple - they want an America as good as its promise.,Barbara Jordan,"Simple, America, People"
No one can be good for long if goodness is not in demand.,Bertolt Brecht,"Long, Goodness, Demand"
The true measure of a man is how he treats someone who can do him absolutely no good.,Samuel Johnson,"Man, Measure Of A Man, True"
"Good judgment comes from experience, and a lot of that comes from bad judgment.",Will Rogers,"Experience, Bad, Judgment"
"If you can't make it good, at least make it look good.",Bill Gates,"Look, Make, Least"
"It takes many good deeds to build a good reputation, and only one bad one to lose it.",Benjamin Franklin,"Lose, Reputation, Bad"
"When I'm good, I'm very good. But when I'm bad I'm better.",Mae West,"Better, Bad, Very"
I'd rather be lucky than good.,Lefty Gomez,"Lucky, Rather, Than"
There is nothing either good or bad but thinking makes it so.,William Shakespeare,"Thinking, Nothing, Bad"
"To be a good citizen, it's important to be able to put yourself in other people's shoes and see the big picture. If everything you see is rooted in your own identity, that becomes difficult or impossible.",Eli Pariser,"Impossible, Your, Yourself"
Every man is guilty of all the good he did not do.,Voltaire,"Man, Guilty, Every Man"
Don't be afraid to give up the good to go for the great.,John D. Rockefeller,"Great, Go, Afraid"
Good things do not come easy. The road is lined with pitfalls.,Desi Arnaz,"Road, Easy, Good Things"
"Be sweet, be good, and honest always.",Emma Bunton,"Always, Sweet, Honest"
"Good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws.",Plato,"Bad People, Good People, Will"
"A good character is the best tombstone. Those who loved you and were helped by you will remember you when forget-me-nots have withered. Carve your name on hearts, not on marble.",Charles Spurgeon,"Best, Character, Your"
A good scare is worth more to a man than good advice.,E. W. Howe,"Man, Advice, Good Advice"
It's good to shut up sometimes.,Marcel Marceau,"Sometimes, Shut Up, Up"
"I object to violence because when it appears to do good, the good is only temporary; the evil it does is permanent.",Mahatma Gandhi,"Evil, Violence, Permanent"
The roots of all goodness lie in the soil of appreciation for goodness.,Dalai Lama,"Appreciation, Lie, Roots"
A true friend is someone who thinks that you are a good egg even though he knows that you are slightly cracked.,Bernard Meltzer,"True Friend, True, Egg"
It is better to be beautiful than to be good. But... it is better to be good than to be ugly.,Oscar Wilde,"Beautiful, Better, Ugly"
"Despite everything, I believe that people are really good at heart.",Anne Frank,"Heart, Believe, People"
Be not simply good - be good for something.,Henry David Thoreau,"Something, Simply"
"Whatever you are, be a good one.",William Makepeace Thackeray,"Whatever, You"
The good and the wise lead quiet lives.,Euripides,"Wise, Quiet, Lead"
"A man is called selfish not for pursuing his own good, but for neglecting his neighbor's.",Richard Whately,"Man, Selfish, Own"
"Learn to... be what you are, and learn to resign with a good grace all that you are not.",Henri Frederic Amiel,"Grace, Learn, Resign"
The good old days are now.,Tom Clancy,"Good Old Days, Old, Old Days"
The fragrance of flowers spreads only in the direction of the wind. But the goodness of a person spreads in all directions.,Chanakya,"Wind, Fragrance, Direction"
"A man has to live with himself, and he should see to it that he always has good company.",Charles Evans Hughes,"Always, Man, Good Company"
Goodness is the only investment that never fails.,Henry David Thoreau,"Never, Investment, Goodness"
"If people are good only because they fear punishment, and hope for reward, then we are a sorry lot indeed.",Albert Einstein,"Hope, Fear, Reward"
Less is only more where more is no good.,Frank Lloyd Wright,"Only, More, Where"
"Not only must we be good, but we must also be good for something.",Henry David Thoreau,"Something, Only, Must"
"There are three ingredients in the good life: learning, earning and yearning.",Christopher Morley,"Life, Learning, Three"
The only thing to do with good advice is to pass it on. It is never of any use to oneself.,Oscar Wilde,"Advice, Never, Good Advice"
"That which is striking and beautiful is not always good, but that which is good is always beautiful.",Ninon de L'Enclos,"Beautiful, Always, Which"
"Associate yourself with people of good quality, for it is better to be alone than in bad company.",Booker T. Washington,"Alone, Yourself, Better"
Life comes from physical survival; but the good life comes from what we care about.,Rollo May,"Life, Survival, Care"
The ultimate tragedy is not the oppression and cruelty by the bad people but the silence over that by the good people.,"Martin Luther King, Jr.","Silence, Bad People, Good People"
I can live for two months on a good compliment.,Mark Twain,"Live, I Can, Compliment"
Good enough never is.,Debbi Fields,"Enough, Never"
"But I say to you, Love your enemies and pray for those who persecute you, so that you may be sons of your Father who is in heaven; for he makes his sun rise on the evil and on the good, and sends rain on the just and on the unjust.",Jesus Christ,"Love, Rain, Your"
Few things are harder to put up with than the annoyance of a good example.,Mark Twain,"Things, Good Example, Example"
He who stops being better stops being good.,Oliver Cromwell,"Better, Who, Being"
Better is the enemy of good.,Voltaire,"Better, Enemy"
In every age 'the good old days' were a myth. No one ever thought they were good at the time. For every age has consisted of crises that seemed intolerable to the people who lived through them.,Brooks Atkinson,"Time, Age, Good Old Days"
The chief enemy of creativity is 'good' sense.,Pablo Picasso,"Creativity, Enemy, Sense"
"A good listener is not only popular everywhere, but after a while, he knows something.",Wilson Mizner,"Something, Only, He"
Honest disagreement is often a good sign of progress.,Mahatma Gandhi,"Progress, Disagreement, Sign"
Laughter is the sensation of feeling good all over and showing it principally in one place.,Josh Billings,"Laughter, Feeling, Place"
Fun is good.,Dr. Seuss,Fun
"I'm convinced of this: Good done anywhere is good done everywhere. For a change, start by speaking to people rather than walking by them like they're stones that don't matter. As long as you're breathing, it's never too late to do some good.",Maya Angelou,"Change, Done, Long"
Good advice is something a man gives when he is too old to set a bad example.,Francois de La Rochefoucauld,"Man, Advice, Bad"
A good beginning makes a good end.,Louis L'Amour,"Beginning, End, Makes"
All good things which exist are the fruits of originality.,John Stuart Mill,"Good Things, Things, Exist"
"The good times of today, are the sad thoughts of tomorrow.",Bob Marley,"Sad, Today, Tomorrow"
"It is very important to generate a good attitude, a good heart, as much as possible. From this, happiness in both the short term and the long term for both yourself and others will come.",Dalai Lama,"Attitude, Happiness, Heart"
"Treat those who are good with goodness, and also treat those who are not good with goodness. Thus goodness is attained. Be honest to those who are honest, and be also honest to those who are not honest. Thus honesty is attained.",Lao Tzu,"Honesty, Treat, Goodness"
Either positive or negative comments are good because it shows I am still relevant.,Justin Guarini,"Positive, I Am, Negative"
Goodness is something that makes us serene and content; it is magnificent. Those who are not good are evil.,Bhumibol Adulyadej,"Evil, Goodness, Us"
All human beings are commingled out of good and evil.,Robert Louis Stevenson,"Good And Evil, Evil, Human"
A man who is good enough to shed his blood for the country is good enough to be given a square deal afterwards.,Theodore Roosevelt,"Man, Country, Enough"
Please give me some good advice in your next letter. I promise not to follow it.,Edna St. Vincent Millay,"Your, Me, Advice"
They're only truly great who are truly good.,George Chapman,"Great, Only, Who"
I have made good judgments in the past. I have made good judgments in the future.,Dan Quayle,"Future, Past, Made"
"The crest and crowning of all good, Life's final star, is brotherhood.",Edwin Markham,"Life, Brotherhood, Final"
"On the whole, human beings want to be good, but not too good, and not quite all the time.",George Orwell,"Time, Human, Want"
The omission of good is no less reprehensible than the commission of evil.,Plutarch,"Evil, Less, Than"
"What is beautiful is good, and who is good will soon be beautiful.",Vita Sackville-West,"Beautiful, Will, Who"
I know that every good and excellent thing in the world stands moment by moment on the razor-edge of danger and must be fought for.,Thornton Wilder,"Moment, World, Know"
It takes a great man to be a good listener.,Calvin Coolidge,"Great, Man, Great Man"
Confidence in the goodness of another is good proof of one's own goodness.,Michel de Montaigne,"Confidence, Own, Goodness"
It is not good to be too free. It is not good to have everything one wants.,Blaise Pascal,"Free, Everything, Too"
Nobody minds having what is too good for them.,Jane Austen,"Nobody, Them, Too"
"No man deserves to be praised for his goodness, who has it not in his power to be wicked. Goodness without that power is generally nothing more than sloth, or an impotence of will.",Francois de La Rochefoucauld,"Power, Man, Nothing"
"They didn't want it good, they wanted it Wednesday.",Robert A. Heinlein,"Want, Wanted, Wednesday"
"Old things are always in good repute, present things in disfavor.",Tacitus,"Always, Old, Present"
"Good thoughts bear good fruit, bad thoughts bear bad fruit.",James Allen,"Fruit, Thoughts, Bad"
Doing well is the result of doing good. That's what capitalism is all about.,Ralph Waldo Emerson,"Capitalism, Result, Doing"
"Writing is good, thinking is better. Cleverness is good, patience is better.",Hermann Hesse,"Patience, Thinking, Better"
