title,author,tags
"Have nothing in your house that you do not know to be useful, or believe to be beautiful.",William Morris,"Beautiful, Your, Believe"
Owning a home is a keystone of wealth - both financial affluence and emotional security.,Suze Orman,"Wealth, Security, Financial"
There is nothing like staying at home for real comfort.,Jane Austen,"Comfort, Nothing, Real"
"Where we love is home - home that our feet may leave, but not our hearts.","Oliver Wendell Holmes, Sr.","Love, Love Is, Feet"
My home is in Heaven. I'm just traveling through this world.,Billy Graham,"World, Heaven, Through"
"Home is the place where, when you have to go there, they have to take you in.",Robert Frost,"Place, Go, Where"
Home is any four walls that enclose the right person.,Helen Rowland,"Right Person, Person, Right"
A man's house is his castle.,James Otis,"Man, Castle, House"
Home is where the heart is.,Pliny the Elder,"Heart, Where"
"There is nothing more important than a good, safe, secure home.",Rosalynn Carter,"Good, Nothing, Important"
Home is the nicest word there is.,Laura Ingalls Wilder,"Nicest, Word"
"Charity begins at home, but should not end there.",Thomas Fuller,"End, Charity, Should"
"The ache for home lives in all of us, the safe place where we can go as we are and not be questioned.",Maya Angelou,"Safe, Place, Go"
"A girl phoned me the other day and said... 'Come on over, there's nobody home.' I went over. Nobody was home.",Rodney Dangerfield,"Day, Me, Nobody"
Nothing can bring a real sense of security into the home except true love.,Billy Graham,"Love, True Love, Nothing"
"If you go anywhere, even paradise, you will miss your home.",Malala Yousafzai,"Your, Will, Paradise"
"He is happiest, be he king or peasant, who finds peace in his home.",Johann Wolfgang von Goethe,"Peace, King, Peasant"
And when the day arrives I'll become the sky and I'll become the sea and the sea will come to kiss me for I am going home. Nothing can stop me now.,Trent Reznor,"Sky, Day, Sea"
A heart makes a good home for the friend.,Yunus Emre,"Good, Heart, Friend"
"If you reject the food, ignore the customs, fear the religion and avoid the people, you might better stay at home.",James A. Michener,"Food, Religion, Fear"
There are only two things we should fight for. One is the defense of our homes and the other is the Bill of Rights.,Smedley Butler,"Fight, Rights, Things"
"There is something permanent, and something extremely profound, in owning a home.",Kenny Guinn,"Permanent, Something, Profound"
A home without books is a body without soul.,Marcus Tullius Cicero,"Soul, Body, Without"
Any old place I can hang my hat is home sweet home to me.,William Jerome,"Sweet, Hat, Me"
"If I were asked to name the chief benefit of the house, I should say: the house shelters day-dreaming, the house protects the dreamer, the house allows one to dream in peace.",Gaston Bachelard,"Peace, Name, Dream"
Home wasn't built in a day.,Jane Sherwood Ace,"Day, Built"
"Home is, I suppose just a child's idea. A house at night, and a lamp in the house. A place to feel safe.",V. S. Naipaul,"Night, Feel, Safe"
"Home is one's birthplace, ratified by memory.",Henry Grunwald,"Memory, Birthplace"
A man's home is his wife's castle.,Alexander Chase,"Man, Wife, Castle"
"To be happy at home is the ultimate result of all ambition, the end to which every enterprise and labor tends, and of which every desire prompts the prosecution.",Samuel Johnson,"Ambition, Result, End"
The home is the chief school of human virtues.,William Ellery Channing,"Virtues, School, Human"
"A house that does not have one warm, comfy chair in it is soulless.",May Sarton,"Chair, Warm, House"
"The human brain now holds the key to our future. We have to recall the image of the planet from outer space: a single entity in which air, water, and continents are interconnected. That is our home.",David Suzuki,"Future, Space, Brain"
"Never make your home in a place. Make a home for yourself inside your own head. You'll find what you need to furnish it - memory, friends you can trust, love of learning, and other such things. That way it will go with you wherever you journey.",Tad Williams,"Love, Trust, Learning"
"I feel like I've never had a home, you know? I feel related to the country, to this country, and yet I don't know exactly where I fit in... There's always this kind of nostalgia for a place, a place where you can reckon with yourself.",Sam Shepard,"Always, Yourself, Country"
Home is where one starts from.,T. S. Eliot,"Where, Starts"
One of the oldest human needs is having someone to wonder where you are when you don't come home at night.,Margaret Mead,"Night, Someone, Wonder"
"Seek home for rest, for home is best.",Thomas Tusser,"Best, Rest, Seek"
"When everyone goes home, you're stuck with yourself.",Layne Staley,"Yourself, Everyone, Stuck"
"Charity begins at home, and justice begins next door.",Charles Dickens,"Justice, Door, Charity"
"I told my mother-in-law that my house was her house, and she said, 'Get the hell off my property.'",Joan Rivers,"Hell, Mother-In-Law, House"
"I long, as does every human being, to be at home wherever I find myself.",Maya Angelou,"Myself, Long, Find"
Home is where you feel at home and are treated well.,Dalai Lama,"Feel, Well, Where"
"God is at home, it's we who have gone out for a walk.",Meister Eckhart,"God, Walk, Who"
"Of all the home remedies, a good wife is best.",Kin Hubbard,"Best, Good, Wife"
"When you finally go back to your old home, you find it wasn't the old home you missed but your childhood.",Sam Ewing,"Your, Childhood, Find"
There's no place like home. And I do miss my home.,Malala Yousafzai,"Place, Like, Miss"
"One never reaches home, but wherever friendly paths intersect the whole world looks like home for a time.",Hermann Hesse,"Time, World, Never"
The strength of a nation derives from the integrity of the home.,Confucius,"Strength, Integrity, Nation"
Home is the place we love best and grumble the most.,Billy Sunday,"Love, Best, Place"
"The home to everyone is to him his castle and fortress, as well for his defence against injury and violence, as for his repose.",Edward Coke,"Violence, Castle, Everyone"
I grew up in a household where everybody lived at the top of his lungs.,Frank Langella,"Lungs, Where, Up"
