title,author,tags
"I am prepared for the worst, but hope for the best.",Benjamin Disraeli,"Best, I Am, Worst"
Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for.,Epicurus,"Remember, Things, Spoil"
Hope is the thing with feathers that perches in the soul - and sings the tunes without the words - and never stops at all.,Emily Dickinson,"Soul, Words, Feathers"
"Hope is not the conviction that something will turn out well but the certainty that something makes sense, regardless of how it turns out.",Vaclav Havel,"Will, Turn, Well"
To live without Hope is to Cease to live.,Fyodor Dostoevsky,"Live, Without, Cease"
You may not always have a comfortable life and you will not always be able to solve all of the world's problems at once but don't ever underestimate the importance you can have because history has shown us that courage can be contagious and hope can take on a life of its own.,Michelle Obama,"Life, Courage, History"
All human wisdom is summed up in two words; wait and hope.,Alexandre Dumas,"Wisdom, Wait, Words"
"All kids need is a little help, a little hope and somebody who believes in them.",Magic Johnson,"Help, Need, Who"
"We have always held to the hope, the belief, the conviction that there is a better life, a better world, beyond the horizon.",Franklin D. Roosevelt,"Life, Always, World"
"Just as despair can come to one only from other human beings, hope, too, can be given to one only by other human beings.",Elie Wiesel,"Despair, Human, Only"
"Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning.",Albert Einstein,"Today, Tomorrow, Yesterday"
"Three grand essentials to happiness in this life are something to do, something to love, and something to hope for.",Joseph Addison,"Life, Love, Happiness"
"The work goes on, the cause endures, the hope still lives and the dreams shall never die.",Edward Kennedy,"Work, Dreams, Die"
Hope in reality is the worst of all evils because it prolongs the torments of man.,Friedrich Nietzsche,"Man, Reality, Worst"
Hope is the pillar that holds up the world. Hope is the dream of a waking man.,Pliny the Elder,"Man, World, Dream"
God grant me the courage not to give up what I think is right even though I think it is hopeless.,Chester W. Nimitz,"Courage, God, Me"
"Hope springs eternal in the human breast: Man never is, but always to be blest.",Alexander Pope,"Always, Man, Never"
"There is no medicine like hope, no incentive so great, and no tonic so powerful as expectation of something better tomorrow.",Orison Swett Marden,"Great, Tomorrow, Better"
Anyone who doesn't believe in miracles is not a realist.,David Ben-Gurion,"Believe, Miracles, Realist"
"Hope is like the sun, which, as we journey toward it, casts the shadow of our burden behind us.",Samuel Smiles,"Journey, Shadow, Sun"
"Even if the hopes you started out with are dashed, hope has to be maintained.",Seamus Heaney,"Hopes, Even, Out"
Hope will never be silent.,Harvey Milk,"Will, Never, Silent"
Every day begins with an act of courage and hope: getting out of bed.,Mason Cooley,"Courage, Day, Every Day"
"Be prepared, work hard, and hope for a little luck. Recognize that the harder you work and the better prepared you are, the more luck you might have.",Ed Bradley,"Work, Luck, Better"
Hope is being able to see that there is light despite all of the darkness.,Desmond Tutu,"Light, Darkness, See"
"God's mercy and grace give me hope - for myself, and for our world.",Billy Graham,"God, Myself, Grace"
Hope is the only bee that makes honey without flowers.,Robert Green Ingersoll,"Honey, Bee, Flowers"
"At the end of the day, we must go forward with hope and not backward by fear and division.",Jesse Jackson,"Fear, Day, End Of The Day"
"The human heart has hidden treasures, In secret kept, in silence sealed; The thoughts, the hopes, the dreams, the pleasures, Whose charms were broken if revealed.",Charlotte Bronte,"Dreams, Heart, Thoughts"
"Hope is important because it can make the present moment less difficult to bear. If we believe that tomorrow will be better, we can bear a hardship today.",Thich Nhat Hanh,"Today, Tomorrow, Moment"
"Hope is definitely not the same thing as optimism. It is not the conviction that something will turn out well, but the certainty that something makes sense, regardless of how it turns out.",Vaclav Havel,"Optimism, Will, Turn"
Hope is the last thing a person does before they are defeated.,Henry Rollins,"Person, Defeated, Last"
"We must accept finite disappointment, but never lose infinite hope.","Martin Luther King, Jr.","Lose, Disappointment, Accept"
"Let your hopes, not your hurts, shape your future.",Robert H. Schuller,"Future, Your, Shape"
Hope is patience with the lamp lit.,Tertullian,"Patience, Lamp, Lit"
"Hope lies in dreams, in imagination, and in the courage of those who dare to make dreams into reality.",Jonas Salk,"Dreams, Courage, Imagination"
"When you say a situation or a person is hopeless, you are slamming the door in the face of God.",Charles L. Allen,"God, Face, Situation"
My hope still is to leave the world a bit better than when I got here.,Jim Henson,"World, Better, Leave"
Everything that is done in the world is done by hope.,Martin Luther,"Done, World, Everything"
"The theological virtue of hope is the patient and trustful willingness to live without closure, without resolution, and still be content and even happy because our Satisfaction is now at another level, and our Source is beyond ourselves.",Richard Rohr,"Satisfaction, Happy, Live"
"Hope is a good breakfast, but it is a bad supper.",Francis Bacon,"Good, Breakfast, Bad"
He that lives upon hope will die fasting.,Benjamin Franklin,"Die, Will, Fasting"
But Hopes are Shy Birds flying at a great distance seldom reached by the best of Guns.,John James Audubon,"Best, Great, Guns"
"I find hope in the darkest of days, and focus in the brightest. I do not judge the universe.",Dalai Lama,"Focus, Universe, Find"
One lives in the hope of becoming a memory.,Antonio Porchia,"Memory, Becoming, Lives"
"A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success.",Elbert Hubbard,"Success, Failure, Effort"
"If it were not for hopes, the heart would break.",Thomas Fuller,"Heart, Hopes, Break"
"Hope is a state of mind, not of the world. Hope, in this deep and powerful sense, is not the same as joy that things are going well, or willingness to invest in enterprises that are obviously heading for success, but rather an ability to work for something because it is good.",Vaclav Havel,"Success, Work, Good"
"In the end, that's what this election is about. Do we participate in a politics of cynicism or a politics of hope?",Barack Obama,"Politics, Election, End"
We must free ourselves of the hope that the sea will ever rest. We must learn to sail in high winds.,Aristotle Onassis,"Sea, Rest, Free"
Hope is a waking dream.,Aristotle,"Dream, Waking"
My great hope is to laugh as much as I cry; to get my work done and try to love somebody and have the courage to accept the love in return.,Maya Angelou,"Love, Work, Courage"
The capacity for hope is the most significant fact of life. It provides human beings with a sense of destination and the energy to get started.,Norman Cousins,"Life, Destination, Energy"
"What gives me the most hope every day is God's grace; knowing that his grace is going to give me the strength for whatever I face, knowing that nothing is a surprise to God.",Rick Warren,"God, Strength, Day"
Beware how you take away hope from another human being.,"Oliver Wendell Holmes, Jr.","Human, Human Being, Beware"
We must rediscover the distinction between hope and expectation.,Ivan Illich,"Expectation, Must, Rediscover"
Tomorrow hopes we have learned something from yesterday.,John Wayne,"Tomorrow, Yesterday, Something"
Hope is the only universal liar who never loses his reputation for veracity.,Robert Green Ingersoll,"Liar, Reputation, Never"
"You all know that I have been sustained throughout my life by three saving graces - my family, my friends, and a faith in the power of resilience and hope. These graces have carried me through difficult times and they have brought more joy to the good times than I ever could have imagined.",Elizabeth Edwards,"Life, Faith, Family"
We really feel happier when things look bleak. Hope is endurance. Hope is holding on and going on and trusting in the Lord.,Michael Novak,"Look, Endurance, Feel"
Hope is like peace. It is not a gift from God. It is a gift only we can give one another.,Elie Wiesel,"God, Peace, Gift"
Never deprive someone of hope; it might be all they have.,"H. Jackson Brown, Jr.","Never, Someone, Might"
"I said to my soul, be still, and wait without hope, For hope would be hope for the wrong thing.",T. S. Eliot,"Soul, Wait, My Soul"
"At the end of the day, all you can hope for is to go on. The older I get, the more I realize that just keeping on keeping on is what life's all about.",Janis Ian,"Life, Day, End Of The Day"
Hope is a risk that must be run.,Georges Bernanos,"Risk, Must, Run"
Extreme hopes are born from extreme misery.,Bertrand Russell,"Born, Misery, Hopes"
Isn't it the moment of most profound doubt that gives birth to new certainties? Perhaps hopelessness is the very soil that nourishes human hope; perhaps one could never find sense in life without first experiencing its absurdity.,Vaclav Havel,"Life, Moment, New"
Hopeful thinking can get you out of your fear zone and into your appreciation zone.,Martha Beck,"Fear, Your, Appreciation"
"With optimism, you look upon the sunny side of things. People say, 'Studs, you're an optimist.' I never said I was an optimist. I have hope because what's the alternative to hope? Despair? If you have despair, you might as well put your head in the oven.",Studs Terkel,"Your, Optimism, Look"
The sudden disappointment of a hope leaves a scar which the ultimate fulfillment of that hope never entirely removes.,Thomas Hardy,"Disappointment, Never, Fulfillment"
"When I was young, my ambition was to be one of the people who made a difference in this world. My hope is to leave the world a little better for having been there.",Jim Henson,"World, Better, Ambition"
Hope is independent of the apparatus of logic.,Norman Cousins,"Logic, Independent, Apparatus"
Hope is the word which God has written on the brow of every man.,Victor Hugo,"God, Man, Every Man"
Hope is tomorrow's veneer over today's disappointment.,Evan Esar,"Today, Tomorrow, Disappointment"
Uncertainty is the refuge of hope.,Henri Frederic Amiel,"Uncertainty, Refuge"
"It's time to get real, folks. Hope and change ain't working. Hope and change is not a solution. Hope and change is not a job.",Herman Cain,"Change, Time, Solution"
Youth is easily deceived because it is quick to hope.,Aristotle,"Youth, Deceived, Quick"
"There can be hope only for a society which acts as one big family, not as many separate ones.",Anwar Sadat,"Family, Society, Big"
Chance has never yet satisfied the hope of a suffering people.,Marcus Garvey,"Chance, Suffering, People"
"Hope is such a bait, it covers any hook.",Oliver Goldsmith,"Hook, Bait, Covers"
You believe that easily which you hope for earnestly.,Terence,"Believe, Which, Earnestly"
"There is hope in dreams, imagination, and in the courage of those who wish to make those dreams a reality.",Jonas Salk,"Dreams, Courage, Imagination"
It's a good place when all you have is hope and not expectations.,Danny Boyle,"Good, Expectations, Place"
Courage is like love; it must have hope for nourishment.,Napoleon Bonaparte,"Love, Courage, Must"
"I place no hope in my strength, nor in my works: but all my confidence is in God my protector, who never abandons those who have put all their hope and thought in him.",Francois Rabelais,"God, Strength, Confidence"
"I wish I could know everything ever, like that would be my wish - that's what I hope heaven is, that they tell you who shot JFK and all that stuff.",Louis C. K.,"Know, Heaven, Wish"
Little progress can be made by merely attempting to repress what is evil. Our great hope lies in developing what is good.,Calvin Coolidge,"Good, Great, Progress"
Things start out as hopes and end up as habits.,Lillian Hellman,"Start, End, Things"
"Be careful to leave your sons well instructed rather than rich, for the hopes of the instructed are better than the wealth of the ignorant.",Epictetus,"Your, Better, Rich"
"I simply can't build my hopes on a foundation of confusion, misery and death... I think... peace and tranquillity will return again.",Anne Frank,"Death, Peace, Foundation"
In this world you've just got to hope for the best and prepare for the worst and take whatever God sends.,Lucy Maud Montgomery,"Best, God, World"
The trouble with most people is that they think with their hopes or fears or wishes rather than with their minds.,Will Durant,"People, Trouble, Think"
I always entertain great hopes.,Robert Frost,"Great, Always, Entertain"
"Neither should a ship rely on one small anchor, nor should life rest on a single hope.",Epictetus,"Life, Rest, Ship"
The world is bad but not without hope. It is only hopeless when you look at it from an ideal viewpoint.,Friedrich Durrenmatt,"World, Look, Bad"
"Man needs, for his happiness, not only the enjoyment of this or that, but hope and enterprise and change.",Bertrand Russell,"Happiness, Change, Man"
Hope is a talent like any other.,Storm Jameson,"Talent, Like, Other"
I have tried to keep on with my striving because this is the only hope I have of ever achieving anything worthwhile and lasting.,Arthur Ashe,"Keep, Anything, Striving"
"When we have lost everything, including hope, life becomes a disgrace, and death a duty.",W. C. Fields,"Life, Death, Duty"
A whole stack of memories never equal one little hope.,Charles M. Schulz,"Memories, Never, Equal"
"You can make positive deposits in your own economy every day by reading and listening to powerful, positive, life-changing content and by associating with encouraging and hope-building people.",Zig Ziglar,"Positive, Your, Day"
I always believe things are going to work out.,Francoise Sagan,"Work, Always, Believe"
"It is only hope which is real, and reality is a bitterness and a deceit.",William Makepeace Thackeray,"Reality, Bitterness, Real"
"All hope abandon, ye who enter here!",Dante Alighieri,"Who, Here, Enter"
"The hope of a secure and livable world lies with disciplined nonconformists who are dedicated to justice, peace and brotherhood.","Martin Luther King, Jr.","Peace, Justice, World"
"I hope to stand firm enough to not go backward, and yet not go forward fast enough to wreck the country's cause.",Abraham Lincoln,"Stand, Country, Enough"
"While it is important for people to see your promise you must also remember that hope is the keeper of both happiness and disappointment, the father of both progress and failure.",Bryant H. McGill,"Happiness, Failure, Progress"
Lord save us all from old age and broken health and a hope tree that has lost the faculty of putting out blossoms.,Mark Twain,"Health, Age, Tree"
"We often call a certainty a hope, to bring it luck.",Elizabeth Bibesco,"Luck, Certainty, Call"
At the moment of death I hope to be surprised.,Ivan Illich,"Death, Moment, Surprised"
Expecting something for nothing is the most popular form of hope.,Arnold H. Glasow,"Nothing, Something, Most"
I don't know what can be so dangerous about giving people hope.,Joel Osteen,"Know, People, Dangerous"
How disappointment tracks the steps of hope.,Letitia Elizabeth Landon,"Disappointment, How, Tracks"
Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,Richard M. DeVos,"Positive, Smile, World"
"When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left, and could say, 'I used everything you gave me'.",Erma Bombeck,"Life, God, Talent"
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford,"Motivational, Life, Love"
There was never a night or a problem that could defeat sunrise or hope.,Bernard Williams,"Morning, Night, Sunrise"
"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.",Brad Henry,"Love, Good, Learning"
"It is difficult to say what is impossible, for the dream of yesterday is the hope of today and the reality of tomorrow.",Robert H. Goddard,"Easter, Today, Impossible"
"He who has health, has hope; and he who has hope, has everything.",Thomas Carlyle,"Health, Everything, Who"
"You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.",Woodrow Wilson,"Motivational, Vision, Achievement"
"Woe to the man whose heart has not learned while young to hope, to love - and to put its trust in life.",Joseph Conrad,"Life, Love, Trust"
"I hope you will go out and let stories happen to you, and that you will work them, water them with your blood and tears and you laughter till they bloom, till you yourself burst into bloom.",Clarissa Pinkola Estes,"Work, Your, Water"
To cherish what remains of the Earth and to foster its renewal is our only legitimate hope of survival.,Wendell Berry,"Nature, Survival, Earth"
