title,author,tags
Independence is happiness.,Susan B. Anthony,Happiness
"The bedrock of our democracy is the rule of law and that means we have to have an independent judiciary, judges who can make decisions independent of the political winds that are blowing.",Caroline Kennedy,"Democracy, Political, Law"
"My mother told me to be a lady. And for her, that meant be your own person, be independent.",Ruth Bader Ginsburg,"Your, Me, Own"
"Every human has four endowments - self awareness, conscience, independent will and creative imagination. These give us the ultimate human freedom... The power to choose, to respond, to change.",Stephen Covey,"Change, Freedom, Power"
True independence and freedom can only exist in doing what's right.,Brigham Young,"Freedom, Doing, True"
The best teamwork comes from men who are working independently toward one goal in unison.,James Cash Penney,"Best, Men, Teamwork"
"I wanted to be an independent woman, a woman who could pay for her bills, a woman who could run her own life - and I became that woman.",Diane von Furstenberg,"Life, Woman, Own"
Diversity: the art of thinking independently together.,Malcolm Forbes,"Art, Together, Diversity"
I am no bird; and no net ensnares me; I am a free human being with an independent will.,Charlotte Bronte,"Bird, I Am, Me"
"I have an independent streak. You know, it's kind of hard to tell a independent woman what to do.",Betty Ford,"Woman, Know, Independent Woman"
"Work is about more than making a living, as vital as that is. It's fundamental to human dignity, to our sense of self-worth as useful, independent, free people.",William J. Clinton,"Work, Free, Living"
"Originality is independence, not rebellion; it is sincerity, not antagonism.",George Henry Lewes,"Rebellion, Sincerity, Originality"
Many a revolution started with the actions of a few. Only 56 men signed the Declaration of Independence. A few hanging together can lead a nation to change.,Wynton Marsalis,"Change, Men, Together"
"Unlike a drop of water which loses its identity when it joins the ocean, man does not lose his being in the society in which he lives. Man's life is independent. He is born not for the development of the society alone, but for the development of his self.",B. R. Ambedkar,"Life, Alone, Society"
"It is easy to be independent when you've got money. But to be independent when you haven't got a thing, that's the Lord's test.",Mahalia Jackson,"Money, Easy, Test"
What then is freedom? The power to live as one wishes.,Marcus Tullius Cicero,"Freedom, Power, Live"
What you get free costs too much.,Jean Anouilh,"Free, Much, Too Much"
There's no such thing as an independent person.,Peter Jennings,"Person, Independent, Thing"
