title,author,tags
Start by doing what's necessary; then do what's possible; and suddenly you are doing the impossible.,Francis of Assisi,"Impossible, Start, Doing"
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,Helen Keller,"Best, Beautiful, Heart"
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",Jimmy Dean,"Change, Always, Destination"
The best preparation for tomorrow is doing your best today.,"H. Jackson Brown, Jr.","Best, Today, Tomorrow"
"We know what we are, but know not what we may be.",William Shakespeare,"Know, May"
Keep your face always toward the sunshine - and shadows will fall behind you.,Walt Whitman,"Always, Your, Sunshine"
"Perfection is not attainable, but if we chase perfection we can catch excellence.",Vince Lombardi,"Perfection, Excellence, Chase"
"What lies behind you and what lies in front of you, pales in comparison to what lies inside of you.",Ralph Waldo Emerson,"Behind, Comparison, Inside"
It is during our darkest moments that we must focus to see the light.,Aristotle Onassis,"Light, Focus, Darkest"
"No act of kindness, no matter how small, is ever wasted.",Aesop,"Kindness, Matter, Act"
"I hated every minute of training, but I said, 'Don't quit. Suffer now and live the rest of your life as a champion.'",Muhammad Ali,"Life, Your, Champion"
Don't judge each day by the harvest you reap but by the seeds that you plant.,Robert Louis Stevenson,"Day, Plant, Seeds"
"Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.",Martin Luther,"Tomorrow, Plant, World"
"If you believe in yourself and have dedication and pride - and never quit, you'll be a winner. The price of victory is high but so are the rewards.",Bear Bryant,"Believe In Yourself, Believe, Yourself"
"Ah, but a man's reach should exceed his grasp, Or what's a heaven for?",Robert Browning,"Man, Heaven, Reach"
"We must let go of the life we have planned, so as to accept the one that is waiting for us.",Joseph Campbell,"Life, Waiting, Accept"
"If I have seen further than others, it is by standing upon the shoulders of giants.",Isaac Newton,"Shoulders, Others, Standing"
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",Rabindranath Tagore,"Life, Rain, Sky"
Change your thoughts and you change your world.,Norman Vincent Peale,"Change, Thoughts, Your"
There are two ways of spreading light: to be the candle or the mirror that reflects it.,Edith Wharton,"Candle, Light, Mirror"
"If opportunity doesn't knock, build a door.",Milton Berle,"Opportunity, Door, Build"
It is never too late to be what you might have been.,George Eliot,"Never Too Late, Late, Never"
"Put your heart, mind, and soul into even your smallest acts. This is the secret of success.",Swami Sivananda,"Success, Heart, Your"
"The most authentic thing about us is our capacity to create, to overcome, to endure, to transform, to love and to be greater than our suffering.",Ben Okri,"Love, Suffering, Overcome"
Your present circumstances don't determine where you can go; they merely determine where you start.,Nido Qubein,"Your, Start, Circumstances"
"I am not afraid of tomorrow, for I have seen yesterday and I love today!",William Allen White,"Love, Today, Tomorrow"
"Just don't give up trying to do what you really want to do. Where there is love and inspiration, I don't think you can go wrong.",Ella Fitzgerald,"Love, Trying, Go"
"Happiness resides not in possessions, and not in gold, happiness dwells in the soul.",Democritus,"Happiness, Soul, Gold"
"No matter what people tell you, words and ideas can change the world.",Robin Williams,"Change, World, Change The World"
The only journey is the one within.,Rainer Maria Rilke,"Journey, Only, Within"
