title,author,tags
"A people without the knowledge of their past history, origin and culture is like a tree without roots.",Marcus Garvey,"History, Culture, Past"
"To know that we know what we know, and to know that we do not know what we do not know, that is true knowledge.",Nicolaus Copernicus,"True, Know, True Knowledge"
"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.",Kofi Annan,"Education, Family, Power"
Without knowledge action is useless and knowledge without action is futile.,Abu Bakr,"Useless, Action, Without"
"To acquire knowledge, one must study; but to acquire wisdom, one must observe.",Marilyn vos Savant,"Wisdom, Observe, Must"
"The control of information is something the elite always does, particularly in a despotic form of government. Information, knowledge, is power. If you can control information, you can control people.",Tom Clancy,"Power, Government, Always"
We are drowning in information but starved for knowledge.,John Naisbitt,"Information, Drowning, Starved"
"All our knowledge begins with the senses, proceeds then to the understanding, and ends with reason. There is nothing higher than reason.",Immanuel Kant,"Nothing, Understanding, Reason"
"The larger the island of knowledge, the longer the shoreline of wonder.",Ralph W. Sockman,"Wonder, Island, Longer"
Knowledge is power. Information is power. The secreting or hoarding of knowledge or information may be an act of tyranny camouflaged as humility.,Robin Morgan,"Power, Humility, Information"
"Human behavior flows from three main sources: desire, emotion, and knowledge.",Plato,"Behavior, Human Behavior, Desire"
The best advice I ever got was that knowledge is power and to keep reading.,David Bailey,"Best, Power, Knowledge Is Power"
The first step towards knowledge is to know that we are ignorant.,Richard Cecil,"Step, Know, First Step"
"The aim of education is the knowledge, not of facts, but of values.",William Inge,"Education, Aim, Facts"
"Consider your origins: you were not made to live as brutes, but to follow virtue and knowledge.",Dante Alighieri,"Your, Follow, Live"
"We are all born ignorant, but one must work hard to remain stupid.",Unknown,"Work, Stupid, Born"
"If you have knowledge, let others light their candles in it.",Margaret Fuller,"Light, Others, Candles"
It is one of my sources of happiness never to desire a knowledge of other people's business.,Dolley Madison,"Happiness, Business, People"
The true sign of intelligence is not knowledge but imagination.,Albert Einstein,"Intelligence, Imagination, True"
"Wisdom is the right use of knowledge. To know is not to be wise. Many men know a great deal, and are all the greater fools for it. There is no fool so great a fool as a knowing fool. But to know how to use knowledge is to have wisdom.",Charles Spurgeon,"Wisdom, Men, Great"
I think we risk becoming the best informed society that has ever died of ignorance.,Ruben Blades,"Best, Society, Ignorance"
"I'm hungry for knowledge. The whole thing is to learn every day, to get brighter and brighter. That's what this world is about. You look at someone like Gandhi, and he glowed. Martin Luther King glowed. Muhammad Ali glows. I think that's from being bright all the time, and trying to be brighter.",Jay-Z,"Time, Day, King"
"The only good is knowledge, and the only evil is ignorance.",Herodotus,"Good, Ignorance, Evil"
Where is the Life we have lost in living? Where is the wisdom we have lost in knowledge? Where is the knowledge we have lost in information?,T. S. Eliot,"Life, Wisdom, Information"
"Knowledge is soon changed, then lost in the mist, an echo half-heard.",Gene Wolfe,"Lost, Mist, Soon"
"They say a little knowledge is a dangerous thing, but it's not one half so bad as a lot of ignorance.",Terry Pratchett,"Ignorance, Bad, Dangerous"
"Knowledge is like money: to be of value it must circulate, and in circulating it can increase in quantity and, hopefully, in value.",Louis L'Amour,"Money, Value, Quantity"
The ability to perceive or think differently is more important than the knowledge gained.,David Bohm,"Important, Ability, Think"
"To know what you know and what you do not know, that is true knowledge.",Confucius,"True, Know, True Knowledge"
Risk comes from not knowing what you're doing.,Warren Buffett,"Doing, Not Knowing, Knowing"
"There are three principal means of acquiring knowledge... observation of nature, reflection, and experimentation. Observation collects facts; reflection combines them; experimentation verifies the result of that combination.",Denis Diderot,"Nature, Reflection, Result"
Knowledge is power only if man knows what facts not to bother with.,Robert Staughton Lynd,"Power, Man, Knowledge Is Power"
"Without self knowledge, without understanding the working and functions of his machine, man cannot be free, he cannot govern himself and he will always remain a slave.",George Gurdjieff,"Always, Man, Free"
Ignorance is the curse of God; knowledge is the wing wherewith we fly to heaven.,William Shakespeare,"God, Fly, Ignorance"
A good decision is based on knowledge and not on numbers.,Plato,"Good, Decision, Numbers"
Real knowledge is to know the extent of one's ignorance.,Confucius,"Ignorance, Know, Real"
No man's knowledge here can go beyond his experience.,John Locke,"Experience, Man, Go"
Knowledge is the life of the mind.,Abu Bakr,"Life, Mind"
"We live on an island surrounded by a sea of ignorance. As our island of knowledge grows, so does the shore of our ignorance.",John Archibald Wheeler,"Ignorance, Sea, Live"
Any knowledge that doesn't lead to new questions quickly dies out: it fails to maintain the temperature required for sustaining life.,Wislawa Szymborska,"Life, New, Questions"
"Our knowledge can only be finite, while our ignorance must necessarily be infinite.",Karl Popper,"Ignorance, Only, Infinite"
There is much pleasure to be gained from useless knowledge.,Bertrand Russell,"Useless, Pleasure, Much"
"Let us tenderly and kindly cherish, therefore, the means of knowledge. Let us dare to read, think, speak, and write.",John Adams,"Speak, Cherish, Dare"
Opinion is the medium between knowledge and ignorance.,Plato,"Ignorance, Opinion, Between"
"Where there is shouting, there is no true knowledge.",Leonardo da Vinci,"True, Shouting, Where"
"Evil being the root of mystery, pain is the root of knowledge.",Simone Weil,"Pain, Mystery, Evil"
"To know, is to know that you know nothing. That is the meaning of true knowledge.",Socrates,"Nothing, True, Know"
"When a man's knowledge is not in order, the more of it he has the greater will be his confusion.",Herbert Spencer,"Man, Will, Confusion"
"Knowledge is of two kinds. We know a subject ourselves, or we know where we can find information upon it.",Samuel Johnson,"Information, Know, Find"
"Science is the father of knowledge, but opinion breeds ignorance.",Hippocrates,"Science, Ignorance, Father"
It is beyond a doubt that all our knowledge begins with experience.,Immanuel Kant,"Experience, Doubt, Beyond"
"All the knowledge I possess everyone else can acquire, but my heart is all my own.",Johann Wolfgang von Goethe,"Heart, Own, Everyone"
Every addition to true knowledge is an addition to human power.,Horace Mann,"Power, True, Human"
Where is all the knowledge we lost with information?,T. S. Eliot,"Information, Lost, Where"
Knowledge is the eye of desire and can become the pilot of the soul.,Will Durant,"Soul, Desire, Eye"
"Those who have knowledge, don't predict. Those who predict, don't have knowledge.",Lao Tzu,"Predict, Who, Those"
Having knowledge but lacking the power to express it clearly is no better than never having any ideas at all.,Pericles,"Power, Better, Ideas"
"If knowledge can create problems, it is not through ignorance that we can solve them.",Isaac Asimov,"Ignorance, Problems, Create"
I prefer tongue-tied knowledge to ignorant loquacity.,Marcus Tullius Cicero,"Ignorant, Prefer"
"Looking up and out, how can we not respect this ever-vigilant cognizance that distinguishes us: the capability to envision, to dream, and to invent? the ability to ponder ourselves? and be aware of our existence on the outer arm of a spiral galaxy in an immeasurable ocean of stars? Cognizance is our crest.",Vanna Bonta,"Respect, Stars, Looking"
