title,author,tags
"A leader is one who knows the way, goes the way, and shows the way.",John C. Maxwell,"Way, Who, Leader"
I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion.,Alexander the Great,"I Am, Lion, Sheep"
"A good leader takes a little more than his share of the blame, a little less than his share of the credit.",Arnold H. Glasow,"Good, Blame, Credit"
"Today a reader, tomorrow a leader.",Margaret Fuller,"Today, Tomorrow, Leader"
"Go as far as you can see; when you get there, you'll be able to see farther.",J. P. Morgan,"Go, See, Far"
No man will make a great leader who wants to do it all himself or get all the credit for doing it.,Andrew Carnegie,"Great, Man, Doing"
A man who wants to lead the orchestra must turn his back on the crowd.,Max Lucado,"Man, Turn, Back"
"Leadership - leadership is about taking responsibility, not making excuses.",Mitt Romney,"Responsibility, Excuses, About"
The task of the leader is to get his people from where they are to where they have not been.,Henry Kissinger,"People, Task, Where"
Obstacles are things a person sees when he takes his eyes off his goal.,E. Joseph Cossman,"Eyes, Obstacles, Person"
How we think shows through in how we act. Attitudes are mirrors of the mind. They reflect thinking.,David Joseph Schwartz,"Mind, Thinking, Act"
Leadership is the art of getting someone else to do something you want done because he wants to do it.,Dwight D. Eisenhower,"Art, Done, Someone"
"Ultimately, leadership is not about glorious crowning acts. It's about keeping your team focused on a goal and motivated to do their best to achieve it, especially when the stakes are high and the consequences really matter. It is about laying the groundwork for others' success, and then standing back and letting them shine.",Chris Hadfield,"Success, Best, Your"
Good management is the art of making problems so interesting and their solutions so constructive that everyone wants to get to work and deal with them.,Paul Hawken,"Work, Good, Art"
"Outstanding leaders go out of their way to boost the self-esteem of their personnel. If people believe in themselves, it's amazing what they can accomplish.",Sam Walton,"Amazing, Believe, Way"
Leadership is practiced not so much in words as in attitude and in actions.,Harold S. Geneen,"Attitude, Words, Much"
"If a window of opportunity appears, don't pull down the shade.",Tom Peters,"Opportunity, Window, Shade"
Leadership is the capacity to translate vision into reality.,Warren Bennis,"Vision, Reality, Capacity"
Leadership is solving problems. The day soldiers stop bringing you their problems is the day you have stopped leading them. They have either lost confidence that you can help or concluded you do not care. Either case is a failure of leadership.,Colin Powell,"Failure, Day, Confidence"
"Millions saw the apple fall, but Newton was the one who asked why.",Bernard Baruch,"Fall, Why, Who"
Leadership is unlocking people's potential to become better.,Bill Bradley,"Better, People, Potential"
"If the highest aim of a captain were to preserve his ship, he would keep it in port forever.",Thomas Aquinas,"Aim, Keep, Ship"
"The art of leadership is saying no, not saying yes. It is very easy to say yes.",Tony Blair,"Art, Easy, Saying"
The amount of good luck coming your way depends on your willingness to act.,Barbara Sher,"Good, Luck, Your"
People who enjoy meetings should not be in charge of anything.,Thomas Sowell,"Meetings, People, Enjoy"
"When you can't make them see the light, make them feel the heat.",Ronald Reagan,"Light, Feel, Heat"
High expectations are the key to everything.,Sam Walton,"Expectations, Everything, High"
Innovation distinguishes between a leader and a follower.,Steve Jobs,"Innovation, Follower, Leader"
Be a yardstick of quality. Some people aren't used to an environment where excellence is expected.,Steve Jobs,"Quality, Excellence, People"
Only the guy who isn't rowing has time to rock the boat.,Jean-Paul Sartre,"Time, Boat, Rock"
"A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves.",Lao Tzu,"Work, Best, Done"
"Enlightened leadership is spiritual if we understand spirituality not as some kind of religious dogma or ideology but as the domain of awareness where we experience values like truth, goodness, beauty, love and compassion, and also intuition, creativity, insight and focused attention.",Deepak Chopra,"Love, Beauty, Truth"
"Leadership to me means duty, honor, country. It means character, and it means listening from time to time.",George W. Bush,"Time, Character, Honor"
I don't know any other way to lead but by example.,Don Shula,"Way, Know, Lead"
"Everyone who's ever taken a shower has an idea. It's the person who gets out of the shower, dries off and does something about it who makes a difference.",Nolan Bushnell,"Person, Everyone, Difference"
Good leadership consists of showing average people how to do the work of superior people.,John D. Rockefeller,"Work, Good, People"
"It is better to lead from behind and to put others in front, especially when you celebrate victory when nice things occur. You take the front line when there is danger. Then people will appreciate your leadership.",Nelson Mandela,"Celebrate, Your, Victory"
Honor bespeaks worth. Confidence begets trust. Service brings satisfaction. Cooperation proves the quality of leadership.,James Cash Penney,"Trust, Confidence, Service"
People buy into the leader before they buy into the vision.,John C. Maxwell,"Vision, People, Buy"
Hold yourself responsible for a higher standard than anybody expects of you. Never excuse yourself.,Henry Ward Beecher,"Yourself, Never, Hold"
"If you think you can do a thing or think you can't do a thing, you're right.",Henry Ford,"Right, Think, Thing"
Leadership is influence.,John C. Maxwell,Influence
Problems are only opportunities in work clothes.,Henry J. Kaiser,"Work, Problems, Clothes"
"Leaders must be close enough to relate to others, but far enough ahead to motivate them.",John C. Maxwell,"Ahead, Enough, Others"
A leader is a dealer in hope.,Napoleon Bonaparte,"Hope, Leader, Dealer"
"Effective leadership is putting first things first. Effective management is discipline, carrying it out.",Stephen Covey,"Discipline, Management, First"
Speak softly and carry a big stick; you will go far.,Theodore Roosevelt,"Will, Speak, Go"
Management is doing things right; leadership is doing the right things.,Peter Drucker,"Doing, Management, Right"
Think little goals and expect little achievements. Think big goals and win big success.,David Joseph Schwartz,"Success, Goals, Win"
Management is about arranging and telling. Leadership is about nurturing and enhancing.,Tom Peters,"Management, Nurturing, About"
The key to being a good manager is keeping the people who hate me away from those who are still undecided.,Casey Stengel,"Good, Hate, Me"
It is rare to find a business partner who is selfless. If you are lucky it happens once in a lifetime.,Michael Eisner,"Business, Selfless, Find"
Leadership consists of picking good men and helping them do their best.,Chester W. Nimitz,"Best, Good, Men"
There are three secrets to managing. The first secret is have patience. The second is be patient. And the third most important secret is patience.,Chuck Tanner,"Patience, Important, Secrets"
"When placed in command, take charge.",Norman Schwarzkopf,"Take, Charge, Command"
The speed of the leader is the speed of the gang.,Mary Kay Ash,"Gang, Speed, Leader"
"Without initiative, leaders are simply workers in leadership positions.",Bo Bennett,"Initiative, Workers, Without"
A man always has two reasons for doing anything: a good reason and the real reason.,J. P. Morgan,"Good, Always, Man"
The real leader has no need to lead - he is content to point the way.,Henry Miller,"Way, Real, Point"
"Great companies in the way they work, start with great leaders.",Steve Ballmer,"Work, Great, Start"
"Don't find fault, find a remedy.",Henry Ford,"Find, Fault, Remedy"
Leadership and learning are indispensable to each other.,John F. Kennedy,"Learning, Indispensable, Other"
"To succeed, one must be creative and persistent.",John H. Johnson,"Succeed, Must, Creative"
"Our business in life is not to get ahead of others, but to get ahead of ourselves.",E. Joseph Cossman,"Life, Business, Ahead"
"It is better to have a lion at the head of an army of sheep, than a sheep at the head of an army of lions.",Daniel Defoe,"Better, Lion, Sheep"
The employer generally gets the employees he deserves.,J. Paul Getty,"Employer, Employees, He"
Effective leadership is not about making speeches or being liked; leadership is defined by results not attributes.,Peter Drucker,"Results, Being, About"
"Where there is no vision, there is no hope.",George Washington Carver,"Hope, Vision, Where"
Clarity affords focus.,Thomas Leonard,"Focus, Clarity, Affords"
"My attitude is never to be satisfied, never enough, never.",Duke Ellington,"Attitude, Enough, Never"
Leadership does not depend on being right.,Ivan Illich,"Right, Depend, Being"
A genuine leader is not a searcher for consensus but a molder of consensus.,"Martin Luther King, Jr.","Genuine, Consensus, Leader"
I have always supported measures and principles and not men.,Davy Crockett,"Men, Always, Principles"
"When the best leader's work is done the people say, 'We did it ourselves.'",Lao Tzu,"Work, Best, Done"
"Time is neutral and does not change things. With courage and initiative, leaders change things.",Jesse Jackson,"Change, Courage, Time"
Strong convictions precede great actions.,James Freeman Clarke,"Great, Strong, Convictions"
