title,author,tags
Ethics is knowing the difference between what you have a right to do and what is right to do.,Potter Stewart,"Ethics, Right, Knowing"
"Laws are like sausages, it is better not to see them being made.",Otto von Bismarck,"Better, See, Laws"
Justice delayed is justice denied.,William E. Gladstone,"Justice, Denied, Delayed"
Justice is the sum of all moral duty.,William Godwin,"Justice, Duty, Moral"
Laws are spider webs through which the big flies pass and the little ones get caught.,Honore de Balzac,"Spider, Big, Through"
It is not wisdom but Authority that makes a law.,Thomas Hobbes,"Wisdom, Law, Authority"
"Laws are like cobwebs, which may catch small flies, but let wasps and hornets break through.",Jonathan Swift,"May, Through, Small"
It is legal because I wish it.,Louis XIV,"Wish, I Wish, Because"
"If we desire respect for the law, we must first make the law respectable.",Louis D. Brandeis,"Respect, Law, First"
"I busted a mirror and got seven years bad luck, but my lawyer thinks he can get me five.",Steven Wright,"Luck, Mirror, Lawyer"
"Judges are the weakest link in our system of justice, and they are also the most protected.",Alan Dershowitz,"Justice, Judges, Link"
I'm trusting in the Lord and a good lawyer.,Oliver North,"Good, Lawyer, Lord"
"More law, less justice.",Marcus Tullius Cicero,"Justice, Law, More"
Common sense often makes good law.,William O. Douglas,"Good, Law, Common Sense"
In the Halls of Justice the only justice is in the halls.,Lenny Bruce,"Justice, Only, Halls"
"If you must break the law, do it to seize power: in all other cases observe it.",Julius Caesar,"Power, Law, Observe"
That which is not just is not law.,William Lloyd Garrison,"Law, Just, Which"
The safety of the people shall be the highest law.,Marcus Tullius Cicero,"Law, People, Safety"
He is no lawyer who cannot take two sides.,Charles Lamb,"Lawyer, Cannot, Two"
Obedience to lawful authority is the foundation of manly character.,Robert E. Lee,"Character, Foundation, Obedience"
"If the machine of government is of such a nature that it requires you to be the agent of injustice to another, then, I say, break the law.",Henry David Thoreau,"Nature, Government, Law"
People do not win people fights. Lawyers do.,Norman Ralph Augustine,"Win, People, Lawyers"
It is better to risk saving a guilty man than to condemn an innocent one.,Voltaire,"Man, Better, Innocent"
Ignorance of the law excuses no man from practicing it.,Addison Mizner,"Man, Ignorance, Law"
Collecting more taxes than is absolutely necessary is legalized robbery.,Calvin Coolidge,"More, Taxes, Collecting"
"Lawyers, I suppose, were children once.",Charles Lamb,"Children, Lawyers, Once"
The law has no compassion. And justice is administered without compassion.,Christopher Darden,"Justice, Law, Compassion"
"Justice? You get justice in the next world, in this world you have the law.",William Gaddis,"Justice, World, Law"
Advertising is legalized lying.,H. G. Wells,"Advertising, Lying"
The best way to get a bad law repealed is to enforce it strictly.,Abraham Lincoln,"Best, Law, Bad"
"People crushed by laws, have no hope but to evade power. If the laws are their enemies, they will be enemies to the law; and those who have most to hope and nothing to lose will always be dangerous.",Edmund Burke,"Hope, Power, Always"
Lawsuit: A machine which you go into as a pig and come out of as a sausage.,Ambrose Bierce,"Go, Pig, Machine"
Bad laws are the worst sort of tyranny.,Edmund Burke,"Bad, Tyranny, Worst"
Justice in the life and conduct of the State is possible only as first it resides in the hearts and souls of the citizens.,Plato,"Life, Justice, Possible"
Fairness is what justice really is.,Potter Stewart,"Justice, Fairness, Really"
Lawyers are the only persons in whom ignorance of the law is not punished.,Jeremy Bentham,"Ignorance, Law, Lawyers"
Law is born from despair of human nature.,Jose Ortega y Gasset,"Nature, Law, Born"
"Lawsuit abuse is a major contributor to the increased costs of healthcare, goods and services to consumers.",Charles W. Pickering,"Healthcare, Abuse, Costs"
"It costs a lot to sue a magazine, and it's too bad that we don't have a system where the losing team has to pay the winning team's lawyers.",Carol Burnett,"Winning, Bad, Losing"
Make crime pay. Become a lawyer.,Will Rogers,"Lawyer, Crime, Make"
Charity is no substitute for justice withheld.,Saint Augustine,"Justice, Charity, Substitute"
"In law, nothing is certain but the expense.",Samuel Butler,"Law, Nothing, Certain"
"I say the law should be blind to race, gender and sexual orientation, just as it claims to be blind to wealth and power. There should be no specially protected groups of any kind, except for children, the severely disabled and the elderly, whose physical frailty demands society's care.",Camille Paglia,"Power, Society, Law"
I am the inferior of any man whose rights I trample under foot.,Robert Green Ingersoll,"Man, I Am, Rights"
"I submit that an individual who breaks a law that conscience tells him is unjust, and who willingly accepts the penalty of imprisonment in order to arouse the conscience of the community over its injustice, is in reality expressing the highest respect for law.","Martin Luther King, Jr.","Respect, Community, Reality"
A good lawyer is a bad Christian.,John Lothrop Motley,"Good, Lawyer, Bad"
It is right to give every man his due.,Plato,"Man, Right, Every Man"
I have a different approach. I don't file lawsuits because I really don't care.,Nicole Kidman,"Care, don't Care, Different"
Punishment is justice for the unjust.,Saint Augustine,"Justice, Punishment, Unjust"
Justice consists in doing no injury to men; decency in giving them no offense.,Marcus Tullius Cicero,"Men, Justice, Doing"
"It is not what a lawyer tells me I may do; but what humanity, reason, and justice tell me I ought to do.",Edmund Burke,"Justice, Lawyer, Humanity"
"The only real lawyers are trial lawyers, and trial lawyers try cases to juries.",Clarence Darrow,"Try, Real, Lawyers"
Compromise is the best and cheapest lawyer.,Robert Louis Stevenson,"Best, Lawyer, Compromise"
Lawyers spend a great deal of their time shoveling smoke.,"Oliver Wendell Holmes, Jr.","Time, Great, Smoke"
A lean compromise is better than a fat lawsuit.,George Herbert,"Better, Fat, Compromise"
I have been committed to carrying out my duties... in accordance with both the letter and spirit of all applicable rules of ethics and canons of conduct.,Samuel Alito,"Ethics, Rules, Spirit"
It is impossible to tell where the law stops and justice begins.,Arthur Baer,"Impossible, Justice, Law"
All ambitions are lawful except those which climb upward on the miseries or credulities of mankind.,Joseph Conrad,"Climb, Mankind, Except"
Lawyers are the first refuge of the incompetent.,Aaron Allston,"First, Lawyers, Refuge"
"As for lawyers, it's more fun to play one than to be one.",Sam Waterston,"Fun, Lawyers, Play"
Where there is a will there is a lawsuit.,Addison Mizner,"Will, Where, Lawsuit"
A jury is composed of twelve men of average ignorance.,Herbert Spencer,"Men, Ignorance, Jury"
"Deceive not thy physician, confessor, nor lawyer.",George Herbert,"Lawyer, Deceive, Physician"
"I'm afraid I talk a lot, too much, perhaps. I should have been a lawyer or a college professor or a windy politician, though I'm glad I am not any of these.",Tom Glazer,"Lawyer, I Am, Politician"
The trouble with law is lawyers.,Clarence Darrow,"Law, Trouble, Lawyers"
"There is but one law for all, namely that law which governs all law, the law of our Creator, the law of humanity, justice, equity - the law of nature and of nations.",Edmund Burke,"Nature, Justice, Humanity"
"Avoid lawsuits beyond all things; they pervert your conscience, impair your health, and dissipate your property.",Jean de la Bruyere,"Health, Your, Conscience"
One of the things I was taught in law school is that I'd never be able to think the same again - that being a lawyer is something that's part of who I am as an individual now.,Anita Hill,"Lawyer, I Am, Law"
I decided I wanted to be a lawyer when I was 11 years of age.,Johnnie Cochran,"Age, Lawyer, Years"
Only one thing is impossible for God: To find any sense in any copyright law on the planet.,Mark Twain,"God, Impossible, Law"
A lawyer who does not know men is handicapped.,William Dunbar,"Men, Lawyer, Know"
Laws made by common consent must not be trampled on by individuals.,George Washington,"Laws, Must, Consent"
A successful lawsuit is the one worn by a policeman.,Robert Frost,"Policeman, Successful, Lawsuit"
"From your confessor, lawyer and physician, hide not your case on no condition.",John Harington,"Your, Lawyer, Hide"
"To some lawyers, all facts are created equal.",Felix Frankfurter,"Facts, Lawyers, Equal"
Lawsuits should not be used to destroy a viable and independent distribution system. The solution lies in the marketplace and not the courtroom.,Don Henley,"Solution, Independent, Courtroom"
"I have been surrounded by some of the smartest, brightest, most caring lawyers, by agents who are willing to risk their lives for others, by support staff that are willing to work as hard as they can.",Janet Reno,"Work, Caring, Support"
You can't learn everything you need to know legally.,John Irving,"Know, Everything, Need"
Laws are the sovereigns of sovereigns.,Louis XIV,Laws
I wouldn't pretend to tell you we don't pay our lawyers well.,Jay Alan Sekulow,"Lawyers, Well, Tell"
"As a private lawyer, I could bill $750 an hour, but I don't.",Jay Alan Sekulow,"Lawyer, Hour, Could"
"They don't need a lawyer, they need a toastmaster.",Edward Bennett Williams,"Lawyer, Need"
One with the law is a majority.,Calvin Coolidge,"Law, Majority"
"Justice is itself the great standing policy of civil society; and any eminent departure from it, under any circumstances, lies under the suspicion of being no policy at all.",Edmund Burke,"Society, Great, Justice"
"People are getting smarter nowadays; they are letting lawyers, instead of their conscience, be their guide.",Will Rogers,"People, Conscience, Lawyers"
"Laws, like houses, lean on one another.",Edmund Burke,"Lean, Laws, Like"
"Frivolous lawsuits are booming in this county. The U.S. has more costs of litigation per person than any other industrialized nation in the world, and it is crippling our economy.",Jack Kingston,"World, Person, Nation"
Nothing is so unproductive as the law. It is expensive whether you win or lose.,Gilbert Parker,"Lose, Win Or Lose, Win"
"All the libel lawyers will tell you there's no libel any more, that everyone's given up.",Ian Hislop,"Will, Everyone, Lawyers"
"Yes, there's such a thing as luck in trial law but it only comes at 3 o'clock in the morning. You'll still find me in the library looking for luck at 3 o'clock in the morning.",Louis Nizer,"Morning, Luck, Library"
Taste cannot be controlled by law.,Thomas Jefferson,"Law, Taste, Cannot"
As a rule lawyers tend to want to do whatever they can to win.,Bill Williams,"Win, Lawyers, Whatever"
The only people who benefit from lawsuits are lawyers. I think we made a couple of them rich.,Gavin Rossdale,"Rich, People, Lawyers"
Misery is the company of lawsuits.,Francois Rabelais,"Company, Misery, Lawsuits"
We are led by lawyers who do not understand either technology or balance sheets.,Thomas Friedman,"Technology, Balance, Understand"
The events of the day inspired me to become a lawyer.,Christopher Darden,"Day, Lawyer, Me"
I come from a profession which has suffered greatly because of the lack of civility. Lawyers treat each other poorly and it has come home to haunt them. The public will not tolerate a lack of civility.,James E. Rogers,"Home, Treat, Will"
I never saw a lawyer yet who would admit he was making money.,Mary Roberts Rinehart,"Money, Lawyer, Never"
Make your educational laws strict and your criminal ones can be gentle; but if you leave youth its liberty you will have to dig dungeons for ages.,Michel de Montaigne,"Youth, Your, Will"
"If somebody invented cigarettes today, the government would not legalize them.",Loni Anderson,"Government, Today, Them"
A married woman has the same right to control her own body as does an unmarried woman.,Sol Wachtler,"Body, Control, Woman"
I'm not sure I can say there is a clean line between me as an individual and me as a lawyer.,Anita Hill,"Lawyer, Me, Clean"
To force a lawyer on a defendant can only lead him to believe that the law contrives against him.,Potter Stewart,"Believe, Lawyer, Law"
"I would say that IQ is the strongest predictor of which field you can get into and hold a job in, whether you can be an accountant, lawyer or nurse, for example.",Daniel Goleman,"Lawyer, Job, Accountant"
"If Moses had gone to Harvard Law School and spent three years working on the Hill, he would have written the Ten Commandments with three exceptions and a saving clause.",Charles Morgan,"Hill, Law, School"
"Unfortunately, what many people forget is that judges are just lawyers in robes.",Tammy Bruce,"People, Lawyers, Judges"
"I used to want to be a lawyer, but I didn't want to have half my brain sucked out.",Max Walker,"Brain, Lawyer, Half"
The good lawyer is the great salesman.,Janet Reno,"Good, Great, Lawyer"
"Your legal career is but a means to an end, and... that end is building the kingdom of God.",Amy Coney Barrett,"God, Your, End"
"Love is moral even without legal marriage, but marriage is immoral without love.",Ellen Key,"Love, Marriage, Love Is"
I think lawyers who engage in pro bono service to protect those who cannot help themselves are truly the heroes and the heroines of the legal profession.,Janet Reno,"Service, Lawyers, Help"
Legal aid is central to righting wrongs and rectifying injustice.,Sadiq Khan,"Injustice, Aid, Wrongs"
There should not be a question of legal or illegal immigration. People came and immigrated to this country from the time of the Indians. No one's illegal. They should just be able to come.,Linda Ronstadt,"Time, Country, People"
