title,author,tags
"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",Marie Curie,"Time, Fear, Nothing"
He who has a why to live can bear almost any how.,Friedrich Nietzsche,"Live, Why, Bear"
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",Buddha,"Future, Moment, Mind"
"We do not remember days, we remember moments.",Cesare Pavese,"Remember, Days, Moments"
Sometimes life hits you in the head with a brick. Don't lose faith.,Steve Jobs,"Faith, Lose, Sometimes"
Every man dies. Not every man really lives.,William Wallace,"Man, Every Man, Every"
"The truth is you don't know what is going to happen tomorrow. Life is a crazy ride, and nothing is guaranteed.",Eminem,"Truth, Tomorrow, Ride"
Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.,Harvey Fierstein,"Silence, Your, Yourself"
Life is what happens while you are busy making other plans.,John Lennon,"Busy, Happens, Plans"
"We must be willing to let go of the life we have planned, so as to have the life that is waiting for us.",E. M. Forster,"Waiting, Planned, Go"
"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.",Sholom Aleichem,"Wise, Fool, Game"
"Open your eyes, look within. Are you satisfied with the life you're living?",Bob Marley,"Eyes, Your, Look"
"When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left, and could say, 'I used everything you gave me'.",Erma Bombeck,"God, Hope, Talent"
A life is not important except in the impact it has on other lives.,Jackie Robinson,"Important, Impact, Except"
"We are here to add what we can to life, not to get what we can from life.",William Osler,"Here, Add, Get"
"How far you go in life depends on your being tender with the young, compassionate with the aged, sympathetic with the striving and tolerant of the weak and strong. Because someday in your life you will have been all of these.",George Washington Carver,"Your, Will, Young"
"I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived.",Henry David Thoreau,"Die, Facts, Woods"
The purpose of life is a life of purpose.,Robert Byrne,"Life Is A, Purpose"
Life is a song - sing it. Life is a game - play it. Life is a challenge - meet it. Life is a dream - realize it. Life is a sacrifice - offer it. Life is love - enjoy it.,Sai Baba,"Love, Sacrifice, Game"
A man who dares to waste one hour of time has not discovered the value of life.,Charles Darwin,"Time, Man, Value"
"Ships that pass in the night, and speak each other in passing, only a signal shown, and a distant voice in the darkness; So on the ocean of life, we pass and speak one another, only a look and a voice, then darkness again and a silence.",Henry Wadsworth Longfellow,"Silence, Darkness, Voice"
"I have found that if you love life, life will love you back.",Arthur Rubinstein,"Love, Will, Love Life"
"You're only here for a short visit. Don't hurry, don't worry. And be sure to smell the flowers along the way.",Walter Hagen,"Way, Worry, Smell"
Growth is the only evidence of life.,John Henry Newman,"Growth, Only, Evidence"
"Don't go through life, grow through life.",Eric Butterworth,"Grow, Go, Through"
The only disability in life is a bad attitude.,Scott Hamilton,"Attitude, Life Is A, Bad"
It's all about quality of life and finding a happy balance between work and friends and family.,Philip Green,"Work, Family, Quality"
"Life is 10 percent what you make it, and 90 percent how you take it.",Irving Berlin,"Make, Take, Percent"
Nobody made a greater mistake than he who did nothing because he could do only a little.,Edmund Burke,"Mistake, Nothing, Nobody"
"Life is what we make it, always has been, always will be.",Grandma Moses,"Always, Will, Make"
You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,Albert Camus,"Happiness, Search, Will"
"Life is short and we have never too much time for gladdening the hearts of those who are travelling the dark journey with us. Oh be swift to love, make haste to be kind.",Henri Frederic Amiel,"Love, Time, Journey"
"If you live long enough, you'll make mistakes. But if you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.",William J. Clinton,"Adversity, Long, Better"
We live in a rainbow of chaos.,Paul Cezanne,"Rainbow, Chaos, Live"
Life is a mirror and will reflect back to the thinker what he thinks into it.,Ernest Holmes,"Mirror, Life Is A, Will"
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,"Yourself, Finding, Creating"
Life is ten percent what happens to you and ninety percent how you respond to it.,Lou Holtz,"Happens, Respond, Percent"
The art of life is to know how to enjoy a little and to endure very much.,William Hazlitt,"Art, Know, Endure"
All the art of living lies in a fine mingling of letting go and holding on.,Havelock Ellis,"Art, Living, Go"
"Good friends, good books and a sleepy conscience: this is the ideal life.",Mark Twain,"Good, Conscience, Friends"
Life is a lively process of becoming.,Douglas MacArthur,"Life Is A, Process, Becoming"
Surprise is the greatest gift which life can grant us.,Boris Pasternak,"Gift, Surprise, Greatest Gift"
"Life is not a problem to be solved, but a reality to be experienced.",Soren Kierkegaard,"Reality, Problem, Experienced"
We can't plan life. All we can do is be available for it.,Lauryn Hill,"Plan, Available"
"I slept and dreamt that life was joy. I awoke and saw that life was service. I acted and behold, service was joy.",Rabindranath Tagore,"Service, Joy, Behold"
"You have enemies? Good. That means you've stood up for something, sometime in your life.",Winston Churchill,"Good, Your, Enemies"
Life is a lot like jazz... it's best when you improvise.,George Gershwin,"Best, Life Is A, Jazz"
"What do we live for, if not to make life less difficult for each other?",George Eliot,"Difficult, Live, Make"
Give me the luxuries of life and I will willingly do without the necessities.,Frank Lloyd Wright,"Me, Will, Without"
"Our prime purpose in this life is to help others. And if you can't help them, at least don't hurt them.",Dalai Lama,"Purpose, Help Others, Hurt"
