title,author,tags
"A successful marriage requires falling in love many times, always with the same person.",Mignon McLaughlin,"Love, Always, Person"
"Happy is the man who finds a true friend, and far happier is he who finds that true friend in his wife.",Franz Schubert,"Man, Wife, True Friend"
"To keep your marriage brimming, With love in the loving cup, Whenever you're wrong, admit it; Whenever you're right, shut up.",Ogden Nash,"Love, Your, Keep"
"When a man opens a car door for his wife, it's either a new car or a new wife.",Prince Philip,"Car, Man, Wife"
Marriages are made in heaven and consummated on Earth.,John Lyly,"Heaven, Earth, Marriages"
The secret of a happy marriage remains a secret.,Henny Youngman,"Happy, Secret, Happy Marriage"
A good marriage would be between a blind wife and a deaf husband.,Michel de Montaigne,"Good, Wife, Blind"
A good husband makes a good wife.,John Florio,"Good, Wife, Good Wife"
"When a man steals your wife, there is no better revenge than to let him keep her.",Sacha Guitry,"Man, Your, Wife"
Marriage is not about age; it's about finding the right person.,Sophia Bush,"Age, Right Person, Person"
"The first time you marry for love, the second for money, and the third for companionship.",Jackie Kennedy,"Love, Time, Money"
Don't marry the person you think you can live with; marry only the individual you think you can't live without.,James Dobson,"Person, Live, Think"
"By all means, marry. If you get a good wife, you'll become happy; if you get a bad one, you'll become a philosopher.",Socrates,"Good, Wife, Bad"
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"Friendship, Love, Unhappy"
There's only one way to have a happy marriage and as soon as I learn what it is I'll get married again.,Clint Eastwood,"Way, Happy, Only"
I love being married. It's so great to find that one special person you want to annoy for the rest of your life.,Rita Rudner,"Life, Love, Great"
A happy marriage is a long conversation which always seems too short.,Andre Maurois,"Always, Long, Conversation"
"I married beneath me, all women do.",Nancy Astor,"Women, Me, Beneath"
"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",Jane Austen,"Truth, Good, Man"
"There were three of us in this marriage, so it was a bit crowded.",Princess Diana,"Three, Us, Crowded"
My wife is my soul mate. I can't imagine being without her.,Matt Damon,"Wife, Soul, My Soul"
"There is nothing nobler or more admirable than when two people who see eye to eye keep house as man and wife, confounding their enemies and delighting their friends.",Homer,"Man, Wife, Enemies"
A man in love is incomplete until he has married. Then he's finished.,Zsa Zsa Gabor,"Love, Love Is, Man"
"Let the wife make the husband glad to come home, and let him make her sorry to see him leave.",Martin Luther,"Home, Wife, Sorry"
Many a man in love with a dimple makes the mistake of marrying the whole girl.,Stephen Leacock,"Love, Man, Mistake"
"Every good relationship, especially marriage, is based on respect. If it's not based on respect, nothing that appears to be good will last very long.",Amy Grant,"Good, Respect, Relationship"
"Love is moral even without legal marriage, but marriage is immoral without love.",Ellen Key,"Love, Legal, Love Is"
"Marriage is like a cage; one sees the birds outside desperate to get in, and those inside equally desperate to get out.",Michel de Montaigne,"Birds, Outside, Inside"
"Marriage is a wonderful institution, but who wants to live in an institution?",Groucho Marx,"Live, Wonderful, Institution"
Love: A temporary insanity curable by marriage.,Ambrose Bierce,"Love, Insanity, Temporary"
Marriage is good for those who are afraid to sleep alone at night.,St. Jerome,"Alone, Good, Sleep"
"Marriage has no guarantees. If that's what you're looking for, go live with a car battery.",Erma Bombeck,"Car, Looking, Live"
Marriage may be the closest thing to Heaven or Hell any of us will know on this earth.,Edwin Louis Cole,"Hell, Will, Know"
"Marriage resembles a pair of shears, so joined that they cannot be separated; often moving in opposite directions, yet always punishing anyone who comes between them.",Sydney Smith,"Always, Moving, Cannot"
"Marriage, n: the state or condition of a community consisting of a master, a mistress, and two slaves, making in all, two.",Ambrose Bierce,"Community, Mistress, Master"
"Instead of getting married again, I'm going to find a woman I don't like and give her a house.",Lewis Grizzard,"Woman, Find, House"
"My husband and I are best of friends first and foremost. We fight like cats and dogs, but never stay mad for long. I was lucky to find him, he is in every way, my soulmate.",Carnie Wilson,"Best, Fight, Long"
"Marriage is not just spiritual communion, it is also remembering to take out the trash.",Joyce Brothers,"Spiritual, Trash, Remembering"
"Marriage is the highest state of friendship. If happy, it lessens our cares by dividing them, at the same time that it doubles our pleasures by mutual participation.",Samuel Richardson,"Friendship, Time, Happy"
"Keep your eyes wide open before marriage, half shut afterwards.",Benjamin Franklin,"Eyes, Your, Keep"
"For marriage to be a success, every woman and every man should have her and his own bathroom. The end.",Catherine Zeta-Jones,"Success, Man, Woman"
"If you want to read about love and marriage, you've got to buy two separate books.",Alan King,"Love, Two, Want"
"A husband is what is left of a lover, after the nerve has been extracted.",Helen Rowland,"Husband, Left, Nerve"
"In a happy marriage it is the wife who provides the climate, the husband the landscape.",Gerald Brenan,"Wife, Happy, Husband"
"The secret to a happy marriage is if you can be at peace with someone within four walls, if you are content because the one you love is near to you, either upstairs or downstairs, or in the same room, and you feel that warmth that you don't find very often, then that is what love is all about.",Bruce Forsyth,"Love, Peace, Love Is"
"I'd marry again if I found a man who had fifteen million dollars, would sign over half to me, and guarantee that he'd be dead within a year.",Bette Davis,"Man, Me, Dead"
Married men live longer than single men. But married men are a lot more willing to die.,Johnny Carson,"Men, Die, Live"
"Take care of him. And make him feel important. And if you can do that, you'll have a happy and wonderful marriage. Like two out of every ten couples.",Neil Simon,"Care, Important, Feel"
"Marriage should be a duet - when one sings, the other claps.",Joe Murray,"Duet, Should, Other"
Marriage - a book of which the first chapter is written in poetry and the remaining chapters in prose.,Beverley Nichols,"Poetry, First, Book"
"Marriage has made me a lot happier and I'm deeply in love with my wife, and I thank God for her every day.","Harry Connick, Jr.","Love, God, Day"
"One advantage of marriage is that, when you fall out of love with him or he falls out of love with you, it keeps you together until you fall in again.",Judith Viorst,"Love, Together, Fall"
"Marriage is a wonderful invention: then again, so is a bicycle repair kit.",Billy Connolly,"Bicycle, Wonderful, Invention"
Bachelors know more about women than married men; if they didn't they'd be married too.,H. L. Mencken,"Women, Men, Know"
"Whoever, fleeing marriage and the sorrows that women cause, does not wish to wed comes to a deadly old age.",Hesiod,"Women, Age, Old Age"
"When women hold off from marrying men, we call it independence. When men hold off from marrying women, we call it fear of commitment.",Warren Farrell,"Women, Men, Fear"
"Marriage is a gamble, let's be honest.",Yoko Ono,"Gamble, Honest"
"When marrying, ask yourself this question: Do you believe that you will be able to converse well with this person into your old age? Everything else in marriage is transitory.",Friedrich Nietzsche,"Age, Your, Believe"
One should always be in love. That is the reason one should never marry.,Oscar Wilde,"Love, Always, Never"
"But marriage goes in waves. You've got to be patient. People bail and give up on their marriages way too early. They just don't put the work and the effort into it. You've got to suck up your ego a lot of times, because that can be a big downfall.",Anna Benson,"Work, Your, Effort"
"If you want to sacrifice the admiration of many men for the criticism of one, go ahead, get married.",Katharine Hepburn,"Men, Sacrifice, Ahead"
"Marriage is neither heaven nor hell, it is simply purgatory.",Abraham Lincoln,"Hell, Heaven, Simply"
"If there is such a thing as a good marriage, it is because it resembles friendship rather than love.",Michel de Montaigne,"Friendship, Love, Good"
"I have learned that only two things are necessary to keep one's wife happy. First, let her think she's having her own way. And second, let her have it.",Lyndon B. Johnson,"Wife, I Have Learned, Keep"
In Hollywood a marriage is a success if it outlasts milk.,Rita Rudner,"Success, Milk, Hollywood"
"In almost every marriage there is a selfish and an unselfish partner. A pattern is set up and soon becomes inflexible, of one person always making the demands and one person always giving way.",Iris Murdoch,"Always, Selfish, Way"
My most brilliant achievement was my ability to be able to persuade my wife to marry me.,Winston Churchill,"Achievement, Wife, Me"
"I put my career in second place throughout both my marriages and it suffered. I don't regret it. You make choices. If you want a good marriage, you must pay attention to that. If you want to be independent, go ahead. You can't have it all.",Lauren Bacall,"Good, Regret, Choices"
"If I get married, I want to be very married.",Audrey Hepburn,"Want, Get, Very"
"Marrying for love may be a bit risky, but it is so honest that God can't help but smile on it.",Josh Billings,"Love, Smile, God"
A journey is like marriage. The certain way to be wrong is to think you control it.,John Steinbeck,"Journey, Control, Way"
Husbands are like fires - they go out when they're left unattended.,Cher,"Go, Left, Like"
A good husband is never the first to go to sleep at night or the last to awake in the morning.,Honore de Balzac,"Good, Morning, Sleep"
"One was never married, and that's his hell; another is, and that's his plague.",Robert Burton,"Hell, Never, Plague"
"Do you know what it means to come home at night to a woman who'll give you a little love, a little affection, a little tenderness? It means you're in the wrong house, that's what it means.",Henny Youngman,"Love, Home, Woman"
"Perhaps my problem in marriage - and it is the problem of many women - was to want both intimacy and independence. It is a difficult line to walk, yet both needs are important to a marriage.",Hedy Lamarr,"Women, Independence, Walk"
"Yes, I am seeking a husband. As soon as the right man asks me, I shall say, 'It is not good for a woman to live alone.'",Anna Held,"Alone, Good, Man"
"Marriage is an adventure, like going to war.",Gilbert K. Chesterton,"War, Adventure, Like"
Basically my wife was immature. I'd be at home in the bath and she'd come in and sink my boats.,Woody Allen,"Home, Wife, Bath"
"If you want to know how your girl will treat you after marriage, just listen to her talking to her little brother.",Sam Levenson,"Your, Treat, Will"
Politics doesn't make strange bedfellows - marriage does.,Groucho Marx,"Politics, Strange, Make"
Marriage is a bribe to make the housekeeper think she's a householder.,Thornton Wilder,"Make, She, Think"
"Where there's marriage without love, there will be love without marriage.",Benjamin Franklin,"Love, Will, Where"
Marriage must incessantly contend with a monster that devours everything: familiarity.,Honore de Balzac,"Everything, Must, Familiarity"
"All men make mistakes, but married men find out about them sooner.",Red Skelton,"Men, Mistakes, Find"
"Faithful women are all alike, they think only of their fidelity, never of their husbands.",Jean Giraudoux,"Women, Never, Faithful"
A successful marriage is an edifice that must be rebuilt every day.,Andre Maurois,"Day, Every Day, Must"
Marriage is an attempt to solve problems together which you didn't even have when you were on your own.,Eddie Cantor,"Your, Together, Problems"
There is nothing in the world like the devotion of a married woman. It is a thing no married man knows anything about.,Oscar Wilde,"Man, World, Woman"
For years my wedding ring has done its job. It has led me not into temptation. It has reminded my husband numerous times at parties that it's time to go home. It has been a source of relief to a dinner companion. It has been a status symbol in the maternity ward.,Erma Bombeck,"Time, Home, Wedding"
"If love means never having to say you're sorry, then marriage means always having to say everything twice.",Estelle Getty,"Love, Always, Sorry"
Getting divorced just because you don't love a man is almost as silly as getting married just because you do.,Zsa Zsa Gabor,"Love, Man, Just Because"
"Any intelligent woman who reads the marriage contract, and then goes into it, deserves all the consequences.",Isadora Duncan,"Woman, Consequences, Intelligent"
"Marriage is a great institution, but I'm not ready for an institution.",Mae West,"Great, Ready, Institution"
She's been married so many times she has rice marks on her face.,Henny Youngman,"Face, Rice, She"
"They dream in courtship, but in wedlock wake.",Alexander Pope,"Dream, Courtship, Wake"
Happiness in marriage is entirely a matter of chance.,Jane Austen,"Happiness, Chance, Matter"
"When a marriage works, nothing on earth can take its place.",Helen Gahagan,"Nothing, Earth, Place"
Men who have a pierced ear are better prepared for marriage - they've experienced pain and bought jewelry.,Rita Rudner,"Men, Pain, Better"
Love is often the fruit of marriage.,Moliere,"Love, Love Is, Fruit"
Marriage: A word which should be pronounced 'mirage'.,Herbert Spencer,"Should, Which, Mirage"
Marriage is nature's way of keeping us from fighting with strangers.,Alan King,"Nature, Fighting, Way"
"Protecting the institution of marriage safeguards, I believe, the American family.",John Boehner,"Family, Believe, American"
A psychiatrist asks a lot of expensive questions your wife asks for nothing.,Joey Adams,"Your, Wife, Nothing"
"I married the first man I ever kissed. When I tell this to my children, they just about throw up.",Barbara Bush,"Man, Children, First"
All marriages are happy. It's the living together afterward that causes all the trouble.,Raymond Hull,"Together, Living, Trouble"
"Bachelors have consciences, married men have wives.",Samuel Johnson,"Men, Married Men, Bachelors"
Only choose in marriage a man whom you would choose as a friend if he were a woman.,Joseph Joubert,"Man, Woman, Choose"
Marriage is a great institution.,Elizabeth Taylor,"Great, Institution"
A marriage without conflicts is almost as inconceivable as a nation without crises.,Andre Maurois,"Nation, Almost, Without"
Marriage is a mistake every man should make.,George Jessel,"Man, Mistake, Make"
Marriage is an exercise in torture.,Frances Conroy,"Exercise, Torture"
"All that a husband or wife really wants is to be pitied a little, praised a little, and appreciated a little.",Oliver Goldsmith,"Wife, Husband, Appreciated"
"I always remembered that when I saw people get married they got on a rocketship and went to Planet Happiness, Population: Them.",Marc Webb,"Happiness, Always, People"
The only good husbands stay bachelors: They're too considerate to get married.,Finley Peter Dunne,"Good, Stay, Only"
"The difficulty with marriage is that we fall in love with a personality, but must live with a character.",Peter De Vries,"Love, Personality, Character"
"Like everything which is not the involuntary result of fleeting emotion but the creation of time and will, any marriage, happy or unhappy, is infinitely more interesting than any romance, however passionate.",W. H. Auden,"Time, Result, Will"
"Bring a wife home to your house when you are of the right age, not far short of 30 years, nor much above; this is the right time for marriage.",Hesiod,"Time, Age, Home"
"It's not beauty but fine qualities, my girl, that keep a husband.",Euripides,"Beauty, Keep, Husband"
"Marriage is the alliance of two people, one of whom never remembers birthdays and the other who never forgets them.",Ogden Nash,"People, Never, Two People"
"I think women are natural caretakers. They take care of everybody. They take care of their husbands and their kids and their dogs, and don't spend a lot of time just getting back and taking time out.",Reese Witherspoon,"Women, Time, Care"
"Marriages, like careers, need constant nurturing... the secret of having it all is loving it all.",Joyce Brothers,"Loving, Secret, Need"
Sensual pleasures have the fleeting brilliance of a comet; a happy marriage has the tranquillity of a lovely sunset.,Ann Landers,"Sunset, Happy, Sensual"
"On rare occasions one does hear of a miraculous case of a married couple falling in love after marriage, but on close examination it will be found that it is a mere adjustment to the inevitable.",Emma Goldman,"Love, Will, Falling"
"Before marriage, a girl has to make love to a man to hold him. After marriage, she has to hold him to make love to him.",Marilyn Monroe,"Love, Man, Girl"
"Well married a person has wings, poorly married shackles.",Henry Ward Beecher,"Wings, Person, Well"
A wedding is a funeral where you smell your own flowers.,Eddie Cantor,"Wedding, Your, Own"
