title,author,tags
A gentleman is simply a patient wolf.,Lana Turner,"Gentleman, Patient, Wolf"
"Either men will learn to live like brothers, or they will die like beasts.",Max Lerner,"Die, Will, Live"
"Men are like steel. When they lose their temper, they lose their worth.",Chuck Norris,"Lose, Temper, Steel"
Neutral men are the devil's allies.,Edwin Hubbel Chapin,"Devil, Neutral, Allies"
The greatest deception men suffer is from their own opinions.,Leonardo da Vinci,"Own, Deception, Opinions"
Men do not fail; they give up trying.,Elihu Root,"Trying, Up, Fail"
"A woman simply is, but a man must become.",Camille Paglia,"Man, Woman, Become"
"'Tis easy enough to be pleasant, When life flows along like a song; But the man worth while is the one who will smile when everything goes dead wrong.",Ella Wheeler Wilcox,"Life, Smile, Man"
Every man is a volume if you know how to read him.,William Ellery Channing,"Man, Know, Every Man"
"It is the privilege of the gods to want nothing, and of godlike men to want little.",Diogenes,"Nothing, Privilege, Want"
"If the world were a logical place, men would ride side saddle.",Rita Mae Brown,"Ride, World, Place"
Circumstances rule men; men do not rule circumstances.,Herodotus,"Circumstances, Rule"
"The less men think, the more they talk.",Montesquieu,"Talk, Think, More"
Those men get along best with women who can get along best without them.,Charles Baudelaire,"Best, Women, Who"
Men do not quit playing because they grow old; they grow old because they quit playing.,"Oliver Wendell Holmes, Sr.","Grow, Quit, Old"
Men always want to be a woman's first love - women like to be a man's last romance.,Oscar Wilde,"Love, Women, Always"
"Whatever makes men good Christians, makes them good citizens.",Daniel Webster,"Good, Whatever, Them"
Many men owe the grandeur of their lives to their tremendous difficulties.,Charles Spurgeon,"Difficulties, Owe, Grandeur"
Waste no more time arguing about what a good man should be. Be one.,Marcus Aurelius,"Good, Time, Man"
"Man as an individual is a genius. But men in the mass form the headless monster, a great, brutish idiot that goes where prodded.",Charlie Chaplin,"Great, Man, Genius"
The true index of a man's character is the health of his wife.,Cyril Connolly,"Health, Character, Man"
Culture makes all men gentle.,Menander,"Culture, Gentle, Makes"
"Passion makes idiots of the cleverest men, and makes the biggest idiots clever.",Francois de La Rochefoucauld,"Passion, Idiots, Clever"
Men aren't necessities. They're luxuries.,Cher,"Necessities, Luxuries"
Luck is not something you can mention in the presence of self-made men.,E. B. White,"Luck, Self-Made, Something"
"Men are not punished for their sins, but by them.",Kin Hubbard,"Punished, Them, Sins"
Treat all men alike. Give them the same law. Give them an even chance to live and grow.,Chief Joseph,"Chance, Treat, Grow"
Men are not against you; they are merely for themselves.,Gene Fowler,"Against, Themselves, Merely"
"Stronger by weakness, wiser men become.",Edmund Waller,"Weakness, Stronger, Wiser"
The mass of men lead lives of quiet desperation. What is called resignation is confirmed desperation.,Henry David Thoreau,"Resignation, Desperation, Quiet"
Men must know their limitations.,Clint Eastwood,"Know, Must, Limitations"
"Like all young men I set out to be a genius, but mercifully laughter intervened.",Lawrence Durrell,"Laughter, Genius, Young"
A bachelor is a guy who never made the same mistake once.,Phyllis Diller,"Mistake, Never, Bachelor"
"I think men are afraid to be with a successful woman, because we are terribly strong, we know what we want and we are not fragile enough.",Shirley Bassey,"Woman, Know, Enough"
"Men are freest when they are most unconscious of freedom. The shout is a rattling of chains, always was.",D. H. Lawrence,"Freedom, Always, Chains"
Men can only be happy when they do not assume that the object of life is happiness.,George Orwell,"Life, Happiness, Happy"
"Men are like sheep, of which a flock is more easily driven than a single one.",Richard Whately,"Sheep, More, Like"
"Nothing great will ever be achieved without great men, and men are great only if they are determined to be so.",Charles de Gaulle,"Great, Nothing, Will"
"Boys will be boys, and so will a lot of middle-aged men.",Kin Hubbard,"Will, Middle-Aged, Lot"
Men tire themselves in pursuit of rest.,Laurence Sterne,"Rest, Tire, Pursuit"
"When women love us, they forgive us everything, even our crimes; when they do not love us, they give us credit for nothing, not even our virtues.",Honore de Balzac,"Love, Women, Nothing"
"We should weep for men at their birth, not at their death.",Montesquieu,"Death, Birth, Should"
"Where all men think alike, no one thinks very much.",Walter Lippmann,"Much, Think, Where"
Honor is simply the morality of superior men.,H. L. Mencken,"Honor, Morality, Superior"
Men don't care what's on TV. They only care what else is on TV.,Jerry Seinfeld,"Care, don't Care, Only"
There are only two forces that unite men - fear and interest.,Napoleon Bonaparte,"Fear, Interest, Only"
My mom said the only reason men are alive is for lawn care and vehicle maintenance.,Tim Allen,"Mom, Care, Alive"
Man becomes great exactly in the degree in which he works for the welfare of his fellow-men.,Mahatma Gandhi,"Great, Man, Degree"
Women thrive on novelty and are easy meat for the commerce of fashion. Men prefer old pipes and torn jackets.,Anthony Burgess,"Women, Fashion, Easy"
The first rule of business is: Do other men for they would do you.,Charles Dickens,"Business, First, Other"
It's at the borders of pain and suffering that the men are separated from the boys.,Emil Zatopek,"Pain, Suffering, Borders"
"If you have men who will exclude any of God's creatures from the shelter of compassion and pity, you will have men who will deal likewise with their fellow men.",Francis of Assisi,"God, Compassion, Will"
"Every man needs two women: a quiet home-maker, and a thrilling nymph.",Iris Murdoch,"Women, Man, Quiet"
"What do women do when they get together? We sit around and talk! Men, not so much. My theory is that this difference is genetic and dates back to the hunter-gatherer societies, when the men had to be quiet as they hunted, lest they scare away the bison and then everyone starved to death and it was all their fault.",Jenna McCarthy,"Death, Women, Together"
Men are only as good as their technical development allows them to be.,George Orwell,"Good, Development, Only"
"Men are born to succeed, not to fail.",Henry David Thoreau,"Succeed, Born, Fail"
"When a hundred men stand together, each of them loses his mind and gets another one.",Friedrich Nietzsche,"Together, Mind, Stand"
Men are more easily governed through their vices than through their virtues.,Napoleon Bonaparte,"Virtues, Through, More"
Men get to be a mixture of the charming mannerisms of the women they have known.,F. Scott Fitzgerald,"Women, Charming, Get"
"Italian men do appreciate beautiful women. They're not afraid of the beauty, which is nice.",Eva Herzigova,"Beauty, Women, Beautiful"
All men who have turned out worth anything have had the chief hand in their own education.,Walter Scott,"Education, Own, Anything"
The truth is found when men are free to pursue it.,Franklin D. Roosevelt,"Truth, Free, Truth Is"
Men of lofty genius when they are doing the least work are most active.,Leonardo da Vinci,"Work, Doing, Genius"
"Without feelings of respect, what is there to distinguish men from beasts?",Confucius,"Respect, Feelings, Without"
Manhood coerced into sensitivity is no manhood at all.,Camille Paglia,"Sensitivity, Manhood"
No nice men are good at getting taxis.,Katharine Whitehorn,"Good, Nice, Getting"
"When men and women agree, it is only in their conclusions; their reasons are always different.",George Santayana,"Women, Always, Men And Women"
"For many men, the acquisition of wealth does not end their troubles, it only changes them.",Lucius Annaeus Seneca,"Wealth, End, Only"
The superior man is distressed by the limitations of his ability; he is not distressed by the fact that men do not recognize the ability that he has.,Confucius,"Man, Ability, Superior"
Men are actually the weaker sex.,George Weinberg,"Sex, Actually, Weaker"
"I only like two kinds of men, domestic and imported.",Mae West,"Only, Two, Like"
"Do not trust all men, but trust men of worth; the former course is silly, the latter a mark of prudence.",Democritus,"Trust, Prudence, Worth"
One man that has a mind and knows it can always beat ten men who haven't and don't.,George Bernard Shaw,"Always, Man, Mind"
"Pride, envy, avarice - these are the sparks have set on fire the hearts of all men.",Dante Alighieri,"Fire, Pride, Envy"
"Men rise from one ambition to another: first, they seek to secure themselves against attack, and then they attack others.",Niccolo Machiavelli,"Ambition, Rise, First"
All men were made by the Great Spirit Chief. They are all brothers.,Chief Joseph,"Great, Spirit, Made"
I never wanted to weigh more heavily on a man than a bird.,Coco Chanel,"Bird, Man, Never"
For tis not in mere death that men die most.,Elizabeth Barrett Browning,"Death, Die, Most"
I am an agnostic; I do not pretend to know what many ignorant men are sure of.,Clarence Darrow,"I Am, Know, Pretend"
Men are different. When they are in love they may also have other girlfriends.,Zhang Ziyi,"Love, May, Different"
"All men have an instinct for conflict: at least, all healthy men.",Hilaire Belloc,"Conflict, Healthy, Instinct"
"I usually make up my mind about a man in ten seconds, and I very rarely change it.",Margaret Thatcher,"Change, Man, Mind"
First find the man in yourself if you will inspire manliness in others.,Amos Bronson Alcott,"Man, Yourself, Will"
"Men, as well as women, are much oftener led by their hearts than by their understandings.","Philip Stanhope, 4th Earl of Chesterfield","Women, Much, Well"
"I look only to the good qualities of men. Not being faultless myself, I won't presume to probe into the faults of others.",Mahatma Gandhi,"Good, Myself, Look"
"Men, even when alone, lighten their labors by song, however rude it may be.",Quintilian,"Alone, Song, Rude"
"Deliberation is the work of many men. Action, of one alone.",Charles de Gaulle,"Work, Alone, Action"
Men's arguments often prove nothing but their wishes.,Charles Caleb Colton,"Nothing, Prove, Wishes"
"Men may live fools, but fools they cannot die.",Edward Young,"Die, Live, May"
Men give away nothing so liberally as their advice.,Francois de La Rochefoucauld,"Advice, Nothing, Away"
"Men, who are rogues individually, are in the mass very honorable people.",Montesquieu,"People, Honorable, Who"
By indignities men come to dignities.,Francis Bacon,Come
Do not put such unlimited power into the hands of husbands. Remember all men would be tyrants if they could.,Abigail Adams,"Power, Remember, Hands"
"Women love us for our defects. If we have enough of them, they will forgive us everything, even our gigantic intellects.",Oscar Wilde,"Love, Women, Will"
"By nature, men love newfangledness.",Geoffrey Chaucer,"Love, Nature"
Men have as exaggerated an idea of their rights as women have of their wrongs.,E. W. Howe,"Women, Rights, Idea"
Men often act knowingly against their interest.,David Hume,"Act, Interest, Against"
"When two men in business always agree, one of them is unnecessary.",Ezra Pound,"Business, Always, Two"
I only have 'yes' men around me. Who needs 'no' men?,Mae West,"Me, Only, Who"
"Certainly the best works, and of greatest merit for the public, have proceeded from the unmarried, or childless men.",Francis Bacon,"Best, Merit, Unmarried"
No gentleman ever discusses any relationship with a lady.,Keith Miller,"Relationship, Gentleman, Lady"
Nothing is as peevish and pedantic as men's judgments of one another.,Desiderius Erasmus,"Nothing, Pedantic, Another"
"When a man is no longer anxious to do better than well, he is done for.",Benjamin Haydon,"Done, Man, Better"
"Most men, when they think they are thinking, are merely rearranging their prejudices.",Knute Rockne,"Thinking, Think, Most"
"Women prefer to talk in twos, while men prefer to talk in threes.",Gilbert K. Chesterton,"Women, Talk, Prefer"
Men should strive to think much and know little.,Democritus,"Know, Much, Strive"
"There is always a type of man who says he loves his fellow men, and expects to make a living at it.",E. W. Howe,"Always, Man, Living"
There is no such thing as justice in the abstract; it is merely a compact between men.,Epicurus,"Justice, Abstract, Thing"
