title,author,tags
Motherhood is the greatest thing and the hardest thing.,Ricki Lake,"Hardest, Motherhood, Greatest"
"My mother said to me, 'If you are a soldier, you will become a general. If you are a monk, you will become the Pope.' Instead, I was a painter, and became Picasso.",Pablo Picasso,"Me, Will, Mother"
"That strong mother doesn't tell her cub, Son, stay weak so the wolves can get you. She says, Toughen up, this is reality we are living in.",Lauryn Hill,"Reality, Living, Son"
"Having children is my greatest achievement. It was my saviour. It switched my focus from the outside to the inside. My children are gifts, they remind me of what's important.",Elle Macpherson,"Achievement, Focus, Me"
My mother thinks I am the best. And I was raised to always believe what my mother tells me.,Diego Maradona,"Best, Always, Believe"
The heart of a mother is a deep abyss at the bottom of which you will always find forgiveness.,Honore de Balzac,"Forgiveness, Always, Heart"
"My mother used to tell me man gives the award, God gives the reward. I don't need another plaque.",Denzel Washington,"God, Man, Award"
My mother taught me to treat a lady respectfully.,Chris Brown,"Treat, Me, Mother"
I am truly my mother's son.,David Geffen,"I Am, Son, Mother"
"My mother taught me about the power of inspiration and courage, and she did it with a strength and a passion that I wish could be bottled.",Carly Fiorina,"Courage, Strength, Power"
"The natural state of motherhood is unselfishness. When you become a mother, you are no longer the center of your own universe. You relinquish that position to your children.",Jessica Lange,"Your, Universe, Own"
"When you are a mother, you are never really alone in your thoughts. A mother always has to think twice, once for herself and once for her child.",Sophia Loren,"Alone, Always, Thoughts"
The mother's heart is the child's schoolroom.,Henry Ward Beecher,"Heart, Mother, Child"
My mother's wonderful. To me she's perfection.,Michael Jackson,"Perfection, Me, Mother"
"Throughout my life, my mom has been the person that I've always looked up to.",Mike Krzyzewski,"Life, Always, My Life"
"I am sure that if the mothers of various nations could meet, there would be no more wars.",E. M. Forster,"I Am, Meet, More"
"Yes, Mother. I can see you are flawed. You have not hidden it. That is your greatest gift to me.",Alice Walker,"Your, Gift, Me"
"Sweater, n.: garment worn by child when its mother is feeling chilly.",Ambrose Bierce,"Mother, Feeling, Sweater"
I wish my mother had left me something about how she felt growing up. I wish my grandmother had done the same. I wanted my girls to know me.,Carol Burnett,"Done, Me, Know"
Motherhood is at its best when the tender chords of sympathy have been touched.,Paul P. Harris,"Best, Sympathy, Motherhood"
"A woman must combine the role of mother, wife and politician.",Emma Bonino,"Wife, Woman, Politician"
It is not until you become a mother that your judgment slowly turns to compassion and understanding.,Erma Bombeck,"Your, Compassion, Understanding"
I'm so happy and thankful I made it a point be a stay-at-home mom.,Candace Cameron Bure,"Thankful, Happy, Point"
Men are what their mothers made them.,Ralph Waldo Emerson,"Men, Made, Them"
There was never a child so lovely but his mother was glad to get him to sleep.,Ralph Waldo Emerson,"Sleep, Mother, Never"
"When your mother asks, 'Do you want a piece of advice?' it is a mere formality. It doesn't matter if you answer yes or no. You're going to get it anyway.",Erma Bombeck,"Your, Advice, Matter"
"My mother had a great deal of trouble with me, but I think she enjoyed it.",Mark Twain,"Great, Me, Mother"
"When motherhood becomes the fruit of a deep yearning, not the result of ignorance or accident, its children will become the foundation of a new race.",Margaret Sanger,"Fruit, Ignorance, Foundation"
I may be the only mother in America who knows exactly what their child is up to all the time.,Barbara Bush,"Time, America, Mother"
"Do you know what you call those who use towels and never wash them, eat meals and never do the dishes, sit in rooms they never clean, and are entertained till they drop? If you have just answered, 'A house guest,' you're wrong because I have just described my kids.",Erma Bombeck,"Know, Never, Clean"
Motherhood has a very humanizing effect. Everything gets reduced to essentials.,Meryl Streep,"Everything, Motherhood, Effect"
"How simple a thing it seems to me that to know ourselves as we are, we must know our mothers names.",Alice Walker,"Simple, Me, Know"
"The mother-child relationship is paradoxical and, in a sense, tragic. It requires the most intense love on the mother's side, yet this very love must help the child grow away from the mother, and to become fully independent.",Erich Fromm,"Love, Relationship, Grow"
Mothers are the necessity of invention.,Bill Watterson,"Invention, Necessity, Mothers"
Only mothers can think of the future - because they give birth to it in their children.,Maxim Gorky,"Future, Children, Birth"
"The art of motherhood involves much silent, unobtrusive self-denial, an hourly devotion which finds no detail too minute.",Honore de Balzac,"Art, Devotion, Much"
The real menace in dealing with a five-year-old is that in no time at all you begin to sound like a five-year-old.,Jean Kerr,"Time, Sound, Real"
Mothers are fonder than fathers of their children because they are more certain they are their own.,Aristotle,"Own, Children, More"
My sisters and mom raised me to respect women and open doors for them.,Milo Ventimiglia,"Women, Respect, Me"
Mothers are all slightly insane.,J. D. Salinger,"Insane, Mothers, Slightly"
Only God Himself fully appreciates the influence of a Christian mother in the molding of character in her children.,Billy Graham,"God, Character, Influence"
"A father may turn his back on his child, brothers and sisters may become inveterate enemies, husbands may desert their wives, wives their husbands. But a mother's love endures through all.",Washington Irving,"Love, Father, Enemies"
You are a person of the greatest importance when you are a mother of a family. Just do your job right and your kids will love you.,Ethel Waters,"Love, Family, Your"
"I ask people why they have deer heads on their walls. They always say because it's such a beautiful animal. There you go. I think my mother is attractive, but I have photographs of her.",Ellen DeGeneres,"Beautiful, Always, People"
"Motherhood is priced Of God, at price no man may dare To lessen or misunderstand.",Helen Hunt Jackson,"God, Man, Price"
Motherhood is a dream. It really is absolutely amazing.,Jessica Simpson,"Amazing, Dream, Dream It"
What greater aspiration and challenge are there for a mother than the hope of raising a great son or daughter?,Rose Kennedy,"Hope, Great, Challenge"
Who in their infinite wisdom decreed that Little League uniforms be white? Certainly not a mother.,Erma Bombeck,"Wisdom, White, Mother"
If my mom reads that I'm grammatically incorrect I'll have hell to pay.,Larisa Oleynik,"Hell, Pay, Incorrect"
The woman is uniformly sacrificed to the wife and mother.,Elizabeth Cady Stanton,"Wife, Woman, Mother"
