title,author,tags
A fool and his money are soon parted.,Thomas Tusser,"Fool, Soon, His"
"A billion here, a billion there, and pretty soon you're talking about real money.",Everett Dirksen,"Real, Here, Talking"
All I ask is the chance to prove that money can't make me happy.,Spike Milligan,"Chance, Me, Happy"
Greed is not a financial issue. It's a heart issue.,Andy Stanley,"Heart, Greed, Financial"
A bank is a place that will lend you money if you can prove that you don't need it.,Bob Hope,"Will, Place, Prove"
There are people who have money and people who are rich.,Coco Chanel,"Rich, People, Who"
Do what you love and the money will follow.,Marsha Sinetar,"Love, Do What You Love, Will"
Never confuse the size of your paycheck with the size of your talent.,Marlon Brando,"Your, Talent, Never"
No one's ever achieved financial fitness with a January resolution that's abandoned by February.,Suze Orman,"Fitness, Financial, February"
"That money talks, I'll not deny, I heard it once: It said, 'Goodbye'.",Richard Armour,"Goodbye, Said, Once"
A man with money is no match against a man on a mission.,Doyle Brunson,"Man, Mission, Match"
"Money cannot buy peace of mind. It cannot heal ruptured relationships, or build meaning into a life that has none.",Richard M. DeVos,"Life, Peace, Mind"
Wealth flows from energy and ideas.,William Feather,"Energy, Wealth, Ideas"
"I have no money, no resources, no hopes. I am the happiest man alive.",Henry Miller,"Man, I Am, Alive"
It's all about the money.,Joe Jackson,About
"Money can't buy love, but it improves your bargaining position.",Christopher Marlowe,"Love, Your, Position"
A good reputation is more valuable than money.,Publilius Syrus,"Good, Reputation, Good Reputation"
When I was young I thought that money was the most important thing in life; now that I am old I know that it is.,Oscar Wilde,"Life, I Am, Important"
"A wise man should have money in his head, but not in his heart.",Jonathan Swift,"Wise, Heart, Man"
There's no such thing as a free lunch.,Milton Friedman,"Free, Lunch, Thing"
A bank is a place where they lend you an umbrella in fair weather and ask for it back when it begins to rain.,Robert Frost,"Rain, Weather, Place"
Those who are of the opinion that money will do everything may reasonably be expected to do everything for money.,"Edward Wood, 1st Earl of Halifax","Will, Opinion, Everything"
A little thought and a little kindness are often worth more than a great deal of money.,John Ruskin,"Great, Kindness, Worth"
"Friendship is like money, easier made than kept.",Samuel Butler,"Friendship, Like, Made"
"If you can count your money, you don't have a billion dollars.",J. Paul Getty,"Your, Count, Billion Dollars"
The safe way to double your money is to fold it over once and put it in your pocket.,Kin Hubbard,"Your, Way, Safe"
A man who gives his children habits of industry provides for them better than by giving them fortune.,Richard Whately,"Man, Better, Children"
"Money is always there but the pockets change; it is not in the same pockets after a change, and that is all there is to say about money.",Gertrude Stein,"Change, Always, Say"
"Money is only a tool. It will take you wherever you wish, but it will not replace you as the driver.",Ayn Rand,"Will, Wish, Only"
"Here's how I think of my money - as soldiers - I send them out to war everyday. I want them to take prisoners and come home, so there's more of them.",Kevin O'Leary,"Home, War, Think"
Wealth is the ability to fully experience life.,Henry David Thoreau,"Life, Experience, Wealth"
"If you want to reap financial blessings, you have to sow financially.",Joel Osteen,"Reap, Financial, Blessings"
It's morally wrong to allow a sucker to keep his money.,W. C. Fields,"Keep, Wrong, Sucker"
Real riches are the riches possessed inside.,B. C. Forbes,"Real, Inside, Riches"
"If we command our wealth, we shall be rich and free; if our wealth commands us, we are poor indeed.",Edmund Burke,"Free, Rich, Wealth"
"Money will buy a pretty good dog, but it won't buy the wag of his tail.",Josh Billings,"Good, Will, Dog"
"If saving money is wrong, I don't want to be right!",William Shatner,"Right, Wrong, Want"
"Money is better than poverty, if only for financial reasons.",Woody Allen,"Better, Poverty, Financial"
"Money is our madness, our vast collective madness.",D. H. Lawrence,"Madness, Collective, Our"
We go to school to learn to work hard for money. I write books and create products that teach people how to have money work hard for them.,Robert Kiyosaki,"Work, People, School"
There is a gigantic difference between earning a great deal of money and being rich.,Marlene Dietrich,"Great, Rich, Being Rich"
"Money won't create success, the freedom to make it will.",Nelson Mandela,"Success, Freedom, Will"
Money is just a way of keeping score.,H. L. Hunt,"Way, Score, Just"
"Put not your trust in money, but put your money in trust.","Oliver Wendell Holmes, Sr.","Trust, Your, Put"
I'd like to live as a poor man with lots of money.,Pablo Picasso,"Man, Poor, Live"
A rich man is nothing but a poor man with money.,W. C. Fields,"Man, Rich, Nothing"
"Money makes your life easier. If you're lucky to have it, you're lucky.",Al Pacino,"Life, Your, Lucky"
My goal wasn't to make a ton of money. It was to build good computers.,Steve Wozniak,"Good, Computers, Build"
Never spend your money before you have earned it.,Thomas Jefferson,"Your, Never, Earned"
"Anybody who thinks money will make you happy, hasn't got money.",David Geffen,"Will, Happy, Make"
A woman's best protection is a little money of her own.,Clare Boothe Luce,"Best, Woman, Own"
"If women didn't exist, all the money in the world would have no meaning.",Aristotle Onassis,"Women, World, Meaning"
"Many people take no care of their money till they come nearly to the end of it, and others do just the same with their time.",Johann Wolfgang von Goethe,"Time, Care, People"
"Many people are in the dark when it comes to money, and I'm going to turn on the lights.",Suze Orman,"People, Dark, Turn"
Money equals freedom.,Kevin O'Leary,"Freedom, Equals"
"It is money, money, money! Not ideas, not principles, but money that reigns supreme in American politics.",Robert Byrd,"Politics, Ideas, Principles"
"Fortune is like glass - the brighter the glitter, the more easily broken.",Publilius Syrus,"Broken, Fortune, Glass"
Who covets more is evermore a slave.,Robert Herrick,"Slave, More, Who"
"Money has never made man happy, nor will it, there is nothing in its nature to produce happiness. The more of it one has the more one wants.",Benjamin Franklin,"Happiness, Nature, Man"
"I've got all the money I'll ever need, if I die by four o'clock.",Henny Youngman,"Die, Need, Four"
Money does not make you happy but it quiets the nerves.,Sean O'Casey,"Happy, Make, Nerves"
"Profit is sweet, even if it comes from deception.",Sophocles,"Sweet, Deception, Profit"
"Where large sums of money are concerned, it is advisable to trust nobody.",Agatha Christie,"Trust, Nobody, Where"
He that is of the opinion money will do everything may well be suspected of doing everything for money.,Benjamin Franklin,"Doing, Will, Opinion"
You want 21 percent risk free? Pay off your credit cards.,Andrew Tobias,"Your, Free, Credit"
"If money was my only motivation, I would organize myself differently.",Placido Domingo,"Myself, Motivation, Only"
"Banks have a new image. Now you have 'a friend,' your friendly banker. If the banks are so friendly, how come they chain down the pens?",Alan King,"Your, New, Down"
Money often costs too much.,Ralph Waldo Emerson,"Much, Too Much, Costs"
Money: power at its most liquid.,Mason Cooley,"Power, Most, Liquid"
Don't let making a living prevent you from making a life.,John Wooden,"Life, Living, Making A Living"
A simple fact that is hard to learn is that the time to save money is when you have some.,Joe Moore,"Time, Simple, Hard"
It's a terribly hard job to spend a billion dollars and get your money's worth.,George M. Humphrey,"Your, Job, Hard"
A man in debt is so far a slave.,Ralph Waldo Emerson,"Man, Far, Debt"
