title,author,tags
It always seems impossible until it's done.,Nelson Mandela,"Impossible, Done, Always"
"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.",Jim Rohn,"Life, Design, Your"
"If you fell down yesterday, stand up today.",H. G. Wells,"Today, Yesterday, Stand"
With the new day comes new strength and new thoughts.,Eleanor Roosevelt,"Strength, Thoughts, New Day"
Perseverance is not a long race; it is many short races one after the other.,Walter Elliot,"Perseverance, Long, Race"
A good plan violently executed now is better than a perfect plan executed next week.,George S. Patton,"Good, Better, Plan"
"When you reach the end of your rope, tie a knot in it and hang on.",Franklin D. Roosevelt,"Your, End, Rope"
Motivation is the art of getting people to do what you want them to do because they want to do it.,Dwight D. Eisenhower,"Art, People, Motivation"
Expect problems and eat them for breakfast.,Alfred A. Montapert,"Breakfast, Problems, Eat"
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll,"Life, React, Happens"
"If you want to succeed you should strike out on new paths, rather than travel the worn paths of accepted success.",John D. Rockefeller,"Success, Travel, New"
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome,"Best, Good, Your"
"When something is important enough, you do it even if the odds are not in your favor.",Elon Musk,"Your, Important, Enough"
"I learned that we can do anything, but we can't do everything... at least not at the same time. So think of your priorities not in terms of what activities you do, but when you do them. Timing is everything.",Dan Millman,"Time, Your, Timing"
"Quality is not an act, it is a habit.",Aristotle,"Quality, Habit, Act"
Don't watch the clock; do what it does. Keep going.,Sam Levenson,"Keep Going, Clock, Keep"
"If you can dream it, you can do it.",Walt Disney,"You Can Do It, Dream, Dream It"
Start where you are. Use what you have. Do what you can.,Arthur Ashe,"Start, Use, Where"
Every exit is an entry somewhere else.,Tom Stoppard,"Somewhere, Exit, Else"
I don't believe you have to be better than everybody else. I believe you have to be better than you ever thought you could be.,Ken Venturi,"Believe, Better, I Believe"
"The will to succeed is important, but what's more important is the will to prepare.",Bobby Knight,"Will, Important, Succeed"
Failure will never overtake me if my determination to succeed is strong enough.,Og Mandino,"Failure, Determination, Me"
Knowing is not enough; we must apply. Willing is not enough; we must do.,Johann Wolfgang von Goethe,"Enough, Knowing, Willing"
"Even if you fall on your face, you're still moving forward.",Victor Kiam,"Your, Face, Moving Forward"
