title,author,tags
"If you want a happy ending, that depends, of course, on where you stop your story.",Orson Welles,"Your, Ending, Happy"
"A story should have a beginning, a middle and an end, but not necessarily in that order.",Jean-Luc Godard,"Beginning, End, Story"
Cinema is a matter of what's in the frame and what's out.,Martin Scorsese,"Cinema, Matter, Frame"
"I think cinema, movies, and magic have always been closely associated. The very earliest people who made film were magicians.",Francis Ford Coppola,"Always, Cinema, People"
The sound and music are 50% of the entertainment in a movie.,George Lucas,"Music, Entertainment, Sound"
Cinema is the most beautiful fraud in the world.,Jean-Luc Godard,"Beautiful, World, Cinema"
"A film is - or should be - more like music than like fiction. It should be a progression of moods and feelings. The theme, what's behind the emotion, the meaning, all that comes later.",Stanley Kubrick,"Music, Feelings, Theme"
"When people ask me if I went to film school I tell them, 'no, I went to films.'",Quentin Tarantino,"Me, People, School"
"You know what your problem is, it's that you haven't seen enough movies - all of life's riddles are answered in the movies.",Steve Martin,"Life, Your, Know"
Filmmaking is a chance to live many lifetimes.,Robert Altman,"Chance, Filmmaking, Live"
Cinema should make you forget you are sitting in a theater.,Roman Polanski,"Cinema, Sitting, Forget"
"The difference between life and the movies is that a script has to make sense, and life doesn't.",Joseph L. Mankiewicz,"Life, Difference, Make"
"Pick up a camera. Shoot something. No matter how small, no matter how cheesy, no matter whether your friends and your sister star in it. Put your name on it as director. Now you're a director. Everything after that you're just negotiating your budget and your fee.",James Cameron,"Your, Matter, Name"
The most honest form of filmmaking is to make a film for yourself.,Peter Jackson,"Yourself, Filmmaking, Make"
The length of a film should be directly related to the endurance of the human bladder.,Alfred Hitchcock,"Endurance, Human, Film"
"Acting is not about being famous, it's about exploring the human soul.",Annette Bening,"Famous, Soul, Acting"
"When I was growing up, Dr. Seuss was really my favorite. There was something about the lyrical nature and the simplicity of his work that really hit me.",Tim Burton,"Work, Nature, Me"
A film is never really good unless the camera is an eye in the head of a poet.,Orson Welles,"Good, Never, Camera"
"If the boy and girl walk off into the sunset hand-in-hand in the last scene, it adds 10 million to the box office.",George Lucas,"Walk, Sunset, Boy"
The secret to film is that it's an illusion.,George Lucas,"Illusion, Secret, Film"
Movies are like an expensive form of therapy for me.,Tim Burton,"Me, Expensive, Like"
Every great film should seem new every time you see it.,Roger Ebert,"Time, Great, New"
Film lovers are sick people.,Francois Truffaut,"People, Sick, Film"
Citizen Kane is perhaps the one American talking picture that seems as fresh now as the day it opened. It may seem even fresher.,Pauline Kael,"Day, Picture, American"
"Everybody has something that chews them up and, for me, that thing was always loneliness. The cinema has the power to make you not feel lonely, even when you are.",Tom Hanks,"Power, Always, Loneliness"
Television is chewing gum for the eyes.,Frank Lloyd Wright,"Eyes, Television, Gum"
Learning to make films is very easy. Learning what to make films about is very hard.,George Lucas,"Learning, Easy, Hard"
"Horror movies are the best date movies. There's no wondering, 'When do I put my arm around her?'",Eli Roth,"Best, Wondering, Horror Movies"
I'm married to the theater but my mistress is the films.,Oskar Werner,"Mistress, Theater, Films"
"Make them laugh, make them cry, and hack to laughter. What do people go to the theatre for? An emotional exercise. I am a servant of the people. I have never forgotten that.",Mary Pickford,"Laughter, I Am, Laugh"
The end of a picture is always an end of a life.,Sam Peckinpah,"Life, Always, Picture"
Always make the audience suffer as much as possible.,Alfred Hitchcock,"Always, Possible, Much"
