title,author,tags
Music is moonlight in the gloomy night of life.,Jean Paul,"Life, Night, Moonlight"
"Music is God's gift to man, the only art of Heaven given to earth, the only art of earth we take to Heaven.",Walter Savage Landor,"God, Art, Man"
"Music should strike fire from the heart of man, and bring tears from the eyes of woman.",Ludwig van Beethoven,"Eyes, Heart, Man"
Music is the strongest form of magic.,Marilyn Manson,"Magic, Strongest, Form"
Music is the soundtrack of your life.,Dick Clark,"Life, Your, Soundtrack"
Music can change the world because it can change people.,Bono,"Change, World, Change The World"
Music washes away from the soul the dust of everyday life.,Berthold Auerbach,"Life, Soul, Dust"
"I think music in itself is healing. It's an explosive expression of humanity. It's something we are all touched by. No matter what culture we're from, everyone loves music.",Billy Joel,"Culture, Humanity, Matter"
"One good thing about music, when it hits you, you feel no pain.",Bob Marley,"Good, Pain, Feel"
"Music doesn't lie. If there is something to be changed in this world, then it can only happen through music.",Jimi Hendrix,"World, Lie, Through"
"Music is the divine way to tell beautiful, poetic things to the heart.",Pablo Casals,"Beautiful, Heart, Way"
"I've said that playing the blues is like having to be black twice. Stevie Ray Vaughan missed on both counts, but I never noticed.",B. B. King,"Black, Never, Blues"
Music expresses that which cannot be said and on which it is impossible to be silent.,Victor Hugo,"Impossible, Cannot, Silent"
The only love affair I have ever had was with music.,Maurice Ravel,"Love, Only, Only Love"
"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.",Plato,"Life, Imagination, Soul"
"Without music, life would be a mistake.",Friedrich Nietzsche,"Life, Mistake, Without"
Music is a higher revelation than all wisdom and philosophy.,Ludwig van Beethoven,"Wisdom, Philosophy, Revelation"
Music is love in search of a word.,Sidney Lanier,"Love, Search, Word"
The world's most famous and popular language is music.,Psy,"Famous, World, Language"
I don't make music for eyes. I make music for ears.,Adele,"Eyes, Make, Ears"
"You have the sun, you have the moon, you have the air that you breathe - and you have the Rolling Stones!",Keith Richards,"Moon, Sun, Air"
"After silence, that which comes nearest to expressing the inexpressible is music.",Aldous Huxley,"Silence, Which, After"
"If you want to be a rock star or just be famous, then run down the street naked, you'll make the news or something. But if you want music to be your livelihood, then play, play, play and play! And eventually you'll get to where you want to be.",Eddie Van Halen,"Famous, Your, Street"
The people who know nothing about music are the ones always talking about it.,Nat King Cole,"Always, Nothing, Know"
Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.,Maya Angelou,"Space, Loneliness, Back"
There's nothing like music to relieve the soul and uplift it.,Mickey Hart,"Soul, Nothing, Like"
"Where words fail, music speaks.",Hans Christian Andersen,"Words, Where, Fail"
"When words leave off, music begins.",Heinrich Heine,"Words, Leave, Off"
The wise musicians are those who play what they can master.,Duke Ellington,"Wise, Musicians, Play"
You are the music while the music lasts.,T. S. Eliot,"Lasts, While, You"
"It is cruel, you know, that music should be so beautiful. It has the beauty of loneliness of pain: of strength and freedom. The beauty of disappointment and never-satisfied love. The cruel beauty of nature and everlasting beauty of monotony.",Benjamin Britten,"Love, Beauty, Nature"
"Music is very spiritual, it has the power to bring people together.",Edgar Winter,"Power, Together, Spiritual"
Music is well said to be the speech of angels.,Thomas Carlyle,"Speech, Well, Said"
Music is the shorthand of emotion.,Leo Tolstoy,"Emotion, Shorthand"
"For me, singing sad songs often has a way of healing a situation. It gets the hurt out in the open into the light, out of the darkness.",Reba McEntire,"Sad, Light, Darkness"
"Music is forever; music should grow and mature with you, following you right on up until you die.",Paul Simon,"Die, Grow, Mature"
