title,author,tags
The darkest places in hell are reserved for those who maintain their neutrality in times of moral crisis.,Dante Alighieri,"Hell, Crisis, Darkest"
"If you have always believed that everyone should play by the same rules and be judged by the same standards, that would have gotten you labeled a radical 60 years ago, a liberal 30 years ago and a racist today.",Thomas Sowell,"Today, Always, Rules"
"Let us not seek the Republican answer or the Democratic answer, but the right answer. Let us not seek to fix the blame for the past. Let us accept our own responsibility for the future.",John F. Kennedy,"Future, Responsibility, Past"
"If nominated, I will not run; if elected, I will not serve.",William Tecumseh Sherman,"Will, Serve, Nominated"
"A healthy democracy requires a decent society; it requires that we are honorable, generous, tolerant and respectful.",Charles W. Pickering,"Society, Democracy, Honorable"
"The modern conservative is engaged in one of man's oldest exercises in moral philosophy; that is, the search for a superior moral justification for selfishness.",John Kenneth Galbraith,"Man, Search, Conservative"
Perseverance is the hard work you do after you get tired of doing the hard work you already did.,Newt Gingrich,"Work, Hard Work, Perseverance"
"The Democrats are the party that says government will make you smarter, taller, richer, and remove the crabgrass on your lawn. The Republicans are the party that says government doesn't work and then they get elected and prove it.",P. J. O'Rourke,"Work, Government, Your"
"Politics is the art of looking for trouble, finding it everywhere, diagnosing it incorrectly and applying the wrong remedies.",Ernest Benn,"Art, Looking, Trouble"
"If we don't believe in freedom of expression for people we despise, we don't believe in it at all.",Noam Chomsky,"Freedom, Believe, People"
One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.,Plato,"Your, End, Being"
"If voting changed anything, they'd make it illegal.",Emma Goldman,"Anything, Make, Voting"
"Always vote for principle, though you may vote alone, and you may cherish the sweetest reflection that your vote is never lost.",John Quincy Adams,"Alone, Always, Your"
"The whole aim of practical politics is to keep the populace alarmed (and hence clamorous to be led to safety) by menacing it with an endless series of hobgoblins, all of them imaginary.",H. L. Mencken,"Aim, Keep, Safety"
We hang the petty thieves and appoint the great ones to public office.,Aesop,"Great, Thieves, Petty"
America's present need is not heroics but healing; not nostrums but normalcy; not revolution but restoration.,Warren G. Harding,"America, Revolution, Present"
Politics is war without bloodshed while war is politics with bloodshed.,Mao Zedong,"War, Without, Bloodshed"
Politics have no relation to morals.,Niccolo Machiavelli,"Morals, Relation"
"If you put the federal government in charge of the Sahara Desert, in 5 years there'd be a shortage of sand.",Milton Friedman,"Government, Sand, Desert"
Politics: A strife of interests masquerading as a contest of principles. The conduct of public affairs for private advantage.,Ambrose Bierce,"Principles, Advantage, Contest"
A diplomat is a person who can tell you to go to hell in such a way that you actually look forward to the trip.,Caskie Stinnett,"Hell, Look, Way"
We would all like to vote for the best man but he is never a candidate.,Kin Hubbard,"Best, Man, Never"
"It is better to be violent, if there is violence in our hearts, than to put on the cloak of nonviolence to cover impotence.",Mahatma Gandhi,"Better, Violence, Nonviolence"
"I weep for the liberty of my country when I see at this early day of its successful experiment that corruption has been imputed to many members of the House of Representatives, and the rights of the people have been bartered for promises of office.",Andrew Jackson,"Corruption, Day, Country"
You want a friend in Washington? Get a dog.,Harry S Truman,"Dog, Friend, Want"
It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.,Joseph Stalin,"Election, Nothing, Know"
Politics is too serious a matter to be left to the politicians.,Charles de Gaulle,"Matter, Politicians, Serious"
In politics stupidity is not a handicap.,Napoleon Bonaparte,"Stupidity, Handicap"
The flood of money that gushes into politics today is a pollution of democracy.,Theodore White,"Money, Today, Democracy"
You have not converted a man because you have silenced him.,John Morley,"Man, Silenced, Because"
"When bad men combine, the good must associate; else they will fall one by one, an unpitied sacrifice in a contemptible struggle.",Edmund Burke,"Good, Men, Sacrifice"
There ain't no answer. There ain't gonna be any answer. There never has been an answer. That's the answer.,Gertrude Stein,"Never, Answer, Gonna"
"Suppose you were an idiot, and suppose you were a member of Congress; but I repeat myself.",Mark Twain,"Myself, Idiot, Repeat"
It is not in the nature of politics that the best men should be elected. The best men do not want to govern their fellowmen.,George MacDonald,"Nature, Best, Men"
Ninety percent of the politicians give the other ten percent a bad reputation.,Henry Kissinger,"Reputation, Bad, Politicians"
I would remind you that extremism in the defense of liberty is no vice! And let me remind you also that moderation in the pursuit of justice is no virtue.,Barry Goldwater,"Justice, Me, Liberty"
I don't make jokes. I just watch the government and report the facts.,Will Rogers,"Government, Facts, Make"
"When buying and selling are controlled by legislation, the first things to be bought and sold are legislators.",P. J. O'Rourke,"First, Things, Legislation"
Being president is like being a jackass in a hailstorm. There's nothing to do but to stand there and take it.,Lyndon B. Johnson,"Stand, Nothing, Take"
Bad politicians are sent to Washington by good people who don't vote.,William E. Simon,"Good, Good People, Bad"
"Whenever men take the law into their own hands, the loser is the law. And when the law loses, freedom languishes.",Robert Kennedy,"Freedom, Men, Law"
The ballot is stronger than the bullet.,Abraham Lincoln,"Stronger, Than, Ballot"
No real social change has ever been brought about without a revolution... revolution is but thought carried into action.,Emma Goldman,"Change, Action, Revolution"
