title,author,tags
"Once you replace negative thoughts with positive ones, you'll start having positive results.",Willie Nelson,"Thoughts, Start, Negative"
The most important thing is to try and inspire people so that they can be great in whatever they want to do.,Kobe Bryant,"Great, Try, Important"
"Yesterday is not ours to recover, but tomorrow is ours to win or lose.",Lyndon B. Johnson,"Tomorrow, Lose, Win Or Lose"
"A strong, positive self-image is the best possible preparation for success.",Joyce Brothers,"Success, Best, Preparation"
"Live life to the fullest, and focus on the positive.",Matt Cameron,"Life, Focus, Live Life"
Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,Richard M. DeVos,"Smile, Hope, World"
Always turn a negative situation into a positive situation.,Michael Jordan,"Always, Situation, Negative"
Your smile will give you a positive countenance that will make people feel comfortable around you.,Les Brown,"Smile, Your, Will"
"If you're not making mistakes, then you're not doing anything. I'm positive that a doer makes mistakes.",John Wooden,"Doing, Mistakes, Making Mistakes"
Every day brings new choices.,Martha Beck,"Day, New, Choices"
It's a wonderful thing to be optimistic. It keeps you healthy and it keeps you resilient.,Daniel Kahneman,"Wonderful, Healthy, Resilient"
"Work hard, stay positive, and get up early. It's the best part of the day.","George Allen, Sr.","Work, Best, Day"
I think anything is possible if you have the mindset and the will and desire to do it and put the time in.,Roger Clemens,"Time, Anything Is Possible, Will"
A good laugh is sunshine in the house.,William Makepeace Thackeray,"Good, Sunshine, Laugh"
The person who can bring the spirit of laughter into a room is indeed blessed.,Bennett Cerf,"Laughter, Blessed, Person"
"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you.",Tony Dorsett,"Find, Succeed, Inspire"
"No matter what you're going through, there's a light at the end of the tunnel and it may seem hard to get to it but you can do it and just keep working towards it and you'll find the positive side of things.",Demi Lovato,"Light, End Of The Tunnel, You Can Do It"
"Correction does much, but encouragement does more.",Johann Wolfgang von Goethe,"Much, Encouragement, More"
"Work hard for what you want because it won't come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive.",Leah LaBelle,"Work, Your, Fight"
I often think that the night is more alive and more richly colored than the day.,Vincent Van Gogh,"Day, Night, Alive"
"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.",Henri Nouwen,"Life, Love, Smile"
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar,"Thinking, Better, Will"
