title,author,tags
"When someone shows you who they are, believe them the first time.",Maya Angelou,"Time, Believe, First"
"If you love someone, set them free. If they come back they're yours; if they don't they never were.",Richard Bach,"Love, Free, If You Love Someone"
How people treat you is their karma; how you react is yours.,Wayne Dyer,"Treat, React, People"
Nothing is perfect. Life is messy. Relationships are complex. Outcomes are uncertain. People are irrational.,Hugh Mackay,"Life, Nothing, People"
"I believe that two people are connected at the heart, and it doesn't matter what you do, or who you are or where you live; there are no boundaries or barriers if two people are destined to be together.",Julia Roberts,"Heart, Together, Believe"
"There is no love without forgiveness, and there is no forgiveness without love.",Bryant H. McGill,"Love, Forgiveness, No Love"
Assumptions are the termites of relationships.,Henry Winkler,"Assumptions, Relationships"
"Find joy in everything you choose to do. Every job, relationship, home... it's your responsibility to love it, or change it.",Chuck Palahniuk,"Love, Change, Home"
I'm lucky in having found the perfect partner to spend my life with.,Sara Paretsky,"Life, My Life, Partner"
What does it matter how many lovers you have if none of them gives you the universe?,Jacques Lacan,"Universe, Matter, How"
Truth is everybody is going to hurt you: you just gotta find the ones worth suffering for.,Bob Marley,"Truth, Suffering, Find"
"Yet, taught by time, my heart has learned to glow for other's good, and melt at other's woe.",Homer,"Good, Time, Heart"
"If civilization is to survive, we must cultivate the science of human relationships - the ability of all peoples, of all kinds, to live together, in the same world at peace.",Franklin D. Roosevelt,"Science, Peace, Together"
People change and forget to tell each other.,Lillian Hellman,"Change, People Change, People"
"You can never control who you fall in love with, even when you're in the most sad, confused time of your life. You don't fall in love with people because they're fun. It just happens.",Kirsten Dunst,"Life, Love, Sad"
Never above you. Never below you. Always beside you.,Walter Winchell,"Always, Never, Above"
"Absence diminishes mediocre passions and increases great ones, as the wind extinguishes candles and fans fires.",Francois de La Rochefoucauld,"Great, Wind, Fans"
We don't develop courage by being happy every day. We develop it by surviving difficult times and challenging adversity.,Barbara De Angelis,"Courage, Adversity, Day"
A healthy relationship is built on unwavering trust.,Beau Mirchoff,"Trust, Healthy, Built"
"The heart of another is a dark forest, always, no matter how close it has been to one's own.",Willa Cather,"Always, Heart, Matter"
There is always some madness in love. But there is also always some reason in madness.,Friedrich Nietzsche,"Love, Always, Madness"
Sometimes I wonder if men and women really suit each other. Perhaps they should live next door and just visit now and then.,Katharine Hepburn,"Women, Men, Door"
"Some think love can be measured by the amount of butterflies in their tummy. Others think love can be measured in bunches of flowers, or by using the words 'for ever.' But love can only truly be measured by actions. It can be a small thing, such as peeling an orange for a person you love because you know they don't like doing it.",Marian Keyes,"Love, Doing, Words"
In a relationship each person should support the other; they should lift each other up.,Taylor Swift,"Support, Person, Lift"
"Truth is, I'll never know all there is to know about you just as you will never know all there is to know about me. Humans are by nature too complicated to be understood fully. So, we can choose either to approach our fellow human beings with suspicion or to approach them with an open mind, a dash of optimism and a great deal of candour.",Tom Hanks,"Nature, Truth, Great"
"God gives us relatives; thank God, we can choose our friends.",Addison Mizner,"God, Thank God, Relatives"
"I am convinced that material things can contribute a lot to making one's life pleasant, but, basically, if you do not have very good friends and relatives who matter to you, life will be really empty and sad and material things cease to be important.",David Rockefeller,"Life, Sad, Good"
Everybody needs somebody.,Mahalia Jackson,"Needs, Somebody, Everybody"
A person isn't who they are during the last conversation you had with them - they're who they've been throughout your whole relationship.,Rainer Maria Rilke,"Your, Person, Conversation"
"Treasure your relationships, not your possessions.",Anthony J. D'Angelo,"Your, Treasure, Possessions"
"The beginning of love is to let those we love be perfectly themselves, and not to twist them to fit our own image. Otherwise we love only the reflection of ourselves we find in them.",Thomas Merton,"Love, Love Is, Reflection"
"When a woman is talking to you, listen to what she says with her eyes.",Victor Hugo,"Eyes, Woman, She"
We can improve our relationships with others by leaps and bounds if we become encouragers instead of critics.,Joyce Meyer,"Others, Become, Critics"
"Love sought is good, but given unsought, is better.",William Shakespeare,"Love, Good, Better"
We cannot really love anyone with with whom we never laugh.,Agnes Repplier,"Love, Laugh, Never"
"Love is never lost. If not reciprocated, it will flow back and soften and purify the heart.",Washington Irving,"Love, Love Is, Heart"
"Between men and women there is no friendship possible. There is passion, enmity, worship, love, but no friendship.",Oscar Wilde,"Friendship, Love, Women"
You have people come into your life shockingly and surprisingly. You have losses that you never thought you'd experience. You have rejection and you have learn how to deal with that and how to get up the next day and go on with it.,Taylor Swift,"Life, Experience, Your"
"The one who loves the least, controls the relationship.",Robert Anthony,"Who, Least, Controls"
I was born when you kissed me. I died when you left me. I lived a few weeks while you loved me.,Humphrey Bogart,"Me, Born, Loved"
You never lose by loving. You always lose by holding back.,Barbara De Angelis,"Always, Lose, Never"
"Friendship may, and often does, grow into love, but love never subsides into friendship.",Lord Byron,"Friendship, Love, Grow"
I want a man who's kind and understanding. Is that too much to ask of a millionaire?,Zsa Zsa Gabor,"Man, Understanding, Much"
I don't need anyone to rectify my existence. The most profound relationship we will ever have is the one with ourselves.,Shirley MacLaine,"Will, Existence, Need"
"We've got this gift of love, but love is like a precious plant. You can't just accept it and leave it in the cupboard or just think it's going to get on by itself. You've got to keep watering it. You've got to really look after it and nurture it.",John Lennon,"Love, Love Is, Plant"
I think it's healthy for couples to be away from each other for short periods.,Liv Tyler,"Short, Think, Healthy"
Before machines the only form of entertainment people really had was relationships.,Douglas Coupland,"Entertainment, People, Machines"
Each relationship nurtures a strength or weakness within you.,Mike Murdock,"Strength, Weakness, Within"
"Never trust a husband too far, nor a bachelor too near.",Helen Rowland,"Trust, Never, Bachelor"
