title,author,tags
"The World is my country, all mankind are my brethren, and to do good is my religion.",Thomas Paine,"Good, World, Country"
"Religion is regarded by the common people as true, by the wise as false, and by the rulers as useful.",Lucius Annaeus Seneca,"Wise, True, People"
"I would rather live my life as if there is a God and die to find out there isn't, than live as if there isn't and to die to find out that there is.",Albert Camus,"Life, God, Die"
"We have to pray with our eyes on God, not on the difficulties.",Oswald Chambers,"God, Eyes, Difficulties"
When the missionaries came to Africa they had the Bible and we had the land. They said 'Let us pray.' We closed our eyes. When we opened them we had the Bible and they had the land.,Desmond Tutu,"Eyes, Bible, Africa"
Prayer is aligning ourselves with the purposes of God.,E. Stanley Jones,"God, Prayer, Ourselves"
Religion is what keeps the poor from murdering the rich.,Napoleon Bonaparte,"Rich, Poor, Keeps"
Science can purify religion from error and superstition. Religion can purify science from idolatry and false absolutes.,Pope John Paul II,"Science, Superstition, False"
"See, I have set before you this day life and good, death and evil... I have set before you life and death, blessing and curse; therefore choose life.",Moses,"Life, Death, Good"
Aim at heaven and you will get earth thrown in. Aim at earth and you get neither.,C. S. Lewis,"Aim, Will, Heaven"
The more I study religions the more I am convinced that man never worshipped anything but himself.,Richard Burton,"Man, I Am, Never"
To be a Christian without prayer is no more possible than to be alive without breathing.,Martin Luther,"Prayer, Alive, Possible"
"The Kingdom of Heaven is not a place, but a state of mind.",John Burroughs,"Mind, Heaven, Place"
Heaven is under our feet as well as over our heads.,Henry David Thoreau,"Feet, Heaven, Well"
"So I say to you, Ask and it will be given to you; search, and you will find; knock, and the door will be opened for you.",Jesus Christ,"Search, Will, Find"
My religion is very simple. My religion is kindness.,Dalai Lama,"Kindness, Simple, Very"
I prayed for twenty years but received no answer until I prayed with my legs.,Frederick Douglass,"Legs, Answer, Until"
"I like the religion that teaches liberty, equality and fraternity.",B. R. Ambedkar,"Equality, Liberty, Fraternity"
"Prayer does not change God, but it changes him who prays.",Soren Kierkegaard,"Change, God, Prayer"
"When I do good I feel good, when I do bad I feel bad, and that's my religion.",Abraham Lincoln,"Good, Bad, Feel Good"
You cannot believe in God until you believe in yourself.,Swami Vivekananda,"God, Believe In Yourself, Believe"
"I do not feel obliged to believe that the same God who has endowed us with sense, reason, and intellect has intended us to forgo their use.",Galileo Galilei,"God, Believe, Feel"
Human beings must be known to be loved; but Divine beings must be loved to be known.,Blaise Pascal,"Human, Divine, Loved"
"Since many of you do not belong to the Catholic Church and others are non-believers, from the bottom of my heart I give this silent blessing to each and every one of you, respecting the conscience of each one of you but knowing that each one of you is a child of God.",Pope Francis,"God, Heart, Blessing"
"There are many of us that are willing to do great things for the Lord, but few of us are willing to do little things.",Dwight L. Moody,"Great, Little Things, Great Things"
Religion is about turning untested belief into unshakable truth through the power of institutions and the passage of time.,Richard Dawkins,"Truth, Power, Time"
"This is my simple religion. There is no need for temples; no need for complicated philosophy. Our own brain, our own heart is our temple; the philosophy is kindness.",Dalai Lama,"Kindness, Brain, Heart"
Prayer is the key of the morning and the bolt of the evening.,Mahatma Gandhi,"Morning, Prayer, Evening"
"When I admire the wonders of a sunset or the beauty of the moon, my soul expands in the worship of the creator.",Mahatma Gandhi,"Beauty, Soul, Moon"
Teach us to give and not to count the cost.,Saint Ignatius,"Us, Cost, Teach"
"Even if a unity of faith is not possible, a unity of love is.",Hans Urs von Balthasar,"Love, Faith, Love Is"
"The Bible shows the way to go to heaven, not the way the heavens go.",Galileo Galilei,"Bible, Way, Heaven"
"Religion is part of the human make-up. It's also part of our cultural and intellectual history. Religion was our first attempt at literature, the texts, our first attempt at cosmology, making sense of where we are in the universe, our first attempt at health care, believing in faith healing, our first attempt at philosophy.",Christopher Hitchens,"Health, Faith, History"
"Religion is everywhere. There are no human societies without it, whether they acknowledge it as a religion or not.",Octavia E. Butler,"Human, Without, Acknowledge"
"There is no need for temples, no need for complicated philosophies. My brain and my heart are my temples; my philosophy is kindness.",Dalai Lama,"Kindness, Brain, Heart"
I am thankful I can see much to admire in all religions.,Alfred Russel Wallace,"Thankful, I Am, All Religions"
Within the covers of the Bible are the answers for all the problems men face.,Ronald Reagan,"Men, Bible, Face"
"I'm a Muslim, but I think Jesus would have a drink with me. He would be cool. He would talk to me.",Mike Tyson,"Cool, Me, Talk"
"I love you when you bow in your mosque, kneel in your temple, pray in your church. For you and I are sons of one religion, and it is the spirit.",Khalil Gibran,"Love, Your, Temple"
Let your religion be less of a theory and more of a love affair.,Gilbert K. Chesterton,"Love, Your, Theory"
A thorough knowledge of the Bible is worth more than a college education.,Theodore Roosevelt,"Education, Knowledge, Bible"
I never knew how to worship until I knew how to love.,Henry Ward Beecher,"Love, Never, Until"
"We are punished by our sins, not for them.",Elbert Hubbard,"Punished, Them, Our"
No man ever believes that the Bible means what it says: He is always convinced that it says what he means.,George Bernard Shaw,"Always, Bible, Man"
The Son of God became man so that we might become God.,Athanasius,"God, Man, Son"
Worship is a way of seeing the world in the light of God.,Abraham Joshua Heschel,"God, Light, World"
"Rivers, ponds, lakes and streams - they all have different names, but they all contain water. Just as religions do - they all contain truths.",Muhammad Ali,"Water, Religions, Different"
"However many holy words you read, however many you speak, what good will they do you if you do not act on upon them?",Buddha,"Good, Will, Words"
Where it is a duty to worship the sun it is pretty sure to be a crime to examine the laws of heat.,John Morley,"Sun, Duty, Crime"
"God made everything out of nothing, but the nothingness shows through.",Paul Valery,"God, Nothing, Everything"
"We can only learn to know ourselves and do what we can - namely, surrender our will and fulfill God's will in us.",Saint Teresa of Avila,"God, Will, Know"
"For God so loved the World that he gave his only Son, that whoever believes in him should not perish but have eternal life.",Jesus Christ,"Life, God, World"
One act of obedience is better than one hundred sermons.,Dietrich Bonhoeffer,"Better, Obedience, Act"
Religion is more like response to a friend than it is like obedience to an expert.,Austin Farrer,"Obedience, Expert, Friend"
"A just laicism allows religious freedom. The state does not impose religion but rather gives space to religions with a responsibility toward civil society, and therefore it allows these religions to be factors in building up society.",Pope Benedict XVI,"Freedom, Society, Space"
"Whether one believes in a religion or not, and whether one believes in rebirth or not, there isn't anyone who doesn't appreciate kindness and compassion.",Dalai Lama,"Kindness, Compassion, Appreciate"
My life was changed in one breath from God.,Donna Summer,"Life, God, My Life"
"The framers of our Constitution meant we were to have freedom of religion, not freedom from religion.",Billy Graham,"Freedom, Constitution, Our"
"If, then, you are looking for the way by which you should go, take Christ, because He Himself is the way.",Thomas Aquinas,"Way, Looking, Go"
We are always on the anvil; by trials God is shaping us for higher things.,Henry Ward Beecher,"God, Always, Trials"
There is nothing evil save that which perverts the mind and shackles the conscience.,Saint Ambrose,"Mind, Nothing, Evil"
"Give yourself entirely to God, enter and hide in the hidden ground of your soul.",Johannes Tauler,"God, Your, Soul"
"Krishna children were taught that in the spiritual world there were no parents, only souls and hence this justified their being kept out of view from others, cloistered in separate buildings and sheltered from the evil material world.",Mary Garden,"World, Parents, View"
The God who existed before any religion counts on you to make the oneness of the human family known and celebrated.,Desmond Tutu,"God, Family, Human"
"Jesus is ideal and wonderful, but you Christians - you are not like him.",Mahatma Gandhi,"Wonderful, Like, Ideal"
We must seek the loving-kindness of God in all the breadth and open-air of common life.,George A. Smith,"Life, God, Must"
Anti-religious sneers are a hallmark of perpetual adolescents.,Camille Paglia,"Hallmark, Perpetual"
The Bible is worth all the other books which have ever been printed.,Patrick Henry,"Bible, Worth, Which"
"My mom's a Catholic, and my dad's a Jew, and they didn't want anything to do with anything.",Isabelle Huppert,"Mom, Dad, Anything"
