title,author,tags
"Think where man's glory most begins and ends, and say my glory was I had such friends.",William Butler Yeats,"Man, Glory, Think"
"To succeed in life, you need three things: a wishbone, a backbone and a funny bone.",Reba McEntire,"Life, Funny, Succeed"
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C. S. Lewis,"Believe, Sun, I Believe That"
I say luck is when an opportunity comes along and you're prepared for it.,Denzel Washington,"Luck, Opportunity, Say"
"Be true to your work, your word, and your friend.",John Boyle O'Reilly,"Work, Your, True"
"You've got to think lucky. If you fall into a mudhole, check your back pocket - you might have caught a fish.",Darrell Royal,"Your, Fish, Fall"
Our hearts were drunk with a beauty Our eyes could never see.,George William Russell,"Beauty, Eyes, Drunk"
"Christ beside me, Christ before me, Christ behind me, Christ within me, Christ beneath me, Christ above me.",Saint Patrick,"Me, Behind, Above"
Cherish your human connections: your relationships with friends and family.,Joseph Brodsky,"Family, Your, Human"
"Being Irish, he had an abiding sense of tragedy, which sustained him through temporary periods of joy.",William Butler Yeats,"Joy, Tragedy, Temporary"
"You gotta try your luck at least once a day, because you could be going around lucky all day and not even know it.",Jimmy Dean,"Luck, Your, Day"
"I love everything that's old, - old friends, old times, old manners, old books, old wine.",Oliver Goldsmith,"Love, Old Friends, Manners"
"I try to be grateful for the abundance of the blessings that I have, for the journey that I'm on and to relish each day as a gift.",James McGreevey,"Journey, Day, Gift"
There is no language like the Irish for soothing and quieting.,John Millington Synge,"Language, Like, Soothing"
Fond memory brings the light of other days around me.,Thomas Moore,"Light, Me, Memory"
Luck is believing you're lucky.,Tennessee Williams,"Luck, Lucky, Believing"
"Above all else, deep in my soul, I'm a tough Irishwoman.",Maureen O'Hara,"Soul, Tough, My Soul"
"If it was raining soup, the Irish would go out with forks.",Brendan Behan,"Soup, Go, Raining"
We have always found the Irish a bit odd. They refuse to be English.,Winston Churchill,"Always, Refuse, Irish"
"Love is never defeated, and I could add, the history of Ireland proves it.",Pope John Paul II,"Love, History, Love Is"
"Being Irish, I always had this love of words.",Kenneth Branagh,"Love, Always, Words"
"If you're Irish, it doesn't matter where you go - you'll find family.",Victoria Smurfit,"Family, Matter, Find"
"I come from an Irish Catholic family, and hell-raising is part of the DNA.",Brian Dennehy,"Family, DNA, Come"
That's what the holidays are for - for one person to tell the stories and another to dispute them. Isn't that the Irish way?,Lara Flynn Boyle,"Way, Person, Tell"
"Our prayers should be for blessings in general, for God knows best what is good for us.",Socrates,"Best, God, Good"
I was raised in a very old fashioned Ireland where women were reared to be lovely.,Anne Enright,"Women, Old, Where"
Every St. Patrick's Day every Irishman goes out to find another Irishman to make a speech to.,Shane Leslie,"Day, Find, Speech"
"Geographically, Ireland is a medium-sized rural island that is slowly but steadily being consumed by sheep.",Dave Barry,"Sheep, Rural, Island"
Being Irish is very much a part of who I am. I take it everywhere with me.,Colin Farrell,"I Am, Me, Much"
