title,author,tags
The science of today is the technology of tomorrow.,Edward Teller,"Technology, Today, Tomorrow"
"We live in a society exquisitely dependent on science and technology, in which hardly anyone knows anything about science and technology.",Carl Sagan,"Technology, Society, Live"
Research is what I'm doing when I don't know what I'm doing.,Wernher von Braun,"Research, Doing, Know"
"Science knows no country, because knowledge belongs to humanity, and is the torch which illuminates the world. Science is the highest personification of the nation because that nation will remain the first which carries the furthest the works of thought and intelligence.",Louis Pasteur,"Knowledge, Intelligence, World"
"Science and technology revolutionize our lives, but memory, tradition and myth frame our response.",Arthur M. Schlesinger,"Technology, Science And Technology, Myth"
The distance between insanity and genius is measured only by success.,Bruce Feirstein,"Success, Genius, Distance"
"Equipped with his five senses, man explores the universe around him and calls the adventure Science.",Edwin Powell Hubble,"Man, Universe, Adventure"
What is research but a blind date with knowledge?,Will Harvey,"Knowledge, Research, Blind"
"The universe is made of stories, not of atoms.",Muriel Rukeyser,"Universe, Atoms, Made"
"Only two things are infinite, the universe and human stupidity, and I'm not sure about the former.",Albert Einstein,"Stupidity, Universe, Human"
"Science is a way of life. Science is a perspective. Science is the process that takes us from confusion to understanding in a manner that's precise, predictive and reliable - a transformation, for those lucky enough to experience it, that is empowering and emotional.",Brian Greene,"Life, Experience, Process"
Science is a way of thinking much more than it is a body of knowledge.,Carl Sagan,"Knowledge, Thinking, Body"
"Everything is theoretically impossible, until it is done.",Robert A. Heinlein,"Impossible, Done, Everything"
The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,Isaac Asimov,"Life, Wisdom, Knowledge"
Scientific advancement should aim to affirm and to improve human life.,Nathan Deal,"Life, Aim, Human Life"
Every great advance in science has issued from a new audacity of imagination.,John Dewey,"Great, Imagination, New"
"Science, my lad, is made up of mistakes, but they are mistakes which it is useful to make, because they lead little by little to the truth.",Jules Verne,"Truth, Mistakes, Make"
The great tragedy of science - the slaying of a beautiful hypothesis by an ugly fact.,Thomas Huxley,"Great, Beautiful, Ugly"
Scientific research is one of the most exciting and rewarding of occupations.,Frederick Sanger,"Research, Scientific Research, Exciting"
"We look at science as something very elite, which only a few people can learn. That's just not true. You just have to start early and give kids a foundation. Kids live up, or down, to expectations.",Mae Jemison,"Foundation, Expectations, Look"
Science has made us gods even before we are worthy of being men.,Jean Rostand,"Men, Us, Worthy"
"Science is not only a disciple of reason but, also, one of romance and passion.",Stephen Hawking,"Passion, Reason, Only"
"Aerodynamically, the bumble bee shouldn't be able to fly, but the bumble bee doesn't know it so it goes on flying anyway.",Mary Kay Ash,"Fly, Bee, Know"
The characteristic of scientific progress is our knowing that we did not know.,Gaston Bachelard,"Progress, Know, Knowing"
Science is organized knowledge. Wisdom is organized life.,Immanuel Kant,"Life, Wisdom, Knowledge"
"In science, 'fact' can only mean 'confirmed to such a degree that it would be perverse to withhold provisional assent.' I suppose that apples might start to rise tomorrow, but the possibility does not merit equal time in physics classrooms.",Stephen Jay Gould,"Time, Tomorrow, Start"
Science never solves a problem without creating ten more.,George Bernard Shaw,"Never, Creating, More"
Science is wonderfully equipped to answer the question 'How?' but it gets terribly confused when you ask the question 'Why?',Erwin Chargaff,"Confused, Why, Answer"
"Reason, observation, and experience; the holy trinity of science.",Robert Green Ingersoll,"Experience, Observation, Reason"
"The folly of mistaking a paradox for a discovery, a metaphor for a proof, a torrent of verbiage for a spring of capital truths, and oneself for an oracle, is inborn in us.",Paul Valery,"Spring, Discovery, Us"
"The most exciting phrase to hear in science, the one that heralds new discoveries, is not 'Eureka!' but 'That's funny...'",Isaac Asimov,"Funny, New, Hear"
