title,author,tags
"Yesterday's the past, tomorrow's the future, but today is a gift. That's why it's called the present.",Bil Keane,"Future, Today, Tomorrow"
"You can fool all the people some of the time, and some of the people all the time, but you cannot fool all the people all the time.",Abraham Lincoln,"Fool, People, Cannot"
Time and tide wait for no man.,Geoffrey Chaucer,"Man, Wait, Tide"
"No matter how busy you are, you must take time to make the other person feel important.",Mary Kay Ash,"Busy, Matter, Important"
Time changes everything except something within us which is always surprised by change.,Thomas Hardy,"Change, Always, Time Changes"
"Time moves in one direction, memory in another.",William Gibson,"Memory, Direction, Moves"
"Put two ships in the open sea, without wind or tide, and, at last, they will come together. Throw two planets into space, and they will fall one on the other. Place two enemies in the midst of a crowd, and they will inevitably meet; it is a fatality, a question of time; that is all.",Jules Verne,"Space, Together, Wind"
"All the world's a stage, and all the men and women merely players: they have their exits and their entrances; and one man in his time plays many parts, his acts being seven ages.",William Shakespeare,"Women, Men, Man"
"Time is the coin of your life. It is the only coin you have, and only you can determine how it will be spent. Be careful lest you let other people spend it for you.",Carl Sandburg,"Life, Your, Will"
"In times like these, it helps to recall that there have always been times like these.",Paul Harvey,"Always, Recall, Like"
There are no secrets that time does not reveal.,Jean Racine,"Secrets, Reveal, Does"
Don't let the fear of the time it will take to accomplish something stand in the way of your doing it. The time will pass anyway; we might just as well put that passing time to the best possible use.,Earl Nightingale,"Best, Fear, Your"
Time is the most valuable thing a man can spend.,Theophrastus,"Man, Valuable, Spend"
"Tough times never last, but tough people do.",Robert H. Schuller,"People, Tough, Never"
The time you enjoy wasting is not wasted time.,Bertrand Russell,"Enjoy, Wasted, Wasted Time"
Punctuality is the virtue of the bored.,Evelyn Waugh,"Virtue, Bored, Punctuality"
"It is strange that the years teach us patience; that the shorter our time, the greater our capacity for waiting.",Elizabeth Taylor,"Patience, Waiting, Strange"
The past always looks better than it was. It's only pleasant because it isn't here.,Finley Peter Dunne,"Always, Past, Better"
"The clock talked loud. I threw it away, it scared me what it talked.",Tillie Olsen,"Me, Clock, Scared"
"Time flies over us, but leaves its shadow behind.",Nathaniel Hawthorne,"Time Flies, Shadow, Behind"
"Time is what we want most, but what we use worst.",William Penn,"Worst, Use, Want"
The past cannot be cured.,Elizabeth I,"Past, Cannot, Cured"
"Men talk of killing time, while time quietly kills them.",Dion Boucicault,"Men, Talk, Quietly"
"Time is the school in which we learn, time is the fire in which we burn.",Delmore Schwartz,"Fire, Burn, School"
"If you don't have time to do it right, when will you have time to do it over?",John Wooden,"Will, Right, Over"
"Time is the father of truth, its mother is our mind.",Giordano Bruno,"Truth, Mind, Father"
Time will pass and seasons will come and go.,Roy Bean,"Will, Seasons, Come And Go"
Time is a dressmaker specializing in alterations.,Faith Baldwin,
Time is nature's way of keeping everything from happening at once.,John Archibald Wheeler,"Nature, Way, Everything"
Lost time is never found again.,Benjamin Franklin,"Lost, Never, Found"
My favorite things in life don't cost any money. It's really clear that the most precious resource we all have is time.,Steve Jobs,"Life, Money, Precious"
Procrastination is the thief of time.,Edward Young,"Procrastination, Thief"
"Time goes, you say? Ah, no! alas, time stays, we go.",Henry Austin Dobson,"Go, Say, Alas"
I went to a restaurant that serves 'breakfast at any time'. So I ordered French Toast during the Renaissance.,Steven Wright,"Breakfast, Restaurant, Renaissance"
"Know the true value of time; snatch, seize, and enjoy every moment of it. No idleness, no laziness, no procrastination: never put off till tomorrow what you can do today.","Philip Stanhope, 4th Earl of Chesterfield","Today, Tomorrow, Moment"
Work is hard. Distractions are plentiful. And time is short.,Adam Hochschild,"Work, Distractions, Hard"
