title,author,tags
"Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.",Arthur Conan Doyle,"Impossible, Matter, Whatever"
"All truth passes through three stages. First, it is ridiculed. Second, it is violently opposed. Third, it is accepted as being self-evident.",Arthur Schopenhauer,"First, Three, Through"
It is only with the heart that one can see rightly; what is essential is invisible to the eye.,Antoine de Saint-Exupery,"Heart, Eye, See"
All truths are easy to understand once they are discovered; the point is to discover them.,Galileo Galilei,"Easy, Understand, Point"
"Truth is like the sun. You can shut it out for a time, but it ain't goin' away.",Elvis Presley,"Time, Sun, Truth Is"
If you do not tell the truth about yourself you cannot tell it about other people.,Virginia Woolf,"Yourself, People, Cannot"
"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.",Oscar Wilde,"Man, Mask, Will"
"The truth will set you free, but first it will make you miserable.",James A. Garfield,"Free, Will, First"
"We live in a fantasy world, a world of illusion. The great task in life is to find reality.",Iris Murdoch,"Life, Great, World"
"Never apologize for showing feeling. When you do so, you apologize for the truth.",Benjamin Disraeli,"Feeling, Never, Apologize"
"Rather than love, than money, than fame, give me truth.",Henry David Thoreau,"Love, Money, Me"
"If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things.",Rene Descartes,"Life, Your, Possible"
"Three things cannot be long hidden: the sun, the moon, and the truth.",Buddha,"Long, Moon, Sun"
"I am a firm believer in the people. If given the truth, they can be depended upon to meet any national crisis. The great point is to bring them the real facts.",Abraham Lincoln,"Great, I Am, Facts"
Truth will ultimately prevail where there is pains to bring it to light.,George Washington,"Light, Will, Prevail"
"If you tell the truth, you don't have to remember anything.",Mark Twain,"Remember, Anything, Tell"
Truth exists; only lies are invented.,Georges Braque,"Only, Lies, Exists"
Sometimes the truth hurts. And sometimes it feels real good.,Henry Rollins,"Good, Sometimes, Real"
"By doubting we are led to question, by questioning we arrive at the truth.",Peter Abelard,"Questioning, Question, Led"
"We swallow greedily any lie that flatters us, but we sip only little by little at a truth we find bitter.",Denis Diderot,"Lie, Find, Us"
A lie gets halfway around the world before the truth has a chance to get its pants on.,Winston Churchill,"Chance, World, Lie"
The truth is of course is that there is no journey. We are arriving and departing all at the same time.,David Bowie,"Time, Journey, Truth Is"
Honesty is the first chapter in the book of wisdom.,Thomas Jefferson,"Wisdom, Honesty, First"
"Truth will always be truth, regardless of lack of understanding, disbelief or ignorance.",W. Clement Stone,"Always, Ignorance, Will"
Justice is truth in action.,Benjamin Disraeli,"Justice, Action"
The first reaction to truth is hatred.,Tertullian,"First, Hatred, Truth Is"
"If you look for truth, you may find comfort in the end; if you look for comfort you will not get either comfort or truth only soft soap and wishful thinking to begin, and in the end, despair.",C. S. Lewis,"Comfort, Thinking, Look"
A lot of truth is said in jest.,Eminem,"Truth Is, Said, Lot"
"Some people think that the truth can be hidden with a little cover-up and decoration. But as time goes by, what is true is revealed, and what is fake fades away.",Ismail Haniyeh,"Time, True, People"
Betrayal is the only truth that sticks.,Arthur Miller,"Only, Betrayal, Sticks"
Infinite love is the only truth. Everything else is illusion.,David Icke,"Love, Love Is, Illusion"
There's a world of difference between truth and facts. Facts can obscure the truth.,Maya Angelou,"World, Facts, Difference"
Perhaps the truth depends on a walk around the lake.,Wallace Stevens,"Walk, Lake, Depends"
"Even if you are a minority of one, the truth is the truth.",Mahatma Gandhi,"Minority, Truth Is, Even"
"There are no facts, only interpretations.",Friedrich Nietzsche,"Facts, Only, Interpretations"
"It is always the best policy to speak the truth, unless, of course, you are an exceptionally good liar.",Jerome K. Jerome,"Best, Good, Always"
No legacy is so rich as honesty.,William Shakespeare,"Legacy, Honesty, Rich"
I have a theory that the truth is never told during the nine-to-five hours.,Hunter S. Thompson,"Never, Truth Is, Theory"
"'Beauty is truth, truth beauty,' - that is all ye know on earth, and all ye need to know.",John Keats,"Beauty, Know, Earth"
I believe that it is better to tell the truth than a lie. I believe it is better to be free than to be a slave. And I believe it is better to know than to be ignorant.,H. L. Mencken,"Believe, Better, Lie"
People will generally accept facts as truth only if the facts agree with what they already believe.,Andy Rooney,"Believe, Facts, Will"
"On the mountains of truth you can never climb in vain: either you will reach a point higher up today, or you will be training your powers so that you will be able to climb higher tomorrow.",Friedrich Nietzsche,"Today, Tomorrow, Your"
A harmful truth is better than a useful lie.,Thomas Mann,"Better, Lie, Truth Is"
I don't believe it. Prove it to me and I still won't believe it.,Douglas Adams,"Believe, Me, Prove"
The great advantage about telling the truth is that nobody ever believes it.,Dorothy L. Sayers,"Great, Nobody, Telling The Truth"
"The truth is incontrovertible. Malice may attack it, ignorance may deride it, but in the end, there it is.",Winston Churchill,"Ignorance, End, Attack"
The object of the superior man is truth.,Confucius,"Man, Superior, Object"
We are either in the process of resisting God's truth or in the process of being shaped and molded by his truth.,Charles Stanley,"God, Process, Being"
"Be truthful, nature only sides with truth.",Adolf Loos,"Nature, Only, Sides"
A dog barks when his master is attacked. I would be a coward if I saw that God's truth is attacked and yet would remain silent.,John Calvin,"God, Dog, Coward"
The truth is rarely pure and never simple.,Oscar Wilde,"Simple, Never, Pure"
"Your problem is how you are going to spend this one odd and precious life you have been issued. Whether you're going to spend it trying to look good and creating the illusion that you have power over people and circumstances, or whether you are going to taste it, enjoy it and find out the truth about who you are.",Anne Lamott,"Life, Good, Power"
"The truth. It is a beautiful and terrible thing, and must therefore be treated with great caution.",J. K. Rowling,"Great, Beautiful, Terrible"
There is nothing more deceptive than an obvious fact.,Arthur Conan Doyle,"Nothing, More, Obvious"
My longing for truth was a single prayer.,Edith Stein,"Prayer, Longing, Single"
I tore myself away from the safe comfort of certainties through my love for truth - and truth rewarded me.,Simone de Beauvoir,"Love, Myself, Comfort"
The truth is more important than the facts.,Frank Lloyd Wright,"Facts, Important, Truth Is"
"Every truth has two sides; it is as well to look at both, before we commit ourselves to either.",Aesop,"Look, Well, Two"
Adversity is the first path to truth.,Lord Byron,"Adversity, Path, First"
Truth sits upon the lips of dying men.,Matthew Arnold,"Men, Lips, Dying"
All great truths begin as blasphemies.,George Bernard Shaw,"Great, Begin, Truths"
In a time of universal deceit - telling the truth is a revolutionary act.,Unknown,"Time, Act, Telling The Truth"
"Only enemies speak the truth; friends and lovers lie endlessly, caught in the web of duty.",Stephen King,"Lie, Duty, Enemies"
"Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.",Mark Twain,"Stranger, Possibilities, Truth Is"
What is truth? Truth doesn't really exist. Who is going to judge whether my experience of an incident is more valid than yours? No one can be trusted to be the judge of that.,Tracey Emin,"Experience, Judge, Exist"
"The opposite of a fact is falsehood, but the opposite of one profound truth may very well be another profound truth.",Niels Bohr,"May, Well, Opposite"
"Plato is dear to me, but dearer still is truth.",Aristotle,"Me, Still, Dear"
A truth that's told with bad intent beats all the lies you can invent.,William Blake,"Bad, Lies, Intent"
There are some people so addicted to exaggeration that they can't tell the truth without lying.,Josh Billings,"People, Some People, Tell"
"Peace if possible, truth at all costs.",Martin Luther,"Peace, Possible, Costs"
"An error does not become truth by reason of multiplied propagation, nor does truth become error because nobody sees it.",Mahatma Gandhi,"Nobody, Reason, Become"
"Truth, like gold, is to be obtained not by its growth, but by washing away from it all that is not gold.",Leo Tolstoy,"Growth, Gold, Like"
"I believe that unarmed truth and unconditional love will have the final word in reality. This is why right, temporarily defeated, is stronger than evil triumphant.","Martin Luther King, Jr.","Love, Believe, Reality"
"Truth is strong, and sometime or other will prevail.",Mary Astell,"Will, Strong, Prevail"
"I am the Way, the Truth, and the Life. No one comes to the Father except through me.",Jesus Christ,"Life, I Am, Me"
Facts are stubborn things.,Ronald Reagan,"Facts, Stubborn, Things"
All the truth in the world adds up to one big lie.,Bob Dylan,"World, Lie, Big"
"Tell me I'm clever, Tell me I'm kind, Tell me I'm talented, Tell me I'm cute, Tell me I'm sensitive, Graceful and wise, Tell me I'm perfect - But tell me the truth.",Shel Silverstein,"Wise, Me, Perfect"
A lie which is half a truth is ever the blackest of lies.,Alfred Lord Tennyson,"Lie, Half, Truth Is"
"If you shut up truth, and bury it underground, it will but grow.",Emile Zola,"Grow, Will, Shut Up"
"In matters of truth and justice, there is no difference between large and small problems, for issues concerning the treatment of people are all the same.",Albert Einstein,"Justice, Problems, People"
"Truth makes on the ocean of nature no one track of light; every eye, looking on, finds its own.",Edward G. Bulwer-Lytton,"Nature, Light, Own"
Doubt is the incentive to truth and inquiry leads the way.,Hosea Ballou,"Way, Doubt, Incentive"
The absurd is the essential concept and the first truth.,Albert Camus,"First, Absurd, Essential"
Cynicism is an unpleasant way of saying the truth.,Lillian Hellman,"Way, Saying, Cynicism"
"The great enemy of the truth is very often not the lie, deliberate, contrived and dishonest, but the myth, persistent, persuasive and unrealistic.",John F. Kennedy,"Great, Lie, Enemy"
"My mother taught me that when you stand in the truth and someone tells a lie about you, don't fight it.",Whitney Houston,"Fight, Lie, Me"
"If I'd written all the truth I knew for the past ten years, about 600 people - including me - would be rotting in prison cells from Rio to Seattle today. Absolute truth is a very rare and dangerous commodity in the context of professional journalism.",Hunter S. Thompson,"Today, Journalism, Past"
Any truth is better than indefinite doubt.,Arthur Conan Doyle,"Better, Doubt, Truth Is"
It's no wonder that truth is stranger than fiction. Fiction has to make sense.,Mark Twain,"Stranger, Wonder, Make"
The truth of the matter is that you always know the right thing to do. The hard part is doing it.,Robert H. Schuller,"Always, The Right Thing, Doing"
