title,author,tags
"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.",A. A. Milne,"Day, Never, Live"
Love is our true destiny. We do not find the meaning of life by ourselves alone - we find it with another.,Thomas Merton,"Life, Love, Alone"
"A heart is not judged by how much you love, but by how much you are loved by others.",Frank Morgan,"Love, Heart, Others"
We are most alive when we're in love.,John Updike,"Love, Alive, Most"
"The hours I spend with you I look upon as sort of a perfumed garden, a dim twilight, and a fountain singing to it. You and you alone make me feel that I am alive. Other men it is said have seen angels, but I have seen thee and thou art enough.",George Edward Moore,"Alone, Art, Men"
The heart has its reasons of which reason knows nothing.,Blaise Pascal,"Heart, Nothing, Reason"
Love will find a way through paths where wolves fear to prey.,Lord Byron,"Love, Fear, Will"
"Give me a kiss, and to that kiss a score; Then to that twenty, add a hundred more: A thousand to that hundred: so kiss on, To make that thousand up a million. Treble that million, and when that is done, Let's kiss afresh, as when we first begun.",Robert Herrick,"Done, Me, Kiss"
"Today is Valentine's Day - or, as men like to call it, Extortion Day!",Jay Leno,"Men, Today, Day"
"For it was not into my ear you whispered, but into my heart. It was not my lips you kissed, but my soul.",Judy Garland,"Heart, Soul, My Soul"
All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,"Love, Hurt, Chocolate"
"Oh, if it be to choose and call thee mine, love, thou art every day my Valentine!",Thomas Hood,"Love, Art, Day"
"The minute I heard my first love story, I started looking for you, not knowing how blind that was. Lovers don't finally meet somewhere. They're in each other all along.",Rumi,"Love, Blind, Looking"
"There's a long life ahead of you and it's going to be beautiful, as long as you keep loving and hugging each other.",Yoko Ono,"Life, Beautiful, Long"
"Romance is thinking about your significant other, when you are supposed to be thinking about something else.",Nicholas Sparks,"Your, Thinking, Something"
A kiss makes the heart young again and wipes out the years.,Rupert Brooke,"Heart, Kiss, Young"
If you have only one smile in you give it to the people you love.,Maya Angelou,"Love, Smile, People"
"If you press me to say why I loved him, I can say no more than because he was he, and I was I.",Michel de Montaigne,"Me, I Can, Why"
The Eskimos had fifty-two names for snow because it was important to them: there ought to be as many for love.,Margaret Atwood,"Love, Important, Snow"
I'd kiss a frog even if there was no promise of a Prince Charming popping out of it. I love frogs.,Cameron Diaz,"Love, Kiss, Frog"
"I love Valentine's Day! I love it, I love it, I love it. I like having doors opened for me. My favorite romantic comedy is 'When Harry Met Sally.'",Ginnifer Goodwin,"Love, Romantic, Day"
In love there are two things - bodies and words.,Joyce Carol Oates,"Love, Words, Things"
"I'll love you, dear, I'll love you till China and Africa meet and the river jumps over the mountain and the salmon sing in the street.",W. H. Auden,"Love, River, Street"
"Look, there's no metaphysics on earth like chocolates.",Fernando Pessoa,"Look, Earth, Like"
"Where there is great love, there are always wishes.",Willa Cather,"Love, Great, Always"
The best smell in the world is that man that you love.,Jennifer Aniston,"Love, Best, Man"
They invented hugs to let people know you love them without saying anything.,Bil Keane,"Love, Know, People"
I'd rather have roses on my table than diamonds on my neck.,Emma Goldman,"Diamonds, Table, Roses"
I'm like the kid in kindergarten; I really do send valentines to everyone.,Susie Bright,"Everyone, Like, Kindergarten"
Soul meets soul on lovers' lips.,Percy Bysshe Shelley,"Soul, Lips, Lovers"
When you love someone all your saved up wishes start coming out.,Elizabeth Bowen,"Love, Your, Start"
Everything's coming up roses - for me.,Ethel Merman,"Me, Everything, Coming"
I like perfume and flowers.,Donatella Versace,"Flowers, Perfume, Like"
"I know of only one duty, and that is to love.",Albert Camus,"Love, Duty, Know"
