title,author,tags
"Women, can't live with them, can't live without them.",Desiderius Erasmus,"Live, Without, Them"
Women hold up half the sky.,Mao Zedong,"Sky, Half, Hold"
Women who seek to be equal with men lack ambition.,Timothy Leary,"Men, Ambition, Equal"
Women are the real architects of society.,Cher,"Society, Real, Women Are"
Women will never be as successful as men because they have no wives to advise them.,Dick Van Dyke,"Men, Will, Never"
A woman is like a tea bag - you can't tell how strong she is until you put her in hot water.,Eleanor Roosevelt,"Water, Tea, Bag"
"Any time women come together with a collective intention, it's a powerful thing. Whether it's sitting down making a quilt, in a kitchen preparing a meal, in a club reading the same book, or around the table playing cards, or planning a birthday party, when women come together with a collective intention, magic happens.",Phylicia Rashad,"Birthday, Time, Together"
"A woman should be like a single flower, not a whole bouquet.",Anna Held,"Flower, Woman, Bouquet"
"If you want something said, ask a man; if you want something done, ask a woman.",Margaret Thatcher,"Done, Man, Woman"
"The connections between and among women are the most feared, the most problematic, and the most potentially transforming force on the planet.",Adrienne Rich,"Connections, Planet, Force"
"Girls have an unfair advantage over men: if they can't get what they want by being smart, they can get it by being dumb.",Yul Brynner,"Men, Smart, Dumb"
Some of us are becoming the men we wanted to marry.,Gloria Steinem,"Men, Us, Becoming"
Think like a queen. A queen is not afraid to fail. Failure is another steppingstone to greatness.,Oprah Winfrey,"Failure, Queen, Greatness"
"Being a woman is a terribly difficult task, since it consists principally in dealing with men.",Joseph Conrad,"Men, Woman, Difficult"
"I guess at the end of the day, all women like to be appreciated and treated with respect and kindness.",Sofia Vergara,"Respect, Kindness, Day"
A girl should be two things: classy and fabulous.,Coco Chanel,"Classy, Girl, Things"
"God gave women intuition and femininity. Used properly, the combination easily jumbles the brain of any man I've ever met.",Farrah Fawcett,"God, Brain, Man"
"There was a time when men thought it was sexy to have a housewife waiting for him to come home from work in her slippers, but in modern society, I think an independent woman is even more sexy.",Kat Graham,"Work, Time, Society"
"Women are made to be loved, not understood.",Oscar Wilde,"Loved, Understood, Women Are"
"I don't know who invented high heels, but all women owe him a lot.",Marilyn Monroe,"Know, High Heels, High"
I do not wish women to have power over men; but over themselves.,Mary Shelley,"Power, Men, Wish"
I measure the progress of a community by the degree of progress which women have achieved.,B. R. Ambedkar,"Progress, Community, Measure"
"You see a lot of smart guys with dumb women, but you hardly ever see a smart woman with a dumb guy.",Erica Jong,"Smart, Dumb, Woman"
Woman is the dominant sex. Men have to do all sorts of stuff to prove that they are worthy of woman's attention.,Camille Paglia,"Men, Sex, Woman"
"Wives are young men's mistresses, companions for middle age, and old men's nurses.",Francis Bacon,"Age, Men, Young"
"Ah, women. They make the highs higher and the lows more frequent.",Friedrich Nietzsche,"Make, Lows, More"
"Whatever women do, they must do twice as well as men to be thought half as good. Luckily, this is not difficult.",Charlotte Whitton,"Good, Men, Difficult"
"Women, like men, should try to do the impossible. And when they fail, their failure should be a challenge to others.",Amelia Earhart,"Failure, Men, Impossible"
"As usual, there is a great woman behind every idiot.",John Lennon,"Great, Woman, Idiot"
"In too many instances, the march to globalization has also meant the marginalization of women and girls. And that must change.",Hillary Clinton,"Change, Globalization, March"
Man does not control his own fate. The women in his life do that for him.,Groucho Marx,"Life, Man, Control"
"It may be the cock that crows, but it is the hen that lays the eggs.",Margaret Thatcher,"May, Hen, Crows"
Women get more unhappy the more they try to liberate themselves.,Brigitte Bardot,"Try, Unhappy, More"
The age of a woman doesn't mean a thing. The best tunes are played on the oldest fiddles.,Ralph Waldo Emerson,"Best, Age, Woman"
"I write for those women who do not speak, for those who do not have a voice because they were so terrified, because we are taught to respect fear more than ourselves. We've been taught that silence would save us, but it won't.",Audre Lorde,"Respect, Fear, Silence"
To understand how any society functions you must understand the relationship between the men and the women.,Angela Davis,"Society, Relationship, Men"
I am my own woman.,Evita Peron,"I Am, Woman, Own"
"My mother told me two things constantly. One was to be a lady and the other was to be independent, and the law was something most unusual for those times because for most girls growing up in the '40s, the most important degree was not your B.A. but your M.R.S.",Ruth Bader Ginsburg,"Your, Me, Law"
"If women can be railroad workers in Russia, why can't they fly in space?",Valentina Tereshkova,"Space, Fly, Why"
"Were there no women, men might live like gods.",Thomas Dekker,"Men, Live, Like"
"In our society, the women who break down barriers are those who ignore limits.",Arnold Schwarzenegger,"Society, Limits, Ignore"
The trouble with life is that there are so many beautiful women and so little time.,John Barrymore,"Life, Time, Beautiful"
"After all those years as a woman hearing 'not thin enough, not pretty enough, not smart enough, not this enough, not that enough,' almost overnight I woke up one morning and thought, 'I'm enough.'",Anna Quindlen,"Morning, Smart, Woman"
"Men are April when they woo, December when they wed. Maids are May when they are maids, but the sky changes when they are wives.",William Shakespeare,"Men, Sky, May"
"Most women set out to try to change a man, and when they have changed him they do not like him.",Marlene Dietrich,"Change, Man, Try"
"The labor of women in the house, certainly, enables men to produce more wealth than they otherwise could; and in this way women are economic factors in society. But so are horses.",Charlotte Perkins Gilman,"Society, Men, Wealth"
People don't want to see women doing things they don't think women should do.,Joan Jett,"Doing, People, See"
"Women want love to be a novel, men a short story.",Daphne du Maurier,"Love, Men, Story"
Women's value has been under-recognized for far too long.,Sidney Sheldon,"Value, Long, Far"
Women are the sustaining force of any society - they think of the children and the next generation's chances.,Margo MacDonald,"Society, Generation, Children"
Women with money and women in power are two uncomfortable ideas in our society.,Candace Bushnell,"Power, Society, Money"
Clever and attractive women do not want to vote; they are willing to let men govern as long as they govern men.,George Bernard Shaw,"Men, Long, Attractive"
"I think today women are very scared to celebrate themselves, because then they just get labeled.",Charlize Theron,"Today, Celebrate, Think"
The only really happy folk are married women and single men.,H. L. Mencken,"Men, Happy, Only"
No doubt exists that all women are crazy; it's only a question of degree.,W. C. Fields,"Crazy, Doubt, Degree"
I believe women still face a glass ceiling that must be shattered.,Andrew Cuomo,"Believe, Face, Glass"
"Clearly older women and especially older women who have led an active life or elder women who successfully maneuver through their own family life have so much to teach us about sharing, patience, and wisdom.",Alice Walker,"Life, Wisdom, Patience"
Women cannot complain about men anymore until they start getting better taste in them.,Bill Maher,"Men, Better, Start"
Women have a predestination to suffering.,Bela Lugosi,"Suffering, Predestination"
"I like intelligent women. When you go out, it shouldn't be a staring contest.",Frank Sinatra,"Go, Intelligent, Like"
"Men are allowed to have passion and commitment for their work... a woman is allowed that feeling for a man, but not her work.",Barbra Streisand,"Work, Men, Man"
Women are incredible in groups together. Terrifying. Men have nothing on them.,Michael Hutchence,"Men, Together, Nothing"
"I think God made a woman to be strong and not to be trampled under the feet of men. I've always felt this way because my mother was a very strong woman, without a husband.",Little Richard,"God, Men, Always"
"When men reach their sixties and retire, they go to pieces. Women go right on cooking.",Gail Sheehy,"Men, Cooking, Right"
"Men and women, women and men. It will never work.",Erica Jong,"Work, Men, Will"
There's no evidence whatsoever that men are more rational than women. Both sexes seem to be equally irrational.,Albert Ellis,"Men, More, Evidence"
"Disguise our bondage as we will, 'Tis woman, woman, rules us still.",Thomas Moore,"Woman, Will, Rules"
"When women go wrong, men go right after them.",Mae West,"Men, Right, Go"
"I've yet to be on a campus where most women weren't worrying about some aspect of combining marriage, children, and a career. I've yet to find one where many men were worrying about the same thing.",Gloria Steinem,"Men, Marriage, Find"
I'm not denyin' the women are foolish. God Almighty made 'em to match the men.,George Eliot,"God, Men, Match"
Emancipation of women has made them lose their mystery.,Grace Kelly,"Lose, Mystery, Emancipation"
Women need not always keep their mouths shut and their wombs open.,Emma Goldman,"Always, Keep, Open"
"When women are encouraged to be competitive, too many of them become disagreeable.",Benjamin Spock,"Become, Competitive, Women Are"
Men are by nature merely indifferent to one another; but women are by nature enemies.,Arthur Schopenhauer,"Nature, Men, Enemies"
A women who doesn't wear perfume has no future.,Coco Chanel,"Future, Perfume, Who"
"How wrong it is for a woman to expect the man to build the world she wants, rather than to create it herself.",Anais Nin,"Man, World, Woman"
"If men knew all that women think, they would be twenty times more audacious.",Alphonse Karr,"Men, Think, More"
"I will not say that women have no character; rather, they have a new one every day.",Heinrich Heine,"Character, Day, Will"
"From birth to age 18 a girl needs good parents. From 18 to 35 she needs good looks. From 35 to 55 she needs a good personality. From 55 on, she needs good cash.",Sophie Tucker,"Good, Age, Personality"
I never realized until lately that women were supposed to be the inferior sex.,Katharine Hepburn,"Sex, Never, Until"
"When anything goes, it's women who lose.",Camille Paglia,"Lose, Anything, Who"
I feel there is something unexplored about woman that only a woman can explore.,Georgia O'Keeffe,"Woman, Feel, Something"
"I grew up in the Bronx where you would stay up late with your girlfriends, just being silly in our bedrooms, whatever. And I was always the clown.",Jennifer Lopez,"Always, Your, Late"
"Women like myself, CEOs, can pave the way for more women to get to the top.",Andrea Jung,"Myself, Way, More"
"Women are naturally secretive, and they like to do their own secreting.",Arthur Conan Doyle,"Own, Like, Secretive"
Men are governed by lines of intellect - women: by curves of emotion.,James Joyce,"Men, Curves, Emotion"
You can tell the strength of a nation by the women behind its men.,Benjamin Disraeli,"Strength, Men, Nation"
"Women have been called queens for a long time, but the kingdom given them isn't worth ruling.",Louisa May Alcott,"Time, Long, Long Time"
They say that women talk too much. If you have worked in Congress you know that the filibuster was invented by men.,Clare Boothe Luce,"Men, Know, Talk"
"A woman has two smiles that an angel might envy, the smile that accepts a lover before words are uttered, and the smile that lights on the first born babe, and assures it of a mother's love.",Thomas Chandler Haliburton,"Love, Smile, Angel"
The test of civilization is its estimate of women.,George William Curtis,"Civilization, Test, Estimate"
"Women's Lib? Oh, I'm afraid it doesn't interest me one bit. I've been so liberated it hurts.",Lucille Ball,"Me, Afraid, Interest"
Women need real moments of solitude and self-reflection to balance out how much of ourselves we give away.,Barbara De Angelis,"Balance, Solitude, Real"
Single women have a dreadful propensity for being poor. Which is one very strong argument in favor of matrimony.,Jane Austen,"Poor, Argument, Strong"
"Childbirth is more admirable than conquest, more amazing than self-defense, and as courageous as either one.",Gloria Steinem,"Amazing, Self-Defense, More"
Women don't take enough risks. Men are just 'foot on the gas pedal.' We're not going to close the achievement gap until we close the ambition gap.,Sheryl Sandberg,"Men, Risks, Achievement"
"Speaking very generally, I find that women are spiritually, emotionally, and often physically stronger than men.",Gary Oldman,"Men, Find, Stronger"
"Women, you can have it all - a loving man, devoted husband, loving children, a fabulous career.",Jada Pinkett Smith,"Man, Children, Husband"
"Women wish to be loved without a why or a wherefore; not because they are pretty, or good, or well-bred, or graceful, or intelligent, but because they are themselves.",Henri Frederic Amiel,"Good, Wish, Why"
"America is a land where men govern, but women rule.",John Mason Brown,"Men, America, Land"
"What we women need to do, instead of worrying about what we don't have, is just love what we do have.",Cameron Diaz,"Love, Need, Just"
Whether women are better than men I cannot say - but I can say they are certainly no worse.,Golda Meir,"Men, Better, I Can"
We're getting ready to take over the world. My group of girlfriends - we're renegades.,Lisa Bonet,"World, Group, Ready"
"But, alas! what poor Woman is ever taught that she should have a higher Design than to get her a Husband?",Mary Astell,"Design, Woman, Poor"
"This man is frank and earnest with women. In Fresno, he's Frank and in Chicago he's Ernest.",Henny Youngman,"Man, He, Earnest"
"Women hate everything which strips off the tinsel of sentiment, and they are right, or it would rob them of their weapons.",Lord Byron,"Hate, Everything, Right"
"And I think women have come a very, very long way, but they have a long way to go.",Lara Flynn Boyle,"Long, Way, Long Way"
"I think that women just have a primeval instinct to make soup, which they will try to foist on anybody who looks like a likely candidate.",Dylan Moran,"Try, Will, Soup"
One hair of a woman can draw more than a hundred pair of oxen.,James Howell,"Hair, Woman, More"
Being the boss anywhere is lonely. Being a female boss in a world of mostly men is especially so.,Robert Frost,"Men, Boss, World"
"The most virtuous women have something within them, something that is never chaste.",Honore de Balzac,"Never, Something, Within"
"Women have a favorite room, men a favorite chair.",Bernard Williams,"Men, Chair, Room"
"Women may not have it easy, but we are given a fairer chance to reach for the top.",Jessica Savitch,"Chance, Easy, May"
"It is easier for women to succeed in business, the arts, and politics in America than in Europe.",Hedy Lamarr,"Politics, Business, America"
"On the whole, I think women wear too much and are to fussy. You can't see the person for all the clutter.",Julie Andrews,"Person, See, Much"
Women have always been courageous... They are always fearless when protecting their children and in the last century they have been fearless in the fight for their rights.,Isabel Allende,"Always, Fight, Children"
Plain women know more about men than beautiful women do.,Katharine Hepburn,"Men, Beautiful, Know"
"Until Eve arrived, this was a man's world.",Richard Armour,"Man, World, Until"
"If women were particular about men's characters, they would never get married at all.",George Bernard Shaw,"Men, Never, About"
"Intimacies between women often go backwards, beginning in revelations and ending in small talk.",Elizabeth Bowen,"Beginning, Ending, Talk"
I think that maybe if women and children were in charge we would get somewhere.,James Thurber,"Children, Somewhere, Women And Children"
"It is capitalist America that produced the modern independent woman. Never in history have women had more freedom of choice in regard to dress, behavior, career, and sexual orientation.",Camille Paglia,"History, Freedom, Dress"
The sight of women talking together has always made men uneasy; nowadays it means rank subversion.,Germaine Greer,"Men, Always, Together"
I don't love dolls. I love women. I love their bodies.,John Galliano,"Love, Dolls, Bodies"
