title,author,tags
"Youth is the gift of nature, but age is a work of art.",Stanislaw Jerzy Lec,"Work, Nature, Art"
True terror is to wake up one morning and discover that your high school class is running the country.,Kurt Vonnegut,"Morning, Your, Country"
"You can't help getting older, but you don't have to get old.",George Burns,"Getting Older, Help, Old"
Old age is no place for sissies.,Bette Davis,"Old Age, Place, Old"
Aging is not lost youth but a new stage of opportunity and strength.,Betty Friedan,"Strength, Youth, Opportunity"
"Just remember, once you're over the hill you begin to pick up speed.",Arthur Schopenhauer,"Hill, Remember, Speed"
I'm happy to report that my inner child is still ageless.,James Broughton,"Happy, Inner Child, Child"
"Do not go gentle into that good night but rage, rage against the dying of the light.",Dylan Thomas,"Good, Light, Night"
Age is a very high price to pay for maturity.,Tom Stoppard,"Maturity, Price, High"
"Nobody grows old merely by living a number of years. We grow old by deserting our ideals. Years may wrinkle the skin, but to give up enthusiasm wrinkles the soul.",Samuel Ullman,"Soul, Skin, Grow"
"Age does not protect you from love. But love, to some extent, protects you from age.",Jeanne Moreau,"Love, Protect, Some"
Forty is the old age of youth; fifty the youth of old age.,Victor Hugo,"Youth, Old Age, Old"
Youth is wasted on the young.,George Bernard Shaw,"Youth, Young, Wasted"
We are always the same age inside.,Gertrude Stein,"Always, Inside, Same"
The trick is growing up without growing old.,Casey Stengel,"Old, Growing Up, Growing Old"
"As I grow older, I pay less attention to what men say. I just watch what they do.",Andrew Carnegie,"Men, Grow, Attention"
An archaeologist is the best husband a woman can have. The older she gets the more interested he is in her.,Agatha Christie,"Best, Woman, Husband"
"Men are like wine - some turn to vinegar, but the best improve with age.",Pope John XXIII,"Best, Men, Wine"
"Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young.",Henry Ford,"Life, Learning, Your"
"To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent - that is to triumph over old age.",Thomas Bailey Aldrich,"Heart, Old Age, Keep"
Try to keep your soul young and quivering right up to old age.,George Sand,"Your, Soul, Old Age"
"It is not how old you are, but how you are old.",Jules Renard,"Old, How, You"
"Age is an issue of mind over matter. If you don't mind, it doesn't matter.",Mark Twain,"Mind, Matter, Over"
Old minds are like old horses; you must exercise them if you wish to keep them in working order.,John Adams,"Keep, Wish, Exercise"
A diplomat is a man who always remembers a woman's birthday but never remembers her age.,Robert Frost,"Birthday, Always, Man"
"There is a fountain of youth: it is your mind, your talents, the creativity you bring to your life and the lives of people you love. When you learn to tap this source, you will truly have defeated age.",Sophia Loren,"Life, Love, Youth"
"As men get older, the toys get more expensive.",Marvin Davis,"Men, Toys, Expensive"
"Those who love deeply never grow old; they may die of old age, but they die young.",Dorothy Canfield Fisher,"Love, Die, Old Age"
A man growing old becomes a child again.,Sophocles,"Man, Old, Growing Old"
I think your whole life shows in your face and you should be proud of that.,Lauren Bacall,"Life, Your, Face"
If you haven't turned rebel by twenty you've got no heart; if you haven't turned establishment by thirty you've got no brains!,Kevin Spacey,"Heart, Rebel, Brains"
A grownup is a child with layers on.,Woody Harrelson,"Layers, Child, Grownup"
You don't stop laughing because you grow older. You grow older because you stop laughing.,Maurice Chevalier,"Grow, Stop, Older"
"You end up as you deserve. In old age you must put up with the face, the friends, the health, and the children you have earned.",Judith Viorst,"Health, Face, Old Age"
Be on the alert to recognize your prime at whatever time of your life it may occur.,Muriel Spark,"Life, Time, Your"
Age is not important unless you're a cheese.,Helen Hayes,"Important, Cheese, Unless"
"Every man desires to live long, but no man wishes to be old.",Jonathan Swift,"Man, Long, Live"
"In old age we are like a batch of letters that someone has sent. We are no longer in the past, we have arrived.",Knut Hamsun,"Past, Old Age, Someone"
It is sad to grow old but nice to ripen.,Brigitte Bardot,"Sad, Grow, Nice"
Old age is an excellent time for outrage. My goal is to say or do at least one outrageous thing every week.,Louis Kronenberger,"Time, Old Age, Week"
"I will never be an old man. To me, old age is always 15 years older than I am.",Francis Bacon,"Always, Man, I Am"
"The secret of staying young is to live honestly, eat slowly, and lie about your age.",Lucille Ball,"Your, Lie, Live"
Every time I paint a portrait I lose a friend.,John Singer Sargent,"Time, Lose, Portrait"
Middle age is when your age starts to show around your middle.,Bob Hope,"Your, Show, Middle Age"
"Age does not protect you from love. But love, to some extent, protects you from age.",Anais Nin,"Love, Protect, Some"
"Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.",Golda Meir,"Storm, Old Age, Nothing"
"After thirty, a body has a mind of its own.",Bette Midler,"Mind, Body, Own"
"Age appears to be best in four things; old wood best to burn, old wine to drink, old friends to trust, and old authors to read.",Francis Bacon,"Best, Trust, Old Friends"
"The old believe everything, the middle-aged suspect everything, the young know everything.",Oscar Wilde,"Believe, Know, Everything"
Old age is a shipwreck.,Charles de Gaulle,"Old Age, Old, Shipwreck"
One of the many pleasures of old age is giving things up.,Malcolm Muggeridge,"Old Age, Old, Things"
"Gray hairs seem to my fancy like the soft light of the moon, silvering over the evening of life.",Jean Paul,"Life, Light, Moon"
You know you're getting old when all the names in your black book have M. D. after them.,Harrison Ford,"Your, Black, Know"
"Youth is the best time to be rich, and the best time to be poor.",Euripides,"Best, Time, Youth"
Wrinkles should merely indicate where smiles have been.,Mark Twain,"Wrinkles, Where, Smiles"
None are so old as those who have outlived enthusiasm.,Henry David Thoreau,"Enthusiasm, Old, Who"
I don't feel old. I don't feel anything till noon. That's when it's time for my nap.,Bob Hope,"Time, Nap, Feel"
"Let age, not envy, draw wrinkles on thy cheeks.",Thomas Browne,"Envy, Wrinkles, Cheeks"
The surest sign of age is loneliness.,Annie Dillard,"Loneliness, Sign, Surest"
"Middle age is youth without levity, and age without decay.",Doris Day,"Youth, Without, Middle Age"
"No one can avoid aging, but aging productively is something else.",Katharine Graham,"Aging, Avoid, Something"
"Alas, after a certain age every man is responsible for his face.",Albert Camus,"Man, Face, Every Man"
"I want to get old gracefully. I want to have good posture, I want to be healthy and be an example to my children.",Sting,"Good, Children, Old"
"Whatever poet, orator or sage may say of it, old age is still old age.",Sinclair Lewis,"Old Age, May, Old"
"In youth, the days are short and the years are long. In old age, the years are short and days long.",Pope Paul VI,"Youth, Long, Old Age"
One of the many things nobody ever tells you about middle age is that it's such a nice change from being young.,Dorothy Canfield Fisher,"Change, Nobody, Young"
I'm not afraid of aging.,Shelley Duvall,"Aging, Afraid"
"If you're old, don't try to change yourself, change your environment.",B. F. Skinner,"Change, Your, Yourself"
"My notion of a wife at 40 is that a man should be able to change her, like a bank note, for two 20s.",Warren Beatty,"Change, Man, Wife"
The real sadness of fifty is not that you change so much but that you change so little.,Max Lerner,"Change, Sadness, Real"
Surrounding myself with beautiful women keeps me young.,Hugh Hefner,"Women, Beautiful, Myself"
A man knows when he is growing old because he begins to look like his father.,Gabriel Garcia Marquez,"Man, Look, Father"
The whole business of marshaling one's energies becomes more and more important as one grows older.,Hume Cronyn,"Business, Important, More"
What makes old age so sad is not that our joys but our hopes cease.,Jean Paul,"Sad, Old Age, Old"
"At 19, everything is possible and tomorrow looks friendly.",Jim Bishop,"Tomorrow, Possible, Everything"
He has a profound respect for old age. Especially when it's bottled.,Gene Fowler,"Respect, Old Age, Old"
Inflation is when you pay fifteen dollars for the ten-dollar haircut you used to get for five dollars when you had hair.,Sam Ewing,"Haircut, Inflation, Hair"
