title,author,tags
"It is far better to be alone, than to be in bad company.",George Washington,"Better, Bad, Company"
"If you are lonely when you're alone, you are in bad company.",Jean-Paul Sartre,"Bad, Company, Lonely"
The strongest man in the world is he who stands most alone.,Henrik Ibsen,"Man, World, Who"
Loneliness adds beauty to life. It puts a special burn on sunsets and makes night air smell better.,Henry Rollins,"Life, Beauty, Loneliness"
If you make friends with yourself you will never be alone.,Maxwell Maltz,"Yourself, Will, Never"
Loneliness is the poverty of self; solitude is the richness of self.,May Sarton,"Loneliness, Poverty, Solitude"
You come into the world alone and you go out of the world alone yet it seems to me you are more alone while living than even going and coming.,Emily Carr,"World, Me, Living"
The time you feel lonely is the time you most need to be by yourself.,Douglas Coupland,"Time, Yourself, Feel"
Every man is born as many men and dies as a single one.,Martin Heidegger,"Men, Man, Born"
All men's miseries derive from not being able to sit in a quiet room alone.,Blaise Pascal,"Men, Room, Sit"
Solitude vivifies; isolation kills.,Joseph Roux,"Solitude, Isolation"
"The longer one is alone, the easier it is to hear the song of the earth.",Robert Anton Wilson,"Song, Earth, Hear"
"Let your mind alone, and see what happens.",Virgil Thomson,"Your, Mind, Happens"
A man is born alone and dies alone; and he experiences the good and bad consequences of his karma alone; and he goes alone to hell or the Supreme abode.,Chanakya,"Good, Man, Hell"
You cannot be lonely if you like the person you're alone with.,Wayne Dyer,"Person, Cannot, Like"
What a lovely surprise to finally discover how unlonely being alone can be.,Ellen Burstyn,"Surprise, Being Alone, Finally"
I restore myself when I'm alone.,Marilyn Monroe,"Myself, Restore"
As I get older I'm more and more comfortable being alone.,Sienna Miller,"Comfortable, Being Alone, More"
It's better to be unhappy alone than unhappy with someone - so far.,Marilyn Monroe,"Better, Unhappy, Someone"
To live alone is the fate of all great souls.,Arthur Schopenhauer,"Great, Fate, Live"
Loneliness is my least favorite thing about life. The thing that I'm most worried about is just being alone without anybody to care for or someone who will care for me.,Anne Hathaway,"Life, Loneliness, Me"
"We are all sentenced to solitary confinement inside our own skins, for life.",Tennessee Williams,"Life, Own, Inside"
Alone we can do so little; together we can do so much.,Helen Keller,"Together, Much, Little"
"Yes, I guess you could say I am a loner, but I feel more lonely in a crowed room with boring people than I feel on my own.",Henry Rollins,"I Am, Boring, Feel"
"I never said, 'I want to be alone.' I only said, 'I want to be left alone.' There is all the difference.",Greta Garbo,"Never, Difference, Only"
It is better to be alone than in bad company.,George Washington,"Better, Bad, Company"
Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.,A. P. J. Abdul Kalam,"Work, Best, Sky"
When everything is lonely I can be my best friend.,Conor Oberst,"Best, Everything, I Can"
To go out with the setting sun on an empty beach is to truly embrace your solitude.,Jeanne Moreau,"Your, Sun, Solitude"
In solitude the mind gains strength and learns to lean upon itself.,Laurence Sterne,"Strength, Mind, Solitude"
The best part about being alone is that you really don't have to answer to anybody. You do what you want.,Justin Timberlake,"Best, Being Alone, Answer"
"When the people you love are gone, you're alone.",Keanu Reeves,"Love, People, Gone"
Associate with men of good quality if you esteem your own reputation; for it is better to be alone than in bad company.,George Washington,"Good, Men, Your"
I only go out to get me a fresh appetite for being alone.,Lord Byron,"Me, Go, Being Alone"
I would rather be a beggar and single than a queen and married.,Elizabeth I,"Queen, Beggar, Rather"
"Pray that your loneliness may spur you into finding something to live for, great enough to die for.",Dag Hammarskjold,"Great, Loneliness, Your"
Inside myself is a place where I live all alone and that is where I renew my springs that never dry up.,Pearl S. Buck,"Myself, Never, Place"
