title,author,tags
It is not the beauty of a building you should look at; its the construction of the foundation that will stand the test of time.,David Allan Coe,"Beauty, Time, Foundation"
"Architecture is a visual art, and the buildings speak for themselves.",Julia Morgan,"Art, Speak, Buildings"
"Architecture should speak of its time and place, but yearn for timelessness.",Frank Gehry,"Time, Speak, Place"
"We are called to be architects of the future, not its victims.",R. Buckminster Fuller,"Future, Victims, Architects"
Architecture starts when you carefully put two bricks together. There it begins.,Ludwig Mies van der Rohe,"Together, Bricks, Two"
"Buildings should serve people, not the other way around.",John Portman,"Way, People, Buildings"
Architecture is the art of how to waste space.,Philip Johnson,"Art, Space, Waste"
Architecture begins where engineering ends.,Walter Gropius,"Engineering, Where, Begins"
To provide meaningful architecture is not to parody history but to articulate it.,Daniel Libeskind,"History, Parody, Articulate"
Don't clap too hard - it's a very old building.,John Osborne,"Building, Hard, Old"
"Good buildings come from good people, and all problems are solved by good design.",Stephen Gardiner,"Design, Good, Problems"
I believe that the way people live can be directed a little by architecture.,Tadao Ando,"Believe, Way, People"
The mother art is architecture. Without an architecture of our own we have no soul of our own civilization.,Frank Lloyd Wright,"Art, Soul, Own"
We shape our buildings; thereafter they shape us.,Winston Churchill,"Buildings, Us, Shape"
Form follows function.,Louis Sullivan,"Function, Form, Follows"
Less is more.,Ludwig Mies van der Rohe,"More, Less Is More, Less"
Each new situation requires a new architecture.,Jean Nouvel,"New, Situation, Requires"
Form follows profit is the aesthetic principle of our times.,Richard Rogers,"Aesthetic, Profit, Principle"
"The dialogue between client and architect is about as intimate as any conversation you can have, because when you're talking about building a house, you're talking about dreams.",Robert A. M. Stern,"Dreams, Conversation, Building"
"A great building must begin with the unmeasurable, must go through measurable means when it is being designed and in the end must be unmeasurable.",Louis Kahn,"Great, End, Building"
Architects have made architecture too complex. We need to simplify it and use a language that everyone can understand.,Toyo Ito,"Language, Everyone, Understand"
"Building art is a synthesis of life in materialised form. We should try to bring in under the same hat not a splintered way of thinking, but all in harmony together.",Alvar Aalto,"Life, Art, Together"
"Great buildings that move the spirit have always been rare. In every case they are unique, poetic, products of the heart.",Arthur Erickson,"Great, Always, Heart"
Architecture is inhabited sculpture.,Constantin Brancusi,"Sculpture, Inhabited"
"Architecture is basically a container of something. I hope they will enjoy not so much the teacup, but the tea.",Yoshio Taniguchi,"Hope, Tea, Will"
"The loftier the building, the deeper must the foundation be laid.",Thomas a Kempis,"Foundation, Building, Must"
I try to give people a different way of looking at their surroundings. That's art to me.,Maya Lin,"Art, Me, Try"
"Make big plans; aim high in hope and work, remembering that a noble, logical diagram once recorded will not die, but long after we are gone be a living thing, asserting itself with ever-growing insistence.",Daniel Burnham,"Work, Hope, Long"
"Architecture is the learned game, correct and magnificent, of forms assembled in the light.",Le Corbusier,"Light, Game, Learned"
"I don't divide architecture, landscape and gardening; to me they are one.",Luis Barragan,"Gardening, Me, Landscape"
Space has always been the spiritual dimension of architecture. It is not the physical statement of the structure so much as what it contains that moves us.,Arthur Erickson,"Space, Always, Spiritual"
"All architecture is shelter, all great architecture is the design of space that contains, cuddles, exalts, or stimulates the persons in that space.",Philip Johnson,"Design, Space, Great"
"My house is my refuge, an emotional piece of architecture, not a cold piece of convenience.",Luis Barragan,"Cold, House, Convenience"
The building's identity resided in the ornament.,Louis Sullivan,"Identity, Building, Ornament"
Architecture is the reaching out for the truth.,Louis Kahn,"Truth, Out, Reaching"
"Architecture is not an inspirational business, it's a rational procedure to do sensible and hopefully beautiful things; that's all.",Harry Seidler,"Inspirational, Business, Beautiful"
"When you look at Japanese traditional architecture, you have to look at Japanese culture and its relationship with nature. You can actually live in a harmonious, close contact with nature - this very unique to Japan.",Tadao Ando,"Nature, Relationship, Culture"
Whatever good things we build end up building us.,Jim Rohn,"Good, End, Good Things"
Architecture is invention.,Oscar Niemeyer,Invention
I call architecture frozen music.,Johann Wolfgang von Goethe,"Music, Frozen, Call"
Not many architects have the luxury to reject significant things.,Rem Koolhaas,"Luxury, Things, Many"
"My passion and great enjoyment for architecture, and the reason the older I get the more I enjoy it, is because I believe we - architects - can effect the quality of life of the people.",Richard Rogers,"Life, Great, Passion"
The principle of the Gothic architecture is infinity made imaginable.,Samuel Taylor Coleridge,"Principle, Infinity, Gothic"
"The Romans were not inventors of the supporting arch, but its extended use in vaults and intersecting barrel shapes and domes is theirs.",Harry Seidler,"Use, Arch, Shapes"
"Every great architect is - necessarily - a great poet. He must be a great original interpreter of his time, his day, his age.",Frank Lloyd Wright,"Time, Age, Great"
"To work in architecture you are so much involved with society, with politics, with bureaucrats. It's a very complicated process to do large projects. You start to see the society, how it functions, how it works. Then you have a lot of criticism about how it works.",Ai Weiwei,"Work, Politics, Society"
"We require from buildings two kinds of goodness: first, the doing their practical duty well: then that they be graceful and pleasing in doing it.",John Ruskin,"Duty, Doing, Buildings"
Architects of grandeur are often the master builders of disillusionment.,Bryant H. McGill,"Master, Builders, Often"
"All the revision in the world will not save a bad first draft: for the architecture of the thing comes, or fails to come, in the first conception, and revision only affects the detail and ornament, alas!",T. E. Lawrence,"World, Will, Bad"
"Architecture, of all the arts, is the one which acts the most slowly, but the most surely, on the soul.",Ernest Dimnet,"Soul, Slowly, Most"
"Architecture tends to consume everything else, it has become one's entire life.",Arne Jacobsen,"Life, Everything, Become"
Victorian architecture in the United States was copied straight from England.,Stephen Gardiner,"Straight, United States, Victorian"
"Light, God's eldest daughter, is a principal beauty in a building.",Thomas Fuller,"Beauty, God, Light"
"Painting, sculpture and architecture are finished, but the art habit continues.",Robert Smithson,"Art, Painting, Habit"
"Architecture arouses sentiments in man. The architect's task therefore, is to make those sentiments more precise.",Adolf Loos,"Man, Task, Make"
"Architects in the past have tended to concentrate their attention on the building as a static object. I believe dynamics are more important: the dynamics of people, their interaction with spaces and environmental condition.",John Portman,"Environmental, Believe, Past"
"All architecture is great architecture after sunset; perhaps architecture is really a nocturnal art, like the art of fireworks.",Gilbert K. Chesterton,"Art, Great, Sunset"
"As a designer, the mission with which we have been charged is simple: providing space at the right cost.",Harry von Zell,"Space, Simple, Mission"
My buildings will be my legacy... they will speak for me long after I'm gone.,Julia Morgan,"Legacy, Long, Me"
Nothing requires the architect's care more than the due proportions of buildings.,Vitruvius,"Care, Nothing, Buildings"
The work of art shows people new directions and thinks of the future. The house thinks of the present.,Adolf Loos,"Work, Future, Art"
I don't build in order to have clients. I have clients in order to build.,Ayn Rand,"Build, Clients, Order"
Color in certain places has the great value of making the outlines and structural planes seem more energetic.,Antoni Gaudi,"Great, Value, Energetic"
Every building is a prototype. No two are alike.,Helmut Jahn,"Building, Two, Every"
"What people want, above all, is order.",Stephen Gardiner,"People, Want, Above"
