title,author,tags
Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how well you do it.,Lou Holtz,"Doing, Motivation, Ability"
"Your attitude, not your aptitude, will determine your altitude.",Zig Ziglar,"Your, Will, Altitude"
"Excellence is not a skill, it's an attitude.",Ralph Marston,"Excellence, Skill"
"It is our attitude at the beginning of a difficult task which, more than anything else, will affect its successful outcome.",William James,"Difficult, Beginning, Will"
"The attitude is very important. Because, your behavior radiates how you feel.",Lou Ferrigno,"Your, Behavior, Important"
A positive attitude can really make dreams come true - it did for me.,David Bailey,"Positive, Dreams, Me"
"You cannot control what happens to you, but you can control your attitude toward what happens to you, and in that, you will be mastering change rather than allowing it to master you.",Brian Tracy,"Change, Your, Control"
Our attitude toward life determines life's attitude towards us.,John N. Mitchell,"Life, Us, Toward"
Time plays a role in almost every decision. And some decisions define your attitude about time.,John Cale,"Time, Your, Decision"
"My attitude is, if someone's going to criticize me, tell me to my face.",Simon Cowell,"Face, Me, Someone"
Your living is determined not so much by what life brings to you as by the attitude you bring to life; not so much by what happens to you as by the way your mind looks at what happens.,Khalil Gibran,"Life, Your, Mind"
"The secret of genius is to carry the spirit of the child into old age, which means never losing your enthusiasm.",Aldous Huxley,"Age, Your, Old Age"
It is in the character of very few men to honor without envy a friend who has prospered.,Aeschylus,"Men, Character, Honor"
"People may hear your words, but they feel your attitude.",John C. Maxwell,"Your, Words, Feel"
"If you are going to achieve excellence in big things, you develop the habit in little matters. Excellence is not an exception, it is a prevailing attitude.",Colin Powell,"Excellence, Habit, Achieve"
"I think it's my adventure, my trip, my journey, and I guess my attitude is, let the chips fall where they may.",Leonard Nimoy,"Journey, Fall, Adventure"
Some people say I have attitude - maybe I do... but I think you have to. You have to believe in yourself when no one else does - that makes you a winner right there.,Venus Williams,"Believe In Yourself, Believe, Yourself"
Wearing the correct dress for any occasion is a matter of good manners.,Loretta Young,"Good, Dress, Manners"
"Acting is magical. Change your look and your attitude, and you can be anyone.",Alicia Witt,"Change, Your, Look"
"Happiness is an attitude of mind, born of the simple determination to be happy under all outward circumstances.",J. Donald Walters,"Happiness, Determination, Mind"
"If your ego starts out, 'I am important, I am big, I am special,' you're in for some disappointments when you look around at what we've discovered about the universe. No, you're not big. No, you're not. You're small in time and in space. And you have this frail vessel called the human body that's limited on Earth.",Neil deGrasse Tyson,"Time, Space, Your"
"Between stimulus and response, there is a space where we choose our response.",Stephen Covey,"Space, Choose, Where"
Attitude is a little thing that makes a big difference.,Winston Churchill,"Difference, Big, Little"
The greatest day in your life and mine is when we take total responsibility for our attitudes. That's the day we truly grow up.,John C. Maxwell,"Life, Your, Day"
The greatest discovery of my generation is that a human being can alter his life by altering his attitudes.,William James,"Life, Generation, Discovery"
"For success, attitude is equally as important as ability.",Walter Scott,"Success, Important, Ability"
Attitude determines the altitude of life.,Edwin Louis Cole,"Life, Altitude, Determines"
Attitude is everything.,Diane von Furstenberg,Everything
Our attitude towards others determines their attitude towards us.,Earl Nightingale,"Others, Us, Towards"
"We cannot change our past. We can not change the fact that people act in a certain way. We can not change the inevitable. The only thing we can do is play on the one string we have, and that is our attitude.",Charles R. Swindoll,"Change, Past, Way"
Nothing can stop the man with the right mental attitude from achieving his goal; nothing on earth can help the man with the wrong mental attitude.,Thomas Jefferson,"Man, Nothing, Earth"
"A positive attitude causes a chain reaction of positive thoughts, events and outcomes. It is a catalyst and it sparks extraordinary results.",Wade Boggs,"Positive, Thoughts, Positive Attitude"
Choosing to be positive and having a grateful attitude is going to determine how you're going to live your life.,Joel Osteen,"Positive, Life, Your"
