title,author,tags
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",Colin Powell,"Success, Work, Failure"
"There is only one boss. The customer. And he can fire everybody in the company from the chairman on down, simply by spending his money somewhere else.",Sam Walton,"Money, Boss, Fire"
"If you owe the bank $100 that's your problem. If you owe the bank $100 million, that's the bank's problem.",J. Paul Getty,"Your, Bank, Problem"
A brand for a company is like a reputation for a person. You earn reputation by trying to do hard things well.,Jeff Bezos,"Reputation, Person, Trying"
"It is not from the benevolence of the butcher, the brewer, or the baker that we expect our dinner, but from their regard to their own interest.",Adam Smith,"Dinner, Own, Interest"
"If one does not know to which port one is sailing, no wind is favorable.",Lucius Annaeus Seneca,"Wind, Know, Port"
Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.,Theodore Isaac Rubin,"Happiness, Work, Best"
"An organization, no matter how well designed, is only as good as the people who live and work in it.",Dee Hock,"Work, Good, Organization"
"If you're trying to create a company, it's like baking a cake. You have to have all the ingredients in the right proportion.",Elon Musk,"Baking, Cake, Trying"
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",Mark Twain,"Time, Yourself, Pause"
Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no hope at all.,Dale Carnegie,"Hope, World, Important"
Details create the big picture.,Sanford I. Weill,"Picture, Big Picture, Create"
It's easy to make a buck. It's a lot tougher to make a difference.,Tom Brokaw,"Easy, Make A Difference, Difference"
Making money is art and working is art and good business is the best art.,Andy Warhol,"Best, Good, Art"
"Don't worry about people stealing your ideas. If your ideas are any good, you'll have to ram them down people's throats.",Howard Aiken,"Good, Your, Ideas"
"The meek shall inherit the Earth, but not its mineral rights.",J. Paul Getty,"Earth, Rights, Shall"
"Sooner or later, those who win are those who think they can.",Paul Tournier,"Win, Think, Who"
An economist is an expert who will know tomorrow why the things he predicted yesterday didn't happen today.,Laurence J. Peter,"Today, Tomorrow, Yesterday"
"When in doubt, mumble; when in trouble, delegate; when in charge, ponder.",James H. Boren,"When In Doubt, Trouble, Doubt"
Economic depression cannot be cured by legislative action or executive pronouncement. Economic wounds must be healed by the action of the cells of the economic body - the producers and consumers themselves.,Herbert Hoover,"Body, Depression, Action"
Corporation: An ingenious device for obtaining profit without individual responsibility.,Ambrose Bierce,"Responsibility, Profit, Without"
It's OK to have your eggs in one basket as long as you control what happens to that basket.,Elon Musk,"Your, Long, Control"
First-rate people hire first-rate people; second-rate people hire third-rate people.,Leo Rosten,"People, Hire, Second-Rate"
All lasting business is built on friendship.,Alfred A. Montapert,"Friendship, Built, Lasting"
Our work is the presentation of our capabilities.,Edward Gibbon,"Work, Presentation, Our"
"The common question that gets asked in business is, 'why?' That's a good question, but an equally valid question is, 'why not?'",Jeff Bezos,"Good, Why, Why Not"
"Almost all quality improvement comes via simplification of design, manufacturing... layout, processes, and procedures.",Tom Peters,"Design, Improvement, Quality"
The work of the individual still remains the spark that moves mankind ahead even more than teamwork.,Igor Sikorsky,"Work, Ahead, Teamwork"
"Ideas pull the trigger, but instinct loads the gun.",Don Marquis,"Gun, Ideas, Trigger"
The final test of a leader is that he leaves behind him in other men the conviction and the will to carry on.,Walter Lippmann,"Men, Will, Test"
"To command is to serve, nothing more and nothing less.",Andre Malraux,"Nothing, More, Serve"
