title,author,tags
The secret to happiness is freedom... And the secret to freedom is courage.,Thucydides,"Happiness, Freedom, Secret"
Man cannot discover new oceans unless he has the courage to lose sight of the shore.,Andre Gide,"Man, Lose, New"
Life shrinks or expands in proportion to one's courage.,Anais Nin,"Life, Proportion, Shrinks"
"Inaction breeds doubt and fear. Action breeds confidence and courage. If you want to conquer fear, do not sit home and think about it. Go out and get busy.",Dale Carnegie,"Home, Fear, Busy"
"Jump, and you will find out how to unfold your wings as you fall.",Ray Bradbury,"Your, Will, Wings"
"Courage is contagious. When a brave man takes a stand, the spines of others are often stiffened.",Billy Graham,"Brave, Man, Stand"
Courage is being scared to death... and saddling up anyway.,John Wayne,"Death, Scared, Being"
Courage is doing what you are afraid to do. There can be no courage unless you are scared.,Eddie Rickenbacker,"Doing, Afraid, Scared"
"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of others' opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition.",Steve Jobs,"Life, Time, Heart"
Any intelligent fool can make things bigger and more complex... It takes a touch of genius - and a lot of courage to move in the opposite direction.,E. F. Schumacher,"Fool, Direction, Genius"
"The opposite for courage is not cowardice, it is conformity. Even a dead fish can go with the flow.",Jim Hightower,"Fish, Dead, Conformity"
"If you are lucky enough to find a way of life you love, you have to find the courage to live it.",John Irving,"Life, Love, Way"
Only those who will risk going too far can possibly find out how far one can go.,T. S. Eliot,"Will, Find, Go"
"We have a powerful potential in out youth, and we must have the courage to change old ideas and practices so that we may direct their power toward good ends.",Mary McLeod Bethune,"Change, Good, Power"
You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,Aristotle,"Mind, World, Honor"
He who is not courageous enough to take risks will accomplish nothing in life.,Muhammad Ali,"Life, Risks, Nothing"
"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.",Nelson Mandela,"Fear, Brave, Man"
"Courage is fire, and bullying is smoke.",Benjamin Disraeli,"Bullying, Fire, Smoke"
"Courage is the most important of all the virtues, because without courage you can't practice any other virtue consistently. You can practice any virtue erratically, but nothing consistently without courage.",Maya Angelou,"Practice, Nothing, Important"
"It takes a lot of courage to release the familiar and seemingly secure, to embrace the new. But there is no real security in what is no longer meaningful. There is more security in the adventurous and exciting, for in movement there is life, and in change there is power.",Alan Cohen,"Life, Change, Power"
The greatest test of courage on earth is to bear defeat without losing heart.,Robert Green Ingersoll,"Heart, Losing, Earth"
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J. K. Rowling,"Great, Stand, Enemies"
"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'",Eleanor Roosevelt,"Experience, Strength, Fear"
Bravery is being the only one who knows you're afraid.,Franklin P. Jones,"Afraid, Only, Who"
Everyone has talent. What is rare is the courage to follow the talent to the dark place where it leads.,Erica Jong,"Talent, Follow, Dark"
The eagle has no fear of adversity. We need to be like the eagle and have a fearless spirit of a conqueror!,Joyce Meyer,"Fear, Adversity, Eagle"
"If you have no confidence in self, you are twice defeated in the race of life.",Marcus Garvey,"Life, Confidence, Race"
Courage is grace under pressure.,Ernest Hemingway,"Grace, Pressure"
"The opposite of courage in our society is not cowardice, it is conformity.",Rollo May,"Society, Conformity, Opposite"
A great deal of talent is lost to the world for want of a little courage. Every day sends to their graves obscure men whose timidity prevented them from making a first effort.,Sydney Smith,"Men, Great, Day"
Courage is knowing what not to fear.,Plato,"Fear, Knowing"
The trials on the road to world harmony are no greater than the courage of those who accept the challenge.,Carl Lewis,"World, Road, Challenge"
"Never be discouraged. If I were sunk in the lowest pits of Nova Scotia, with the Rocky Mountains piled on me, I would hang on, exercise faith, and keep up good courage, and I would come out on top.","Joseph Smith, Jr.","Faith, Good, Me"
"Courage, above all things, is the first quality of a warrior.",Carl von Clausewitz,"Quality, First, Warrior"
"True courage is being afraid, and going ahead and doing your job anyhow, that's what courage is.",Norman Schwarzkopf,"Your, Doing, True"
What would life be if we had no courage to attempt anything?,Vincent Van Gogh,"Life, Anything, Attempt"
"Courage is not simply one of the virtues, but the form of every virtue at the testing point.",C. S. Lewis,"Virtues, Virtue, Point"
"We must become bigger than we have been: more courageous, greater in spirit, larger in outlook. We must become members of a new race, overcoming petty prejudice, owing our ultimate allegiance not to nations but to our fellow men within the human community.",Haile Selassie,"Men, Community, New"
Those who lack the courage will always find a philosophy to justify it.,Albert Camus,"Always, Will, Find"
Creativity takes courage.,Henri Matisse,"Creativity, Takes"
"One isn't necessarily born with courage, but one is born with potential. Without courage, we cannot practice any other virtue with consistency. We can't be kind, true, merciful, generous, or honest.",Maya Angelou,"Consistency, Practice, True"
"Courage is resistance to fear, mastery of fear, not absence of fear.",Mark Twain,"Fear, Mastery, Resistance"
Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen.,Winston Churchill,"Stand, Stand Up, Speak"
Loyalty and devotion lead to bravery. Bravery leads to the spirit of self-sacrifice. The spirit of self-sacrifice creates trust in the power of love.,Morihei Ueshiba,"Love, Trust, Power"
The only courage that matters is the kind that gets you from one moment to the next.,Mignon McLaughlin,"Moment, Matters, Only"
"I tend to think you're fearless when you recognize why you should be scared of things, but do them anyway.",Christian Bale,"Fearless, Why, Things"
"Men make history and not the other way around. In periods where there is no leadership, society stands still. Progress occurs when courageous, skillful leaders seize the opportunity to change things for the better.",Harry S Truman,"Change, Leadership, History"
Bravery is the capacity to perform properly even when scared half to death.,Omar N. Bradley,"Death, Half, Scared"
"Real courage is when you know you're licked before you begin, but you begin anyway and see it through no matter what.",Harper Lee,"Matter, Know, Real"
Courage is the ladder on which all the other virtues mount.,Clare Boothe Luce,"Virtues, Ladder, Which"
The most courageous act is still to think for yourself. Aloud.,Coco Chanel,"Yourself, Act, Think"
Courage is never to let your actions be influenced by your fears.,Arthur Koestler,"Your, Never, Actions"
He who is brave is free.,Lucius Annaeus Seneca,"Brave, Free, Who"
"Courage is the greatest of all virtues, because if you haven't courage, you may not have an opportunity to use any of the others.",Samuel Johnson,"Opportunity, Virtues, May"
"God, give us grace to accept with serenity the things that cannot be changed, courage to change the things which should be changed and the wisdom to distinguish the one from the other.",Reinhold Niebuhr,"Wisdom, Change, God"
To have courage for whatever comes in life - everything lies in that.,Saint Teresa of Avila,"Life, Everything, Whatever"
"If you could get up the courage to begin, you have the courage to succeed.",David Viscott,"Succeed, Begin, Up"
Failure is unimportant. It takes courage to make a fool of yourself.,Charlie Chaplin,"Failure, Fool, Yourself"
Courage is found in unlikely places.,J. R. R. Tolkien,"Places, Found, Unlikely"
Fate loves the fearless.,James Russell Lowell,"Fate, Fearless, Loves"
"Always be courageous and strong, and don't fear.",Gabby Douglas,"Fear, Always, Strong"
Creativity requires the courage to let go of certainties.,Erich Fromm,"Creativity, Go, Let Go"
Never bend your head. Always hold it high. Look the world straight in the eye.,Helen Keller,"Always, Your, World"
Clear thinking requires courage rather than intelligence.,Thomas Szasz,"Intelligence, Thinking, Clear"
"My message, especially to young people is to have courage to think differently, courage to invent, to travel the unexplored path, courage to discover the impossible and to conquer the problems and succeed. These are great qualities that they must work towards. This is my message to the young people.",A. P. J. Abdul Kalam,"Work, Great, Travel"
The best protection any woman can have... is courage.,Elizabeth Cady Stanton,"Best, Woman, Protection"
Either you decide to stay in the shallow end of the pool or you go out in the ocean.,Christopher Reeve,"End, Ocean, Go"
"Success is never final, failure is never fatal. It's courage that counts.",John Wooden,"Success, Failure, Never"
Courage is being afraid but going on anyhow.,Dan Rather,"Afraid, Being, Going"
"Courageous people do not fear forgiving, for the sake of peace.",Nelson Mandela,"Fear, Peace, People"
I'm grateful to God for His bountiful gifts... He gave me courage and faith in myself.,Loretta Young,"Faith, God, Myself"
"Don't Make Assumptions. Find the courage to ask questions and to express what you really want. Communicate with others as clearly as you can to avoid misunderstandings, sadness and drama. With just this one agreement, you can completely transform your life.",Don Miguel Ruiz,"Life, Your, Sadness"
One man with courage is a majority.,Thomas Jefferson,"Man, Majority"
"Have no fear of moving into the unknown. Simply step out fearlessly knowing that I am with you, therefore no harm can befall you; all is very, very well. Do this in complete faith and confidence.",Pope John Paul II,"Faith, Fear, Step"
To create one's world in any of the arts takes courage.,Georgia O'Keeffe,"World, Create, Takes"
Efforts and courage are not enough without purpose and direction.,John F. Kennedy,"Direction, Purpose, Enough"
"It is only necessary to have courage, for strength without self-confidence is useless.",Giacomo Casanova,"Strength, Useless, Only"
