title,author,tags
"I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin, but by the content of their character.","Martin Luther King, Jr.","Character, Day, Skin"
"If you want to see the true measure of a man, watch how he treats his inferiors, not his equals.",J. K. Rowling,"Man, Measure Of A Man, True"
"Until we get equality in education, we won't have an equal society.",Sonia Sotomayor,"Education, Society, Equal"
"The earth is the mother of all people, and all people should have equal rights upon it.",Chief Joseph,"People, Mother, Earth"
"Equality is the soul of liberty; there is, in fact, no liberty without it.",Frances Wright,"Soul, Liberty, Without"
The history of the past is but one long struggle upward to equality.,Elizabeth Cady Stanton,"History, Struggle, Long"
Democracy does not guarantee equality of conditions - it only guarantees equality of opportunity.,Irving Kristol,"Democracy, Opportunity, Only"
"There should be no discrimination against languages people speak, skin color, or religion.",Malala Yousafzai,"Religion, Discrimination, Skin"
"Martin Luther King, Jr. didn't carry just a piece of cloth to symbolize his belief in racial equality; he carried the American flag.",Adrian Cronauer,"King, Flag, American"
"Gender equality is more than a goal in itself. It is a precondition for meeting the challenge of reducing poverty, promoting sustainable development and building good governance.",Kofi Annan,"Good, Sustainable Development, Poverty"
People are pretty much alike. It's only that our differences are more susceptible to definition than our similarities.,Linda Ellerbee,"Differences, People, Much"
Socialism values equality more than liberty.,Dennis Prager,"Socialism, Liberty, Values"
"Equality may perhaps be a right, but no power on earth can ever turn it into a fact.",Honore de Balzac,"Power, Earth, Right"
"Here are the values that I stand for: honesty, equality, kindness, compassion, treating people the way you want to be treated and helping those in need. To me, those are traditional values.",Ellen DeGeneres,"Kindness, Honesty, Me"
"If we were to select the most intelligent, imaginative, energetic, and emotionally stable third of mankind, all races would be present.",Franz Boas,"Present, Intelligent, Energetic"
"Equality is not in regarding different things similarly, equality is in regarding different things differently.",Tom Robbins,"Things, Different, Different Things"
"The emotional, sexual, and psychological stereotyping of females begins when the doctor says: It's a girl.",Shirley Chisholm,"Doctor, Girl, Emotional"
Women will only have true equality when men share with them the responsibility of bringing up the next generation.,Ruth Bader Ginsburg,"Women, Men, Responsibility"
You can't state difference and also state equality. We have to state sameness to understand equality.,Zadie Smith,"Understand, Difference, State"
Americans are so enamored of equality that they would rather be equal in slavery than unequal in freedom.,Alexis de Tocqueville,"Freedom, Slavery, Equal"
The worst form of inequality is to try to make unequal things equal.,Aristotle,"Try, Inequality, Worst"
"In order to get beyond racism, we must first take account of race. There is no other way. And in order to treat some persons equally, we must treat them differently.",Harry A. Blackmun,"Racism, Treat, Way"
"I speak not for myself but for those without voice... those who have fought for their rights... their right to live in peace, their right to be treated with dignity, their right to equality of opportunity, their right to be educated.",Malala Yousafzai,"Peace, Myself, Opportunity"
No struggle can ever succeed without women participating side by side with men.,Muhammad Ali Jinnah,"Women, Men, Struggle"
"Rightful liberty is unobstructed action according to our will within limits drawn around us by the equal rights of others. I do not add 'within the limits of the law' because law is often but the tyrant's will, and always so when it violates the rights of the individual.",Thomas Jefferson,"Always, Law, Limits"
Do not call for black power or green power. Call for brain power.,Barbara Jordan,"Power, Brain, Green"
"One of the things about equality is not just that you be treated equally to a man, but that you treat yourself equally to the way you treat a man.",Marlo Thomas,"Man, Yourself, Treat"
"We came equals into this world, and equals shall we go out of it.",George Mason,"World, Go, Shall"
I am free of all prejudices. I hate everyone equally.,W. C. Fields,"Hate, I Am, Free"
"Democracy and socialism have nothing in common but one word, equality. But notice the difference: while democracy seeks equality in liberty, socialism seeks equality in restraint and servitude.",Alexis de Tocqueville,"Democracy, Socialism, Nothing"
"Equality, rightly understood as our founding fathers understood it, leads to liberty and to the emancipation of creative differences; wrongly understood, as it has been so tragically in our time, it leads first to conformity and then to despotism.",Barry Goldwater,"Time, Differences, Conformity"
The extension of women's rights is the basic principle of all social progress.,Charles Fourier,"Women, Progress, Rights"
The sole equality on earth is death.,Philip James Bailey,"Death, Earth, Sole"
"All animals are equal, but some animals are more equal than others.",George Orwell,"Equal, Animals, Others"
"Racism is still with us. But it is up to us to prepare our children for what they have to meet, and, hopefully, we shall overcome.",Rosa Parks,"Racism, Children, Overcome"
A claim for equality of material position can be met only by a government with totalitarian powers.,Friedrich August von Hayek,"Government, Position, Only"
Democratic principles are the result of equality of condition.,Mercy Otis Warren,"Result, Principles, Democratic"
"Equal pay isn't just a women's issue; when women get equal pay, their family incomes rise and the whole family benefits.",Mike Honda,"Family, Women, Rise"
We will never have true civilization until we have learned to recognize the rights of others.,Will Rogers,"Will, True, Never"
"We are not supposed to be all equal. Let's just forget that. We are supposed to have equal rights under law. If we do that, we have done enough.",Ben Stein,"Done, Law, Enough"
All this talk about equality. The only thing people really have in common is that they are all going to die.,Bob Dylan,"Die, People, Talk"
Virtue can only flourish among equals.,Mary Wollstonecraft,"Virtue, Only, Flourish"
"You learn about equality in history and civics, but you find out life is not really like that.",Arthur Ashe,"Life, History, Find"
"All men are created equal, it is only men themselves who place themselves above equality.",David Allan Coe,"Men, Place, Equal"
"Democracy... is a charming form of government, full of variety and disorder; and dispensing a sort of equality to equals and unequals alike.",Plato,"Government, Democracy, Charming"
"The year was 2081, and everyone was finally equal.",Kurt Vonnegut,"Everyone, Equal, Year"
"All the people like us are we, and everyone else is They.",Rudyard Kipling,"People, Everyone, Us"
Nature has made men free and equal. The distinctions necessary for social order are only founded on general utility.,Marquis de Lafayette,"Nature, Men, Free"
Equality and separation cannot exist in the same space.,Jason Mraz,"Space, Cannot, Separation"
Women are the only exploited group in history to have been idealized into powerlessness.,Erica Jong,"Women, History, Group"
"If we cannot now end our differences, at least we can help make the world safe for diversity.",John F. Kennedy,"Diversity, World, Differences"
"It is a strange fact that freedom and equality, the two basic ideas of democracy, are to some extent contradictory. Logically considered, freedom and equality are mutually exclusive, just as society and the individual are mutually exclusive.",Thomas Mann,"Freedom, Society, Democracy"
"I want for myself what I want for other women, absolute equality.",Agnes Macphail,"Women, Myself, Want"
The cry of equality pulls everyone down.,Iris Murdoch,"Cry, Everyone, Down"
"I have no respect for the passion of equality, which seems to me merely idealizing envy - I don't disparage envy, but I don't accept it as legitimately my master.","Oliver Wendell Holmes, Jr.","Respect, Passion, Me"
"I have a dream that one day on the red hills of Georgia, the sons of former slaves and the sons of former slave owners will be able to sit together at the table of brotherhood.","Martin Luther King, Jr.","Day, Together, Will"
The test for whether or not you can hold a job should not be the arrangement of your chromosomes.,Bella Abzug,"Your, Job, Test"
"These men ask for just the same thing, fairness, and fairness only. This, so far as in my power, they, and all others, shall have.",Abraham Lincoln,"Power, Men, Fairness"
"Unless man is committed to the belief that all mankind are his brothers, then he labors in vain and hypocritically in the vineyards of equality.",Adam Clayton,"Man, Belief, Mankind"
