title,author,tags
"To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.",Thomas Aquinas,"Possible, Who, Without"
Faith is to believe what you do not see; the reward of this faith is to see what you believe.,Saint Augustine,"Believe, Reward, See"
Faith and prayer are the vitamins of the soul; man cannot live in health without them.,Mahalia Jackson,"Health, Prayer, Man"
"God will never give you anything you can't handle, so don't stress.",Kelly Clarkson,"God, Stress, Will"
Faith gives you an inner strength and a sense of balance and perspective in life.,Gregory Peck,"Life, Strength, Balance"
Seeds of faith are always within us; sometimes it takes a crisis to nourish and encourage their growth.,Susan L. Taylor,"Always, Growth, Seeds"
"Faith is not belief without proof, but trust without reservation.",D. Elton Trueblood,"Trust, Belief, Proof"
"When you focus on being a blessing, God makes sure that you are always blessed in abundance.",Joel Osteen,"God, Always, Focus"
"In my deepest, darkest moments, what really got me through was a prayer. Sometimes my prayer was 'Help me.' Sometimes a prayer was 'Thank you.' What I've discovered is that intimate connection and communication with my creator will always get me through because I know my support, my help, is just a prayer away.",Iyanla Vanzant,"Communication, Always, Prayer"
"If fear is cultivated it will become stronger, if faith is cultivated it will achieve mastery.",John Paul Jones,"Fear, Will, Stronger"
"If you have God on your side, everything becomes clear.",Ayrton Senna,"God, Your, Everything"
"God has already done everything He's going to do. The ball is now in your court. If you want success, if you want wisdom, if you want to be prosperous and healthy, you're going to have to do more than meditate and believe; you must boldly declare words of faith and victory over yourself and your family.",Joel Osteen,"Wisdom, Success, God"
Pray as though everything depended on God. Work as though everything depended on you.,Saint Augustine,"Work, God, Everything"
"To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float.",Alan Watts,"Trust, Relax, Water"
Put your nose into the Bible everyday. It is your spiritual food. And then share it. Make a vow not to be a lukewarm Christian.,Kirk Cameron,"Food, Bible, Your"
Faith has to do with things that are not seen and hope with things that are not at hand.,Thomas Aquinas,"Hope, Things, Seen"
Faith is the bird that feels the light when the dawn is still dark.,Rabindranath Tagore,"Bird, Light, Dawn"
Prayer should be the key of the day and the lock of the night.,George Herbert,"Prayer, Day, Night"
"Belief is a wise wager. Granted that faith cannot be proved, what harm will come to you if you gamble on its truth and it proves false? If you gain, you gain all; if you lose, you lose nothing. Wager, then, without hesitation, that He exists.",Blaise Pascal,"Truth, Wise, Lose"
It takes vision and courage to create - it takes faith and courage to prove.,Owen D. Young,"Courage, Vision, Create"
"The keys to patience are acceptance and faith. Accept things as they are, and look realistically at the world around you. Have faith in yourself and in the direction you have chosen.",Ralph Marston,"Patience, Yourself, World"
"Keep the faith, don't lose your perseverance and always trust your gut extinct.",Paula Abdul,"Trust, Perseverance, Always"
Resist your fear; fear will never lead to you a positive end. Go for your faith and what you believe.,T. D. Jakes,"Positive, Fear, Your"
