title,author,tags
Family is not an important thing. It's everything.,Michael J. Fox,"Important, Everything, Thing"
"Without a family, man, alone in the world, trembles with the cold.",Andre Maurois,"Alone, Man, World"
Family means no one gets left behind or forgotten.,David Ogden Stiers,"Behind, Forgotten, Left"
"In every conceivable manner, the family is link to our past, bridge to our future.",Alex Haley,"Future, Past, Bridge"
My family is my strength and my weakness.,Aishwarya Rai Bachchan,"Strength, Weakness"
"To us, family means putting your arms around each other and being there.",Barbara Bush,"Your, Us, Being There"
"I believe the world is one big family, and we need to help each other.",Jet Li,"Believe, World, I Believe"
"The bond that links your true family is not one of blood, but of respect and joy in each other's life.",Richard Bach,"Life, Respect, Your"
"For there is no friend like a sister in calm or stormy weather; To cheer one on the tedious way, to fetch one if one goes astray, to lift one if one totters down, to strengthen whilst one stands.",Christina Rossetti,"Weather, Calm, Way"
"The only rock I know that stays steady, the only institution I know that works, is the family.",Lee Iacocca,"Know, Rock, Only"
"There's nothing I value more than the closeness of friends and family, a smile as I pass someone on the street.",Willie Stargell,"Smile, Value, Street"
The love of family and the admiration of friends is much more important than wealth and privilege.,Charles Kuralt,"Love, Wealth, Important"
"You don't choose your family. They are God's gift to you, as you are to them.",Desmond Tutu,"God, Your, Gift"
I think togetherness is a very important ingredient to family life.,Barbara Bush,"Life, Togetherness, Important"
Family is the most important thing in the world.,Princess Diana,"World, Important, Most"
"I'm pretty much a good Catholic girl at heart and I believe in family. I also have a basic belief that God takes care of me. I believe in prayer, even though I'm not that religious. I just have that foundation from my family. I mean when you think that you're just a human being and one of God's creatures, you can't take anything that seriously.",Catherine O'Hara,"God, Good, Heart"
I've always put my family first and that's just the way it is.,Jamie Lee Curtis,"Always, Way, First"
Women's natural role is to be a pillar of the family.,Grace Kelly,"Women, Pillar, Role"
Some of the most important conversations I've ever had occurred at my family's dinner table.,Bob Ehrlich,"Dinner, Important, Dinner Table"
The family is one of nature's masterpieces.,George Santayana,"Nature, Masterpieces"
The family you come from isn't as important as the family you're going to have.,Ring Lardner,"Important, Come, Going"
"When trouble comes, it's your family that supports you.",Guy Lafleur,"Your, Trouble, Supports"
One of the things that binds us as a family is a shared sense of humor.,Ralph Fiennes,"Humor, Sense Of Humor, Things"
The family is the first essential cell of human society.,Pope John XXIII,"Society, First, Human"
A family can develop only with a loving woman as its center.,Karl Wilhelm Friedrich Schlegel,"Woman, Loving, Only"
Cherish your human connections - your relationships with friends and family.,Barbara Bush,"Your, Human, Cherish"
"You leave home to seek your fortune and, when you get it, you go home and share it with your family.",Anita Baker,"Home, Your, Fortune"
