title,author,tags
"A celebrity is a person who works hard all of their life to become well known, and then wears dark glasses to avoid being recognized.",Fred Allen,"Life, Glasses, Person"
The worst thing about being famous is the invasion of your privacy.,Justin Timberlake,"Your, Privacy, Worst"
"I always want to say to people who want to be rich and famous: 'try being rich first'. See if that doesn't cover most of it. There's not much downside to being rich, other than paying taxes and having your relatives ask you for money. But when you become famous, you end up with a 24-hour job.",Bill Murray,"Money, Always, Your"
I pretended to be somebody I wanted to be until finally I became that person. Or he became me.,Cary Grant,"Me, Person, Until"
I never wanted to be famous. I only wanted to be great.,Ray Charles,"Great, Never, Only"
Don't pay any attention to what they write about you. Just measure it in inches.,Andy Warhol,"Measure, Attention, Pay"
I'm an instant star. Just add water and stir.,David Bowie,"Water, Just, Star"
Celebrity gives us delusion of self importance.,Al Goldstein,"Celebrity, Delusion, Us"
"In the future, everyone will be famous for 15 minutes.",Andy Warhol,"Future, Will, Everyone"
"The cool thing about being famous is traveling. I have always wanted to travel across seas, like to Canada and stuff.",Britney Spears,"Cool, Travel, Always"
"We all want to be famous people, and the moment we want to be something we are no longer free.",Jiddu Krishnamurti,"Moment, Free, People"
I'm more interested in being good than being famous.,Annie Leibovitz,"Good, Being Famous, More"
"Glory is fleeting, but obscurity is forever.",Napoleon Bonaparte,"Glory, Fleeting, Forever"
The strangest part about being famous is you don't get to give first impressions anymore. Everyone already has an impression of you before you meet them.,Kristen Stewart,"Everyone, First, Being Famous"
There's no difference between fame and infamy now. There's a new school of professional famous people that don't do anything. They don't create anything.,Ricky Gervais,"New, People, Fame"
The celebrity is a person who is known for his well-knownness.,Daniel J. Boorstin,"Person, Celebrity, Who"
"I am beautiful, famous and gorgeous.",Anna Kournikova,"Beautiful, I Am, Gorgeous"
"I wanted to be successful, not famous.",George Harrison,"Successful, Wanted"
"When you become famous, being famous becomes your profession.",James Carville,"Your, Being Famous, Become"
"I can do whatever I want - I'm rich, I'm famous, and I'm bigger than you.",Don Johnson,"Rich, I Can, Whatever"
"I seek no longer to be a 'famous' person, and instead I wish to live a 'normal' life.",Sinead O'Connor,"Life, Person, Wish"
I'm not comfortable being around too many people. I don't like being out in public too much. I don't like going to bars. I don't like doing celebrity stuff. So most of the characters I play are people who don't always feel comfortable beyond their small circle of friends.,Adam Sandler,"Always, Doing, Circle"
"Mum loves me being famous! She is so excited and proud, as she had me so young and couldn't support me, so I am living her dream, it's sweeter for both of us. It's her 40th birthday soon and I'm going to buy her 40 presents.",Adele,"Birthday, I Am, Me"
It isn't necessary to be rich and famous to be happy. It's only necessary to be rich.,Alan Alda,"Rich, Happy, Be Happy"
You're not famous until my mother has heard of you.,Jay Leno,"Mother, Until, Heard"
"A famous person to themselves, they don't get up in the morning and think, I'm famous. I'm not famous to me. Famous is a perception.",Van Morrison,"Morning, Me, Person"
I'm famous today. People like me today. Might not like me tomorrow. You can't count on it.,Dave Chappelle,"Today, Tomorrow, Me"
Fame is the thirst of youth.,Lord Byron,"Youth, Fame, Thirst"
Celebrity was a long time in coming; it will go away. Everything goes away.,Carol Burnett,"Time, Long, Long Time"
"Being big and famous doesn't get you more freedom, it gets you less.",Robert Wyatt,"Freedom, Big, More"
"Fame is like caviar, you know - it's good to have caviar but not when you have it at every meal.",Marilyn Monroe,"Good, Know, Fame"
"Avoid popularity; it has many snares, and no real benefit.",William Penn,"Real, Avoid, Popularity"
The hardest thing about being famous is that people are always nice to you. You're in a conversation and everybody's agreeing with what you're saying - even if you say something totally crazy. You need people who can tell you what you don't want to hear.,Al Pacino,"Always, Crazy, People"
Fame is a fickle food upon a shifting plate.,Emily Dickinson,"Food, Fame, Fickle"
"Celebrity, to me, is not a thing to seek.",Aidan Quinn,"Me, Celebrity, Seek"
I will either be famous or infamous.,Otto Dix,"Will, Either, Infamous"
"Power is not of a man. Wealth does not center in the person of the wealthy. Celebrity is not inherent in any personality. To be celebrated, to be wealthy, to have power requires access to major institutions.",C. Wright Mills,"Power, Personality, Man"
Fame can take interesting men and thrust mediocrity upon them.,David Bowie,"Men, Fame, Mediocrity"
"I woke up one morning to find I was famous. I bought a white Rolls-Royce and drove down Sunset Boulevard, wearing dark specs and a white suit, waving like the Queen Mum.",Peter O'Toole,"Morning, Queen, Sunset"
You have to pretend that your life is a financial pleasure even when your autographs are bouncing.,Kinky Friedman,"Life, Your, Life Is A"
"The nice thing about being a celebrity is that, if you bore people, they think it's their fault.",Henry Kissinger,"People, Celebrity, Nice"
"It's funny, when bands or younger musicians ask me: 'So, what does it take to make it?' Well, first explain to me what you mean by 'making it': Do you want to be a rock star or do you want music to be your livelihood?",Eddie Van Halen,"Funny, Music, Your"
I'd rather be able to face myself in the bathroom mirror than be rich and famous.,Ani DiFranco,"Myself, Mirror, Face"
"I'm sick to death of famous people standing up and using their celebrity to promote a cause. If I see a particular need, I do try to help. But there's a lot that can be achieved by putting a check in the right place and shutting up about it.",Russell Crowe,"Death, Try, People"
My story of success and failure is not just about music and being famous. It's about living and loving and trying to find purpose in this crazy world.,Wynonna Judd,"Success, Failure, Music"
Fate is being kind to me. Fate doesn't want me to be too famous too young.,Duke Ellington,"Me, Fate, Young"
"Indeed, wretched the man whose fame makes his misfortunes famous.",Lucius Accius,"Man, Fame, Whose"
"Just because you're not famous, doesn't mean you're not good.",Laura Linney,"Good, Just Because, Mean"
I imagined being a famous writer would be like being like Jane Austen.,J. K. Rowling,"Being, Like, Writer"
Why am I so famous? What am I doing right? What are the others doing wrong?,Barbra Streisand,"Doing, Right, Why"
I think that when you are famous every weakness is exaggerated.,Marilyn Monroe,"Weakness, Think, Every"
Wood burns because it has the proper stuff in it; and a man becomes famous because he has the proper stuff in him.,Johann Wolfgang von Goethe,"Man, Wood, Because"
What a heavy burden is a name that has become too famous.,Voltaire,"Name, Burden, Become"
"I have been very happy, very rich, very beautiful, much adulated, very famous and very unhappy.",Brigitte Bardot,"Beautiful, Rich, Unhappy"
Martyrdom is the only way a man can become famous without ability.,Arthur Schopenhauer,"Man, Way, Ability"
"If there's anything more mortifying than being famous at 14, it's being washed up right after.",Moon Unit Zappa,"Right, Being Famous, Anything"
"One thing about being famous is the people around you, you pay all their bills so they very rarely disagree with you because they want you to pick up the check.",Charles Barkley,"People, Being Famous, Check"
"I know I'm not supposed to have any opinions about politics, because I'm famous.",Cher,"Politics, Know, Opinions"
"I have no use for people who throw their weight around as celebrities, or for those who fawn over you just because you are famous.",Walt Disney,"People, Just Because, Use"
Passion for fame: A passion which is the instinct of all great souls.,Edmund Burke,"Great, Passion, Fame"
Fame - anyone who says he doesn't like it is crazy.,Bennett Cerf,"Crazy, Fame, Who"
"I just want to make music, I don't want people to talk about me. All I've ever wanted to do was sing. I don't want to be a celebrity. I don't want to be in people's faces, you know, constantly on covers of magazine that I haven't even known I'm on.",Adele,"Music, Me, Know"
"The more they applaud, the bigger your salary will be.",Anna Held,"Your, Will, Salary"
A celebrity is one who is known to many persons he is glad he doesn't know.,Lord Byron,"Know, Celebrity, Who"
I do not like the man who squanders life for fame; give me the man who living makes a name.,Emily Dickinson,"Life, Man, Me"
Celebrity is the chastisement of merit and the punishment of talent.,Emily Dickinson,"Talent, Punishment, Celebrity"
Andy Warhol made fame more famous.,Fran Lebowitz,"Fame, More, Made"
"If you ever get rich and famous, by definition you are special. You have done something special, and therefore you start to behave special. Then if the floor drops out, and you become down and out, you have a really new perspective.",Danny Bonaduce,"Done, Rich, Start"
"For a time, at least, I was the most famous person in the entire world.",Jesse Owens,"Time, World, Person"
But I know newspapers. They have the first amendment and they can tell any lie knowing it's a lie and they're protected if the person's famous or it's a company.,Steve Wozniak,"Lie, Know, Person"
For famous men have the whole earth as their memorial.,Pericles,"Men, Earth, Whole"
It's really easy to avoid the tabloids. You just live your life and don't hang out with famous people who are in the tabloids. Don't do anything controversial and be a normal person. Have friends. And get a job and keep working.,Amanda Seyfried,"Life, Your, Keep"
Stardom can be a gilded slavery.,Helen Hayes,"Slavery, Stardom, Gilded"
"To be a star is to own the world and all the people in it. After a taste of stardom, everything else is poverty.",Hedy Lamarr,"World, Poverty, Own"
Celebrity means that I can affect people in a positive way.,David Hasselhoff,"Positive, Way, People"
"Famous people feel that they must perpetually be on the crest of the wave, not realising that it is against all the rules of life. You can't be on top all the time, it isn't natural.",Olivia De Havilland,"Life, Time, Feel"
"When you become a celebrity, the world owns you and your image.",Megan Fox,"Your, World, Celebrity"
"People hate me because I am a multifaceted, talented, wealthy, internationally famous genius.",Jerry Lewis,"Hate, I Am, Me"
"Celebrity distorts democracy by giving the rich, beautiful, and famous more authority than they deserve.",Maureen Dowd,"Beautiful, Democracy, Rich"
"Famous, adj.: Conspicuously miserable.",Ambrose Bierce,"Miserable, Conspicuously"
Being famous is not something that would make me feel successful - unless one was striving for mediocrity.,William Hurt,"Me, Feel, Being Famous"
"There is no fulfillment in things whatsoever. And I think one of the reasons that depression reigns supreme amongst the rich and famous is some of them thought that maybe those things would bring them happiness. But what, in fact, does is having a cause, having a passion. And that's really what gives life's true meaning.",Ben Carson,"Life, Happiness, Passion"
"I can't imagine wanting to be famous just for the sake of being famous. I think fame should come along with success, talent.",Kat Dennings,"Success, Talent, Fame"
"The problem is, the more famous you get, the more people see you who didn't choose to.",Louis C. K.,"People, Choose, See"
I have as much privacy as a goldfish in a bowl.,Princess Margaret,"Privacy, Much, Bowl"
"There is no celebrity quite as powerful as the local, homegrown celebrity.",Tony Wilson,"Celebrity, Powerful, Local"
"Being famous is just like being in high school. But I'm not interested in being the cheerleader. I'm not interested in being Gwen Stefani. She's the cheerleader, and I'm out in the smoker shed.",Courtney Love,"School, Not Interested, Being Famous"
A sign of celebrity is that his name is often worth more than his services.,Daniel J. Boorstin,"Name, Celebrity, Worth"
"Celebrity is the advantage of being known to people who we don't know, and who don't know us.",Nicolas Chamfort,"Know, People, Celebrity"
I want to be famous everywhere.,Luciano Pavarotti,"Want, Everywhere"
Public misbehavior by the famous is a powerful teaching tool.,Bill O'Reilly,"Powerful, Teaching, Public"
How many famous and high-spirited heroes have lived a day too long?,Jean-Jacques Rousseau,"Day, Long, Heroes"
Celebrity damages private life.,Tim Berners-Lee,"Life, Private Life, Celebrity"
"When I'm living in the world of luxury and celebrity, which is where I found myself for a large part of my life, it's a walk-on part. Not a vital necessity, like it is for so many people. I enjoy it but I can see right through it!",Agnetha Faltskog,"Life, Myself, World"
Save your rejections so that later when you are famous you can show them to people and laugh.,Meg Cabot,"Your, Laugh, People"
"The whole celebrity culture thing - I'm fascinated by, and repelled by, and yet I end up knowing about it.",Anderson Cooper,"Culture, End, Knowing"
I like being famous when it's convenient for me and completely anonymous when it's not.,Catherine Deneuve,"Me, Being Famous, Being"
"Fame is a lot of pressure, especially when you're responsible for your entire family. Financially, emotionally - everything.",Nick Carter,"Family, Your, Pressure"
"Look at Jessica Simpson. She's famous for being dumb. I guess it started with Marylyn Monroe, and she actually wasn't that dumb, but that's how she was perceived - and that's what got popular.",Danica McKellar,"Dumb, Look, Guess"
I've worked with a lot of people who are more famous than myself who are terribly insecure.,Barry Gibb,"Myself, People, More"
"Fame, I have already. Now I need the money.",Wilhelm Steinitz,"Money, Fame, Need"
You don't have to have an attitude if you're famous.,Adriana Lima,"Attitude, You"
"I put my money in the bank: I have to think of life after modeling, when I'm not famous any more.",Eva Herzigova,"Life, Money, Modeling"
It's part of the celebrity process but my life has never been as interesting or as wild as what's been printed about me.,Winona Ryder,"Life, Me, Process"
"Living in L.A., everyone likes to mold you and change you. I don't care about fame, I don't care about being a celebrity. I know that's part of the job, but I don't feed into anyone's idea of who I should be.",Jessica Alba,"Change, Care, Living"
"I absolutely loved being famous. It was all great, up until the point when it wasn't.",Noel Gallagher,"Great, Being Famous, Loved"
"My favorite thing about being famous... it's not really as big of a deal as everybody says it is. Being on the road is tough, doing interviews, and all the stuff. It's still pretty tough.",Aaron Carter,"Road, Doing, Tough"
I wrote because I needed to and wanted to. It never occurred to me that I'd become famous.,Danielle Steel,"Me, Never, Become"
"I think there are a lot of people who really want to be famous, they really do. I don't. It sort of gets in the way of the everyday things that I do.",Johnny Mathis,"Way, People, Things"
"Normal is such a hard word to use, because everyone's idea of normal is different. Real is what the word is. I think you either live a real life or you live a weird celebrity pseudolife. I think I lead a really real life.",Sarah Michelle Gellar,"Life, Weird, Everyone"
"I really hate the duties of being a celebrity, like getting dressed up for the red carpet.",America Ferrera,"Hate, Red, Celebrity"
"I can't see any value in being a celebrity, famous for being famous.",Noomi Rapace,"Value, Celebrity, See"
Nothing in life prepares you to be famous.,Jeff Foxworthy,"Life, Nothing, You"
"I never wanted to be a celebrity; I never wanted to be famous. And in my daily life, I work really hard to not trade on it in any way.",Sarah Jessica Parker,"Life, Work, Daily"
"A very quiet and tasteful way to be famous is to have a famous relative. Then you can not only be nothing, you can do nothing too.",P. J. O'Rourke,"Nothing, Way, Quiet"
"There are people who appear in the magazines and I don't know who they are. I've never seen anything they've done and their careers are over already. They're famous for maybe 10 minutes. Real careers, I think, take a long time to unfold.",Matt Damon,"Time, Done, Long"
"The thing about being famous is, it's weird. The only people who get how weird it is are other famous people.",Margot Kidder,"People, Weird, Being Famous"
It is a mark of many famous people that they cannot part with their brightest hour.,Lillian Hellman,"People, Cannot, Famous People"
"For me, growing up, the downside of it was that as a kid you don't want to stand out. You don't want to have a famous father let alone get a job because of your famous father, you know? But I'm a product of nepotism. That's how I got my foot in the door, through my dad.",Jeff Bridges,"Alone, Dad, Your"
"Being a famous actress may give you a sense of being important, but believe me, it's just an illusion.",Juliette Binoche,"Believe, Me, Illusion"
"The love of the famous, like all strong passions, is quite abstract. Its intensity can be measured mathematically, and it is independent of persons.",Susan Sontag,"Love, Independent, Abstract"
"Everybody wants to be famous, but nobody wants to do the work. I live by that. You grind hard so you can play hard. At the end of the day, you put all the work in, and eventually it'll pay off. It could be in a year, it could be in 30 years. Eventually, your hard work will pay off.",Kevin Hart,"Work, Hard Work, Your"
"No matter what you achieve, what you want to aspire to be, or how famous and powerful you become, the most important thing is whether you are excited about each and every moment of your life because of your work and people around you.",Sushant Singh Rajput,"Life, Work, Moment"
The American Dream is a term that is often used but also often misunderstood. It isn't really about becoming rich or famous. It is about things much simpler and more fundamental than that.,Marco Rubio,"American Dream, Rich, American"
"The most famous rumor for me is that I had throat cancer. I never had throat cancer... I don't know why that started... The way I sing, probably.",Bob Seger,"Me, Way, Know"
The world's most famous and popular language is music.,Psy,"Music, World, Language"
"One of the downsides of being famous is that folks pay far more attention to you than they should. American celebrities are constantly under surveillance, and every word they say is subject to scrutiny. So, be careful what you wish for if you desire fame. No human being should be a goldfish.",Bill O'Reilly,"Fame, Wish, American"
"It was that famous joke: What's the last thing the drummer said before he got kicked out of the band? 'Hey, I wrote a song.'",Dave Grohl,"Song, Drummer, Band"
"If you want to be a rock star or just be famous, then run down the street naked, you'll make the news or something. But if you want music to be your livelihood, then play, play, play and play! And eventually you'll get to where you want to be.",Eddie Van Halen,"Music, Your, Street"
A chair is a very difficult object. A skyscraper is almost easier. That is why Chippendale is famous.,Ludwig Mies van der Rohe,"Design, Chair, Difficult"
"You might not make it to the top, but if you are doing what you love, there is much more happiness there than being rich or famous.",Tony Hawk,"Love, Happiness, Rich"
I don't want to be famous. I want to be secure. I don't want the world. I just want a piece of it. I want people to remember Eric Davis.,Eric Davis,"World, Remember, People"
I don't want to be famous. I like to be able to sit in a cafe and watch the world go by and observe people.,Sophia Myles,"World, Cafe, People"
"Acting is not about being famous, it's about exploring the human soul.",Annette Bening,"Movies, Soul, Acting"
"Don't worry about being famous or making money; the most important thing is being the best. You have to become a master of your craft, and everything else will come.",Anastasia Soare,"Best, Money, Your"
"John Muir, the famous naturalist, wrote in his journal that you should never go to Alaska as a young man because you'll never be satisfied with any other place as long as you live. And there's a lot of truth to that.",Tom Bodett,"Truth, Man, Long"
I think everybody has different priorities in their life. People live their lives differently. People become famous through all sorts of different reasons... some of it through art and some of it through just wanting to be famous. And I think how that all starts tends to reflect how you live your life daily.,Keith Urban,"Life, Art, Daily"
"My aunt is a famous L.A. chef, Susan Feniger, and she's got Street and Border Grill. So a fun night out for me is to go to my aunt's restaurants.",Ben Feldman,"Chef, Me, Street"
I'm not famous; I am simply very well-known to certain people. Famous is something different.,Anton Corbijn,"I Am, People, Something"
"Pleasure without God, without the sacred boundaries, will actually leave you emptier than before. And this is biblical truth, this is experiential truth. The loneliest people in the world are amongst the wealthiest and most famous who found no boundaries within which to live. That is a fact I've seen again and again.",Ravi Zacharias,"God, Truth, World"
I like to call myself as son of famous father and father of famous son.,Rishi Kapoor,"Myself, Father, Son"
You can become famous but you can't become unfamous. You can become infamous but not unfamous.,Dave Chappelle,"Become, Infamous, You"
"I mean if anyone's comfortable being famous, they're a psychopath.",Finn Wolfhard,"Comfortable, Being Famous, Being"
"I think my most famous was 'Poco's Legend.' It's a white album with a simple line drawing of a horse. It almost has a Picasso feel to it. I remember that Rusty Young, the lead singer of the band, said, 'I want you to draw a horse for the song 'Legend,' which is about a phantom spirit horse. I want you to do it in several lines.'",Phil Hartman,"Legend, Simple, Remember"
I made the Yankee hat more famous than a Yankee can.,Jay-Z,"Hat, More, Made"
"There's a famous slogan here in the Bavarian dialect, and we use it inside Bayern Munich. We say, 'Mia san mia.' Literally, it is, 'We are we,' but it means, 'We are who we are.' That's not being very arrogant, but we are very confident about our ability to win the game. It is about a winning mentality.",Bastian Schweinsteiger,"Game, Win, Winning"
Computers are famous for being able to do complicated things starting from simple programs.,Seth Lloyd,"Computers, Simple, Complicated"
"I grew up in Lucknow, which is famous for its street food and kebabs. It was the street food and Lucknowi kebabs that inspired me. The culture of the varieties of food that I tasted as a child inspired me to be a cook.",Ranveer Brar,"Food, Culture, Me"
A window covered with raindrops interests me more than a photograph of a famous person.,Saul Leiter,"Window, Me, Person"
"I knew what I was getting into when I chose golf. Hell, I knew I'd never get rich and famous. All the discrimination, the not being able to play where I deserved and wanted to play - in the end, I didn't give a damn. I was made for a tough life because I'm a tough man. And in the end, I won: I got a lot of black people playing golf.",Charlie Sifford,"Life, Man, Discrimination"
"I was born on October 21, 1956 in Burbank, California. My father, Eddie Fisher, was a famous singer. My mother, Debbie Reynolds, was a movie star. Her best-known role was in 'Singin' In The Rain.'",Carrie Fisher,"Rain, Father, Mother"
"I don't like being recognised, I have no interest in being famous at all, I just do what I do. If I could be like Captain Kirk and beam myself up and then beam myself down, I would!",Bruce Dickinson,"Myself, Down, Captain"
"Mum worked as a secretary for Orson Welles for what sounded like a very miserable year. Her brother was the actor Jeremy Brett, who became famous for playing Sherlock Holmes. He was an absolutely lovely man. Very exciting and glamorous, he'd always make me feel amazing and full of confidence, like I'd picked the right thing to do in life.",Martin Clunes,"Life, Amazing, Always"
"A country that cannot feed itself cannot have self-pride, and in the mid-'60s 20 percent of all the wheat produced in America came into India. We were agriculturally a basket case. And 15 years later, 20 years later, we have become an agricultural power. This is the famous Green Revolution.",Jairam Ramesh,"Power, Green, Country"
"I'm learning as I go. I don't know everything. I never had anybody to look at, nobody ever taught me, and where I'm from I didn't have any famous role models.",Wale,"Learning, Me, Look"
"I don't like Los Angeles. The people are awful and terribly shallow, and everybody wants to be famous but nobody wants to play the game. I'm from New York. I will kill to get what I need.",Lady Gaga,"Game, Will, New"
