title,author,tags
"Exercise to stimulate, not to annihilate. The world wasn't formed in a day, and neither were we. Set small goals and build upon them.",Lee Haney,"Day, Goals, World"
"To enjoy the glow of good health, you must exercise.",Gene Tunney,"Health, Good, Good Health"
True enjoyment comes from activity of the mind and exercise of the body; the two are ever united.,Wilhelm von Humboldt,"Mind, Body, True"
Reading is to the mind what exercise is to the body.,Joseph Addison,"Mind, Body, Exercise"
The human body is the best picture of the human soul.,Ludwig Wittgenstein,"Best, Soul, Body"
The reason I exercise is for the quality of life I enjoy.,Kenneth H. Cooper,"Life, Quality, Reason"
"A muscle is like a car. If you want it to run well early in the morning, you have to warm it up.",Florence Griffith Joyner,"Morning, Car, Muscle"
And I believe that the best buy in public health today must be a combination of regular physical exercise and a healthy diet.,Julie Bishop,"Health, Best, Diet"
Find fitness with fun dancing. It is fun and makes you forget about the dreaded exercise.,Paula Abdul,"Find, Fun, Exercise"
In the midst of these hard times it is our good health and good sleep that are enjoyable.,Knute Nelson,"Health, Good, Good Health"
Take care of your body. It's the only place you have to live.,Jim Rohn,"Your, Body, Care"
"Physical fitness is not only one of the most important keys to a healthy body, it is the basis of dynamic and creative intellectual activity.",John F. Kennedy,"Body, Important, Intellectual"
Exercise is the chief source of improvement in our faculties.,Hugh Blair,"Improvement, Exercise, Source"
"A lot of people are afraid of heights. Not me, I'm afraid of widths.",Steven Wright,"Me, People, Heights"
Exercise should be regarded as tribute to the heart.,Gene Tunney,"Heart, Exercise, Tribute"
Practice puts brains in your muscles.,Sam Snead,"Your, Practice, Muscles"
Time and health are two precious assets that we don't recognize and appreciate until they have been depleted.,Denis Waitley,"Health, Time, Precious"
"It's very important to have the right clothing to exercise in. If you throw on an old T-shirt or sweats, it's not inspiring for your workout.",Cheryl Tiegs,"Your, T-Shirt, Important"
Flexibility is crucial to my fitness. Incorporating a good warm-up and cool-down into every session decreases my chances of injury. I use both dynamic and static stretching in my training. I've starting doing a few yoga sessions which incorporates muscle strength and flexibility.,Samantha Stosur,"Good, Strength, Training"
"The first time I see a jogger smiling, I'll consider it.",Joan Rivers,"Time, First, First Time"
"Number one, like yourself. Number two, you have to eat healthy. And number three, you've got to squeeze your buns. That's my formula.",Richard Simmons,"Your, Yourself, Three"
"The purpose of training is to tighten up the slack, toughen the body, and polish the spirit.",Morihei Ueshiba,"Body, Training, Purpose"
"Swimming is normal for me. I'm relaxed. I'm comfortable, and I know my surroundings. It's my home.",Michael Phelps,"Home, Swimming, Me"
"If I don't feel confident about my body, I'm not going to sit at home and feel sorry for myself and not do something about it. It's all about taking action and not being lazy. So you do the work, whether it's fitness or whatever. It's about getting up, motivating yourself and just doing it.",Kim Kardashian,"Work, Home, Myself"
It's been a long road back to health and fitness for me. I am just glad to have been given the opportunity to do what I love most.,Jonah Lomu,"Love, Health, Opportunity"
"What you want is to rev up your metabolism so that you are burning fat and calories, not preserving fat and calories.",Kathy Freston,"Your, Fat, Calories"
"If a man achieves victory over this body, who in the world can exercise power over him? He who rules himself rules over the whole world.",Vinoba Bhave,"Power, Man, World"
A vigorous five-mile walk will do more good for an unhappy but otherwise healthy adult than all the medicine and psychology in the world.,Paul Dudley White,"Good, Walk, World"
"I like to embrace natural beauty. I try to get at least 8 hours of sleep, drinking a lot of water and exercising.",Tia Mowry,"Beauty, Water, Natural Beauty"
"If we could give every individual the right amount of nourishment and exercise, not too little and not too much, we would have found the safest way to health.",Hippocrates,"Health, Way, Exercise"
Health is the thing that makes you feel that now is the best time of the year.,Franklin Pierce Adams,"Health, Best, Time"
"Exercise is amazing, from the inside out. I feel so alive and have more energy.",Vanessa Hudgens,"Amazing, Energy, Alive"
"Tactics, fitness, stroke ability, adaptability, experience, and sportsmanship are all necessary for winning.",Fred Perry,"Experience, Winning, Ability"
Your body is the church where Nature asks to be reverenced.,Marquis de Sade,"Nature, Your, Body"
"It's not about weight, it's about fitness, and one component of being fit is to have relatively low body fat, because fat is not very efficient, whereas muscle is.",Deborah Bull,"Body, Fat, Muscle"
Fitness needs to be perceived as fun and games or we subconsciously avoid it.,Alan Thicke,"Fun, Avoid, Games"
Walking is the best possible exercise. Habituate yourself to walk very far.,Thomas Jefferson,"Best, Walk, Yourself"
"It's challenging, but you have to at least try to eat right and exercise.",Joely Fisher,"Try, Exercise, Right"
"Personally, I need a high level of physical fitness in order to feel at ease.",Jurgen Klinsmann,"Feel, High, High Level"
My job is to be fit and I'm really blessed that I get to go and work out and live a really healthy lifestyle.,Kerri Walsh Jennings,"Work, Blessed, Job"
"Health is the vital principle of bliss, and exercise, of health.",James Thomson,"Health, Exercise, Principle"
"We've got to get people out of their cars, out of those drive-thru windows, get them walking, get them in parks and get them more active.",Mick Cornett,"Walking, People, Active"
"The only way for a rich man to be healthy is by exercise and abstinence, to live as if he were poor.",William Temple,"Man, Rich, Poor"
"You can't be fat and fast, too; so lift, run, diet and work.",Hank Stram,"Work, Diet, Fat"
"Leave all the afternoon for exercise and recreation, which are as necessary as reading. I will rather say more necessary because health is worth more than learning.",Thomas Jefferson,"Health, Learning, Will"
I like exercise. I like a healthy body.,Erin Gray,"Body, Exercise, Like"
Jogging is very beneficial. It's good for your legs and your feet. It's also very good for the ground. If makes it feel needed.,Charles M. Schulz,"Good, Your, Feet"
"I'm French, so I'm quite lazy about exercising, and I smoke. But I do love going for a run in the morning with my dog. That's all.",Eva Green,"Love, Morning, Smoke"
There's a lot of people in this world who spend so much time watching their health that they haven't the time to enjoy it.,Josh Billings,"Health, Time, World"
I swim like a fish and I have an amazing kick.,Gordon Ramsay,"Amazing, Fish, Kick"
Exercise is done against one's wishes and maintained only because the alternative is worse.,George A. Sheehan,"Done, Exercise, Only"
"My wife and I work out together almost every day. It's just a great way to spend time together. We're going to run a marathon together later this year, and that's one more goal that we'll accomplish as husband and wife.",Bill Rancic,"Work, Time, Great"
You must also give mental and physical fitness priority.,Jim Otto,"Must, Physical Fitness, Physical"
"Bodybuilding is much like any other sport. To be successful, you must dedicate yourself 100% to your training, diet and mental approach.",Arnold Schwarzenegger,"Diet, Your, Yourself"
"If it weren't for the fact that the TV set and the refrigerator are so far apart, some of us wouldn't get any exercise at all.",Joey Adams,"Exercise, Us, Far"
"Women have fought so long and hard for our rights and equality, and now all our attention is put on being a size 0.",Pink,"Women, Equality, Long"
"I didn't have the same fitness or ability as the other girls, so I had to beat them with my mind.",Martina Hingis,"Mind, Ability, Beat"
"I wanted to get really fit. I wanted to lose some weight. So I've been doing Pilates and yoga, trying to lean out my body so I won't be bulky.",Serena Williams,"Lose, Body, Doing"
"Like most people I can be lazy, so it's nice to have a goal or deadline or reason to work out. I feel better when I get to exercise, or when I'm outdoors. I like to hike, swim and run, and I love to play soccer.",Viggo Mortensen,"Love, Work, Better"
So I've broadened the fitness concept to make it one of moderation and balance.,Kenneth H. Cooper,"Balance, Make, Moderation"
I would rather exercise than read a newspaper.,Kim Alexis,"Newspaper, Exercise, Rather"
"A runner must run with dreams in his heart, not money in his pocket.",Emil Zatopek,"Dreams, Money, Heart"
"One of the things I've always enjoyed is moving around and staying fit. Physicality is such a big part of being an actor, but it's also about stillness and silence.",Joel Edgerton,"Always, Silence, Stillness"
"Our growing softness, our increasing lack of physical fitness, is a menace to our security.",John F. Kennedy,"Security, Physical Fitness, Physical"
A feeble body weakens the mind.,Jean-Jacques Rousseau,"Mind, Body, Feeble"
15 minutes a day! Give me just this and I'll prove I can make you a new man.,Charles Atlas,"Man, Day, Me"
I've exercised with women so thin that buzzards followed them to their cars.,Erma Bombeck,"Women, Thin, Them"
My bottom is so big it's got its own gravitational field.,Carol Vorderman,"Own, Big, Bottom"
I have been through various fitness regimes. I used to run about five miles a day and I did aerobics for a while.,Sting,"Day, Miles, Through"
