title,author,tags
To forgive is to set a prisoner free and discover that the prisoner was you.,Lewis B. Smedes,"Free, Prisoner, Discover"
"To err is human; to forgive, divine.",Alexander Pope,"Human, Divine, To Err Is Human"
Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,"Martin Luther King, Jr.","Love, Hate, Light"
"It's not an easy journey, to get to a place where you forgive people. But it is such a powerful place, because it frees you.",Tyler Perry,"Journey, People, Easy"
"We think that forgiveness is weakness, but it's absolutely not; it takes a very strong person to forgive.",T. D. Jakes,"Person, Weakness, Strong"
When I was a kid I used to pray every night for a new bicycle. Then I realised that the Lord doesn't work that way so I stole one and asked Him to forgive me.,Emo Philips,"Work, Bicycle, Me"
"Never forget the three powerful resources you always have available to you: love, prayer, and forgiveness.","H. Jackson Brown, Jr.","Love, Always, Prayer"
"Acceptance and tolerance and forgiveness, those are life-altering lessons.",Jessica Lange,"Acceptance, Tolerance, Lessons"
"Anger begets more anger, and forgiveness and love lead to more forgiveness and love.",Mahavira,"Love, Anger, Lead"
Forgiveness is a gift you give yourself.,Suzanne Somers,"Yourself, Gift, Give"
"When a deep injury is done us, we never recover until we forgive.",Alan Paton,"Done, Never, Us"
He that cannot forgive others breaks the bridge over which he must pass himself; for every man has need to be forgiven.,Thomas Fuller,"Man, Bridge, Others"
"For me, forgiveness and compassion are always linked: how do we hold people accountable for wrongdoing and yet at the same time remain in touch with their humanity enough to believe in their capacity to be transformed?",bell hooks,"Time, Always, Believe"
"Children begin by loving their parents; after a time they judge them; rarely, if ever, do they forgive them.",Oscar Wilde,"Time, Parents, Children"
One forgives to the degree that one loves.,Francois de La Rochefoucauld,"Degree, Loves, Forgives"
The weak can never forgive. Forgiveness is the attribute of the strong.,Mahatma Gandhi,"Never, Strong, Weak"
"Forgiveness is the economy of the heart... forgiveness saves the expense of anger, the cost of hatred, the waste of spirits.",Hannah More,"Anger, Heart, Hatred"
Nothing inspires forgiveness quite like revenge.,Scott Adams,"Revenge, Nothing, Like"
"God may forgive your sins, but your nervous system won't.",Alfred Korzybski,"God, Your, Nervous System"
The practice of forgiveness is our most important contribution to the healing of the world.,Marianne Williamson,"World, Practice, Important"
Always forgive your enemies - nothing annoys them so much.,Oscar Wilde,"Always, Your, Enemies"
Forgiveness is a virtue of the brave.,Indira Gandhi,"Brave, Virtue"
