title,author,tags
"Freedom consists not in doing what we like, but in having the right to do what we ought.",Pope John Paul II,"Doing, Right, Like"
"May we think of freedom, not as the right to do as we please, but as the opportunity to do what is right.",Peter Marshall,"Opportunity, Right, May"
"It does not take a majority to prevail... but rather an irate, tireless minority, keen on setting brushfires of freedom in the minds of men.",Samuel Adams,"Men, Minority, Prevail"
Man will never be free until the last king is strangled with the entrails of the last priest.,Denis Diderot,"Man, King, Free"
"When we lose the right to be different, we lose the privilege to be free.",Charles Evans Hughes,"Lose, Free, Be Different"
"Freedom is never more than one generation away from extinction. We didn't pass it to our children in the bloodstream. It must be fought for, protected, and handed on for them to do the same.",Ronald Reagan,"Generation, Children, Extinction"
'Emergencies' have always been the pretext on which the safeguards of individual liberty have been eroded.,Friedrich August von Hayek,"Always, Liberty, Individual"
"We hold these truths to be self-evident: that all men are created equal; that they are endowed by their Creator with certain unalienable rights; that among these are life, liberty, and the pursuit of happiness.",Thomas Jefferson,"Life, Happiness, Men"
Freedom is the oxygen of the soul.,Moshe Dayan,"Soul, Oxygen"
"There is no such thing as a little freedom. Either you are all free, or you are not free.",Walter Cronkite,"Free, Either, Little"
The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.,Albert Camus,"Your, World, Free"
None are more hopelessly enslaved than those who falsely believe they are free.,Johann Wolfgang von Goethe,"Believe, Free, More"
It is difficult to free fools from the chains they revere.,Voltaire,"Free, Difficult, Chains"
I hope for nothing. I fear nothing. I am free.,Nikos Kazantzakis,"Hope, Fear, I Am"
Between stimulus and response there is a space. In that space is our power to choose our response. In our response lies our growth and our freedom.,Viktor E. Frankl,"Power, Space, Growth"
A hero is someone who understands the responsibility that comes with his freedom.,Bob Dylan,"Hero, Responsibility, Someone"
Freedom is never given; it is won.,A. Philip Randolph,"Never, Given, Won"
"If the freedom of speech is taken away then dumb and silent we may be led, like sheep to the slaughter.",George Washington,"Dumb, Freedom Of Speech, Sheep"
Freedom is what you do with what's been done to you.,Jean-Paul Sartre,"Done, Been, You"
"Freedom itself was attacked this morning by a faceless coward, and freedom will be defended.",George W. Bush,"Morning, Will, Coward"
I would like to be remembered as a person who wanted to be free... so other people would be also free.,Rosa Parks,"Free, People, Person"
"There is no easy walk to freedom anywhere, and many of us will have to pass through the valley of the shadow of death again and again before we reach the mountaintop of our desires.",Nelson Mandela,"Death, Shadow, Walk"
"We will not waver; we will not tire; we will not falter, and we will not fail. Peace and Freedom will prevail.",George W. Bush,"Peace, Will, Prevail"
"I am free because I know that I alone am morally responsible for everything I do. I am free, no matter what rules surround me. If I find them tolerable, I tolerate them; if I find them too obnoxious, I break them. I am free because I know that I alone am morally responsible for everything I do.",Robert A. Heinlein,"Alone, I Am, Me"
The work of art is a scream of freedom.,Christo,"Work, Art, Scream"
"Those who expect to reap the blessings of freedom must, like men, undergo the fatigue of supporting it.",Thomas Paine,"Men, Reap, Blessings"
"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.",Nelson Mandela,"Free, Way, Chains"
"Guard with jealous attention the public liberty. Suspect everyone who approaches that jewel. Unfortunately, nothing will preserve it but downright force. Whenever you give up that force, you are inevitably ruined.",Patrick Henry,"Nothing, Will, Liberty"
"We are driven by five genetic needs: survival, love and belonging, power, freedom, and fun.",William Glasser,"Love, Power, Survival"
Freedom is nothing but a chance to be better.,Albert Camus,"Chance, Better, Nothing"
"What is freedom of expression? Without the freedom to offend, it ceases to exist.",Salman Rushdie,"Expression, Exist, Freedom Of Expression"
"The most important kind of freedom is to be what you really are. You trade in your reality for a role. You give up your ability to feel, and in exchange, put on a mask.",Jim Morrison,"Your, Reality, Mask"
Freedom is something that dies unless it's used.,Hunter S. Thompson,"Something, Unless, Used"
"Those who deny freedom to others deserve it not for themselves; and under the rule of a just God, cannot long retain it.",Abraham Lincoln,"God, Long, Deserve"
"If you want total security, go to prison. There you're fed, clothed, given medical care and so on. The only thing lacking... is freedom.",Dwight D. Eisenhower,"Medical, Care, Prison"
Freedom is the recognition of necessity.,Friedrich Engels,"Necessity, Recognition"
Freedom and justice cannot be parceled out in pieces to suit political convenience. I don't believe you can stand for freedom for one group of people and deny it to others.,Coretta Scott King,"Justice, Political, Believe"
"There are two freedoms - the false, where a man is free to do what he likes; the true, where he is free to do what he ought.",Charles Kingsley,"Man, Free, True"
"Liberty is not the power of doing what we like, but the right to do what we ought.",John Dalberg-Acton,"Power, Doing, Liberty"
Humanity has won its battle. Liberty now has a country.,Marquis de Lafayette,"Battle, Humanity, Country"
"Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. You are free.",Jim Morrison,"Power, Fear, Your"
"What is ominous is the ease with which some people go from saying that they don't like something to saying that the government should forbid it. When you go down that road, don't expect freedom to survive very long.",Thomas Sowell,"Government, Long, Road"
People demand freedom of speech as a compensation for the freedom of thought which they seldom use.,Soren Kierkegaard,"Freedom Of Speech, People, Speech"
"Freedom makes a huge requirement of every human being. With freedom comes responsibility. For the person who is unwilling to grow up, the person who does not want to carry his own weight, this is a frightening prospect.",Eleanor Roosevelt,"Responsibility, Grow, Own"
"At what point then is the approach of danger to be expected? I answer, if it ever reach us, it must spring up amongst us. It cannot come from abroad. If destruction be our lot, we must ourselves be its author and finisher. As a nation of freemen, we must live through all time, or die by suicide.",Abraham Lincoln,"Time, Spring, Suicide"
Freedom is the right to tell people what they do not want to hear.,George Orwell,"People, Right, Tell"
Liberty is worth paying for.,Jules Verne,"Liberty, Worth, Paying"
Freedom means the opportunity to be what we never thought we would be.,Daniel J. Boorstin,"Opportunity, Never, Thought"
Man is free at the moment he wishes to be.,Voltaire,"Moment, Man, Free"
Freedom is never voluntarily given by the oppressor; it must be demanded by the oppressed.,"Martin Luther King, Jr.","Never, Oppressor, Must"
"Emancipate yourselves from mental slavery, none but ourselves can free our minds!",Marcus Garvey,"Free, Slavery, Mental"
"Liberty has never come from Government. Liberty has always come from the subjects of it. The history of liberty is a history of limitations of governmental power, not the increase of it.",Woodrow Wilson,"History, Power, Government"
Freedom lies in being bold.,Robert Frost,"Bold, Being, Lies"
"Whether in chains or in laurels, liberty knows nothing but victories.",Wendell Phillips,"Nothing, Liberty, Chains"
"We hold our heads high, despite the price we have paid, because freedom is priceless.",Lech Walesa,"Price, High, Hold"
"Free people, remember this maxim: we may acquire liberty, but it is never recovered if it is once lost.",Jean-Jacques Rousseau,"Remember, Free, Lost"
"I'm a big advocate of freedom: freedom of speech, freedom of expression, freedom of thought.",Jimmy Wales,"Freedom Of Speech, Speech, Big"
Freedom is the sure possession of those alone who have the courage to defend it.,Pericles,"Alone, Courage, Who"
You can only be free if I am free.,Clarence Darrow,"I Am, Free, Only"
"The liberties of a people never were, nor ever will be, secure, when the transactions of their rulers may be concealed from them.",Patrick Henry,"Will, People, Never"
Necessity is blind until it becomes conscious. Freedom is the consciousness of necessity.,Karl Marx,"Blind, Consciousness, Necessity"
Do not allow to slip away from you freedoms the people who came before you won with such hard knocks.,D. H. Lawrence,"People, Hard, Who"
I wish that every human life might be pure transparent freedom.,Simone de Beauvoir,"Life, Wish, Human Life"
Seek freedom and become captive of your desires. Seek discipline and find your liberty.,Frank Herbert,"Your, Discipline, Find"
Heresy is another word for freedom of thought.,Graham Greene,"Thought, Word, Heresy"
Responsibility is the price of freedom.,Elbert Hubbard,"Responsibility, Price"
Liberty means responsibility. That is why most men dread it.,George Bernard Shaw,"Men, Responsibility, Liberty"
"I am not an Athenian or a Greek, but a citizen of the world.",Diogenes,"World, I Am, Citizen"
Free speech carries with it some freedom to listen.,Warren E. Burger,"Free, Speech, Free Speech"
Liberty cannot be preserved without general knowledge among the people.,John Adams,"Knowledge, People, Liberty"
A hungry man is not a free man.,Adlai Stevenson I,"Man, Free, Hungry"
Enslave the liberty of but one human being and the liberties of the world are put in peril.,William Lloyd Garrison,"World, Liberty, Human"
True individual freedom cannot exist without economic security and independence. People who are hungry and out of a job are the stuff of which dictatorships are made.,Franklin D. Roosevelt,"Independence, True, Security"
The right to be let alone is indeed the beginning of all freedoms.,William O. Douglas,"Alone, Beginning, Right"
No man is good enough to be another's master.,William Morris,"Good, Man, Enough"
Our freedom can be measured by the number of things we can walk away from.,Vernon Howard,"Walk, Things, Away"
"The more decisions that you are forced to make alone, the more you are aware of your freedom to choose.",Thornton Wilder,"Alone, Your, Choose"
The truth is I love being alive. And I love feeling free. So if I can't have those things then I feel like a caged animal and I'd rather not be in a cage. I'd rather be dead. And it's real simple. And I think it's not that uncommon.,Angelina Jolie,"Love, Truth, Simple"
"The only freedom which deserves the name is that of pursuing our own good, in our own way, so long as we do not attempt to deprive others of theirs, or impede their efforts to obtain it.",John Stuart Mill,"Good, Long, Way"
Let freedom reign. The sun never set on so glorious a human achievement.,Nelson Mandela,"Achievement, Sun, Never"
