title,author,tags
Do not let your hearts be troubled. Trust in God; trust also in me.,Jesus Christ,"Trust, Your, Me"
For prayer is nothing else than being on terms of friendship with God.,Saint Teresa of Avila,"Friendship, Prayer, Nothing"
"Never trust anyone completely but God. Love people, but put your full trust only in God.",Lawrence Welk,"Love, Trust, Your"
"However many blessings we expect from God, His infinite liberality will always exceed all our wishes and our thoughts.",John Calvin,"Always, Thoughts, Will"
"Disappointment is inevitable. But to become discouraged, there's a choice I make. God would never discourage me. He would always point me to himself to trust him. Therefore, my discouragement is from Satan. As you go through the emotions that we have, hostility is not from God, bitterness, unforgiveness, all of these are attacks from Satan.",Charles Stanley,"Trust, Always, Disappointment"
"God has given us two hands, one to receive with and the other to give with.",Billy Graham,"Hands, Us, Two"
"When trouble comes, focus on God's ability to care for you.",Charles Stanley,"Focus, Care, Trouble"
"Not only does God play dice, but... he sometimes throws them where they cannot be seen.",Stephen Hawking,"Sometimes, Dice, Play"
"Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",Abraham Lincoln,"Always, Right, Sir"
"Young man, young man, your arm's too short to box with God.",James Weldon Johnson,"Man, Your, Young Man"
Life is God's novel. Let him write it.,Isaac Bashevis Singer,"Life, Write, Novel"
"Start living now. Stop saving the good china for that special occasion. Stop withholding your love until that special person materializes. Every day you are alive is a special occasion. Every minute, every breath, is a gift from God.",Mary Manin Morrissey,"Love, Good, Your"
God meets daily needs daily. Not weekly or annually. He will give you what you need when it is needed.,Max Lucado,"Daily, Will, Need"
Every morning I wake up and thank God.,Aaron Neville,"Morning, Thank God, Wake Up"
"God writes the Gospel not in the Bible alone, but also on trees, and in the flowers and clouds and stars.",Martin Luther,"Alone, Bible, Clouds"
Men must be governed by God or they will be ruled by tyrants.,William Penn,"Men, Will, Tyrants"
