title,author,tags
Our Constitution was made only for a moral and religious people. It is wholly inadequate to the government of any other.,John Adams,"Constitution, People, Moral"
A government big enough to give you everything you want is a government big enough to take from you everything you have.,Gerald R. Ford,"Enough, Everything, Big"
Nothing is so permanent as a temporary government program.,Milton Friedman,"Nothing, Permanent, Temporary"
Giving money and power to government is like giving whiskey and car keys to teenage boys.,P. J. O'Rourke,"Power, Money, Car"
"Government of the people, by the people, for the people, shall not perish from the Earth.",Abraham Lincoln,"People, Earth, For The People"
How can anyone govern a nation that has two hundred and forty-six different kinds of cheese?,Charles de Gaulle,"Nation, Cheese, Two"
The most terrifying words in the English language are: I'm from the government and I'm here to help.,Ronald Reagan,"Language, Words, English Language"
It's not the voting that's democracy; it's the counting.,Tom Stoppard,"Democracy, Counting, Voting"
"If men were angels, no government would be necessary.",James Madison,"Men, Angels, Necessary"
I'd rather entrust the government of the United States to the first 400 people listed in the Boston telephone directory than to the faculty of Harvard University.,"William F. Buckley, Jr.","People, University, First"
"It was once said that the moral test of government is how that government treats those who are in the dawn of life, the children; those who are in the twilight of life, the elderly; and those who are in the shadows of life, the sick, the needy and the handicapped.",Hubert H. Humphrey,"Life, Dawn, Children"
Majority rule only works if you're also considering individual rights. Because you can't have five wolves and one sheep voting on what to have for supper.,Larry Flynt,"Sheep, Wolves, Rights"
"Corruption is the enemy of development, and of good governance. It must be got rid of. Both the government and the people at large must come together to achieve this national objective.",Pratibha Patil,"Good, Corruption, Together"
"If human beings are fundamentally good, no government is necessary; if they are fundamentally bad, any government, being composed of human beings, would be bad also.",Fred Woodworth,"Good, Bad, Human"
"In a free society, government reflects the soul of its people. If people want change at the top, they will have to live in different ways. Our major social problems are not the cause of our decadence. They are a reflection of it.",Cal Thomas,"Change, Society, Soul"
The best argument against democracy is a five-minute conversation with the average voter.,Winston Churchill,"Best, Democracy, Argument"
"Government's first duty is to protect the people, not run their lives.",Ronald Reagan,"Duty, People, First"
Democracy gives every man the right to be his own oppressor.,James Russell Lowell,"Democracy, Man, Own"
"Let us never forget that government is ourselves and not an alien power over us. The ultimate rulers of our democracy are not a President and senators and congressmen and government officials, but the voters of this country.",Franklin D. Roosevelt,"Power, Democracy, Never Forget"
It is to be regretted that the rich and powerful too often bend the acts of government to their own selfish purposes.,Andrew Jackson,"Selfish, Rich, Own"
"Government, even in its best state, is but a necessary evil; in its worst state, an intolerable one.",Thomas Paine,"Best, Evil, Worst"
Democracy is the art and science of running the circus from the monkey cage.,H. L. Mencken,"Science, Art, Democracy"
"We are fast approaching the stage of the ultimate inversion: the stage where the government is free to do anything it pleases, while the citizens may act only by permission; which is the stage of the darkest periods of human history, the stage of rule by brute force.",Ayn Rand,"History, Free, Stage"
"This country, with its institutions, belongs to the people who inhabit it. Whenever they shall grow weary of the existing government, they can exercise their constitutional right of amending it, or exercise their revolutionary right to overthrow it.",Abraham Lincoln,"Grow, Country, People"
The government solution to a problem is usually as bad as the problem.,Milton Friedman,"Bad, Solution, Problem"
"The care of human life and happiness, and not their destruction, is the first and only object of good government.",Thomas Jefferson,"Life, Happiness, Good"
The problem with socialism is that you eventually run out of other peoples' money.,Margaret Thatcher,"Money, Socialism, Problem"
The world will not accept dictatorship or domination.,Mikhail Gorbachev,"World, Dictatorship, Will"
If 'pro' is the opposite of 'con' what is the opposite of 'progress'?,Paul Harvey,"Progress, Opposite, Con"
The essence of good government is trust.,Kathleen Sebelius,"Good, Trust, Good Government"
"Government's view of the economy could be summed up in a few short phrases: If it moves, tax it. If it keeps moving, regulate it. And if it stops moving, subsidize it.",Ronald Reagan,"View, Moving, Short"
Democracy substitutes election by the incompetent many for appointment by the corrupt few.,George Bernard Shaw,"Democracy, Election, Appointment"
"Our government... teaches the whole people by its example. If the government becomes the lawbreaker, it breeds contempt for law; it invites every man to become a law unto himself; it invites anarchy.",Louis D. Brandeis,"Man, Law, People"
"A state is better governed which has few laws, and those laws strictly observed.",Rene Descartes,"Better, Laws, State"
The worst evils which mankind has ever had to endure were inflicted by bad governments.,Ludwig von Mises,"Bad, Worst, Endure"
"No government ever voluntarily reduces itself in size. Government programs, once launched, never disappear. Actually, a government bureau is the nearest thing to eternal life we'll ever see on this earth!",Ronald Reagan,"Life, Earth, Never"
Bureaucracy gives birth to itself and then expects maternity benefits.,Dale Dauten,"Bureaucracy, Birth, Benefits"
We have the best government that money can buy.,Mark Twain,"Best, Money, Buy"
You don't pay taxes - they take taxes.,Chris Rock,"Pay, Taxes, Take"
"A Bill of Rights is what the people are entitled to against every government, and what no just government should refuse, or rest on inference.",Thomas Jefferson,"Rest, People, Rights"
"For in reason, all government without the consent of the governed is the very definition of slavery.",Jonathan Swift,"Slavery, Reason, Definition"
"The government, which was designed for the people, has got into the hands of the bosses and their employers, the special interests. An invisible empire has been set up above the forms of democracy.",Woodrow Wilson,"Democracy, Hands, People"
The best government is that which teaches us to govern ourselves.,Johann Wolfgang von Goethe,"Best, Us, Govern"
"In the absence of justice, what is sovereignty but organized robbery?",Saint Augustine,"Justice, Sovereignty, Absence"
Talk is cheap - except when Congress does it.,Cullen Hightower,"Talk, Cheap, Congress"
No man is good enough to govern another man without the other's consent.,Abraham Lincoln,"Good, Man, Enough"
Socialism means slavery.,John Dalberg-Acton,"Slavery, Socialism, Means"
Nationalism is an infantile disease. It is the measles of mankind.,Albert Einstein,"Nationalism, Disease, Mankind"
"Loyalty to the Nation all the time, loyalty to the Government when it deserves it.",Mark Twain,"Time, Loyalty, Nation"
"It's not tyranny we desire; it's a just, limited, federal government.",Alexander Hamilton,"Tyranny, Desire, Federal Government"
Democracy is an abuse of statistics.,Jorge Luis Borges,"Democracy, Statistics, Abuse"
Christmas is the time when kids tell Santa what they want and adults pay for it. Deficits are when adults tell government what they want and their kids pay for it.,Richard Lamm,"Time, Christmas, Tell"
"If government were a product, selling it would be illegal.",P. J. O'Rourke,"Product, Selling, Illegal"
"The government is us; we are the government, you and I.",Theodore Roosevelt,"Us, You"
