title,author,tags
"Great achievement is usually born of great sacrifice, and is never the result of selfishness.",Napoleon Hill,"Sacrifice, Achievement, Result"
Behind every great fortune lies a great crime.,Honore de Balzac,"Crime, Fortune, Behind"
"Some are born great, some achieve greatness, and some have greatness thrust upon them.",William Shakespeare,"Greatness, Born, Achieve"
"To achieve great things, two things are needed; a plan, and not quite enough time.",Leonard Bernstein,"Time, Enough, Plan"
Good health and good sense are two of life's greatest blessings.,Publilius Syrus,"Life, Health, Good"
"The greater the obstacle, the more glory in overcoming it.",Moliere,"Glory, Overcoming, More"
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,"Yourself, World, Be Yourself"
Nothing great in the world has ever been accomplished without passion.,Georg Wilhelm Friedrich Hegel,"Passion, World, Nothing"
Small opportunities are often the beginning of great enterprises.,Demosthenes,"Beginning, Small, Opportunities"
"Greatness lies, not in being strong, but in the right using of strength; and strength is not used rightly when it serves only to carry a man above his fellows for his own solitary glory. He is the greatest whose strength carries up the most hearts by the attraction of his own.",Henry Ward Beecher,"Strength, Man, Greatness"
Great minds discuss ideas; average minds discuss events; small minds discuss people.,Eleanor Roosevelt,"Ideas, People, Great Minds"
"The heights by great men reached and kept were not attained by sudden flight, but they, while their companions slept, were toiling upward in the night.",Henry Wadsworth Longfellow,"Men, Night, Heights"
"To become truly great, one has to stand with people, not above them.",Montesquieu,"Stand, People, Become"
The greatest weapon against stress is our ability to choose one thought over another.,William James,"Stress, Ability, Choose"
There is no greater agony than bearing an untold story inside you.,Maya Angelou,"Story, Inside, Agony"
The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.,William Arthur Ward,"Good, Teacher, Good Teacher"
"If you cannot do great things, do small things in a great way.",Napoleon Hill,"Small Things, Way, Great Things"
"Lives of great men all remind us, we can make our lives sublime, and, departing, leave behind us, footprints on the sands of time.",Henry Wadsworth Longfellow,"Time, Men, Behind"
It is a rough road that leads to the heights of greatness.,Lucius Annaeus Seneca,"Greatness, Road, Heights"
The greatest mistake you can make in life is continually fearing that you'll make one.,Elbert Hubbard,"Life, Mistake, Make"
Believe deep down in your heart that you're destined to do great things.,Joe Paterno,"Heart, Your, Believe"
Only those who dare to fail greatly can ever achieve greatly.,Robert Kennedy,"Dare, Achieve, Only"
What wisdom can you find that is greater than kindness?,Jean-Jacques Rousseau,"Wisdom, Kindness, Find"
The greatness of a nation can be judged by the way its animals are treated.,Mahatma Gandhi,"Greatness, Way, Nation"
To do a great right do a little wrong.,William Shakespeare,"Right, Wrong, Little"
Little minds are tamed and subdued by misfortune; but great minds rise above them.,Washington Irving,"Rise, Great Minds, Rise Above"
"I am the greatest, I said that even before I knew I was.",Muhammad Ali,"I Am, Greatest, Said"
You need a little bit of insanity to do great things.,Henry Rollins,"Insanity, Great Things, Things"
"The greater the effort, the greater the glory.",Pierre Corneille,"Effort, Glory, Greater"
Could a greater miracle take place than for us to look through each other's eyes for an instant?,Henry David Thoreau,"Eyes, Look, Place"
"The greater the artist, the greater the doubt. Perfect confidence is granted to the less talented as a consolation prize.",Robert Hughes,"Confidence, Doubt, Perfect"
The greatest discovery of all time is that a person can change his future by merely changing his attitude.,Oprah Winfrey,"Attitude, Future, Change"
We are all faced with a series of great opportunities brilliantly disguised as impossible situations.,Charles R. Swindoll,"Impossible, Opportunities, Series"
Great things are not accomplished by those who yield to trends and fads and popular opinion.,Jack Kerouac,"Trends, Opinion, Great Things"
Life should be great rather than long.,B. R. Ambedkar,"Life, Long, Should"
"After climbing a great hill, one only finds that there are many more hills to climb.",Nelson Mandela,"Hill, Climb, Only"
"Great people talk about ideas, average people talk about things, and small people talk about wine.",Fran Lebowitz,"Ideas, People, Talk"
"There is no greatness where there is no simplicity, goodness and truth.",Leo Tolstoy,"Truth, Greatness, Simplicity"
Great things are done by a series of small things brought together.,Vincent Van Gogh,"Done, Small Things, Together"
One sees great things from the valley; only small things from the peak.,Gilbert K. Chesterton,"Small Things, Great Things, Things"
The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile.,Plato,"Yourself, Victory, Conquer"
"The principles of living greatly include the capacity to face trouble with courage, disappointment with cheerfulness, and trial with humility.",Thomas S. Monson,"Courage, Face, Humility"
"All the great things are simple, and many can be expressed in a single word: freedom, justice, honor, duty, mercy, hope.",Winston Churchill,"Hope, Freedom, Justice"
The great man is he who does not lose his child's-heart.,Mencius,"Man, Lose, Great Man"
Great things are done when men and mountains meet.,William Blake,"Men, Done, Great Things"
All great achievements require time.,Maya Angelou,"Time, Achievements, Require"
Don't be humble... you're not that great.,Golda Meir,"Humble, Be Humble, You"
"Only passions, great passions can elevate the soul to great things.",Denis Diderot,"Soul, Great Things, Things"
I've got a great ambition to die of exhaustion rather than boredom.,Thomas Carlyle,"Die, Ambition, Boredom"
The greatest good you can do for another is not just to share your riches but to reveal to him his own.,Benjamin Disraeli,"Good, Your, Own"
"It's hard to be humble, when you're as great as I am.",Muhammad Ali,"Humble, I Am, Be Humble"
"I firmly believe that any man's finest hour, the greatest fulfillment of all that he holds dear, is that moment when he has worked his heart out in a good cause and lies exhausted on the field of battle - victorious.",Vince Lombardi,"Good, Heart, Moment"
"Our greatest glory is not in never failing, but in rising up every time we fail.",Ralph Waldo Emerson,"Time, Glory, Never"
"You are your greatest asset. Put your time, effort and money into training, grooming, and encouraging your greatest asset.",Tom Hopkins,"Time, Money, Your"
Those who dare to fail miserably can achieve greatly.,John F. Kennedy,"Dare, Achieve, Who"
All truly great thoughts are conceived by walking.,Friedrich Nietzsche,"Thoughts, Walking, Truly"
"Heaven and hell suppose two distinct species of men, the good and the bad. But the greatest part of mankind float betwixt vice and virtue.",David Hume,"Good, Men, Hell"
A great pleasure in life is doing what people say you cannot do.,Walter Bagehot,"Life, Doing, People"
Great spirits have always encountered violent opposition from mediocre minds.,Albert Einstein,"Always, Opposition, Spirits"
The greatest wealth is to live content with little.,Plato,"Wealth, Live, Content"
"See everything, overlook a great deal, correct a little.",Pope John XXIII,"Everything, See, Deal"
"A man is great by deeds, not by birth.",Chanakya,"Man, Birth, Deeds"
