title,author,tags
"There is only one happiness in this life, to love and be loved.",George Sand,"Life, Love, Loved"
"It is not how much we have, but how much we enjoy, that makes happiness.",Charles Spurgeon,"Enjoy, Much, How"
"The happiness of your life depends upon the quality of your thoughts: therefore, guard accordingly, and take care that you entertain no notions unsuitable to virtue and reasonable nature.",Marcus Aurelius,"Life, Nature, Thoughts"
Be happy for this moment. This moment is your life.,Omar Khayyam,"Life, Moment, Your"
"Happiness is when what you think, what you say, and what you do are in harmony.",Mahatma Gandhi,"Harmony, Think, Say"
Now and then it's good to pause in our pursuit of happiness and just be happy.,Guillaume Apollinaire,"Good, Pause, Happy"
"You know it's love when all you want is that person to be happy, even if you're not part of their happiness.",Julia Roberts,"Love, Know, Person"
Some cause happiness wherever they go; others whenever they go.,Oscar Wilde,"Go, Others, Wherever"
Happiness often sneaks in through a door you didn't know you left open.,John Barrymore,"Know, Door, Open"
I am a kind of paranoid in reverse. I suspect people of plotting to make me happy.,J. D. Salinger,"I Am, Me, People"
"Money can't buy happiness, but it can make you awfully comfortable while you're being miserable.",Clare Boothe Luce,"Money, Comfortable, Miserable"
"Money can't buy you happiness, but it can buy you a yacht big enough to pull up right alongside it.",David Lee Roth,"Money, Enough, Right"
"It is not easy to find happiness in ourselves, and it is not possible to find it elsewhere.",Agnes Repplier,"Find, Easy, Possible"
"Try to make at least one person happy every day. If you cannot do a kind deed, speak a kind word. If you cannot speak a kind word, think a kind thought. Count up, if you can, the treasure of happiness that you would dispense in a week, in a year, in a lifetime!",Lawrence G. Lovasik,"Day, Try, Person"
Happiness is dependent on self-discipline. We are the biggest obstacles to our own happiness. It is much easier to do battle with society and with others than to fight our own nature.,Dennis Prager,"Nature, Society, Fight"
The most worth-while thing is to try to put happiness into the lives of others.,Robert Baden-Powell,"Try, Others, Most"
The person born with a talent they are meant to use will find their greatest happiness in using it.,Johann Wolfgang von Goethe,"Talent, Will, Find"
"Happiness is a virtue, not its reward.",Baruch Spinoza,"Reward, Virtue"
The art of being happy lies in the power of extracting happiness from common things.,Henry Ward Beecher,"Power, Art, Happy"
Action may not always bring happiness; but there is no happiness without action.,Benjamin Disraeli,"Always, Action, May"
There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will.,Epictetus,"Power, Will, Way"
"If you want others to be happy, practice compassion. If you want to be happy, practice compassion.",Dalai Lama,"Compassion, Practice, Happy"
"Happiness is a direction, not a place.",Sydney J. Harris,"Direction, Place"
Most folks are as happy as they make up their minds to be.,Abraham Lincoln,"Happy, Make, Up"
Don't wait around for other people to be happy for you. Any happiness you get you've got to make yourself.,Alice Walker,"Yourself, Wait, People"
"Happiness cannot be traveled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace, and gratitude.",Denis Waitley,"Love, Experience, Grace"
In order to have great happiness you have to have great pain and unhappiness - otherwise how would you know when you're happy?,Leslie Caron,"Great, Pain, Know"
"I, not events, have the power to make me happy or unhappy today. I can choose which it shall be. Yesterday is dead, tomorrow hasn't arrived yet. I have just one day, today, and I'm going to be happy in it.",Groucho Marx,"Power, Today, Tomorrow"
Happiness is not something ready made. It comes from your own actions.,Dalai Lama,"Your, Own, Ready"
A hug is like a boomerang - you get it back right away.,Bil Keane,"Right, Back, Hug"
"If you want to be happy, be.",Leo Tolstoy,"Happy, Be Happy, Want"
Happiness can exist only in acceptance.,George Orwell,"Acceptance, Exist, Only"
Happiness depends upon ourselves.,Aristotle,"Depends, Ourselves"
"To be stupid, selfish, and have good health are three requirements for happiness, though if stupidity is lacking, all is lost.",Gustave Flaubert,"Health, Good, Good Health"
All who joy would win must share it. Happiness was born a Twin.,Lord Byron,"Win, Joy, Born"
"True happiness is... to enjoy the present, without anxious dependence upon the future.",Lucius Annaeus Seneca,"Future, True Happiness, True"
To be without some of the things you want is an indispensable part of happiness.,Bertrand Russell,"Things, Want, Without"
"Happiness is like a cloud, if you stare at it long enough, it evaporates.",Sarah McLachlan,"Long, Enough, Cloud"
But what is happiness except the simple harmony between a man and the life he leads?,Albert Camus,"Life, Man, Simple"
Happiness is the absence of the striving for happiness.,Zhuangzi,"Striving, Absence"
The secret of happiness is something to do.,John Burroughs,"Secret, Something, The Secret Of"
"Happiness exists on earth, and it is won through prudent exercise of reason, knowledge of the harmony of the universe, and constant practice of generosity.",Jose Marti,"Knowledge, Universe, Practice"
"Happiness is not a matter of intensity but of balance, order, rhythm and harmony.",Thomas Merton,"Balance, Harmony, Matter"
"The moments of happiness we enjoy take us by surprise. It is not that we seize them, but that they seize us.",Ashley Montagu,"Surprise, Enjoy, Us"
"Our greatest happiness does not depend on the condition of life in which chance has placed us, but is always the result of a good conscience, good health, occupation, and freedom in all just pursuits.",Thomas Jefferson,"Life, Health, Good"
