title,author,tags
It is no measure of health to be well adjusted to a profoundly sick society.,Jiddu Krishnamurti,"Society, Measure, Sick"
"When wealth is lost, nothing is lost; when health is lost, something is lost; when character is lost, all is lost.",Billy Graham,"Character, Wealth, Lost"
"Good health is not something we can buy. However, it can be an extremely valuable savings account.",Anne Wilson Schaef,"Good, Good Health, Something"
A healthy outside starts from the inside.,Robert Urich,"Outside, Inside, Healthy"
There's nothing more important than our good health - that's our principal capital asset.,Arlen Specter,"Good, Good Health, Nothing"
"You know, all that really matters is that the people you love are happy and healthy. Everything else is just sprinkles on the sundae.",Paul Walker,"Love, Know, People"
Your body hears everything your mind says.,Naomi Judd,"Your, Mind, Body"
"He who has health, has hope; and he who has hope, has everything.",Thomas Carlyle,"Hope, Everything, Who"
"I know a man who gave up smoking, drinking, sex, and rich food. He was healthy right up to the day he killed himself.",Johnny Carson,"Food, Man, Day"
"My personal goals are to be happy, healthy and to be surrounded by loved ones.",Kiana Tom,"Goals, Happy, Be Happy"
Sleep is that golden chain that ties health and our bodies together.,Thomas Dekker,"Together, Sleep, Golden"
Health is not valued till sickness comes.,Thomas Fuller,"Sickness, Valued, Till"
I believe that the greatest gift you can give your family and the world is a healthy you.,Joyce Meyer,"Family, Your, Believe"
"The art of healing comes from nature, not from the physician. Therefore the physician must start from nature, with an open mind.",Paracelsus,"Nature, Art, Mind"
A healthy attitude is contagious but don't wait to catch it from others. Be a carrier.,Tom Stoppard,"Attitude, Wait, Others"
It is health that is real wealth and not pieces of gold and silver.,Mahatma Gandhi,"Gold, Wealth, Silver"
The first wealth is health.,Ralph Waldo Emerson,"Wealth, First"
"Health nuts are going to feel stupid someday, lying in hospitals dying of nothing.",Redd Foxx,"Stupid, Nothing, Feel"
"If you're happy, if you're feeling good, then nothing else matters.",Robin Wright,"Good, Nothing, Feeling"
"Everybody needs beauty as well as bread, places to play in and pray in, where nature may heal and give strength to body and soul.",John Muir,"Beauty, Nature, Strength"
"The way you think, the way you behave, the way you eat, can influence your life by 30 to 50 years.",Deepak Chopra,"Life, Your, Influence"
Happiness lies first of all in health.,George William Curtis,"Happiness, First, Happiness Lies"
"Being in control of your life and having realistic expectations about your day-to-day challenges are the keys to stress management, which is perhaps the most important ingredient to living a happy, healthy and rewarding life.",Marilu Henner,"Life, Your, Challenges"
Natural forces within us are the true healers of disease.,Hippocrates,"True, Disease, Us"
It's better to be healthy alone than sick with someone else.,Phil McGraw,"Alone, Better, Sick"
A person whose mind is quiet and satisfied in God is in the pathway to health.,Ellen G. White,"God, Mind, Person"
"America's health care system is neither healthy, caring, nor a system.",Walter Cronkite,"Caring, Care, America"
Looking after my health today gives me a better hope for tomorrow.,Anne Wilson Schaef,"Hope, Today, Tomorrow"
"If we can get people to focus on fruits and vegetables and more healthy foods, we'll be better in terms of our healthcare situation.",Tom Vilsack,"Focus, Better, Vegetables"
"Early to bed and early to rise makes a man healthy, wealthy and wise.",Benjamin Franklin,"Wise, Man, Rise"
The groundwork of all happiness is health.,Leigh Hunt,"Happiness, Groundwork"
It's no longer a question of staying healthy. It's a question of finding a sickness you like.,Jackie Mason,"Sickness, Finding, Like"
The healthy man does not torture others - generally it is the tortured who turn into torturers.,Carl Jung,"Man, Turn, Others"
Hearty laughter is a good way to jog internally without having to go outdoors.,Norman Cousins,"Good, Laughter, Way"
Knowing that we can be loved exactly as we are gives us all the best opportunity for growing into the healthiest of people.,Fred Rogers,"Best, Opportunity, People"
"True silence is the rest of the mind, and is to the spirit what sleep is to the body, nourishment and refreshment.",William Penn,"Silence, Mind, Body"
Cheerfulness is the best promoter of health and is as friendly to the mind as to the body.,Joseph Addison,"Best, Mind, Body"
"Rest when you're weary. Refresh and renew yourself, your body, your mind, your spirit. Then get back to work.",Ralph Marston,"Work, Your, Mind"
The wish for healing has always been half of health.,Lucius Annaeus Seneca,"Always, Wish, Healing"
"I think the healthy way to live is to make friends with the beast inside oneself, and that means not the beast but the shadow. The dark side of one's nature. Have fun with it and you know, is to accept everything about ourselves.",Anthony Hopkins,"Nature, Shadow, Way"
Be careful about reading health books. You may die of a misprint.,Mark Twain,"Die, May, Reading"
Investing in health will produce enormous benefits.,Gro Harlem Brundtland,"Will, Benefits, Investing"
I do not think about being beautiful. What I devote most of my time to is being healthy.,Ann Bancroft,"Time, Beautiful, Being Beautiful"
To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.,Buddha,"Good, Good Health, Mind"
"It is amazing that people who think we cannot afford to pay for doctors, hospitals, and medication somehow think that we can afford to pay for doctors, hospitals, medication and a government bureaucracy to administer it.",Thomas Sowell,"Government, Amazing, People"
"You know, true love really matters, friends really matter, family really matters. Being responsible and disciplined and healthy really matters.",Courtney Thorne-Smith,"Love, Family, True Love"
"Health is not a condition of matter, but of Mind.",Mary Baker Eddy,"Mind, Matter, Condition"
"The ingredients of health and long life, are great temperance, open air, easy labor, and little care.",Philip Sidney,"Life, Great, Long"
The greatest of follies is to sacrifice health for any other kind of happiness.,Arthur Schopenhauer,"Happiness, Sacrifice, Greatest"
"I sit on my duff, smoke cigarettes and watch TV. I'm not exactly a poster girl for healthy living.",Lexa Doig,"Smoke, Living, Sit"
It takes more than just a good looking body. You've got to have the heart and soul to go with it.,Epictetus,"Good, Heart, Soul"
"Healing is a matter of time, but it is sometimes also a matter of opportunity.",Hippocrates,"Time, Opportunity, Matter"
