title,author,tags
"Our greatest glory is not in never falling, but in rising every time we fall.",Confucius,"Time, Fall, Glory"
"If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse and you say that you are neutral, the mouse will not appreciate your neutrality.",Desmond Tutu,"Your, Will, Injustice"
Those who do not remember the past are condemned to repeat it.,George Santayana,"Past, Remember, Repeat"
History is not a burden on the memory but an illumination of the soul.,John Dalberg-Acton,"Soul, Memory, Burden"
History is the version of past events that people have decided to agree upon.,Napoleon Bonaparte,"Past, People, Events"
There are no extraordinary men... just extraordinary circumstances that ordinary men are forced to deal with.,William Halsey,"Men, Circumstances, Extraordinary"
History is a gallery of pictures in which there are few originals and many copies.,Alexis de Tocqueville,"Gallery, Pictures, Which"
"If one morning I walked on top of the water across the Potomac River, the headline that afternoon would read: 'President Can't Swim.'",Lyndon B. Johnson,"Morning, Water, River"
We are not makers of history. We are made by history.,"Martin Luther King, Jr.","Made, Makers"
People are trapped in history and history is trapped in them.,James Baldwin,"People, Trapped, Them"
History is a pack of lies about events that never happened told by people who weren't there.,George Santayana,"People, Never, Events"
That men do not learn very much from the lessons of history is the most important of all the lessons of history.,Aldous Huxley,"Men, Important, Much"
History is a vast early warning system.,Norman Cousins,"Warning, System, Early"
"Following the light of the sun, we left the Old World.",Christopher Columbus,"Light, World, Sun"
I like the dreams of the future better than the history of the past.,Thomas Jefferson,"Future, Dreams, Past"
"Peace, plenty, and contentment reign throughout our borders, and our beloved country presents a sublime moral spectacle to the world.",James K. Polk,"Peace, World, Country"
"History, despite its wrenching pain, cannot be unlived, but if faced with courage, need not be lived again.",Maya Angelou,"Courage, Pain, Cannot"
"Never, never and never again shall it be that this beautiful land will again experience the oppression of one by another.",Nelson Mandela,"Experience, Beautiful, Will"
History is a set of lies agreed upon.,Napoleon Bonaparte,"Lies, Set, Agreed"
The man who is swimming against the stream knows the strength of it.,Woodrow Wilson,"Strength, Man, Swimming"
Time is my greatest enemy.,Evita Peron,"Time, Enemy, Greatest"
"I came, I saw, I conquered.",Julius Caesar,"Saw, Conquered, Came"
"I come into the peace of wild things who do not tax their lives with forethought of grief... For a time I rest in the grace of the world, and am free.",Wendell Berry,"Time, Peace, Grace"
"The past is malleable and flexible, changing as our recollection interprets and re-explains what has happened.",Peter L. Berger,"Past, Flexible, Happened"
"God cannot alter the past, though historians can.",Samuel Butler,"God, Past, Cannot"
A small body of determined spirits fired by an unquenchable faith in their mission can alter the course of history.,Mahatma Gandhi,"Faith, Body, Mission"
The construction of Europe is an art. It is the art of the possible.,Jacques Chirac,"Art, Construction, Possible"
Posterity! You will never know how much it cost the present generation to preserve your freedom! I hope you will make a good use of it.,John Adams,"Hope, Good, Freedom"
"History is an account, mostly false, of events, mostly unimportant, which are brought about by rulers, mostly knaves, and soldiers, mostly fools.",Ambrose Bierce,"Events, Fools, Soldiers"
"Chaos often breeds life, when order breeds habit.",Henry Adams,"Life, Chaos, Habit"
History is a tool used by politicians to justify their intentions.,Ted Koppel,"Politicians, Intentions, Used"
It takes an endless amount of history to make even a little tradition.,Henry James,"Tradition, Make, Endless"
The test of our progress is not whether we add more to the abundance of those who have much it is whether we provide enough for those who have little.,Franklin D. Roosevelt,"Progress, Enough, Test"
History never looks like history when you are living through it.,John W. Gardner,"Living, Never, Through"
"With Malice toward none, with charity for all, with firmness in the right, as God gives us to see the right, let us strive on to finish the work we are in, to bind up the nation's wounds.",Abraham Lincoln,"Work, God, Nation"
History is the sum total of things that could have been avoided.,Konrad Adenauer,"Things, Sum, Could"
"Few will have the greatness to bend history itself; but each of us can work to change a small portion of events, and in the total; of all those acts will be written the history of this generation.",Robert Kennedy,"Work, Change, Greatness"
"History is indeed little more than the register of the crimes, follies, and misfortunes of mankind.",Edward Gibbon,"Mankind, More, Register"
Most of the things worth doing in the world had been declared impossible before they were done.,Louis D. Brandeis,"Impossible, Done, World"
History will be kind to me for I intend to write it.,Winston Churchill,"Me, Will, Be Kind"
"Pearl Harbor caused our Nation to wholeheartedly commit to winning World War II, changing the course of our Nation's history and the world's future.",Joe Baca,"Future, War, World"
"History will have to record that the greatest tragedy of this period of social transition was not the strident clamor of the bad people, but the appalling silence of the good people.","Martin Luther King, Jr.","Good, Silence, Bad People"
"History is a relentless master. It has no present, only the past rushing into the future. To try to hold fast is to be swept aside.",John F. Kennedy,"Future, Past, Try"
