title,author,tags
A day without laughter is a day wasted.,Charlie Chaplin,"Day, Laughter, Wasted"
"There is a thin line that separates laughter and pain, comedy and tragedy, humor and hurt.",Erma Bombeck,"Pain, Laughter, Hurt"
Analyzing humor is like dissecting a frog. Few people are interested and the frog dies of it.,E. B. White,"People, Frog, Interested"
Everywhere is within walking distance if you have the time.,Steven Wright,"Time, Walking, Distance"
Laughter is the closest distance between two people.,Victor Borge,"Laughter, People, Distance"
"If you could choose one characteristic that would get you through life, choose a sense of humor.",Jennifer Jones,"Life, Sense Of Humor, Choose"
Humor is one of the best ingredients of survival.,Aung San Suu Kyi,"Best, Survival, Ingredients"
"You may not be able to change a situation, but with humor you can change your attitude about it.",Allen Klein,"Attitude, Change, Your"
Start every day off with a smile and get it over with.,W. C. Fields,"Smile, Day, Start"
A person without a sense of humor is like a wagon without springs. It's jolted by every pebble on the road.,Henry Ward Beecher,"Road, Person, Sense Of Humor"
Laughter is an instant vacation.,Milton Berle,"Laughter, Vacation, Instant"
Humor is just another defense against the universe.,Mel Brooks,"Universe, Defense, Against"
The most wasted of all days is one without laughter.,e. e. cummings,"Laughter, Wasted, Days"
A sense of humor... is needed armor. Joy in one's heart and some laughter on one's lips is a sign that the person down deep has a pretty good grasp of life.,Hugh Sidey,"Life, Good, Heart"
It's always funny until someone gets hurt. Then it's just hilarious.,Bill Hicks,"Funny, Always, Hurt"
"Like a welcome summer rain, humor may suddenly cleanse and cool the earth, the air and you.",Langston Hughes,"Cool, Rain, Welcome"
Imagination was given to man to compensate him for what he isn't. A sense of humor was provided to console him for what he is.,Horace Walpole,"Imagination, Man, Sense Of Humor"
Comedy is simply a funny way of being serious.,Peter Ustinov,"Funny, Way, Serious"
"It is the ability to take a joke, not make one, that proves you have a sense of humor.",Max Eastman,"Sense Of Humor, Ability, Make"
Humor is by far the most significant activity of the human brain.,Edward de Bono,"Brain, Human Brain, Human"
Humour is the weapon of unarmed people: it helps people who are oppressed to smile at the situation that pains them.,Simon Wiesenthal,"Smile, Situation, People"
"A taste for irony has kept more hearts from breaking than a sense of humor, for it takes irony to appreciate the joke which is on oneself.",Jessamyn West,"Sense Of Humor, Irony, Taste"
"Everything is funny, as long as it's happening to somebody else.",Will Rogers,"Funny, Long, Everything"
"A little perspective, like a little humor, goes a long way.",Allen Klein,"Long, Way, Perspective"
Comedy has to be based on truth. You take the truth and you put a little curlicue at the end.,Sid Caesar,"Truth, End, Comedy"
"Common sense and a sense of humor are the same thing, moving at different speeds. A sense of humor is just common sense, dancing.",Clive James,"Sense Of Humor, Common Sense, Moving"
Humor is everywhere in that there's irony in just about anything a human does.,Bill Nye,"Irony, Human, Anything"
Imagination was given to man to compensate him for what he is not; a sense of humor to console him for what he is.,Francis Bacon,"Imagination, Man, Sense Of Humor"
Humor is mankind's greatest blessing.,Mark Twain,"Blessing, Mankind, Greatest"
"I have seen what a laugh can do. It can transform almost unbearable tears into something bearable, even hopeful.",Bob Hope,"Laugh, Tears, Something"
"Most comedy is based on getting a laugh at somebody else's expense. And I find that that's just a form of bullying in a major way. So I want to be an example that you can be funny and be kind, and make people laugh without hurting somebody else's feelings.",Ellen DeGeneres,"Funny, Bullying, Laugh"
"When humor goes, there goes civilization.",Erma Bombeck,"Civilization, Goes"
A joke's a very serious thing.,Charles Churchill,"Serious, Joke, Thing"
"Good planning is important. I've also regarded a sense of humor as one of the most important things on a big expedition. When you're in a difficult or dangerous situation, or when you're depressed about the chances of success, someone who can make you laugh eases the tension.",Edmund Hillary,"Success, Good, Laugh"
"I have a fine sense of the ridiculous, but no sense of humor.",Edward Albee,"No Sense, Sense Of Humor, Ridiculous"
I don't think it's possible to have a sense of tragedy without having a sense of humor.,Christopher Hitchens,"Sense Of Humor, Possible, Tragedy"
"If I had no sense of humor, I would long ago have committed suicide.",Mahatma Gandhi,"Long, Suicide, No Sense"
Humor is laughing at what you haven't got when you ought to have it.,Langston Hughes,"Got, Ought, Laughing"
"I realize that humor isn't for everyone. It's only for people who want to have fun, enjoy life, and feel alive.",Anne Wilson Schaef,"Life, Enjoy Life, Alive"
I can imagine no more comfortable frame of mind for the conduct of life than a humorous resignation.,W. Somerset Maugham,"Life, Mind, Resignation"
I think the scariest person in the world is the person with no sense of humor.,Michael J. Fox,"World, No Sense, Person"
A sense of humor is a major defense against minor troubles.,Mignon McLaughlin,"Sense Of Humor, Sense, Defense"
The duty of comedy is to correct men by amusing them.,Moliere,"Men, Duty, Comedy"
