title,author,tags
"If you want a vision of the future, imagine a boot stamping on a human face - forever.",George Orwell,"Future, Vision, Face"
You're only given a little spark of madness. You mustn't lose it.,Robin Williams,"Lose, Madness, Spark"
Fiction reveals truths that reality obscures.,Jessamyn West,"Reality, Fiction, Truths"
I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,"Always, Library, Will"
The world of reality has its limits; the world of imagination is boundless.,Jean-Jacques Rousseau,"World, Reality, Limits"
I saw the angel in the marble and carved until I set him free.,Michelangelo,"Angel, Free, Marble"
Imagination and fiction make up more than three quarters of our real life.,Simone Weil,"Life, Real, Three"
"The visionary starts with a clean sheet of paper, and re-imagines the world.",Malcolm Gladwell,"World, Clean, Visionary"
One can live in the shadow of an idea without grasping it.,Elizabeth Bowen,"Shadow, Live, Without"
There are no rules of architecture for a castle in the clouds.,Gilbert K. Chesterton,"Architecture, Clouds, Castle"
Logic will get you from A to B. Imagination will take you everywhere.,Albert Einstein,"Will, Logic, Take"
Everything you can imagine is real.,Pablo Picasso,"Real, Everything, Imagine"
You can't do it unless you can imagine it.,George Lucas,"Imagine, Unless, You"
Every block of stone has a statue inside it and it is the task of the sculptor to discover it.,Michelangelo,"Stone, Task, Sculptor"
"Happiness is not an ideal of reason, but of imagination.",Immanuel Kant,"Happiness, Reason, Ideal"
Imagination will often carry us to worlds that never were. But without it we go nowhere.,Carl Sagan,"Will, Never, Go"
The man who has no imagination has no wings.,Muhammad Ali,"Man, Wings, Who"
I only hope that we don't lose sight of one thing - that it was all started by a mouse.,Walt Disney,"Hope, Lose, Sight"
"Imagination is the beginning of creation. You imagine what you desire, you will what you imagine and at last you create what you will.",George Bernard Shaw,"Beginning, Will, Creation"
"And by the way, everything in life is writable about if you have the outgoing guts to do it, and the imagination to improvise. The worst enemy to creativity is self-doubt.",Sylvia Plath,"Life, Creativity, Way"
"Imagine what a harmonious world it could be if every single person, both young and old shared a little of what he is good at doing.",Quincy Jones,"Good, World, Doing"
"If you can imagine it, you can achieve it. If you can dream it, you can become it.",William Arthur Ward,"Dream, Achieve, Imagine"
Reality leaves a lot to the imagination.,John Lennon,"Reality, Lot, Leaves"
Imagination creates reality.,Richard Wagner,"Reality, Creates"
I believe in the imagination. What I cannot see is infinitely more important than what I can see.,Duane Michals,"Believe, Important, I Believe"
"To accomplish great things we must first dream, then visualize, then plan... believe... act!",Alfred A. Montapert,"Great, Believe, Plan"
All men who have achieved great things have been great dreamers.,Orison Swett Marden,"Men, Great, Great Things"
Men are mortal. So are ideas. An idea needs propagation as much as a plant needs watering. Otherwise both will wither and die.,B. R. Ambedkar,"Men, Plant, Die"
"Each generation imagines itself to be more intelligent than the one that went before it, and wiser than the one that comes after it.",George Orwell,"Generation, Intelligent, More"
They who dream by day are cognizant of many things which escape those who dream only by night.,Edgar Allan Poe,"Day, Night, Escape"
Vision is the true creative rhythm.,Robert Delaunay,"Vision, True, Rhythm"
True originality consists not in a new manner but in a new vision.,Edith Wharton,"Vision, New, True"
"To invent, you need a good imagination and a pile of junk.",Thomas A. Edison,"Good, Need, Junk"
"A rock pile ceases to be a rock pile the moment a single man contemplates it, bearing within him the image of a cathedral.",Antoine de Saint-Exupery,"Moment, Man, Rock"
"Live out of your imagination, not your history.",Stephen Covey,"History, Your, Live"
What we imagine is order is merely the prevailing form of chaos.,Kerry Thornley,"Chaos, Imagine, Order"
"Those who do not want to imitate anything, produce nothing.",Salvador Dali,"Nothing, Anything, Want"
Trust that little voice in your head that says 'Wouldn't it be interesting if...'; And then do it.,Duane Michals,"Trust, Your, Voice"
"Visualize this thing that you want, see it, feel it, believe in it. Make your mental blue print, and begin to build.",Robert Collier,"Your, Believe, Blue"
The only sure weapon against bad ideas is better ideas.,Alfred Whitney Griswold,"Better, Bad, Ideas"
You have many years ahead of you to create the dreams that we can't even imagine dreaming. You have done more for the collective unconscious of this planet than you will ever know.,Steven Spielberg,"Dreams, Done, Will"
The world is governed by very different personages from what is imagined by those who are not behind the scenes.,Benjamin Disraeli,"World, Behind, Different"
"If I create from the heart, nearly everything works; if from the head, almost nothing.",Marc Chagall,"Heart, Nothing, Create"
"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!",Dr. Seuss,"Try, Right, High"
"Bring ideas in and entertain them royally, for one of them may be the king.",Mark Van Doren,"King, Ideas, May"
The artist must bow to the monster of his own imagination.,Richard Wright,"Own, Artist, Bow"
"When you're curious, you find lots of interesting things to do.",Walt Disney,"Find, Curious, Things"
You can't depend on your eyes when your imagination is out of focus.,Mark Twain,"Eyes, Your, Focus"
"The most imaginative people are the most credulous, for them everything is possible.",Alexander Chase,"People, Possible, Everything"
Some stories are true that never happened.,Elie Wiesel,"True, Never, Happened"
Imagination rules the world.,Napoleon Bonaparte,"World, Rules"
