title,author,tags
Tell me and I forget. Teach me and I remember. Involve me and I learn.,Benjamin Franklin,"Remember, Me, Forget"
"I learned long ago, never to wrestle with a pig. You get dirty, and besides, the pig likes it.",George Bernard Shaw,"Long, Dirty, Never"
They may forget what you said - but they will never forget how you made them feel.,Carl W. Buehner,"Never Forget, Will, Feel"
Learning never exhausts the mind.,Leonardo da Vinci,"Mind, Never"
Research is formalized curiosity. It is poking and prying with a purpose.,Zora Neale Hurston,"Research, Curiosity, Purpose"
"Study nature, love nature, stay close to nature. It will never fail you.",Frank Lloyd Wright,"Love, Nature, Will"
Try to learn something about everything and everything about something.,Thomas Huxley,"Try, Everything, Something"
Your mind will answer most questions if you learn to relax and wait for the answer.,William S. Burroughs,"Relax, Your, Mind"
In youth we learn; in age we understand.,Marie von Ebner-Eschenbach,"Age, Youth, Understand"
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,"Tomorrow, Die, Live"
The hardest job kids face today is learning good manners without seeing any.,Fred Astaire,"Good, Today, Face"
I am not afraid of storms for I am learning how to sail my ship.,Louisa May Alcott,"I Am, Ship, Sail"
"You don't learn to walk by following rules. You learn by doing, and by falling over.",Richard Branson,"Walk, Doing, Rules"
In times of change learners inherit the earth; while the learned find themselves beautifully equipped to deal with a world that no longer exists.,Eric Hoffer,"Change, World, Find"
What people actually refer to as research nowadays is really just Googling.,Dermot Mulroney,"Research, People, Just"
We learned about honesty and integrity - that the truth matters... that you don't take shortcuts or play by your own set of rules... and success doesn't count unless you earn it fair and square.,Michelle Obama,"Success, Truth, Your"
I don't love studying. I hate studying. I like learning. Learning is beautiful.,Natalie Portman,"Love, Beautiful, Hate"
"It is not knowledge, but the act of learning, not possession but the act of getting there, which grants the greatest enjoyment.",Carl Friedrich Gauss,"Knowledge, Act, Enjoyment"
He who would learn to fly one day must first learn to stand and walk and run and climb and dance; one cannot fly into flying.,Friedrich Nietzsche,"Walk, Fly, Day"
A wise man can learn more from a foolish question than a fool can learn from a wise answer.,Bruce Lee,"Wise, Fool, Man"
Your most unhappy customers are your greatest source of learning.,Bill Gates,"Your, Unhappy, Source"
"He who learns but does not think, is lost! He who thinks but does not learn is in great danger.",Confucius,"Great, Lost, Think"
It is what we know already that often prevents us from learning.,Claude Bernard,"Know, Us, Often"
"Without pain, there would be no suffering, without suffering we would never learn from our mistakes. To make it right, pain and suffering is the key to all windows, without it, there is no way of life.",Angelina Jolie,"Life, Pain, Suffering"
"There is no end to education. It is not that you read a book, pass an examination, and finish with education. The whole of life, from the moment you are born to the moment you die, is a process of learning.",Jiddu Krishnamurti,"Life, Education, Moment"
The minute that you're not learning I believe you're dead.,Jack Nicholson,"Believe, Dead, I Believe"
Question everything. Learn something. Answer nothing.,Euripides,"Nothing, Everything, Answer"
"The first problem for all of us, men and women, is not to learn, but to unlearn.",Gloria Steinem,"Women, Men, First"
"I'm most proud of the blessings that God has bestowed upon me, in my life. He's given me the vision to truly see that you can fall down, but you can still get back up. Hopefully I'll learn from my mistakes and have the opportunity to strengthen and improve the next thing I do.",Martin Lawrence,"Life, God, Vision"
I never learn anything talking. I only learn things when I ask questions.,Lou Holtz,"Never, Questions, Anything"
Research is creating new knowledge.,Neil Armstrong,"Knowledge, Research, New"
"God lets everything happen for a reason. It's all a learning process, and you have to go from one level to another.",Mike Tyson,"God, Process, Reason"
We must learn to live together as brothers or perish together as fools.,"Martin Luther King, Jr.","Together, Live, Fools"
"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.",Earl Nightingale,"Life, Work, Future"
I have never met a man so ignorant that I couldn't learn something from him.,Galileo Galilei,"Man, Never, Something"
The noblest pleasure is the joy of understanding.,Leonardo da Vinci,"Joy, Understanding, Pleasure"
"I am always doing that which I cannot do, in order that I may learn how to do it.",Pablo Picasso,"Always, I Am, Doing"
Education is what remains after one has forgotten what one has learned in school.,Albert Einstein,"Education, School, Forgotten"
I've learned that you shouldn't go through life with a catcher's mitt on both hands; you need to be able to throw something back.,Maya Angelou,"Life, Hands, Go"
I like to listen. I have learned a great deal from listening carefully. Most people never listen.,Ernest Hemingway,"Great, I Have Learned, Listening"
"Learn to get in touch with the silence within yourself, and know that everything in life has purpose. There are no mistakes, no coincidences, all events are blessings given to us to learn from.",Elisabeth Kubler-Ross,"Life, Silence, Yourself"
"The brighter you are, the more you have to learn.",Don Herold,"More, Learn, Brighter"
A single conversation across the table with a wise man is better than ten years mere study of books.,Henry Wadsworth Longfellow,"Wise, Man, Wise Man"
I learned the value of hard work by working hard.,Margaret Mead,"Work, Hard Work, Value"
You teach best what you most need to learn.,Richard Bach,"Best, Need, Teach"
He who is not everyday conquering some fear has not learned the secret of life.,Ralph Waldo Emerson,"Life, Fear, Secret"
It's what you learn after you know it all that counts.,John Wooden,"Know, Learn, Counts"
I am still learning.,Michelangelo,"I Am, Still, Am"
One of the things I learned the hard way was that it doesn't pay to get discouraged. Keeping busy and making optimism a way of life can restore your faith in yourself.,Lucille Ball,"Life, Faith, Busy"
Prepare for the unknown by studying how others in the past have coped with the unforeseeable and the unpredictable.,George S. Patton,"Past, Unpredictable, Unknown"
"I don't think human beings learn anything without desperation. Desperation is a necessary ingredient to learning anything or creating anything. Period. If you ain't desperate at some point, you ain't interesting.",Jim Carrey,"Human, Desperation, Anything"
"A little learning is a dangerous thing; Drink deep, or taste not the Pierian spring.",Alexander Pope,"Spring, Dangerous, Drink"
