title,author,tags
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost,"Life, Words, Everything"
"Every day is a new day, and you'll never be able to find happiness if you don't move on.",Carrie Underwood,"Happiness, New Day, Day"
Every new beginning comes from some other beginning's end.,Seneca,"Beginning, New, End"
"Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness, immobilized by the gravity of my loss, or I can choose to rise from the pain and treasure the most precious gift I have - life itself.",Walter Anderson,"Life, Pain, Character"
"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.",Johnny Cash,"Failure, Time, Space"
"It's time to say goodbye, but I think goodbyes are sad and I'd much rather say hello. Hello to a new adventure.",Ernie Harwell,"Sad, Time, New"
"You may have a fresh start any moment you choose, for this thing that we call 'failure' is not the falling down, but the staying down.",Mary Pickford,"Failure, Moment, Start"
"If you carry joy in your heart, you can heal any moment.",Carlos Santana,"Heart, Moment, Your"
"Moving on, is a simple thing, what it leaves behind is hard.",Dave Mustaine,"Simple, Moving, Behind"
"To help yourself, you must be yourself. Be the best that you can be. When you make a mistake, learn from it, pick yourself up and move on.",Dave Pelzer,"Best, Yourself, Mistake"
I can't go on. I'll go on.,Samuel Beckett,Go
The words of kindness are more healing to a drooping heart than balm or honey.,Sarah Fielding,"Kindness, Heart, Honey"
The greatest healing therapy is friendship and love.,Hubert H. Humphrey,"Friendship, Love, Healing"
"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.",Lewis B. Smedes,"Future, Change, Hope"
Blessed are the hearts that can bend; they shall never be broken.,Albert Camus,"Blessed, Broken, Never"
A man never knows how to say goodbye; a woman never knows when to say it.,Helen Rowland,"Man, Woman, Never"
"The art of war is simple enough. Find out where your enemy is. Get at him as soon as you can. Strike him as hard as you can, and keep moving on.",Ulysses S. Grant,"Art, War, Your"
Grief is in two parts. The first is loss. The second is the remaking of life.,Anne Roiphe,"Life, Grief, First"
Forget the past - the future will give you plenty to worry about.,"George Allen, Sr.","Future, Past, Will"
"Suffering isn't ennobling, recovery is.",Christiaan Barnard,"Suffering, Recovery"
Recovery begins from the darkest moment.,John Major,"Moment, Darkest, Recovery"
"Healing takes courage, and we all have courage, even if we have to dig a little to find it.",Tori Amos,"Courage, Find, Healing"
Healing yourself is connected with healing others.,Yoko Ono,"Yourself, Others, Healing"
Part of the healing process is sharing with other people who care.,Jerry Cantrell,"Process, Care, People"
We are healed from suffering only by experiencing it to the full.,Marcel Proust,"Suffering, Only, Full"
"If you love somebody, let them go, for if they return, they were always yours. And if they don't, they never were.",Khalil Gibran,"Love, Always, Never"
There's always something to suggest that you'll never be who you wanted to be. Your choice is to take it or keep on moving.,Phylicia Rashad,"Always, Your, Keep"
"Love one another and help others to rise to the higher levels, simply by pouring out love. Love is infectious and the greatest healing energy.",Sai Baba,"Love, Love Is, Energy"
"It is only through labor and painful effort, by grim energy and resolute courage, that we move on to better things.",Theodore Roosevelt,"Courage, Effort, Energy"
Transformation in the world happens when people are healed and start investing in other people.,Michael W. Smith,"World, Start, Transformation"
"The heart will break, but broken live on.",Lord Byron,"Heart, Will, Broken"
"I tell you the past is a bucket of ashes, so live not in your yesterdays, no just for tomorrow, but in the here and now. Keep moving and forget the post mortems; and remember, no one can get the jump on the future.",Carl Sandburg,"Future, Tomorrow, Your"
I think a spiritual journey is not so much a journey of discovery. It's a journey of recovery. It's a journey of uncovering your own inner nature. It's already there.,Billy Corgan,"Nature, Journey, Your"
"Don't dwell on what went wrong. Instead, focus on what to do next. Spend your energies on moving forward toward finding the answer.",Denis Waitley,"Your, Focus, Moving Forward"
"Never despair, but if you do, work on in despair.",Edmund Burke,"Work, Never, Despair"
"Any time you end a relationship, and everyone has ended plenty in their life, it's always a tough thing and hard to get over.",Adam Brody,"Life, Time, Relationship"
I think it's important to have closure in any relationship that ends - from a romantic relationship to a friendship. You should always have a sense of clarity at the end and know why it began and why it ended. You need that in your life to move cleanly into your next phase.,Jennifer Aniston,"Life, Friendship, Relationship"
"Patience is key for getting over a breakup. That, and trailing off your interaction after the breakup.",Drake,"Patience, Your, Interaction"
"My life is about ups and downs, great joys and great losses.",Isabel Allende,"Life, Great, Ups And Downs"
Love is like the measles; we all have to go through it.,Jerome K. Jerome,"Love, Love Is, Go"
"I've been heartbroken. I've broken hearts. That's part of life, and its part of figuring out who you are so you can find the right partner.",Heidi Klum,"Life, Find, Broken"
Who can't relate to the idea of leaving one chapter behind and moving on to the next?,Mike Shinoda,"Moving, Behind, Chapter"
"Expect trouble as an inevitable part of life and repeat to yourself, the most comforting words of all; this, too, shall pass.",Ann Landers,"Life, Yourself, Words"
"Take those chances and you can achieve greatness, whereas if you go conservative, you'll never know. I truly believe what doesn't kill you makes you stronger. Even if you fail, learning and moving on is sometimes the best thing.",Danica Patrick,"Best, Learning, Believe"
The Marines was a fresh start - that is why they shave your head. I wish they would let you change your name.,Drew Carey,"Change, Your, Start"
"Everywhere across whatever sorrows of which our life is woven, some radiant joy will gaily flash past.",Nikolai Gogol,"Life, Past, Joy"
Forget the past.,Nelson Mandela,"Past, Forget The Past, Forget"
Don't brood. Get on with living and loving. You don't have forever.,Leo Buscaglia,"Living, Loving, Forever"
"Man maintains his balance, poise, and sense of security only as he is moving forward.",Maxwell Maltz,"Man, Balance, Moving Forward"
"By forgetting the past and by throwing myself into other interests, I forget to worry.",Jack Dempsey,"Myself, Past, Worry"
"Because I remember, I despair. Because I remember, I have the duty to reject despair.",Elie Wiesel,"Remember, Duty, Despair"
"We all have life storms, and when we get the rough times and we recover from them, we should celebrate that we got through it. No matter how bad it may seem, there's always something beautiful that you can find.",Mattie Stepanek,"Life, Beautiful, Always"
It takes bravery to end a relationship.,Leona Lewis,"Relationship, End, Bravery"
The all-seeing eye of God beheld our deplorable state; infinite pity touched the heart of the Father of mercies; and infinite wisdom laid the plan of our recovery.,David Brainerd,"Wisdom, God, Heart"
"So long as the memory of certain beloved friends lives in my heart, I shall say that life is good.",Helen Keller,"Life, Good, Heart"
Recovery is something that you have to work on every single day and it's something that it doesn't get a day off.,Demi Lovato,"Work, Day, Something"
I think you have to pay for love with bitter tears.,Edith Piaf,"Love, Tears, Pay"
"Tears shed for self are tears of weakness, but tears shed for others are a sign of strength.",Billy Graham,"Strength, Tears, Weakness"
"I think faith is incredibly important because you will become overwhelmed with what's happening and you will have waves of grief, but when you turn to your faith, I believe God will give you waves of grace to get through it.",Joel Osteen,"Faith, God, Your"
I know people who grow old and bitter. I want to keep making a fresh start. I don't want them to defeat me. That would be suicidal.,Robert Wyatt,"Grow, Me, Start"
"It is by going down into the abyss that we recover the treasures of life. Where you stumble, there lies your treasure.",Joseph Campbell,"Life, Your, Abyss"
Friendship is certainly the finest balm for the pangs of disappointed love.,Jane Austen,"Friendship, Love, Balm"
Feeling sorry for ourselves is the most useless waste of energy on the planet. It does absolutely no good. We can't let our circumstances or what others do or don't do control us. We can decide to be happy regardless.,Joyce Meyer,"Good, Energy, Control"
"The goal of spiritual practice is full recovery, and the only thing you need to recover from is a fractured sense of self.",Marianne Williamson,"Spiritual, Practice, Self"
"The willow which bends to the tempest, often escapes better than the oak which resists it; and so in great calamities, it sometimes happens that light and frivolous spirits recover their elasticity and presence of mind sooner than those of a loftier character.",Albert Schweitzer,"Great, Character, Light"
It is the false shame of fools to try to conceal wounds that have not healed.,Horace,"Try, Shame, Fools"
"O! many a shaft, at random sent, Finds mark the archer little meant! And many a word, at random spoken, May soothe or wound a heart that's broken!",Walter Scott,"Heart, Random, Broken"
Falling out of love is chiefly a matter of forgetting how charming someone is.,Iris Murdoch,"Love, Love Is, Matter"
I actually think sadness and darkness can be very beautiful and healing.,Duncan Sheik,"Beautiful, Darkness, Sadness"
"Everyone can relate to love, hurt, pain, learning how to forgive, needing to get over, needing the power of God in their life.",Tyler Perry,"Life, Love, God"
"The moving finger writes, and having written moves on. Nor all thy piety nor all thy wit, can cancel half a line of it.",Omar Khayyam,"Moving, Cancel, Half"
"I've always believed that if you don't stay moving, they will throw dirt on you.",Paul Anka,"Always, Will, Moving"
Some women feel the best cure for a broken heart is a new beau.,Gene Tierney,"Best, Women, Heart"
One makes mistakes; that is life. But it is never a mistake to have loved.,Romain Rolland,"Life, Mistake, Mistakes"
"Being divorced is like being hit by a Mack truck. If you live through it, you start looking very carefully to the right and to the left.",Jean Kerr,"Start, Looking, Truck"
Only the broken-hearted know the truth about love.,Mason Cooley,"Love, Truth, Know"
I must be careful not to get trapped in the past. That's why I tend to forget my songs.,Mick Jagger,"Past, Why, Forget"
