title,author,tags
"Wherever you go, no matter what the weather, always bring your own sunshine.",Anthony J. D'Angelo,"Always, Weather, Your"
"Just living is not enough... one must have sunshine, freedom, and a little flower.",Hans Christian Andersen,"Freedom, Flower, Sunshine"
There is nothing in a caterpillar that tells you it's going to be a butterfly.,R. Buckminster Fuller,"Butterfly, Nothing, Going"
"Over every mountain there is a path, although it may not be seen from the valley.",Theodore Roethke,"Path, May, Valley"
"There is pleasure in the pathless woods, there is rapture in the lonely shore, there is society where none intrudes, by the deep sea, and music in its roar; I love not Man the less, but Nature more.",Lord Byron,"Love, Society, Music"
"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather.",John Ruskin,"Good, Rain, Weather"
"Green is the prime color of the world, and that from which its loveliness arises.",Pedro Calderon de la Barca,"World, Green, Color"
Autumn is a second spring when every leaf is a flower.,Albert Camus,"Spring, Flower, Leaf"
"Some people walk in the rain, others just get wet.",Roger Miller,"Rain, Walk, People"
"The sea, once it casts its spell, holds one in its net of wonder forever.",Jacques Yves Cousteau,"Sea, Wonder, Forever"
There are always flowers for those who want to see them.,Henri Matisse,"Always, Flowers, See"
"Simplicity is natures first step, and the last of art.",Philip James Bailey,"Art, Step, Simplicity"
"I go to nature to be soothed and healed, and to have my senses put in order.",John Burroughs,"Go, Order, Senses"
"The woods are lovely, dark and deep. But I have promises to keep, and miles to go before I sleep.",Robert Frost,"Sleep, Keep, Woods"
Every flower is a soul blossoming in nature.,Gerard De Nerval,"Flower, Soul, Every"
"Like music and art, love of nature is a common language that can transcend political or social boundaries.",Jimmy Carter,"Love, Art, Music"
"Rain is grace; rain is the sky descending to the earth; without rain, there would be no life.",John Updike,"Life, Rain, Sky"
"Nature is so powerful, so strong. Capturing its essence is not easy - your work becomes a dance with light and the weather. It takes you to a place within yourself.",Annie Leibovitz,"Work, Weather, Light"
Never measure the height of a mountain until you have reached the top. Then you will see how low it was.,Dag Hammarskjold,"Will, Measure, Never"
The world is always in movement.,V. S. Naipaul,"Always, World, Movement"
To cherish what remains of the Earth and to foster its renewal is our only legitimate hope of survival.,Wendell Berry,"Hope, Survival, Earth"
The sky broke like an egg into full sunset and the water caught fire.,Pamela Hansford Johnson,"Sky, Water, Fire"
"Adapt or perish, now as ever, is nature's inexorable imperative.",H. G. Wells,"Adapt, Now, Perish"
Pick a flower on Earth and you move the farthest star.,Paul Dirac,"Flower, Earth, Star"
Nature always wears the colors of the spirit.,Ralph Waldo Emerson,"Always, Colors, Spirit"
"O, wind, if winter comes, can spring be far behind?",Percy Bysshe Shelley,"Spring, Wind, Winter"
"Earth and sky, woods and fields, lakes and rivers, the mountain and the sea, are excellent schoolmasters, and teach some of us more than we can ever learn from books.",John Lubbock,"Sky, Sea, Woods"
"The sun, the moon and the stars would have disappeared long ago... had they happened to be within the reach of predatory human hands.",Havelock Ellis,"Stars, Long, Moon"
A lot of people like snow. I find it to be an unnecessary freezing of water.,Carl Reiner,"Water, Snow, Find"
In the depth of winter I finally learned that there was in me an invincible summer.,Albert Camus,"Winter, Me, Finally"
"Nature's music is never over; her silences are pauses, not conclusions.",Mary Webb,"Music, Never, Conclusions"
The sky lovingly smiles on the earth and her children.,Henry Morton Stanley,"Sky, Children, Earth"
"There are no lines in nature, only areas of colour, one against another.",Edouard Manet,"Colour, Only, Against"
Let the rain kiss you. Let the rain beat upon your head with silver liquid drops. Let the rain sing you a lullaby.,Langston Hughes,"Rain, Your, Kiss"
"Even with all our technology and the inventions that make modern life so much easier than it once was, it takes just one big natural disaster to wipe all that away and remind us that, here on Earth, we're still at the mercy of nature.",Neil deGrasse Tyson,"Life, Technology, Disaster"
"Happy the man whose wish and care a few paternal acres bound, content to breathe his native air in his own ground.",Alexander Pope,"Man, Care, Own"
And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom.,Elizabeth Appell,"Day, Blossom, Risk"
The best thing one can do when it's raining is to let it rain.,Henry Wadsworth Longfellow,"Best, Rain, Raining"
"Look deep into nature, and then you will understand everything better.",Albert Einstein,"Better, Look, Will"
"Nature does not hurry, yet everything is accomplished.",Lao Tzu,"Everything, Hurry, Accomplished"
"On earth there is no heaven, but there are pieces of it.",Jules Renard,"Heaven, Earth, Pieces"
Forget not that the earth delights to feel your bare feet and the winds long to play with your hair.,Khalil Gibran,"Your, Long, Feet"
"I love to think of nature as an unlimited broadcasting station, through which God speaks to us every hour, if we will only tune in.",George Washington Carver,"Love, God, Will"
"Blue thou art, intensely blue; Flower, whence came thy dazzling hue?",James Montgomery,"Art, Flower, Blue"
Light in Nature creates the movement of colors.,Robert Delaunay,"Light, Colors, Movement"
"What we observe is not nature itself, but nature exposed to our method of questioning.",Werner Heisenberg,"Observe, Questioning, Method"
"Sunset is still my favorite color, and rainbow is second.",Mattie Stepanek,"Rainbow, Sunset, Color"
In nature there are neither rewards nor punishments; there are consequences.,Robert Green Ingersoll,"Consequences, Rewards, Neither"
"Ocean is more ancient than the mountains, and freighted with the memories and the dreams of Time.",H. P. Lovecraft,"Dreams, Time, Memories"
The moon looks upon many night flowers; the night flowers see but one moon.,Jean Ingelow,"Moon, Night, Flowers"
"How strange that nature does not knock, and yet does not intrude!",Emily Dickinson,"Strange, Knock, How"
A hen is only an egg's way of making another egg.,Samuel Butler,"Way, Egg, Only"
"It is not light that we need, but fire; it is not the gentle shower, but thunder. We need the storm, the whirlwind, and the earthquake.",Frederick Douglass,"Light, Storm, Fire"
Gray skies are just clouds passing over.,Duke Ellington,"Clouds, Gray, Just"
Mother Nature is the great equalizer. You can't get away from it.,Christopher Heyerdahl,"Great, Mother, Mother Nature"
What the caterpillar calls the end of the world the master calls a butterfly.,Richard Bach,"Butterfly, World, End"
During all these years there existed within me a tendency to follow Nature in her walks.,John James Audubon,"Me, Follow, Within"
"What is the good of your stars and trees, your sunrise and the wind, if they do not enter into our daily lives?",E. M. Forster,"Good, Daily, Your"
"Nature holds the key to our aesthetic, intellectual, cognitive and even spiritual satisfaction.",E. O. Wilson,"Satisfaction, Spiritual, Aesthetic"
In all things of nature there is something of the marvelous.,Aristotle,"Things, Something, All Things"
"Let us learn to appreciate there will be times when the trees will be bare, and look forward to the time when we may pick the fruit.",Anton Chekhov,"Time, Fruit, Look"
"With every drop of water you drink, every breath you take, you're connected to the sea. No matter where on Earth you live. Most of the oxygen in the atmosphere is generated by the sea.",Sylvia Earle,"Water, Sea, Matter"
The breaking of a wave cannot explain the whole sea.,Vladimir Nabokov,"Sea, Explain, Cannot"
The earth laughs in flowers.,Ralph Waldo Emerson,"Earth, Flowers, Laughs"
Even in winter an isolated patch of snow has a special quality.,Andy Goldsworthy,"Winter, Quality, Snow"
Nothing makes me so happy as to observe nature and to paint what I see.,Henri Rousseau,"Me, Nothing, Happy"
The clearest way into the Universe is through a forest wilderness.,John Muir,"Universe, Way, Forest"
"The day, water, sun, moon, night - I do not have to purchase these things with money.",Plautus,"Money, Day, Water"
Land really is the best art.,Andy Warhol,"Best, Art, Land"
Birds sing after a storm; why shouldn't people feel as free to delight in whatever sunlight remains to them?,Rose Kennedy,"Storm, Free, Feel"
