title,author,tags
When the power of love overcomes the love of power the world will know peace.,Jimi Hendrix,"Love, Power, World"
You cannot shake hands with a clenched fist.,Indira Gandhi,"Hands, Cannot, Shake"
"Never be in a hurry; do everything quietly and in a calm spirit. Do not lose your inner peace for anything whatsoever, even if your whole world seems upset.",Saint Francis de Sales,"Your, World, Lose"
The most valuable possession you can own is an open heart. The most powerful weapon you can be is an instrument of peace.,Carlos Santana,"Heart, Own, Open"
Those who make peaceful revolution impossible will make violent revolution inevitable.,John F. Kennedy,"Impossible, Will, Revolution"
"Harmony makes small things grow, lack of it makes great things decay.",Sallust,"Great, Small Things, Grow"
People sleep peaceably in their beds at night only because rough men stand ready to do violence on their behalf.,George Orwell,"Men, Sleep, Night"
"I prefer peace. But if trouble must come, let it come in my time, so that my children can live in peace.",Thomas Paine,"Time, Children, Trouble"
"Happiness, true happiness, is an inner quality. It is a state of mind. If your mind is at peace, you are happy. If your mind is at peace, but you have nothing else, you can be happy. If you have everything the world can give - pleasure, possessions, power - but lack peace of mind, you can never be happy.",Dada Vaswani,"Happiness, Power, True Happiness"
An eye for an eye only ends up making the whole world blind.,Mahatma Gandhi,"World, Blind, Eye"
"Lord, make me an instrument of thy peace. Where there is hatred, let me sow love.",Francis of Assisi,"Love, Me, Hatred"
Peace is a journey of a thousand miles and it must be taken one step at a time.,Lyndon B. Johnson,"Time, Journey, Step"
Those who are at war with others are not at peace with themselves.,William Hazlitt,"War, Others, Who"
I took a deep breath and listened to the old bray of my heart. I am. I am. I am.,Sylvia Plath,"Heart, I Am, Old"
"Peace is not absence of conflict, it is the ability to handle conflict by peaceful means.",Ronald Reagan,"Conflict, Ability, Handle"
You cannot find peace by avoiding life.,Virginia Woolf,"Life, Find, Cannot"
We can never obtain peace in the outer world until we make peace with ourselves.,Dalai Lama,"World, Never, Make"
"If there must be trouble, let it be in my day, that my child may have peace.",Thomas Paine,"Day, Trouble, May"
A quiet mind cureth all.,Robert Burton,"Mind, Quiet"
We look forward to the time when the Power of Love will replace the Love of Power. Then will our world know the blessings of peace.,William E. Gladstone,"Love, Power, Time"
"If you want peace, you don't talk to your friends. You talk to your enemies.",Desmond Tutu,"Your, Enemies, Talk"
"Peace is not an absence of war, it is a virtue, a state of mind, a disposition for benevolence, confidence, justice.",Baruch Spinoza,"War, Justice, Mind"
"While you are proclaiming peace with your lips, be careful to have it even more fully in your heart.",Francis of Assisi,"Heart, Your, Lips"
Mankind must remember that peace is not God's gift to his creatures; peace is our gift to each other.,Elie Wiesel,"God, Gift, Remember"
Peace and justice are two sides of the same coin.,Dwight D. Eisenhower,"Justice, Coin, Two"
A bad peace is even worse than war.,Tacitus,"War, Bad, Worse"
Peace is its own reward.,Mahatma Gandhi,"Reward, Own"
"God cannot give us a happiness and peace apart from Himself, because it is not there. There is no such thing.",C. S. Lewis,"Happiness, God, Us"
Peace begins with a smile.,Mother Teresa,"Smile, Begins"
"First keep peace with yourself, then you can also bring peace to others.",Thomas a Kempis,"Yourself, Keep, First"
You can find peace amidst the storms that threaten you.,Joseph B. Wirthlin,"Find, Storms, Amidst"
"Peace of mind for five minutes, that's what I crave.",Alanis Morissette,"Mind, Peace Of Mind, Five"
Nobody can bring you peace but yourself.,Ralph Waldo Emerson,"Yourself, Nobody, Bring"
I refuse to accept the view that mankind is so tragically bound to the starless midnight of racism and war that the bright daybreak of peace and brotherhood can never become a reality... I believe that unarmed truth and unconditional love will have the final word.,"Martin Luther King, Jr.","Love, Truth, War"
It is madness for sheep to talk peace with a wolf.,Thomas Fuller,"Sheep, Madness, Talk"
"Where ignorance is our master, there is no possibility of real peace.",Dalai Lama,"Ignorance, Real, Master"
"Imagine all the people living life in peace. You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us, and the world will be as one.",John Lennon,"Life, Hope, World"
Peace cannot be kept by force; it can only be achieved by understanding.,Albert Einstein,"Understanding, Cannot, Only"
"If we have no peace, it is because we have forgotten that we belong to each other.",Mother Teresa,"Forgotten, Belong, Because"
"If there is to be any peace it will come through being, not having.",Henry Miller,"Will, Through, Being"
Democracy is necessary to peace and to undermining the forces of terrorism.,Benazir Bhutto,"Democracy, Terrorism, Necessary"
"We are not at peace with others because we are not at peace with ourselves, and we are not at peace with ourselves because we are not at peace with God.",Thomas Merton,"God, Others, Because"
"If you want to make peace with your enemy, you have to work with your enemy. Then he becomes your partner.",Nelson Mandela,"Work, Your, Enemy"
"Pursue some path, however narrow and crooked, in which you can walk with love and reverence.",Henry David Thoreau,"Love, Walk, Path"
It isn't enough to talk about peace. One must believe in it. And it isn't enough to believe in it. One must work at it.,Eleanor Roosevelt,"Work, Believe, Enough"
We make war that we may live in peace.,Aristotle,"War, Live, May"
It is an unfortunate fact that we can secure peace only by preparing for war.,John F. Kennedy,"War, Only, Secure"
"If everyone demanded peace instead of another television set, then there'd be peace.",John Lennon,"Everyone, Television, Set"
Those who are free of resentful thoughts surely find peace.,Buddha,"Thoughts, Free, Find"
"The pursuit, even of the best things, ought to be calm and tranquil.",Marcus Tullius Cicero,"Best, Calm, Things"
"There was a time in my life when I thought I had everything - millions of dollars, mansions, cars, nice clothes, beautiful women, and every other materialistic thing you can imagine. Now I struggle for peace.",Richard Pryor,"Life, Women, Time"
Peace comes from within. Do not seek it without.,Buddha,"Without, Within, Seek"
Peace is when time doesn't matter as it passes by.,Maria Schell,"Time, Matter, Passes"
"I'm concentrating on staying healthy, having peace, being happy, remembering what is important, taking in nature and animals, spending time reading, trying to understand the universe, where science and the spiritual meet.",Joan Jett,"Science, Nature, Time"
I think it's naive to pray for world peace if we're not going to change the form in which we live.,Godfrey Reggio,"Change, World, Live"
Nowhere can man find a quieter or more untroubled retreat than in his own soul.,Marcus Aurelius,"Man, Soul, Find"
Peace is liberty in tranquillity.,Marcus Tullius Cicero,"Liberty, Tranquillity"
Peace demands the most heroic labor and the most difficult sacrifice. It demands greater heroism than war. It demands greater fidelity to the truth and a much more perfect purity of conscience.,Thomas Merton,"Truth, War, Sacrifice"
Power to the peaceful!,Michael Franti,"Power, Peaceful"
"Let there be work, bread, water and salt for all.",Nelson Mandela,"Work, Water, Bread"
"Peace is a day-to-day problem, the product of a multitude of events and judgments. Peace is not an 'is,' it is a 'becoming.'",Haile Selassie,"Product, Events, Problem"
"The purpose of all wars, is peace.",Saint Augustine,"Purpose, Wars"
"We are bombarded on all sides by a vast number of messages we don't want or need. More information is generated in a single day than we can absorb in a lifetime. To fully enjoy life, all of us must find our own breathing space and peace of mind.",James E. Faust,"Life, Space, Day"
"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.",Buddha,"Wisdom, Happiness, Health"
"For behind all imperialism is ultimately the imperialistic individual, just as behind all peace is ultimately the peaceful individual.",Irving Babbitt,"Imperialism, Behind, Individual"
"The Dove, on silver pinions, winged her peaceful way.",James Montgomery,"Way, Silver, Dove"
"Of one thing I am certain, the body is not the measure of healing, peace is the measure.",Phyllis McGinley,"Body, I Am, Measure"
"Peace is not merely a distant goal that we seek, but a means by which we arrive at that goal.","Martin Luther King, Jr.","Seek, Which, Means"
He that would live in peace and at ease must not speak all he knows or all he sees.,Benjamin Franklin,"Speak, Live, Must"
An army of principles can penetrate where an army of soldiers cannot.,Thomas Paine,"Principles, Army, Cannot"
I believe in the religion of Islam. I believe in Allah and peace.,Muhammad Ali,"Religion, Believe, Allah"
"You will find peace not by trying to escape your problems, but by confronting them courageously. You will find peace not in denial, but in victory.",J. Donald Walters,"Your, Victory, Problems"
I dream of an Africa which is in peace with itself.,Nelson Mandela,"Africa, Dream, Which"
"As I came to power peacefully, so shall I keep it.",Corazon Aquino,"Power, Keep, Shall"
I think that people want peace so much that one of these days government had better get out of their way and let them have it.,Dwight D. Eisenhower,"Government, Better, Way"
"I can promise you that women working together - linked, informed and educated - can bring peace and prosperity to this forsaken planet.",Isabel Allende,"Women, Together, Working Together"
I am at peace with God. My conflict is with Man.,Charlie Chaplin,"God, Man, I Am"
"I don't know whether war is an interlude during peace, or peace an interlude during war.",Georges Clemenceau,"War, Know, Whether"
Peace is not a relationship of nations. It is a condition of mind brought about by a serenity of soul. Peace is not merely the absence of war. It is also a state of mind. Lasting peace can come only to peaceful people.,Jawaharlal Nehru,"Relationship, War, Soul"
Avoid popularity if you would have peace.,Abraham Lincoln,"Avoid, Popularity, Would"
"Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind.",Buddha,"Mind, Peace Of Mind, Envy"
"Peace and friendship with all mankind is our wisest policy, and I wish we may be permitted to pursue it.",Thomas Jefferson,"Friendship, Wish, May"
A people free to choose will always choose peace.,Ronald Reagan,"Always, Free, Will"
"Peace is a daily, a weekly, a monthly process, gradually changing opinions, slowly eroding old barriers, quietly building new structures.",John F. Kennedy,"Daily, Process, New"
"The true and solid peace of nations consists not in equality of arms, but in mutual trust alone.",Pope John XXIII,"Alone, Trust, Equality"
People always make war when they say they love peace.,D. H. Lawrence,"Love, War, Always"
What we need is Star Peace and not Star Wars.,Mikhail Gorbachev,"Need, Star, Wars"
All we are saying is give peace a chance.,John Lennon,"Chance, Saying, Give"
Complete peace equally reigns between two mental waves.,Swami Sivananda,"Waves, Two, Mental"
"The pursuit of peace and progress cannot end in a few years in either victory or defeat. The pursuit of peace and progress, with its trials and its errors, its successes and its setbacks, can never be relaxed and never abandoned.",Dag Hammarskjold,"Progress, Victory, Trials"
Peace is rarely denied to the peaceful.,Friedrich Schiller,"Denied, Peaceful, Rarely"
I declare that I will establish peace in this world.,Prem Rawat,"World, Will, Declare"
