title,author,tags
A dog is the only thing on earth that loves you more than you love yourself.,Josh Billings,"Love, Yourself, Love Yourself"
Never wear anything that panics the cat.,P. J. O'Rourke,"Never, Anything, Cat"
An animal's eyes have the power to speak a great language.,Martin Buber,"Power, Great, Eyes"
"Dogs are not our whole life, but they make our lives whole.",Roger Caras,"Life, Make, Dogs"
"Money can buy you a fine dog, but only love can make him wag his tail.",Kinky Friedman,"Love, Money, Dog"
Until one has loved an animal a part of one's soul remains unawakened.,Anatole France,"Soul, Animal, Loved"
In ancient times cats were worshipped as gods; they have not forgotten this.,Terry Pratchett,"Cats, Ancient, Forgotten"
"I believe cats to be spirits come to earth. A cat, I am sure, could walk on a cloud without coming through.",Jules Verne,"Walk, Believe, I Am"
Pets are humanizing. They remind us we have an obligation and responsibility to preserve and nurture and care for all life.,James Cromwell,"Life, Responsibility, Care"
Animals are such agreeable friends - they ask no questions; they pass no criticisms.,George Eliot,"Questions, Animals, Friends"
My little dog - a heartbeat at my feet.,Edith Wharton,"Feet, Dog, Heartbeat"
"Outside of a dog, a book is a man's best friend. Inside of a dog it's too dark to read.",Groucho Marx,"Best, Man, Dog"
The trouble with a kitten is that eventually it becomes a cat.,Ogden Nash,"Trouble, Cat, Eventually"
"There's a saying. If you want someone to love you forever, buy a dog, feed it and keep it around.",Dick Dale,"Love, Keep, Dog"
Dogs are my favorite people.,Richard Dean Anderson,"People, Favorite People, Dogs"
The average dog is a nicer person than the average person.,Andy Rooney,"Dog, Person, Average"
Cats are connoisseurs of comfort.,James Herriot,"Comfort, Cats"
I am fond of pigs. Dogs look up to us. Cats look down on us. Pigs treat us as equals.,Winston Churchill,"Treat, I Am, Look"
There are two means of refuge from the miseries of life: music and cats.,Albert Schweitzer,"Life, Music, Cats"
"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,"Women, Men, Relax"
"Cats have it all - admiration, an endless sleep, and company only when they want it.",Rod McKuen,"Sleep, Cats, Company"
Dogs got personality. Personality goes a long way.,Quentin Tarantino,"Personality, Long, Way"
Scratch a dog and you'll find a permanent job.,Franklin P. Jones,"Find, Dog, Job"
"Cats have a scam going - you buy the food, they eat the food, they go away; that's the deal.",Eddie Izzard,"Food, Cats, Scam"
There is no psychiatrist in the world like a puppy licking your face.,Bernard Williams,"Your, World, Face"
Pets have more love and compassion in them than most humans.,Robert Wagner,"Love, Compassion, More"
"The better I get to know men, the more I find myself loving dogs.",Charles de Gaulle,"Men, Myself, Better"
"If having a soul means being able to feel love and loyalty and gratitude, then animals are better off than a lot of humans.",James Herriot,"Love, Soul, Loyalty"
I had been told that the training procedure with cats was difficult. It's not. Mine had me trained in two days.,Bill Dana,"Training, Me, Difficult"
People who keep dogs are cowards who haven't got the guts to bite people themselves.,August Strindberg,"Keep, People, Cowards"
