title,author,tags
"If you cannot be a poet, be the poem.",David Carradine,"Cannot, Poet, Poem"
"Poetry is an echo, asking a shadow to dance.",Carl Sandburg,"Shadow, Dance, Asking"
The poet is a liar who always speaks the truth.,Jean Cocteau,"Truth, Always, Liar"
To read a poem is to hear it with our eyes; to hear it is to see it with our ears.,Octavio Paz,"Eyes, See, Hear"
Poetry is language at its most distilled and most powerful.,Rita Dove,"Language, Powerful, Most Powerful"
Poetry is an orphan of silence. The words never quite equal the experience behind them.,Charles Simic,"Experience, Silence, Words"
Poetry is the revelation of a feeling that the poet believes to be interior and personal which the reader recognizes as his own.,Salvatore Quasimodo,"Own, Feeling, Personal"
Poetry is the spontaneous overflow of powerful feelings: it takes its origin from emotion recollected in tranquility.,William Wordsworth,"Feelings, Tranquility, Origin"
Poetry is when an emotion has found its thought and the thought has found words.,Robert Frost,"Words, Emotion, Thought"
"A poem is never finished, only abandoned.",Paul Valery,"Never, Only, Abandoned"
"Poetry is not a turning loose of emotion, but an escape from emotion; it is not the expression of personality, but an escape from personality. But, of course, only those who have personality and emotions know what it means to want to escape from these things.",T. S. Eliot,"Personality, Escape, Emotions"
"He could not die when trees were green, for he loved the time too well.",John Clare,"Time, Green, Die"
"There's no money in poetry, but then there's no poetry in money, either.",Robert Graves,"Money, Either, Then"
"Painting is silent poetry, and poetry is painting that speaks.",Plutarch,"Painting, Silent, Speaks"
"Poetry is ordinary language raised to the Nth power. Poetry is boned with ideas, nerved and blooded with emotions, all held together by the delicate, tough skin of words.",Paul Engle,"Power, Together, Skin"
"I would define, in brief, the poetry of words as the rhythmical creation of Beauty.",Edgar Allan Poe,"Beauty, Creation, Words"
"Poetry is plucking at the heartstrings, and making music with them.",Dennis Gabor,"Music, Them, Making"
Poetry is the mother-tongue of the human race.,Johann Georg Hamann,"Race, Human, Human Race"
Poetry: the best words in the best order.,Samuel Taylor Coleridge,"Best, Words, Order"
God is the perfect poet.,Robert Browning,"God, Perfect, Poet"
